日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,0.19,0.17,0.2,0.16,27699,19291479.36,23.53,0.0,0.0,1.57
2010-01-05,0.17,0.19,0.19,0.12,33759,23357201.77,41.18,11.76,0.02,1.91
2010-01-06,0.19,0.19,0.22,0.18,41190,29011379.97,21.05,0.0,0.0,2.33
2010-01-07,0.17,0.12,0.2,0.11,33610,23124625.03,47.37,-36.84,-0.07,1.9
2010-01-08,0.12,0.14,0.15,0.09,22413,15201927.1,50.0,16.67,0.02,1.27
2010-01-11,0.16,0.16,0.17,0.12,32332,22276719.12,35.71,14.29,0.02,1.83
2010-01-12,0.16,0.25,0.27,0.16,80957,57643334.84,68.75,56.25,0.09,4.58
2010-01-13,0.22,0.22,0.26,0.2,49192,35021350.61,24.0,-12.0,-0.03,2.78
2010-01-14,0.23,0.28,0.28,0.23,56047,40465187.65,22.73,27.27,0.06,3.17
2010-01-15,0.28,0.27,0.29,0.25,50856,36911901.3,14.29,-3.57,-0.01,2.88
2010-01-18,0.25,0.32,0.35,0.25,75063,55408773.38,37.04,18.52,0.05,4.25
2010-01-19,0.37,0.34,0.39,0.32,92568,69477012.47,21.88,6.25,0.02,5.24
2010-01-20,0.33,0.26,0.41,0.26,86837,64597186.01,44.12,-23.53,-0.08,4.92
2010-01-21,0.26,0.47,0.5,0.25,165475,127349003.6,96.15,80.77,0.21,9.37
2010-01-22,0.43,0.34,0.43,0.29,106552,79717551.27,29.79,-27.66,-0.13,6.03
2010-01-25,0.31,0.3,0.37,0.26,45204,33370877.82,32.35,-11.76,-0.04,2.56
2010-01-26,0.29,0.15,0.32,0.12,53949,37984934.69,66.67,-50.0,-0.15,3.05
2010-01-27,0.14,0.16,0.21,0.13,29918,20810021.83,53.33,6.67,0.01,1.69
2010-01-28,0.16,0.21,0.22,0.14,25686,18039656.22,50.0,31.25,0.05,1.45
2010-01-29,0.21,0.29,0.3,0.2,50988,36939029.79,47.62,38.1,0.08,2.89
2010-02-01,0.29,0.31,0.34,0.24,64405,47116085.71,34.48,6.9,0.02,3.65
2010-02-02,0.3,0.28,0.33,0.28,39672,29064440.67,16.13,-9.68,-0.03,2.25
2010-02-03,0.28,0.28,0.3,0.16,56553,40403873.44,50.0,0.0,0.0,3.2
2010-02-04,0.26,0.35,0.37,0.24,66394,49053850.61,46.43,25.0,0.07,3.76
2010-02-05,0.27,0.39,0.47,0.26,109144,83248936.27,60.0,11.43,0.04,6.18
2010-02-08,0.41,0.37,0.41,0.35,42124,31853010.89,15.38,-5.13,-0.02,2.38
2010-02-09,0.38,0.42,0.43,0.36,47423,36225487.22,18.92,13.51,0.05,2.68
2010-02-10,0.44,0.38,0.45,0.33,42117,31941455.4,28.57,-9.52,-0.04,2.38
2010-02-11,0.36,0.3,0.39,0.3,37016,27552300.49,23.68,-21.05,-0.08,2.1
2010-02-12,0.33,0.34,0.36,0.31,22471,16704389.72,16.67,13.33,0.04,1.27
2010-02-22,0.34,0.36,0.39,0.31,30424,22809404.46,23.53,5.88,0.02,1.72
2010-02-23,0.37,0.45,0.47,0.33,62017,47269375.5,38.89,25.0,0.09,3.51
2010-02-24,0.41,0.48,0.5,0.41,83214,65350054.21,20.0,6.67,0.03,4.71
2010-02-25,0.48,0.54,0.58,0.45,102487,81687052.76,27.08,12.5,0.06,5.8
2010-02-26,0.55,0.55,0.6,0.52,74098,59933087.14,14.81,1.85,0.01,4.19
2010-03-01,0.59,0.69,0.81,0.59,165490,141500521.03,40.0,25.45,0.14,9.37
2010-03-02,0.71,0.78,0.82,0.66,140795,122810058.84,23.19,13.04,0.09,7.97
2010-03-03,0.77,1.01,1.08,0.77,298788,281967176.86,39.74,29.49,0.23,16.91
2010-03-04,0.92,0.84,0.99,0.8,178538,161456380.97,18.81,-16.83,-0.17,10.11
2010-03-05,0.84,0.88,0.97,0.84,107024,98364044.55,15.48,4.76,0.04,6.06
2010-03-08,0.91,0.97,1.01,0.85,86215,79473485.23,18.18,10.23,0.09,4.88
2010-03-09,0.97,0.89,1.0,0.85,86114,78337996.77,15.46,-8.25,-0.08,4.87
2010-03-10,0.86,0.81,0.89,0.77,72343,64343282.24,13.48,-8.99,-0.08,4.09
2010-03-11,0.81,0.82,0.84,0.72,62084,54628551.79,14.81,1.23,0.01,3.51
2010-03-12,0.81,0.81,0.87,0.77,63586,56550384.9,12.2,-1.22,-0.01,3.6
2010-03-15,0.81,0.75,0.84,0.74,55338,48405905.35,12.35,-7.41,-0.06,3.13
2010-03-16,0.76,0.76,0.78,0.68,50068,43152912.12,13.33,1.33,0.01,2.83
2010-03-17,0.75,0.88,0.91,0.73,83378,74023463.79,23.68,15.79,0.12,4.72
2010-03-18,0.87,0.92,0.94,0.83,88066,80185817.79,12.5,4.55,0.04,4.98
2010-03-19,0.92,0.92,0.93,0.86,52046,47465674.43,7.61,0.0,0.0,2.95
2010-03-22,0.91,1.05,1.07,0.91,101823,95740226.68,17.39,14.13,0.13,5.76
2010-03-23,1.05,1.07,1.1,0.98,96073,91651514.91,11.43,1.9,0.02,5.44
2010-03-24,1.07,1.01,1.1,1.0,66784,63764735.84,9.35,-5.61,-0.06,3.78
2010-03-25,0.99,0.9,0.99,0.89,61689,56857550.61,9.9,-10.89,-0.11,3.49
2010-03-26,0.91,0.96,0.98,0.88,49908,46186334.14,11.11,6.67,0.06,2.82
2010-03-29,0.96,0.98,1.05,0.93,59345,55675415.22,12.5,2.08,0.02,3.36
2010-03-30,0.99,1.12,1.13,0.96,105874,102081698.84,17.35,14.29,0.14,5.99
2010-03-31,1.14,1.21,1.26,1.11,140008,141017802.9,13.39,8.04,0.09,7.92
2010-04-01,1.19,1.2,1.27,1.18,76457,76859876.68,7.44,-0.83,-0.01,4.33
2010-04-02,1.2,1.12,1.24,1.12,80917,80358239.03,10.0,-6.67,-0.08,4.58
2010-04-06,1.13,1.2,1.22,1.08,69558,68579130.91,12.5,7.14,0.08,3.94
2010-04-07,1.21,1.26,1.26,1.17,59276,59843989.06,7.5,5.0,0.06,3.36
2010-04-08,1.25,1.18,1.3,1.17,53100,53850522.3,10.32,-6.35,-0.08,3.01
2010-04-09,1.17,1.18,1.22,1.16,55475,55267555.1,5.08,0.0,0.0,3.14
2010-04-12,1.18,1.23,1.29,1.18,82257,83275131.58,9.32,4.24,0.05,4.66
2010-04-13,1.24,1.1,1.25,0.99,82524,80777717.1,21.14,-10.57,-0.13,4.67
2010-04-14,1.11,1.08,1.12,1.03,50880,49106747.04,8.18,-1.82,-0.02,2.88
2010-04-15,1.07,1.07,1.12,1.06,41990,40679477.18,5.56,-0.93,-0.01,2.38
2010-04-16,1.08,1.09,1.1,1.0,38451,36719476.71,9.35,1.87,0.02,2.18
2010-04-19,1.07,0.91,1.07,0.87,61071,57031211.66,18.35,-16.51,-0.18,3.46
2010-04-20,0.91,0.95,0.97,0.86,32424,29796078.13,12.09,4.4,0.04,1.84
2010-04-21,0.95,1.04,1.06,0.92,49027,46485560.73,14.74,9.47,0.09,2.78
2010-04-22,1.03,1.06,1.09,1.02,45964,44145691.59,6.73,1.92,0.02,2.6
2010-04-23,1.05,1.16,1.2,1.04,74901,73659129.46,15.09,9.43,0.1,4.24
2010-04-26,1.17,1.16,1.24,1.1,52435,52166985.27,12.07,0.0,0.0,2.97
2010-04-27,1.15,1.06,1.18,0.98,46838,44847332.36,17.24,-8.62,-0.1,2.65
2010-04-28,1.03,1.05,1.08,0.99,23272,22206431.85,8.49,-0.94,-0.01,1.32
2010-04-29,1.05,0.95,1.07,0.93,31657,29776596.08,13.33,-9.52,-0.1,1.79
2010-04-30,0.92,0.81,0.95,0.76,34764,31135223.32,20.0,-14.74,-0.14,1.97
2010-05-04,0.73,0.72,0.82,0.71,19095,16600114.31,13.58,-11.11,-0.09,1.08
2010-05-05,0.72,0.91,0.92,0.72,23869,21105059.22,27.78,26.39,0.19,1.35
2010-05-06,0.91,0.77,0.94,0.76,27756,25049309.51,19.78,-15.38,-0.14,1.57
2010-05-10,0.71,0.63,0.79,0.52,30739,25601536.4,35.06,-18.18,-0.14,1.74
2010-05-11,0.69,0.52,0.73,0.52,29578,24387334.0,33.33,-17.46,-0.11,1.67
2010-05-12,0.52,0.49,0.57,0.41,22341,17637292.4,30.77,-5.77,-0.03,1.26
2010-05-13,0.49,0.58,0.58,0.43,21524,17131562.54,30.61,18.37,0.09,1.22
2010-05-14,0.56,0.59,0.64,0.53,22638,18581735.82,18.97,1.72,0.01,1.28
2010-05-17,0.58,0.44,0.58,0.44,16830,13370890.29,23.73,-25.42,-0.15,0.95
2010-05-18,0.51,0.49,0.51,0.39,19361,15129644.88,27.27,11.36,0.05,1.1
2010-05-19,0.48,0.46,0.54,0.43,15221,11985686.9,22.45,-6.12,-0.03,0.86
2010-05-20,0.45,0.45,0.55,0.42,26895,21295973.35,28.26,-2.17,-0.01,1.52
2010-05-21,0.38,0.4,0.42,0.19,71770,52507716.43,51.11,-11.11,-0.05,4.06
2010-05-24,0.36,0.53,0.55,0.36,60910,48017823.34,47.5,32.5,0.13,3.45
2010-05-25,0.49,0.51,0.54,0.46,37267,29531760.86,15.09,-3.77,-0.02,2.11
2010-05-26,0.5,0.51,0.53,0.46,35426,28222899.34,13.73,0.0,0.0,2.01
2010-05-27,0.52,0.56,0.58,0.48,30536,24527627.14,19.61,9.8,0.05,1.73
2010-05-28,0.58,0.54,0.61,0.52,33334,26936446.95,16.07,-3.57,-0.02,1.89
2010-05-31,0.52,0.45,0.57,0.45,30435,24191100.03,22.22,-16.67,-0.09,1.72
2010-06-01,0.44,0.33,0.44,0.28,25288,18915203.39,35.56,-26.67,-0.12,1.43
2010-06-02,0.33,0.39,0.4,0.31,14947,11200091.11,27.27,18.18,0.06,0.85
2010-06-03,0.39,0.39,0.49,0.38,21515,16629461.83,28.21,0.0,0.0,1.22
2010-06-04,0.39,0.41,0.44,0.36,18047,13764408.15,20.51,5.13,0.02,1.02
2010-06-07,0.37,0.36,0.38,0.31,27669,20644421.53,17.07,-12.2,-0.05,1.57
2010-06-08,0.35,0.4,0.42,0.34,18089,13721877.69,22.22,11.11,0.04,1.02
2010-06-09,0.4,0.48,0.48,0.4,33254,25888056.76,20.0,20.0,0.08,1.88
2010-06-10,0.46,0.54,0.56,0.46,41916,33639256.62,20.83,12.5,0.06,2.37
2010-06-11,0.54,0.47,0.56,0.46,34694,27413020.35,18.52,-12.96,-0.07,1.96
2010-06-17,0.48,0.48,0.52,0.46,18391,14533950.08,12.77,2.13,0.01,1.04
2010-06-18,0.5,0.39,0.52,0.37,17408,13533240.75,31.25,-18.75,-0.09,0.99
2010-06-21,0.4,0.47,0.47,0.32,19126,14677765.59,38.46,20.51,0.08,1.08
2010-06-22,0.47,0.48,0.5,0.44,17928,14095651.37,12.77,2.13,0.01,1.01
2010-06-23,0.48,0.56,0.59,0.46,58404,46993369.61,27.08,16.67,0.08,3.31
2010-06-24,0.56,0.54,0.56,0.5,25637,20397650.65,10.71,-3.57,-0.02,1.45
2010-06-25,0.52,0.45,0.53,0.42,21256,16510298.21,20.37,-16.67,-0.09,1.2
2010-06-28,0.43,0.42,0.46,0.41,9707,7457107.14,11.11,-6.67,-0.03,0.55
2010-06-29,0.42,0.29,0.46,0.28,21549,16049066.73,42.86,-30.95,-0.13,1.22
2010-06-30,0.29,0.21,0.29,0.16,14995,10498520.46,44.83,-27.59,-0.08,0.85
2010-07-01,0.21,0.22,0.23,0.17,13157,9213385.31,28.57,4.76,0.01,0.74
2010-07-02,0.23,0.17,0.23,0.03,17241,11733147.44,90.91,-22.73,-0.05,0.98
