日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-09-27,1.52,1.52,1.53,1.42,96364,281067088.0,8.4,16.03,0.21,86.04
2011-09-28,1.48,1.42,1.55,1.4,55697,160343726.0,9.87,-6.58,-0.1,49.73
2011-09-29,1.37,1.33,1.4,1.3,33685,89889797.0,7.04,-6.34,-0.09,30.08
2011-09-30,1.33,1.25,1.35,1.23,27580,69878974.0,9.02,-6.02,-0.08,24.62
2011-10-10,1.26,1.27,1.28,1.24,20360,50978038.0,3.2,1.6,0.02,18.18
2011-10-11,1.31,1.27,1.34,1.26,25975,67051173.0,6.3,0.0,0.0,23.19
2011-10-12,1.26,1.32,1.34,1.2,29673,75531828.0,11.02,3.94,0.05,26.49
2011-10-13,1.33,1.35,1.36,1.31,30288,80154345.0,3.79,2.27,0.03,27.04
2011-10-14,1.35,1.37,1.37,1.32,26410,70627804.0,3.7,1.48,0.02,23.58
2011-10-17,1.38,1.43,1.47,1.37,38260,107346280.0,7.3,4.38,0.06,34.16
2011-10-18,1.41,1.41,1.46,1.4,35480,100215099.0,4.2,-1.4,-0.02,31.68
2011-10-19,1.46,1.47,1.56,1.44,48932,144428046.0,8.51,4.26,0.06,43.69
2011-10-20,1.41,1.43,1.43,1.34,34497,94183907.0,6.12,-2.72,-0.04,30.8
2011-10-21,1.42,1.43,1.48,1.4,28726,81613870.0,5.59,0.0,0.0,25.65
2011-10-24,1.41,1.46,1.48,1.29,34136,93820751.0,13.29,2.1,0.03,30.48
2011-10-25,1.43,1.5,1.61,1.42,62954,188829825.0,13.01,2.74,0.04,56.21
2011-10-26,1.45,1.45,1.5,1.43,46662,134557267.0,4.67,-3.33,-0.05,41.66
2011-10-27,1.53,1.61,1.61,1.5,47880,146818785.0,7.59,11.03,0.16,42.75
2011-10-28,1.68,1.75,1.77,1.64,66056,220659879.0,8.07,8.7,0.14,58.98
2011-10-31,1.73,1.79,1.81,1.71,43890,150125048.0,5.71,2.29,0.04,39.19
