日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-09-19,10.63,11.69,11.69,10.63,64,182136.0,13.57,49.68,3.88,0.03
2017-09-20,12.96,12.96,12.96,12.96,35,109970.0,0.0,10.86,1.27,0.02
2017-09-21,14.35,14.35,14.35,14.35,23,79488.0,0.0,10.73,1.39,0.01
2017-09-22,15.89,15.89,15.89,15.89,36,136872.0,0.0,10.73,1.54,0.02
2017-09-25,17.58,17.58,17.58,17.58,201,840582.0,0.0,10.64,1.69,0.1
2017-09-26,19.44,19.44,19.44,19.44,305,1402172.0,0.0,10.58,1.86,0.15
2017-09-27,21.48,21.48,21.48,21.48,671,3395260.0,0.0,10.49,2.04,0.34
2017-09-28,23.73,23.73,23.73,23.73,704,3920746.0,0.0,10.47,2.25,0.35
2017-09-29,26.21,22.51,26.21,22.12,93370,520878192.0,17.24,-5.14,-1.22,46.69
2017-10-09,22.47,20.79,23.19,20.66,63065,318968832.0,11.24,-7.64,-1.72,31.53
2017-10-10,20.39,20.95,21.25,20.32,43019,212036069.0,4.47,0.77,0.16,21.51
2017-10-11,20.78,20.2,21.16,19.93,46585,225008170.0,5.87,-3.58,-0.75,23.29
2017-10-12,20.04,19.38,20.04,19.09,31498,144689876.0,4.7,-4.06,-0.82,15.75
2017-10-13,19.26,19.44,19.91,19.24,24675,114172037.0,3.46,0.31,0.06,12.34
2017-10-16,18.91,18.93,19.15,18.15,36682,161677092.0,5.14,-2.62,-0.51,18.34
2017-10-17,18.57,19.67,20.17,18.56,43287,200291563.0,8.51,3.91,0.74,21.64
2017-10-18,19.22,18.72,19.64,18.71,31710,143840946.0,4.73,-4.83,-0.95,15.85
2017-10-19,18.78,18.92,19.42,18.55,22189,99888881.0,4.65,1.07,0.2,11.09
2017-10-20,18.75,18.69,18.76,18.34,19477,85715981.0,2.22,-1.22,-0.23,9.74
2017-10-23,18.71,18.87,18.92,18.55,15347,68172773.0,1.98,0.96,0.18,7.67
2017-10-24,18.82,18.04,18.82,17.88,20307,88178547.0,4.98,-4.4,-0.83,10.15
2017-10-25,18.04,18.2,18.31,17.99,11712,50495083.0,1.77,0.89,0.16,5.86
2017-10-26,18.08,18.05,18.24,17.87,16058,68944279.0,2.03,-0.82,-0.15,8.03
2017-10-27,18.1,17.93,18.23,17.92,10751,46138409.0,1.72,-0.66,-0.12,5.38
2017-10-30,17.83,16.68,17.83,16.55,20856,84336738.0,7.14,-6.97,-1.25,10.43
2017-10-31,16.68,16.88,16.95,16.68,9208,37032628.0,1.62,1.2,0.2,4.6
2017-11-01,16.98,17.19,17.52,16.88,13648,55883151.0,3.79,1.84,0.31,6.82
2017-11-02,17.21,17.33,17.43,16.87,16369,67164979.0,3.26,0.81,0.14,8.18
2017-11-03,17.28,17.02,17.39,16.99,9697,39615042.0,2.31,-1.79,-0.31,4.85
2017-11-06,17.22,17.41,17.42,17.08,11395,47035410.0,2.0,2.29,0.39,5.7
2017-11-07,17.35,17.37,17.47,17.17,11174,46106761.0,1.72,-0.23,-0.04,5.59
2017-11-08,17.42,17.98,18.3,17.39,28954,123531266.0,5.24,3.51,0.61,14.48
2017-11-09,17.67,17.89,17.97,17.66,14327,60636301.0,1.72,-0.5,-0.09,7.16
2017-11-10,17.99,18.13,18.75,17.99,23839,103838527.0,4.25,1.34,0.24,11.92
2017-11-13,18.02,18.27,18.39,17.84,16644,71461690.0,3.03,0.77,0.14,8.32
2017-11-14,18.27,17.54,18.32,17.39,16179,68618211.0,5.09,-4.0,-0.73,8.09
2017-11-15,17.4,16.99,17.57,16.98,12651,51671921.0,3.36,-3.14,-0.55,6.33
2017-11-16,16.99,16.72,17.2,16.72,8681,35147806.0,2.83,-1.59,-0.27,4.34
2017-11-17,16.72,15.49,16.78,15.39,15053,57642780.0,8.31,-7.36,-1.23,7.53
2017-11-20,15.49,15.59,15.64,14.95,10391,38182589.0,4.45,0.65,0.1,5.2
2017-11-21,15.52,15.23,15.68,15.02,8202,30195085.0,4.23,-2.31,-0.36,4.1
2017-11-22,15.23,15.31,15.6,15.19,6362,23472845.0,2.69,0.53,0.08,3.18
2017-11-23,15.31,14.82,15.47,14.78,6968,25379705.0,4.51,-3.2,-0.49,3.48
2017-11-24,14.68,14.65,14.9,14.59,5243,18568653.0,2.09,-1.15,-0.17,2.62
2017-11-27,14.64,14.06,14.67,14.06,6358,22034625.0,4.16,-4.03,-0.59,3.18
2017-11-28,14.08,14.43,14.5,14.07,6195,21410531.0,3.06,2.63,0.37,3.1
