日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-11-25,4.76,4.86,5.08,4.76,280208,692315552.0,6.74,2.32,0.11,74.65
2011-11-28,4.86,5.09,5.17,4.81,186385,467203008.0,7.41,4.73,0.23,49.66
2011-11-29,5.14,5.12,5.16,5.01,137445,352987984.0,2.95,0.59,0.03,36.62
2011-11-30,5.1,5.11,5.2,4.89,133634,342526976.0,6.05,-0.2,-0.01,35.6
2011-12-01,5.36,5.35,5.59,5.24,166150,454505440.0,6.85,4.7,0.24,44.27
2011-12-02,5.33,5.32,5.45,5.21,85439,229945162.0,4.49,-0.56,-0.03,22.76
2011-12-05,5.22,5.43,5.57,5.21,102661,281511744.0,6.77,2.07,0.11,27.35
2011-12-06,5.44,5.36,5.66,5.35,90014,249765034.0,5.71,-1.29,-0.07,23.98
2011-12-07,5.29,5.56,5.59,5.21,73533,202055851.0,7.09,3.73,0.2,19.59
2011-12-08,5.49,5.44,5.64,5.41,63492,176484076.0,4.14,-2.16,-0.12,16.92
2011-12-09,5.36,5.38,5.49,5.23,55554,150080638.0,4.78,-1.1,-0.06,14.8
2011-12-12,5.33,5.43,5.56,5.32,40011,110484475.0,4.46,0.93,0.05,10.66
2011-12-13,5.35,5.32,5.4,5.23,29291,78420487.0,3.13,-2.03,-0.11,7.8
2011-12-14,5.27,5.31,5.4,5.26,25689,69060647.0,2.63,-0.19,-0.01,6.84
2011-12-15,5.17,5.22,5.38,5.17,28434,75851052.0,3.95,-1.69,-0.09,7.58
2011-12-16,5.25,5.47,5.48,5.18,27749,74342332.0,5.75,4.79,0.25,7.39
2011-12-19,5.39,5.7,5.74,5.37,59040,166162621.0,6.76,4.2,0.23,15.73
2011-12-20,5.65,5.56,5.73,5.54,33903,96459448.0,3.33,-2.46,-0.14,9.03
2011-12-22,5.88,5.67,6.08,5.65,80559,236805116.0,7.73,1.98,0.11,21.46
2011-12-23,5.55,5.57,5.79,5.45,41782,117957353.0,6.0,-1.76,-0.1,11.13
2011-12-26,5.48,5.29,5.54,5.27,32208,87714666.0,4.85,-5.03,-0.28,8.58
2011-12-27,5.21,5.25,5.5,5.21,33041,89244552.0,5.48,-0.76,-0.04,8.8
2011-12-28,5.12,5.08,5.15,4.85,30215,75983633.0,5.71,-3.24,-0.17,8.05
2011-12-29,4.99,5.07,5.15,4.99,17525,44889397.0,3.15,-0.2,-0.01,4.67
2011-12-30,5.09,5.34,5.34,5.05,18828,48974969.0,5.72,5.33,0.27,5.02
2012-01-04,5.29,5.09,5.34,5.09,17324,45840646.0,4.68,-4.68,-0.25,4.62
2012-01-05,5.0,4.58,5.07,4.58,23827,57760173.0,9.63,-10.02,-0.51,6.35
2012-01-06,4.38,4.75,4.75,4.36,19085,43613715.0,8.52,3.71,0.17,5.09
2012-01-09,4.79,4.89,4.94,4.71,15500,37848807.0,4.84,2.95,0.14,4.13
2012-01-10,4.89,5.0,5.07,4.72,18501,46109143.0,7.16,2.25,0.11,4.93
2012-01-11,4.91,5.28,5.37,4.91,33761,88947870.0,9.2,5.6,0.28,9.0
2012-01-12,5.22,5.16,5.36,5.16,16126,42763622.0,3.79,-2.27,-0.12,4.3
