日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.28,6.43,6.5,6.15,51863,76958951.0,5.6,2.88,0.18,1.29
2010-01-05,6.39,6.67,6.68,6.39,63452,96606052.0,4.51,3.73,0.24,1.57
2010-01-06,6.63,6.7,6.85,6.58,56884,88557086.0,4.05,0.45,0.03,1.41
2010-01-07,6.66,6.53,6.84,6.49,115471,178844306.0,5.22,-2.54,-0.17,2.86
2010-01-08,6.51,6.42,6.63,6.2,63596,94280147.0,6.58,-1.68,-0.11,1.58
2010-01-11,6.45,6.45,6.59,6.32,73704,110708785.0,4.21,0.47,0.03,1.83
2010-01-12,6.46,6.85,6.87,6.46,92680,144111180.0,6.36,6.2,0.4,2.3
2010-01-13,6.7,7.01,7.04,6.64,121542,193579096.0,5.84,2.34,0.16,3.01
2010-01-14,7.03,7.09,7.2,6.86,106685,173077638.0,4.85,1.14,0.08,2.65
2010-01-15,7.05,6.98,7.08,6.86,61495,98356463.0,3.1,-1.55,-0.11,1.53
2010-01-18,6.99,6.92,7.0,6.8,46676,73787031.0,2.87,-0.86,-0.06,1.16
2010-01-19,6.92,6.86,7.05,6.8,51460,81837567.0,3.61,-0.87,-0.06,1.28
2010-01-20,6.9,6.75,7.02,6.67,60311,95235885.0,5.1,-1.6,-0.11,1.5
2010-01-21,6.7,6.66,6.79,6.49,39837,61273769.0,4.44,-1.33,-0.09,0.99
2010-01-22,6.59,6.36,6.59,6.24,45550,67874479.0,5.26,-4.5,-0.3,1.13
2010-01-25,6.26,6.28,6.43,6.13,29937,43725687.0,4.72,-1.26,-0.08,0.74
2010-01-26,6.25,5.79,6.33,5.75,38720,54123416.0,9.24,-7.8,-0.49,0.96
2010-01-27,5.8,5.76,5.94,5.73,15806,21695356.0,3.63,-0.52,-0.03,0.39
2010-01-28,5.76,5.74,5.87,5.7,26104,35593649.0,2.95,-0.35,-0.02,0.65
2010-01-29,5.74,5.86,5.93,5.74,28250,39037187.0,3.31,2.09,0.12,0.7
2010-02-01,5.78,5.55,5.91,5.45,23467,31298960.0,7.85,-5.29,-0.31,0.58
2010-02-02,5.54,5.44,5.65,5.3,59360,77143076.0,6.31,-1.98,-0.11,1.47
2010-02-03,5.43,5.55,5.6,5.26,55151,71147385.0,6.25,2.02,0.11,1.37
2010-02-04,5.55,5.62,5.75,5.45,38687,51698194.0,5.41,1.26,0.07,0.96
2010-02-05,5.45,5.39,5.5,5.3,32661,41964813.0,3.56,-4.09,-0.23,0.81
2010-02-08,5.35,5.4,5.44,5.33,16334,21051007.0,2.04,0.19,0.01,0.41
2010-02-09,5.45,5.26,5.48,5.24,25856,33029337.0,4.44,-2.59,-0.14,0.64
2010-02-10,5.33,5.43,5.43,5.3,28591,36631682.0,2.47,3.23,0.17,0.71
2010-02-11,5.44,5.5,5.51,5.4,23074,30090822.0,2.03,1.29,0.07,0.57
2010-02-12,5.52,5.56,5.57,5.46,16316,21444045.0,2.0,1.09,0.06,0.4
2010-02-22,5.55,5.46,5.55,5.36,21562,28097239.0,3.42,-1.8,-0.1,0.53
2010-02-23,5.47,5.43,5.47,5.3,22158,28403682.0,3.11,-0.55,-0.03,0.55
2010-02-24,5.4,5.62,5.7,5.35,41778,55439358.0,6.45,3.5,0.19,1.04
2010-02-25,5.62,5.66,5.7,5.59,45336,60705345.0,1.96,0.71,0.04,1.12
2010-02-26,5.67,5.8,5.91,5.62,57872,78677947.0,5.12,2.47,0.14,1.44
2010-03-01,5.85,5.8,5.85,5.69,39198,53368049.0,2.76,0.0,0.0,0.97
2010-03-02,5.85,5.84,5.97,5.74,52865,72713275.0,3.97,0.69,0.04,1.31
2010-03-03,5.79,5.88,5.92,5.75,40225,55376384.0,2.91,0.68,0.04,1.0
2010-03-04,5.88,5.56,5.95,5.55,54708,74232036.0,6.8,-5.44,-0.32,1.36
2010-03-05,5.56,5.43,5.65,5.41,53526,70367545.0,4.32,-2.34,-0.13,1.33
2010-03-08,5.43,5.44,5.5,5.42,32268,41925016.0,1.47,0.18,0.01,0.8
2010-03-09,5.45,5.54,5.57,5.45,30168,39647088.0,2.21,1.84,0.1,0.75
2010-03-10,5.54,5.41,5.6,5.33,26213,34197138.0,4.87,-2.35,-0.13,0.65
2010-03-11,5.41,5.32,5.45,5.25,30374,38644327.0,3.7,-1.66,-0.09,0.75
2010-03-12,5.32,5.29,5.37,5.28,13111,16689174.0,1.69,-0.56,-0.03,0.33
2010-03-15,5.29,5.09,5.31,5.04,37051,45721808.0,5.1,-3.78,-0.2,0.92
2010-03-16,5.09,5.14,5.15,5.06,11000,13554161.0,1.77,0.98,0.05,0.27
2010-03-17,5.15,5.32,5.33,5.15,27808,35211833.0,3.5,3.5,0.18,0.69
2010-03-18,5.33,5.36,5.48,5.31,30525,39253626.0,3.2,0.75,0.04,0.76
2010-03-19,5.39,5.37,5.43,5.28,19320,24679793.0,2.8,0.19,0.01,0.48
2010-03-22,5.38,5.44,5.45,5.31,36719,47338747.0,2.61,1.3,0.07,0.91
2010-03-23,5.48,5.35,5.48,5.34,25974,33423076.0,2.57,-1.65,-0.09,0.64
2010-03-24,5.34,5.32,5.41,5.32,17610,22558367.0,1.68,-0.56,-0.03,0.44
2010-03-25,5.32,5.18,5.36,5.16,25532,32026499.0,3.76,-2.63,-0.14,0.63
2010-03-26,5.18,5.26,5.36,5.15,20492,25882642.0,4.05,1.54,0.08,0.51
2010-03-29,5.36,5.39,5.41,5.26,29686,38094626.0,2.85,2.47,0.13,0.74
2010-03-30,5.4,5.43,5.43,5.33,29568,38098969.0,1.86,0.74,0.04,0.73
2010-03-31,5.48,5.3,5.48,5.22,51503,65465120.0,4.79,-2.39,-0.13,1.28
2010-04-01,5.31,5.41,5.42,5.28,53414,68608915.0,2.64,2.08,0.11,1.32
2010-04-02,5.41,5.57,5.68,5.41,108416,144191536.0,4.99,2.96,0.16,2.69
