日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.14,5.03,5.17,5.02,139021,81562847.0,2.92,-1.95,-0.1,0.52
2010-01-05,5.03,4.95,5.06,4.83,196657,112682670.0,4.57,-1.59,-0.08,0.74
2010-01-06,4.95,4.96,5.05,4.87,160591,92392643.0,3.64,0.2,0.01,0.6
2010-01-07,4.97,4.88,5.01,4.85,156770,89532769.0,3.23,-1.61,-0.08,0.59
2010-01-08,4.86,4.94,4.95,4.85,107354,61200899.0,2.05,1.23,0.06,0.4
2010-01-11,4.97,4.86,5.06,4.83,142569,81166441.0,4.66,-1.62,-0.08,0.54
2010-01-12,4.85,4.94,4.95,4.81,142666,81171066.0,2.88,1.65,0.08,0.54
2010-01-13,4.82,4.79,4.84,4.78,181146,101569079.0,1.21,-3.04,-0.15,0.68
2010-01-14,4.8,4.81,4.85,4.74,166709,93220005.0,2.3,0.42,0.02,0.63
2010-01-15,4.81,4.93,4.95,4.81,191046,109046895.0,2.91,2.49,0.12,0.72
2010-01-18,4.94,4.96,4.96,4.9,180549,103577959.0,1.22,0.61,0.03,0.68
2010-01-19,4.96,4.95,5.0,4.9,144792,83095578.0,2.02,-0.2,-0.01,0.54
2010-01-20,4.92,4.75,4.97,4.75,182318,102630642.0,4.44,-4.04,-0.2,0.69
2010-01-21,4.76,4.8,4.84,4.72,110301,61437284.0,2.53,1.05,0.05,0.41
2010-01-22,4.77,4.66,4.77,4.6,145069,79323911.0,3.54,-2.92,-0.14,0.55
2010-01-25,4.68,4.6,4.7,4.59,88863,48202245.0,2.36,-1.29,-0.06,0.33
2010-01-26,4.6,4.36,4.62,4.35,122002,63869484.0,5.87,-5.22,-0.24,0.46
2010-01-27,4.37,4.37,4.46,4.3,88095,45620562.0,3.67,0.23,0.01,0.33
2010-01-28,4.39,4.44,4.44,4.32,83389,43293706.0,2.75,1.6,0.07,0.31
2010-01-29,4.38,4.38,4.47,4.35,88854,46318297.0,2.7,-1.35,-0.06,0.33
2010-02-01,4.37,4.41,4.46,4.25,107598,55215225.0,4.79,0.68,0.03,0.4
2010-02-02,4.44,4.37,4.49,4.36,92853,48588045.0,2.95,-0.91,-0.04,0.35
2010-02-03,4.4,4.46,4.46,4.26,111113,57606798.0,4.58,2.06,0.09,0.42
2010-02-04,4.46,4.5,4.54,4.38,125077,66074661.0,3.59,0.9,0.04,0.47
2010-02-05,4.39,4.4,4.48,4.34,83534,43399001.0,3.11,-2.22,-0.1,0.31
2010-02-08,4.4,4.41,4.44,4.36,57027,29627446.0,1.82,0.23,0.01,0.21
2010-02-09,4.4,4.4,4.44,4.36,53293,27724636.0,1.81,-0.23,-0.01,0.2
2010-02-10,4.42,4.46,4.46,4.38,62137,32445264.0,1.82,1.36,0.06,0.23
2010-02-11,4.45,4.47,4.51,4.43,80082,42259650.0,1.79,0.22,0.01,0.3
2010-02-12,4.5,4.49,4.52,4.46,59026,31187237.0,1.34,0.45,0.02,0.22
2010-02-22,4.48,4.44,4.48,4.4,66628,34920761.0,1.78,-1.11,-0.05,0.25
2010-02-23,4.45,4.39,4.45,4.32,72974,37668660.0,2.93,-1.13,-0.05,0.27
2010-02-24,4.36,4.47,4.48,4.31,105123,54865428.0,3.87,1.82,0.08,0.4
2010-02-25,4.48,4.6,4.62,4.48,196456,105289220.0,3.13,2.91,0.13,0.74
2010-02-26,4.6,4.57,4.63,4.55,123082,66314597.0,1.74,-0.65,-0.03,0.46
2010-03-01,4.57,4.6,4.61,4.52,122152,65666880.0,1.97,0.66,0.03,0.46
2010-03-02,4.6,4.61,4.64,4.56,114707,61858126.0,1.74,0.22,0.01,0.43
2010-03-03,4.6,4.6,4.62,4.55,118882,63995114.0,1.52,-0.22,-0.01,0.45
2010-03-04,4.6,4.58,4.78,4.57,273799,149613813.0,4.57,-0.43,-0.02,1.03
2010-03-05,4.58,4.54,4.62,4.46,121056,64489380.0,3.49,-0.87,-0.04,0.46
2010-03-08,4.5,4.57,4.61,4.49,96771,51829486.0,2.64,0.66,0.03,0.36
2010-03-09,4.57,4.68,4.76,4.5,220772,120461485.0,5.69,2.41,0.11,0.83
2010-03-10,4.68,4.56,4.68,4.53,124301,67117877.0,3.21,-2.56,-0.12,0.47
2010-03-11,4.57,4.57,4.62,4.52,70616,37870930.0,2.19,0.22,0.01,0.27
2010-03-12,4.57,4.46,4.57,4.45,75190,39867268.0,2.63,-2.41,-0.11,0.28
2010-03-15,4.46,4.4,4.46,4.37,68023,35344050.0,2.02,-1.35,-0.06,0.26
2010-03-16,4.4,4.44,4.45,4.37,59981,31232892.0,1.82,0.91,0.04,0.23
2010-03-17,4.44,4.55,4.57,4.41,120012,63546229.0,3.6,2.48,0.11,0.45
2010-03-18,4.54,4.6,4.7,4.52,180514,97909648.0,3.96,1.1,0.05,0.68
