日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.89,5.72,5.91,5.7,21560,28593496.0,3.57,-2.72,-0.16,2.04
2010-01-05,5.7,5.57,5.71,5.42,25599,32636493.0,5.07,-2.62,-0.15,2.42
2010-01-06,5.52,5.62,5.68,5.48,19166,24633374.0,3.59,0.9,0.05,1.81
2010-01-07,5.57,5.63,5.74,5.52,21934,28443519.0,3.91,0.18,0.01,2.08
2010-01-08,5.66,5.85,5.87,5.59,21378,28228762.0,4.97,3.91,0.22,2.02
2010-01-11,5.82,5.79,5.85,5.73,13761,18251905.0,2.05,-1.03,-0.06,1.3
2010-01-12,5.75,5.81,5.86,5.75,17367,23154201.0,1.9,0.35,0.02,1.64
2010-01-13,5.72,5.66,5.72,5.51,21125,27417106.0,3.61,-2.58,-0.15,2.0
2010-01-14,5.64,5.69,5.72,5.6,13912,18104457.0,2.12,0.53,0.03,1.32
2010-01-15,5.69,5.86,5.86,5.66,27340,36329407.0,3.51,2.99,0.17,2.59
2010-01-18,5.84,5.91,5.94,5.79,25712,34646499.0,2.56,0.85,0.05,2.43
2010-01-19,5.91,5.85,5.98,5.8,22304,30119452.0,3.05,-1.02,-0.06,2.11
2010-01-20,5.84,5.55,5.84,5.52,19783,25872945.0,5.47,-5.13,-0.3,1.87
2010-01-21,5.55,6.09,6.11,5.51,34623,46168901.0,10.81,9.73,0.54,3.28
2010-01-22,5.98,6.06,6.29,5.88,77837,108642911.0,6.73,-0.49,-0.03,7.37
2010-01-25,5.91,5.7,5.98,5.69,17062,22727022.0,4.79,-5.94,-0.36,1.61
2010-01-26,5.7,5.24,5.74,5.16,26171,32862990.0,10.18,-8.07,-0.46,2.48
2010-01-27,5.23,5.29,5.45,5.23,15746,19385319.0,4.2,0.95,0.05,1.49
2010-01-28,5.29,5.32,5.35,5.24,6543,8010233.0,2.08,0.57,0.03,0.62
2010-01-29,5.32,5.38,5.45,5.24,9376,11609099.0,3.95,1.13,0.06,0.89
2010-02-01,5.41,5.35,5.41,5.11,10279,12450738.0,5.58,-0.56,-0.03,0.97
2010-02-02,5.34,5.23,5.43,5.19,9277,11323648.0,4.49,-2.24,-0.12,0.88
2010-02-03,5.19,5.3,5.3,4.99,11255,13454108.0,5.93,1.34,0.07,1.07
2010-02-04,5.2,5.29,5.36,5.2,8125,9948761.0,3.02,-0.19,-0.01,0.77
2010-02-05,5.16,5.1,5.29,5.06,10743,12825518.0,4.35,-3.59,-0.19,1.02
2010-02-08,5.18,5.16,5.18,5.1,3731,4445165.0,1.57,1.18,0.06,0.35
2010-02-09,5.16,5.09,5.19,5.05,4995,5921486.0,2.71,-1.36,-0.07,0.47
2010-02-10,5.18,5.27,5.33,5.18,15374,18674962.0,2.95,3.54,0.18,1.45
2010-02-11,5.26,5.17,5.28,5.17,6774,8162793.0,2.09,-1.9,-0.1,0.64
2010-02-12,5.19,5.26,5.33,5.18,6787,8212103.0,2.9,1.74,0.09,0.64
2010-02-22,5.21,5.3,5.3,5.19,15416,18725007.0,2.09,0.76,0.04,1.46
2010-02-23,5.23,5.25,5.29,5.16,11974,14462901.0,2.45,-0.94,-0.05,1.13
2010-02-24,5.23,5.37,5.39,5.19,22102,27173489.0,3.81,2.29,0.12,2.09
2010-02-25,5.34,5.51,5.55,5.32,24569,30808741.0,4.28,2.61,0.14,2.33
2010-02-26,5.45,5.44,5.51,5.41,19878,24995311.0,1.81,-1.27,-0.07,1.88
2010-03-01,5.44,5.5,5.51,5.38,20433,25616597.0,2.39,1.1,0.06,1.93
2010-03-02,5.98,5.98,6.09,5.96,141087,195378942.0,2.36,8.73,0.48,13.35
2010-03-03,5.66,5.76,5.8,5.6,76023,99696973.0,3.34,-3.68,-0.22,7.19
2010-03-04,5.7,5.47,5.73,5.45,38987,50127287.0,4.86,-5.03,-0.29,3.69
2010-03-05,5.49,5.55,5.64,5.4,21180,26882166.0,4.39,1.46,0.08,2.0
2010-03-08,5.56,5.63,5.65,5.51,19989,25732924.0,2.52,1.44,0.08,1.89
2010-03-09,5.59,5.75,5.86,5.49,39852,52358420.0,6.57,2.13,0.12,3.77
2010-03-10,5.71,5.62,5.76,5.56,15546,20177930.0,3.48,-2.26,-0.13,1.47
2010-03-11,5.61,5.53,5.68,5.47,11144,14255824.0,3.74,-1.6,-0.09,1.05
2010-03-12,5.55,5.41,5.6,5.4,13427,16884839.0,3.62,-2.17,-0.12,1.27
2010-03-15,5.41,5.4,5.46,5.24,11701,14403371.0,4.07,-0.18,-0.01,1.11
2010-03-16,5.34,5.36,5.39,5.31,8260,10187646.0,1.48,-0.74,-0.04,0.78
2010-03-17,5.38,5.53,5.53,5.36,13151,16564736.0,3.17,3.17,0.17,1.24
2010-03-18,5.53,5.67,5.72,5.47,23941,31039169.0,4.52,2.53,0.14,2.27
2010-03-22,5.75,5.61,5.82,5.61,20832,27248537.0,3.7,-1.06,-0.06,1.97
2010-03-23,5.65,5.68,5.73,5.58,13245,17228031.0,2.67,1.25,0.07,1.25
2010-03-24,5.7,5.7,5.73,5.64,13607,17759257.0,1.58,0.35,0.02,1.29
2010-03-25,5.7,5.55,5.74,5.54,21641,28119877.0,3.51,-2.63,-0.15,2.05
2010-03-26,5.55,5.7,5.79,5.47,31772,41339046.0,5.77,2.7,0.15,3.01
2010-03-29,5.7,5.83,5.85,5.63,54281,72144286.0,3.86,2.28,0.13,5.14
2010-03-30,5.81,5.77,5.84,5.71,22786,30238908.0,2.23,-1.03,-0.06,2.16
2010-03-31,5.79,5.67,5.86,5.66,27780,36756606.0,3.47,-1.73,-0.1,2.63
2010-04-01,5.72,5.9,5.92,5.68,46061,61731977.0,4.23,4.06,0.23,4.36
2010-04-02,5.91,5.98,6.11,5.84,59286,81094440.0,4.58,1.36,0.08,5.61
