日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.45,5.19,5.46,5.18,347420,583399616.0,5.15,-4.6,-0.25,2.7
2010-01-05,5.15,4.88,5.18,4.83,556223,887385280.0,6.74,-5.97,-0.31,4.32
2010-01-06,4.88,4.95,5.09,4.81,389389,623718656.0,5.74,1.43,0.07,3.02
2010-01-07,4.98,4.84,5.0,4.81,300936,478465792.0,3.84,-2.22,-0.11,2.33
2010-01-08,4.85,4.92,4.97,4.81,272152,432263776.0,3.31,1.65,0.08,2.11
2010-01-11,4.94,4.67,4.97,4.62,463967,717607808.0,7.11,-5.08,-0.25,3.6
2010-01-12,4.68,4.74,4.76,4.38,670752,1011421760.0,8.14,1.5,0.07,5.2
2010-01-13,4.51,4.52,4.61,4.43,398104,598587136.0,3.8,-4.64,-0.22,3.09
2010-01-14,4.53,4.7,4.75,4.51,333768,510905856.0,5.31,3.98,0.18,2.59
2010-01-15,4.72,4.82,4.92,4.67,418830,659345152.0,5.32,2.55,0.12,3.25
2010-01-18,4.85,4.82,4.86,4.72,244739,382898976.0,2.9,0.0,0.0,1.9
2010-01-19,4.83,4.88,4.93,4.79,285818,451499552.0,2.9,1.24,0.06,2.22
2010-01-20,4.9,4.58,4.9,4.58,334715,518594432.0,6.56,-6.15,-0.3,2.6
2010-01-22,4.51,4.38,4.63,4.34,270510,402551392.0,6.33,-4.37,-0.2,2.1
2010-01-25,4.37,4.43,4.53,4.21,294518,429962048.0,7.31,1.14,0.05,2.29
2010-01-26,4.51,4.34,4.58,4.33,330733,492601024.0,5.64,-2.03,-0.09,2.57
2010-01-27,4.34,4.58,4.79,4.21,417579,627951424.0,13.36,5.53,0.24,3.24
2010-01-28,4.55,4.75,4.81,4.48,389545,599713024.0,7.21,3.71,0.17,3.02
2010-01-29,4.67,4.64,4.85,4.63,323358,501983488.0,4.63,-2.32,-0.11,2.51
2010-02-01,4.64,4.85,4.93,4.43,486508,754342272.0,10.78,4.53,0.21,3.77
2010-02-02,4.85,4.73,4.99,4.72,372389,590722176.0,5.57,-2.47,-0.12,2.89
