日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.25,6.35,6.54,6.23,41336,58859779.0,4.98,2.09,0.13,4.78
2010-01-05,6.37,6.56,6.7,6.31,49604,71603558.0,6.14,3.31,0.21,5.74
2010-01-06,6.56,6.44,6.68,6.42,33000,47714010.0,3.96,-1.83,-0.12,3.82
2010-01-07,6.4,6.46,6.59,6.36,23085,33115652.0,3.57,0.31,0.02,2.67
2010-01-08,6.44,6.38,6.44,6.27,24717,34751198.0,2.63,-1.24,-0.08,2.86
2010-01-11,6.5,6.39,6.59,6.33,24693,35213193.0,4.08,0.16,0.01,2.86
2010-01-12,6.4,6.42,6.46,6.21,24360,34172453.0,3.91,0.47,0.03,2.82
2010-01-13,6.31,6.27,6.42,6.25,19853,27815790.0,2.65,-2.34,-0.15,2.3
2010-01-14,6.26,6.51,6.55,6.26,25955,37019002.0,4.63,3.83,0.24,3.0
2010-01-15,6.55,6.79,6.91,6.51,39069,58136626.0,6.14,4.3,0.28,4.52
2010-01-18,6.78,6.85,6.89,6.68,31864,47750019.0,3.09,0.88,0.06,3.69
2010-01-19,6.78,6.82,6.88,6.62,26349,39189900.0,3.8,-0.44,-0.03,3.05
2010-01-20,6.83,6.6,6.97,6.56,30201,45215655.0,6.01,-3.23,-0.22,3.49
2010-01-21,6.65,6.71,6.85,6.58,23911,35415384.0,4.09,1.67,0.11,2.77
2010-01-22,6.61,6.64,6.72,6.46,25054,36516474.0,3.87,-1.04,-0.07,2.9
2010-01-25,6.58,6.98,7.11,6.56,41911,63697591.0,8.28,5.12,0.34,4.85
2010-01-26,6.98,6.32,7.08,6.31,34502,50572426.0,11.03,-9.46,-0.66,3.99
2010-01-27,6.33,6.31,6.45,6.23,16681,23393421.0,3.48,-0.16,-0.01,1.93
2010-01-28,6.23,6.49,6.5,6.22,13134,18590440.0,4.44,2.85,0.18,1.52
2010-01-29,6.22,6.27,6.44,6.0,31689,43930374.0,6.78,-3.39,-0.22,3.67
2010-02-01,6.25,6.09,6.26,5.89,15992,21505878.0,5.9,-2.87,-0.18,1.85
2010-02-02,6.08,6.11,6.15,6.05,11448,15479351.0,1.64,0.33,0.02,1.32
2010-02-03,6.14,6.4,6.46,6.07,22728,31721089.0,6.38,4.75,0.29,2.63
2010-02-04,6.4,6.31,6.51,6.12,15572,21946202.0,6.09,-1.41,-0.09,1.8
2010-02-05,6.13,6.17,6.3,6.08,14982,20545972.0,3.49,-2.22,-0.14,1.73
2010-02-08,6.07,6.22,6.3,6.07,5622,7762502.0,3.73,0.81,0.05,0.65
2010-02-09,6.23,6.2,6.27,6.17,4520,6232262.0,1.61,-0.32,-0.02,0.52
2010-02-10,6.22,6.26,6.34,6.18,6556,9093360.0,2.58,0.97,0.06,0.76
2010-02-11,6.31,6.21,6.35,6.21,5058,7010906.0,2.24,-0.8,-0.05,0.59
2010-02-12,6.17,6.29,6.33,6.17,5698,7914040.0,2.58,1.29,0.08,0.66
2010-02-22,6.29,6.23,6.29,6.18,9423,13006702.0,1.75,-0.95,-0.06,1.09
2010-02-23,6.2,6.36,6.36,6.18,13187,18316941.0,2.89,2.09,0.13,1.53
2010-02-24,6.36,6.48,6.5,6.29,17146,24351609.0,3.3,1.89,0.12,1.98
2010-02-25,6.43,6.48,6.52,6.43,16076,23015610.0,1.39,0.0,0.0,1.86
2010-02-26,6.45,6.45,6.62,6.41,16233,23339327.0,3.24,-0.46,-0.03,1.88
2010-03-01,6.38,6.51,6.53,6.35,22105,31682367.0,2.79,0.93,0.06,2.56
2010-03-02,6.53,6.7,6.74,6.51,31503,46195693.0,3.53,2.92,0.19,3.65
2010-03-03,6.65,6.78,6.87,6.56,31126,46381272.0,4.63,1.19,0.08,3.6
2010-03-04,6.85,6.46,6.85,6.41,23699,34734963.0,6.49,-4.72,-0.32,2.74
2010-03-05,6.44,6.65,6.79,6.44,21246,31121700.0,5.42,2.94,0.19,2.46
2010-03-08,6.68,6.67,6.8,6.62,19636,29193726.0,2.71,0.3,0.02,2.27
2010-03-09,6.69,6.56,6.8,6.53,19503,28635360.0,4.05,-1.65,-0.11,2.26
2010-03-10,6.6,6.37,6.6,6.26,18370,26149752.0,5.18,-2.9,-0.19,2.13
2010-03-11,6.45,6.7,6.77,6.31,19174,27496145.0,7.22,5.18,0.33,2.22
2010-03-12,7.25,6.48,7.25,6.47,54535,82311227.0,11.64,-3.28,-0.22,6.31
2010-03-16,6.26,6.31,6.41,6.2,16420,22864850.0,3.24,-2.62,-0.17,1.9
2010-03-17,6.25,6.32,6.42,6.25,25081,35187955.0,2.69,0.16,0.01,2.9
2010-03-18,6.32,6.46,6.56,6.25,36815,52204945.0,4.91,2.22,0.14,4.26
2010-03-19,6.41,6.49,6.5,6.34,32680,46362147.0,2.48,0.46,0.03,3.78
2010-03-22,6.7,6.63,6.79,6.51,53533,78484468.0,4.31,2.16,0.14,6.19
2010-03-23,6.68,6.51,6.68,6.48,25685,37166087.0,3.02,-1.81,-0.12,2.97
2010-03-24,6.51,6.55,6.62,6.46,20586,29750012.0,2.46,0.61,0.04,2.38
2010-03-25,6.51,6.47,6.6,6.44,14755,21262010.0,2.44,-1.22,-0.08,1.71
2010-03-26,6.45,6.59,6.63,6.42,20429,29535533.0,3.25,1.85,0.12,2.36
2010-03-29,6.56,6.6,6.68,6.56,21787,31851290.0,1.82,0.15,0.01,2.52
2010-03-30,6.57,6.55,6.63,6.5,20403,29545606.0,1.97,-0.76,-0.05,2.36
2010-03-31,6.55,6.52,6.58,6.47,19694,28371887.0,1.68,-0.46,-0.03,2.28
2010-04-01,6.55,6.7,6.75,6.55,33410,49266860.0,3.07,2.76,0.18,3.87
2010-04-02,6.7,6.77,6.86,6.62,33413,49807293.0,3.58,1.04,0.07,3.87
2010-04-06,6.76,6.81,6.92,6.73,24309,36635666.0,2.81,0.59,0.04,2.81
2010-04-07,6.76,6.91,7.04,6.76,45125,69093782.0,4.11,1.47,0.1,5.22
2010-04-08,6.92,7.14,7.15,6.86,41064,63732103.0,4.2,3.33,0.23,4.75
2010-04-09,7.12,7.24,7.26,6.97,45705,71247701.0,4.06,1.4,0.1,5.29
2010-04-12,7.18,7.2,7.31,7.13,35577,56405433.0,2.49,-0.55,-0.04,4.12
2010-04-13,7.18,6.94,7.22,6.75,33443,51464431.0,6.53,-3.61,-0.26,3.87
2010-04-14,6.92,7.01,7.09,6.9,17575,27147474.0,2.74,1.01,0.07,2.03
2010-04-15,7.01,6.84,7.01,6.78,24184,36693450.0,3.28,-2.43,-0.17,2.8
2010-04-16,6.87,6.93,7.05,6.78,15966,24391844.0,3.95,1.32,0.09,1.85
2010-04-19,6.93,6.89,7.07,6.87,34716,53170631.0,2.89,-0.58,-0.04,4.02
2010-04-20,6.79,6.99,6.99,6.66,25487,38347038.0,4.79,1.45,0.1,2.95
2010-04-21,7.0,7.2,7.25,6.94,33941,53284276.0,4.43,3.0,0.21,3.93
2010-04-22,7.17,7.22,7.45,7.09,39264,62842105.0,5.0,0.28,0.02,4.54
2010-04-23,7.2,7.07,7.35,6.99,21796,34376579.0,4.99,-2.08,-0.15,2.52
2010-04-26,7.14,7.0,7.25,6.97,22260,34772005.0,3.96,-0.99,-0.07,2.58
2010-04-27,6.99,6.59,6.99,6.57,23347,34660028.0,6.0,-5.86,-0.41,2.7
2010-04-28,6.55,6.86,6.92,6.5,22715,33918550.0,6.37,4.1,0.27,2.63
2010-04-29,6.86,6.64,6.98,6.61,12549,18751548.0,5.39,-3.21,-0.22,1.45
2010-04-30,6.64,6.27,6.65,6.19,15670,22013821.0,6.93,-5.57,-0.37,1.81
2010-05-04,6.27,6.4,6.56,6.11,15609,22308757.0,7.18,2.07,0.13,1.81
2010-05-05,6.32,6.59,6.6,6.29,8267,11851675.0,4.84,2.97,0.19,0.96
2010-05-11,7.23,6.24,7.23,6.0,35230,52328512.0,18.66,-5.31,-0.35,4.08
2010-05-12,5.88,5.57,5.88,5.57,41314,51999982.0,4.97,-10.74,-0.67,4.78
2010-05-13,5.38,5.64,5.66,5.35,13677,16870650.0,5.57,1.26,0.07,1.58
2010-05-14,5.63,5.69,5.83,5.51,9839,12488962.0,5.67,0.89,0.05,1.14
2010-05-17,5.59,5.37,5.69,5.36,13250,16306226.0,5.8,-5.62,-0.32,1.53
2010-05-18,5.37,5.22,5.41,5.02,18430,21539170.0,7.26,-2.79,-0.15,2.13
2010-05-19,5.16,5.33,5.42,5.14,8767,10421047.0,5.36,2.11,0.11,1.01
2010-05-20,5.26,5.26,5.4,5.2,4931,5872749.0,3.75,-1.31,-0.07,0.57
2010-05-21,5.1,5.46,5.48,5.06,11110,13266130.0,7.98,3.8,0.2,1.29
2010-05-24,5.45,5.67,5.68,5.45,15847,19823815.0,4.21,3.85,0.21,1.83
2010-05-25,5.63,5.71,5.8,5.55,16592,21043278.0,4.41,0.71,0.04,1.92
2010-05-26,5.68,5.97,5.98,5.64,27194,35568996.0,5.95,4.55,0.26,3.15
2010-05-27,5.98,6.19,6.22,5.85,24266,32642094.0,6.2,3.69,0.22,2.81
2010-05-28,6.15,6.19,6.25,6.04,14503,19762264.0,3.39,0.0,0.0,1.68
2010-05-31,6.13,5.84,6.15,5.84,11877,15863726.0,5.01,-5.65,-0.35,1.37
2010-06-01,5.77,6.0,6.17,5.64,11083,14489161.0,9.08,2.74,0.16,1.28
2010-06-02,5.96,6.12,6.17,5.93,5984,8023308.0,4.0,2.0,0.12,0.69
2010-06-03,6.13,6.12,6.16,6.08,7033,9562699.0,1.31,0.0,0.0,0.81
2010-06-04,6.03,6.06,6.12,5.93,9746,13010081.0,3.1,-0.98,-0.06,1.13
2010-06-07,5.93,5.93,6.03,5.84,5219,6885280.0,3.14,-2.15,-0.13,0.6
2010-06-08,5.93,5.98,6.04,5.93,4210,5604496.0,1.85,0.84,0.05,0.49
2010-06-09,6.05,5.99,6.05,5.84,11533,15320597.0,3.51,0.17,0.01,1.33
2010-06-10,6.03,5.92,6.07,5.88,6861,9145929.0,3.17,-1.17,-0.07,0.79
2010-06-11,5.97,6.23,6.28,5.93,15976,21812665.0,5.91,5.24,0.31,1.85
2010-06-17,6.25,6.25,6.46,6.17,19023,26750216.0,4.65,0.32,0.02,2.2
2010-06-18,6.22,5.73,6.32,5.67,13571,17914697.0,10.4,-8.32,-0.52,1.57
2010-06-21,5.82,6.05,6.1,5.69,10596,14034574.0,7.16,5.58,0.32,1.23
2010-06-22,6.02,6.04,6.18,5.86,22752,30472532.0,5.29,-0.17,-0.01,2.63
2010-06-23,5.98,5.86,6.03,5.76,8301,10851239.0,4.47,-2.98,-0.18,0.96
2010-06-24,5.79,5.89,5.91,5.79,3593,4686658.0,2.05,0.51,0.03,0.42
2010-06-25,5.84,5.94,5.96,5.75,6179,8079275.0,3.57,0.85,0.05,0.72
2010-06-28,5.74,5.84,5.92,5.74,4524,5888293.0,3.03,-1.68,-0.1,0.52
2010-06-29,5.75,5.64,5.97,5.53,8746,11061731.0,7.53,-3.42,-0.2,1.01
2010-07-01,5.55,5.37,5.59,5.24,6334,7674998.0,6.21,-4.79,-0.27,0.73
2010-07-02,5.34,5.27,5.34,5.04,9002,10468987.0,5.59,-1.86,-0.1,1.04
2010-07-05,5.27,5.3,5.37,5.07,4445,5179497.0,5.69,0.57,0.03,0.51
2010-07-06,5.24,5.4,5.44,5.23,3788,4558983.0,3.96,1.89,0.1,0.44
2010-07-07,5.48,5.41,5.48,5.33,2767,3335413.0,2.78,0.19,0.01,0.32
2010-07-08,5.49,5.36,5.49,5.32,2707,3256995.0,3.14,-0.92,-0.05,0.31
2010-07-09,5.35,5.52,5.55,5.34,4521,5527064.0,3.92,2.99,0.16,0.52
2010-07-12,5.52,5.56,5.57,5.47,4009,4960473.0,1.81,0.72,0.04,0.46
2010-07-13,5.5,6.15,6.15,5.42,29186,38972023.0,13.13,10.61,0.59,3.38
2010-07-14,6.45,6.51,6.81,6.35,150942,223906321.0,7.48,5.85,0.36,17.47
2010-07-15,6.32,6.19,6.46,6.07,83838,115911673.0,5.99,-4.92,-0.32,9.7
2010-07-16,6.25,6.1,6.26,5.94,30627,41257786.0,5.17,-1.45,-0.09,3.54
2010-07-19,6.02,6.2,6.3,5.99,47180,64953885.0,5.08,1.64,0.1,5.46
2010-07-20,6.22,6.54,6.61,6.18,70958,99965513.0,6.94,5.48,0.34,8.21
2010-07-21,6.51,6.64,6.79,6.37,57558,83777983.0,6.42,1.53,0.1,6.66
2010-07-22,6.58,6.64,6.68,6.49,19984,29051668.0,2.86,0.0,0.0,2.31
2010-07-23,6.68,6.56,6.69,6.39,35098,50550397.0,4.52,-1.2,-0.08,4.06
2010-07-26,6.51,6.73,6.77,6.47,37646,55351117.0,4.57,2.59,0.17,4.36
2010-07-27,6.68,6.93,6.99,6.61,37920,56721964.0,5.65,2.97,0.2,4.39
2010-07-28,6.7,6.98,7.07,6.7,33048,50791039.0,5.34,0.72,0.05,3.82
2010-07-29,6.88,6.89,7.02,6.76,25983,39611942.0,3.72,-1.29,-0.09,3.01
2010-07-30,6.89,6.79,6.96,6.73,20489,30817221.0,3.34,-1.45,-0.1,2.37
2010-08-02,6.79,6.8,6.87,6.56,23829,35680761.0,4.57,0.15,0.01,2.76
2010-08-03,6.74,6.66,6.84,6.63,18831,28114016.0,3.09,-2.06,-0.14,2.18
2010-08-04,6.63,6.61,6.69,6.5,21691,31493878.0,2.85,-0.75,-0.05,2.51
2010-08-05,6.62,6.66,6.87,6.59,17278,25617110.0,4.24,0.76,0.05,2.0
2010-08-06,6.71,6.77,6.78,6.65,16559,24556255.0,1.95,1.65,0.11,1.92
2010-08-09,6.72,6.81,6.94,6.72,27875,42005323.0,3.25,0.59,0.04,3.23
2010-08-10,6.8,6.47,6.86,6.46,16782,24694916.0,5.87,-4.99,-0.34,1.94
2010-08-11,6.44,6.55,6.58,6.34,10453,15003585.0,3.71,1.24,0.08,1.21
2010-08-12,6.55,7.25,7.25,6.55,112790,178278605.0,10.69,10.69,0.7,13.05
2010-08-13,7.09,7.06,7.19,6.8,69859,107752043.0,5.38,-2.62,-0.19,8.08
2010-08-16,7.03,7.12,7.2,6.89,40568,62863348.0,4.39,0.85,0.06,4.69
2010-08-17,7.13,7.2,7.21,7.04,32087,50351086.0,2.39,1.12,0.08,3.71
2010-08-18,7.17,7.08,7.17,6.93,23942,37270701.0,3.33,-1.67,-0.12,2.77
2010-08-19,7.09,7.1,7.44,7.0,38780,62027233.0,6.21,0.28,0.02,4.49
2010-08-20,7.04,6.83,7.2,6.83,31302,47942568.0,5.21,-3.8,-0.27,3.62
2010-08-23,6.8,6.98,6.99,6.79,16032,24366069.0,2.93,2.2,0.15,1.86
2010-08-24,6.93,7.03,7.08,6.87,15857,24452875.0,3.01,0.72,0.05,1.83
2010-08-25,6.93,6.74,7.03,6.65,17961,27075009.0,5.41,-4.13,-0.29,2.08
2010-08-26,6.75,6.63,6.84,6.61,15301,22618595.0,3.41,-1.63,-0.11,1.77
2010-08-27,6.6,6.79,6.82,6.59,10652,15878344.0,3.47,2.41,0.16,1.23
2010-08-30,6.8,6.94,6.98,6.8,24746,37560005.0,2.65,2.21,0.15,2.86
2010-08-31,6.94,6.91,7.02,6.83,23098,35073114.0,2.74,-0.43,-0.03,2.67
2010-09-01,6.92,7.07,7.13,6.84,24655,37969916.0,4.2,2.32,0.16,2.85
2010-09-02,7.18,7.13,7.21,7.0,24175,37858281.0,2.97,0.85,0.06,2.8
2010-09-03,7.11,7.22,7.23,6.9,30552,47686085.0,4.63,1.26,0.09,3.54
2010-09-06,7.23,7.25,7.36,7.13,27637,44063674.0,3.19,0.42,0.03,3.2
2010-09-07,7.16,7.1,7.26,7.02,18561,28933148.0,3.31,-2.07,-0.15,2.15
2010-09-08,7.08,7.13,7.19,7.04,19118,29925247.0,2.11,0.42,0.03,2.21
2010-09-09,7.09,6.8,7.2,6.79,28811,43877255.0,5.75,-4.63,-0.33,3.33
2010-09-10,6.79,6.93,6.97,6.75,16285,24655122.0,3.24,1.91,0.13,1.88
2010-09-13,6.95,7.1,7.12,6.84,27190,41791380.0,4.04,2.45,0.17,3.15
2010-09-14,7.11,7.27,7.38,7.04,46907,74596038.0,4.79,2.39,0.17,5.43
