日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-16,11.4,11.4,11.4,11.4,182,609518.0,0.0,48.63,3.73,0.11
2017-01-17,12.62,12.62,12.62,12.62,30,110520.0,0.0,10.7,1.22,0.02
2017-01-18,13.96,13.96,13.96,13.96,166,672632.0,0.0,10.62,1.34,0.1
2017-01-19,15.44,15.44,15.44,15.44,225,1002825.0,0.0,10.6,1.48,0.13
2017-01-20,17.06,17.06,17.06,17.06,819,4016243.0,0.0,10.49,1.62,0.49
2017-01-23,18.85,18.85,18.85,18.85,886,4778198.0,0.0,10.49,1.79,0.53
2017-01-24,20.81,20.16,20.81,19.73,93393,540649008.0,5.73,6.95,1.31,55.92
2017-01-25,19.6,20.42,21.09,19.27,76940,441919920.0,9.03,1.29,0.26,46.07
2017-01-26,20.33,21.41,22.1,20.03,64151,381743776.0,10.14,4.85,0.99,38.41
2017-02-03,21.26,20.72,21.35,20.56,33397,198519815.0,3.69,-3.22,-0.69,20.0
2017-02-06,20.99,21.75,21.85,20.73,45374,274714384.0,5.41,4.97,1.03,27.17
2017-02-07,21.6,21.22,21.6,20.97,37131,224804055.0,2.9,-2.44,-0.53,22.23
2017-02-08,21.05,21.55,21.79,20.81,41538,252736490.0,4.62,1.56,0.33,24.87
2017-02-09,21.49,21.38,22.49,21.35,45376,281598288.0,5.29,-0.79,-0.17,27.17
2017-02-10,21.35,21.56,21.59,21.17,32899,199563187.0,1.96,0.84,0.18,19.7
2017-02-13,21.4,23.8,23.8,21.35,43262,279986160.0,11.36,10.39,2.24,25.91
2017-02-14,23.82,24.04,24.27,23.17,40938,274915088.0,4.62,1.01,0.24,24.51
2017-02-15,23.61,24.2,25.39,23.5,56076,388226800.0,7.86,0.67,0.16,33.58
2017-02-16,23.88,23.54,23.88,22.88,27450,183161450.0,4.13,-2.73,-0.66,16.44
2017-02-17,23.43,22.41,23.75,22.08,29039,187456181.0,7.09,-4.8,-1.13,17.39
2017-02-20,22.4,22.09,22.4,21.27,20168,124810599.0,5.04,-1.43,-0.32,12.08
2017-02-21,22.07,22.38,22.62,21.86,18617,117752057.0,3.44,1.31,0.29,11.15
2017-02-22,22.41,22.24,22.41,21.83,16211,102163865.0,2.59,-0.63,-0.14,9.71
2017-02-23,22.22,22.53,22.92,22.19,25616,164419310.0,3.28,1.3,0.29,15.34
2017-02-24,22.56,22.82,23.06,22.56,23829,154890904.0,2.22,1.29,0.29,14.27
2017-02-27,22.79,22.77,22.98,22.51,17538,113384709.0,2.06,-0.22,-0.05,10.5
2017-02-28,22.77,23.12,23.24,22.34,23841,154806102.0,3.95,1.54,0.35,14.28
2017-03-01,23.06,22.95,23.42,22.88,18875,123736998.0,2.34,-0.74,-0.17,11.3
2017-03-02,22.88,23.04,23.34,22.76,21953,144180438.0,2.53,0.39,0.09,13.15
2017-03-03,22.88,23.01,23.09,22.59,18022,116672543.0,2.17,-0.13,-0.03,10.79
2017-03-06,23.03,23.6,23.71,23.03,26590,176668920.0,2.96,2.56,0.59,15.92
2017-03-07,23.61,23.84,23.92,23.47,21436,144153954.0,1.91,1.02,0.24,12.84
2017-03-08,23.9,23.96,24.16,23.62,18153,122794613.0,2.27,0.5,0.12,10.87
2017-03-09,23.84,23.26,23.89,22.95,24139,159553674.0,3.92,-2.92,-0.7,14.45
2017-03-10,23.23,23.24,23.36,23.09,13224,87230733.0,1.16,-0.09,-0.02,7.92
2017-03-13,22.99,23.49,23.54,22.54,21232,139872176.0,4.3,1.08,0.25,12.71
2017-03-14,23.45,23.4,23.86,23.36,25710,172501043.0,2.13,-0.38,-0.09,15.4
2017-03-15,23.38,23.84,23.96,23.14,23931,160397421.0,3.5,1.88,0.44,14.33
2017-03-16,23.79,24.49,24.75,23.76,32121,222414230.0,4.15,2.73,0.65,19.23
2017-03-17,24.56,23.64,24.7,23.61,30860,211911988.0,4.45,-3.47,-0.85,18.48
2017-03-20,23.64,24.24,24.26,23.49,21332,144574329.0,3.26,2.54,0.6,12.77
2017-03-21,24.22,24.89,25.24,24.16,30811,216298226.0,4.46,2.68,0.65,18.45
2017-03-22,24.59,25.04,25.25,24.41,26561,186532839.0,3.37,0.6,0.15,15.9
2017-03-23,25.27,24.49,25.38,23.59,31243,218527827.0,7.15,-2.2,-0.55,18.71
2017-03-24,24.46,24.9,24.95,24.25,20509,143637645.0,2.86,1.67,0.41,12.28
2017-03-27,24.88,25.1,25.25,24.52,21029,148635899.0,2.93,0.8,0.2,12.59
2017-03-28,25.11,24.7,25.61,24.67,25749,183808659.0,3.75,-1.59,-0.4,15.42
2017-03-29,24.5,23.05,24.67,23.0,27805,187287370.0,6.76,-6.68,-1.65,16.65
2017-03-30,22.83,21.99,22.85,21.86,22797,144176913.0,4.3,-4.6,-1.06,13.65
2017-03-31,22.01,21.81,22.32,21.44,13586,84801274.0,4.0,-0.82,-0.18,8.14
