日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-06-02,15.93,15.93,15.93,15.93,192,311183.0,0.0,45.08,4.95,0.06
2017-06-05,17.55,17.55,17.55,17.55,50,89721.0,0.0,10.17,1.62,0.01
2017-06-06,19.33,19.33,19.33,19.33,43,84852.0,0.0,10.14,1.78,0.01
2017-06-07,21.29,21.29,21.29,21.29,72,154549.0,0.0,10.14,1.96,0.02
2017-06-08,23.45,23.45,23.45,23.45,190,450870.0,0.0,10.15,2.16,0.06
2017-06-09,25.82,25.82,25.82,25.82,959,2504165.0,0.0,10.11,2.37,0.28
2017-06-12,28.43,28.43,28.43,28.43,2664,7647052.0,0.0,10.11,2.61,0.78
2017-06-13,31.3,31.3,31.3,31.3,6742,21290889.0,0.0,10.09,2.87,1.98
2017-06-14,34.46,32.65,34.46,32.2,222730,749430208.0,7.22,4.31,1.35,65.51
2017-06-15,30.74,31.77,33.01,30.74,157655,509016496.0,6.95,-2.7,-0.88,46.37
2017-06-16,31.22,29.67,31.66,29.32,127887,387789712.0,7.37,-6.61,-2.1,37.61
2017-06-19,29.22,29.55,30.52,28.93,68555,205632786.0,5.36,-0.4,-0.12,20.16
2017-06-20,29.93,30.3,30.8,29.56,94112,286829888.0,4.2,2.54,0.75,27.68
2017-06-21,29.81,29.35,30.0,29.13,69901,208311291.0,2.87,-3.14,-0.95,20.56
2017-06-22,29.17,28.06,29.37,28.04,62951,182907745.0,4.53,-4.4,-1.29,18.51
2017-06-23,27.77,27.33,28.01,26.43,64784,178431043.0,5.63,-2.6,-0.73,19.05
2017-06-26,27.33,27.49,27.54,26.78,39225,108007025.0,2.78,0.59,0.16,11.54
2017-06-27,27.35,27.73,28.68,27.33,58570,165914638.0,4.91,0.87,0.24,17.23
2017-06-28,27.35,26.82,27.44,26.71,40076,109038305.0,2.63,-3.28,-0.91,11.79
2017-06-29,26.8,27.2,27.41,26.74,32092,87653241.0,2.5,1.42,0.38,9.44
2017-06-30,26.97,28.14,28.72,26.96,71964,204305228.0,6.47,3.46,0.94,21.17
2017-07-03,27.92,28.42,28.55,27.77,46827,133176845.0,2.77,1.0,0.28,13.77
2017-07-04,28.27,28.34,28.78,28.14,42957,123170572.0,2.25,-0.28,-0.08,12.63
2017-07-05,28.31,29.17,29.47,28.13,71843,210712860.0,4.73,2.93,0.83,21.13
2017-07-06,29.03,29.12,29.47,28.43,65059,190129726.0,3.57,-0.17,-0.05,19.13
2017-07-07,29.04,29.02,29.59,28.53,60426,177851489.0,3.64,-0.34,-0.1,17.77
2017-07-10,28.32,26.82,28.46,26.74,63300,175979085.0,5.93,-7.58,-2.2,18.62
2017-07-11,26.77,26.51,27.19,26.45,26527,71945329.0,2.76,-1.16,-0.31,7.8
2017-07-12,26.52,26.41,26.77,25.49,37555,98700862.0,4.83,-0.38,-0.1,11.05
2017-07-13,26.44,25.83,26.45,25.63,24856,65158244.0,3.1,-2.2,-0.58,7.31
2017-07-14,25.8,25.65,26.09,25.54,18756,48837635.0,2.13,-0.7,-0.18,5.52
2017-07-17,24.95,23.06,25.41,23.06,44849,107825103.0,9.16,-10.1,-2.59,13.19
2017-07-18,22.73,23.25,23.51,22.58,21830,51015151.0,4.03,0.82,0.19,6.42
