日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-24,14.18,14.18,14.18,14.18,195,286224.0,0.0,46.34,4.49,0.06
2018-01-25,15.65,15.65,15.65,15.65,78,125495.0,0.0,10.37,1.47,0.02
2018-01-26,17.27,17.27,17.27,17.27,104,185585.0,0.0,10.35,1.62,0.03
2018-01-29,19.05,19.05,19.05,19.05,242,473594.0,0.0,10.31,1.78,0.07
2018-01-30,21.01,21.01,21.01,21.01,750,1615030.0,0.0,10.29,1.96,0.22
2018-01-31,23.16,23.16,23.16,23.16,1710,4048877.0,0.0,10.23,2.15,0.51
2018-02-01,25.53,25.53,25.53,24.71,65858,171546148.0,3.54,10.23,2.37,19.75
2018-02-02,27.48,28.14,28.14,27.31,72113,205484831.0,3.25,10.22,2.61,21.63
2018-02-05,25.48,25.27,26.79,25.27,106510,279335344.0,5.4,-10.2,-2.87,31.95
2018-02-06,22.69,22.69,22.69,22.69,5729,13297009.0,0.0,-10.21,-2.58,1.72
2018-02-07,21.55,23.37,24.48,20.68,179545,409126368.0,16.75,3.0,0.68,53.85
2018-02-08,21.57,22.19,23.14,21.08,135540,305806224.0,8.81,-5.05,-1.18,40.65
2018-02-09,20.59,24.46,24.46,20.3,205513,486771184.0,18.75,10.23,2.27,61.64
2018-02-12,25.77,26.96,26.96,25.48,165205,447401296.0,6.05,10.22,2.5,49.55
2018-02-13,26.78,24.21,26.86,24.21,128958,330067168.0,9.83,-10.2,-2.75,38.68
2018-02-14,22.48,21.74,23.11,21.74,126717,289124384.0,5.66,-10.2,-2.47,38.01
2018-02-22,21.43,22.12,22.44,20.98,117776,262302453.0,6.72,1.75,0.38,35.33
2018-02-23,21.73,22.22,22.83,21.49,115766,264169332.0,6.06,0.45,0.1,34.72
2018-02-26,23.74,23.95,24.49,22.88,172777,423370864.0,7.25,7.79,1.73,51.82
2018-02-27,23.38,24.55,25.36,22.96,185941,458193056.0,10.02,2.51,0.6,55.77
2018-02-28,23.48,22.04,23.61,22.04,135199,309994096.0,6.4,-10.22,-2.51,40.55
2018-03-01,21.74,22.84,22.95,21.49,116005,267166155.0,6.62,3.63,0.8,34.79
2018-03-02,22.28,21.9,22.84,21.51,102720,231723515.0,5.82,-4.12,-0.94,30.81
2018-03-05,22.1,22.89,22.98,21.86,105804,243104875.0,5.11,4.52,0.99,31.73
2018-03-06,22.68,23.09,23.46,22.31,119332,280128000.0,5.02,0.87,0.2,35.79
2018-03-07,22.78,23.9,24.12,22.68,139843,334666752.0,6.24,3.51,0.81,41.94
2018-03-08,23.45,23.91,24.73,23.29,145031,355933104.0,6.03,0.04,0.01,43.5
