日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.45,4.49,4.57,4.45,108528,83607992.0,2.67,0.0,0.0,0.97
2010-01-05,4.5,4.38,4.51,4.32,182715,137726896.0,4.23,-2.45,-0.11,1.63
2010-01-06,4.39,4.46,4.55,4.35,141722,108496408.0,4.57,1.83,0.08,1.26
2010-01-07,4.45,4.19,4.5,4.16,109563,81465888.0,7.62,-6.05,-0.27,0.98
2010-01-08,4.17,4.19,4.22,4.1,110853,79736184.0,2.86,0.0,0.0,0.99
2010-01-11,4.27,4.18,4.31,4.12,124445,90545672.0,4.53,-0.24,-0.01,1.11
2010-01-12,4.18,4.15,4.21,4.0,320238,228426112.0,5.02,-0.72,-0.03,2.86
2010-01-13,4.05,4.0,4.08,3.97,256043,179440816.0,2.65,-3.61,-0.15,2.28
2010-01-14,4.02,4.05,4.06,3.94,167826,117491576.0,3.0,1.25,0.05,1.5
2010-01-15,4.06,4.05,4.07,3.97,158787,111383456.0,2.47,0.0,0.0,1.42
2010-01-18,4.03,4.08,4.09,3.96,171391,120293336.0,3.21,0.74,0.03,1.53
2010-01-19,4.09,4.1,4.12,4.04,159743,113589720.0,1.96,0.49,0.02,1.42
2010-01-20,4.1,3.84,4.12,3.8,227593,157479008.0,7.8,-6.34,-0.26,2.03
2010-01-21,3.84,3.9,3.92,3.8,122983,83557200.0,3.13,1.56,0.06,1.1
2010-01-22,3.86,3.76,3.86,3.71,101046,67477176.0,3.85,-3.59,-0.14,0.9
2010-01-25,3.77,3.67,3.8,3.67,71085,46873036.0,3.46,-2.39,-0.09,0.63
2010-01-26,3.67,3.5,3.7,3.49,89011,56803448.0,5.72,-4.63,-0.17,0.79
2010-01-27,3.53,3.4,3.55,3.4,145514,90681288.0,4.29,-2.86,-0.1,1.3
2010-01-28,3.4,3.44,3.45,3.36,77401,47757720.0,2.65,1.18,0.04,0.69
2010-01-29,3.42,3.4,3.49,3.37,110220,68136112.0,3.49,-1.16,-0.04,0.98
2010-02-01,3.4,3.27,3.42,3.25,98246,59145596.0,5.0,-3.82,-0.13,0.88
2010-02-02,3.3,3.31,3.4,3.3,62110,37717360.0,3.06,1.22,0.04,0.55
2010-02-03,3.32,3.51,3.52,3.23,106526,65233764.0,8.76,6.04,0.2,0.95
2010-02-04,3.47,3.48,3.56,3.42,78979,49415884.0,3.99,-0.85,-0.03,0.7
2010-02-05,3.37,3.34,3.42,3.28,88006,53362740.0,4.02,-4.02,-0.14,0.78
2010-02-08,3.36,3.39,3.42,3.32,52799,32265836.0,2.99,1.5,0.05,0.47
2010-02-09,3.37,3.42,3.44,3.35,53616,32924956.0,2.65,0.88,0.03,0.48
2010-02-10,3.47,3.46,3.5,3.44,41053,25593362.0,1.75,1.17,0.04,0.37
2010-02-11,3.47,3.55,3.59,3.45,93169,59280360.0,4.05,2.6,0.09,0.83
2010-02-12,3.55,3.58,3.6,3.53,39060,24946416.0,1.97,0.85,0.03,0.35
2010-02-22,3.58,3.51,3.6,3.51,65046,41339044.0,2.51,-1.96,-0.07,0.58
2010-02-23,3.52,3.47,3.53,3.42,51383,31972640.0,3.13,-1.14,-0.04,0.46
2010-02-24,3.45,3.58,3.6,3.42,76909,48839636.0,5.19,3.17,0.11,0.69
2010-02-25,3.6,3.62,3.65,3.57,68498,44133944.0,2.23,1.12,0.04,0.61
2010-02-26,3.62,3.57,3.62,3.55,55646,35563964.0,1.93,-1.38,-0.05,0.5
2010-03-01,3.55,3.6,3.62,3.55,49093,31503040.0,1.96,0.84,0.03,0.44
2010-03-02,3.58,3.58,3.62,3.55,45688,29185608.0,1.94,-0.56,-0.02,0.41
2010-03-03,3.58,3.65,3.65,3.52,75310,48298680.0,3.63,1.96,0.07,0.67
2010-03-04,3.64,3.54,3.76,3.52,94981,61349624.0,6.58,-3.01,-0.11,0.85
2010-03-05,3.52,3.56,3.61,3.52,52988,33743272.0,2.54,0.56,0.02,0.47
2010-03-08,3.57,3.59,3.61,3.54,44357,28417968.0,1.97,0.84,0.03,0.4
2010-03-09,3.59,3.63,3.69,3.53,105513,68277568.0,4.46,1.11,0.04,0.94
2010-03-10,3.63,3.6,3.68,3.57,53739,34741372.0,3.03,-0.83,-0.03,0.48
2010-03-11,3.6,3.62,3.67,3.58,55118,35553936.0,2.5,0.56,0.02,0.49
2010-03-12,3.62,3.54,3.63,3.54,40350,25830242.0,2.49,-2.21,-0.08,0.36
2010-03-15,3.53,3.4,3.54,3.38,55461,34262448.0,4.52,-3.95,-0.14,0.49
