日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.52,5.43,5.52,5.34,72107,74316776.0,3.3,-0.55,-0.03,1.64
2010-01-05,5.44,5.46,5.46,5.27,99894,102502736.0,3.5,0.55,0.03,2.27
2010-01-06,5.44,5.53,5.63,5.37,158854,167394016.0,4.76,1.28,0.07,3.61
2010-01-07,5.62,5.57,5.72,5.42,172702,182572176.0,5.42,0.72,0.04,3.92
2010-01-08,5.6,5.6,5.66,5.36,119980,126019904.0,5.39,0.54,0.03,2.73
2010-01-11,5.71,5.72,5.76,5.57,157140,168887168.0,3.39,2.14,0.12,3.57
2010-01-12,5.7,5.87,5.88,5.64,155052,169577424.0,4.2,2.62,0.15,3.52
2010-01-13,5.73,5.74,5.81,5.64,124626,134693824.0,2.9,-2.21,-0.13,2.83
2010-01-14,5.73,5.89,5.93,5.65,142467,156331296.0,4.88,2.61,0.15,3.24
2010-01-15,5.83,5.84,5.93,5.74,91965,101179328.0,3.23,-0.85,-0.05,2.09
2010-01-18,5.84,5.84,5.89,5.74,93904,103215928.0,2.57,0.0,0.0,2.13
2010-01-19,5.82,5.8,5.87,5.73,93333,102215872.0,2.4,-0.68,-0.04,2.12
2010-01-20,5.8,5.3,5.8,5.3,127834,134381488.0,8.62,-8.62,-0.5,2.91
2010-01-21,5.32,5.34,5.4,5.2,76578,77680320.0,3.77,0.75,0.04,1.74
2010-01-22,5.26,5.19,5.4,5.03,70877,70688128.0,6.93,-2.81,-0.15,1.61
2010-01-25,5.2,5.03,5.2,5.02,45954,44914072.0,3.47,-3.08,-0.16,1.04
2010-01-26,5.1,4.59,5.1,4.58,93343,85738128.0,10.34,-8.75,-0.44,2.12
2010-01-27,4.59,4.69,4.77,4.5,62309,56380260.0,5.88,2.18,0.1,1.42
2010-01-28,4.69,4.7,4.75,4.61,28866,26254644.0,2.99,0.21,0.01,0.66
2010-01-29,4.7,4.73,4.8,4.67,35531,32551462.0,2.77,0.64,0.03,0.81
2010-02-01,4.69,4.5,4.75,4.45,48926,43313512.0,6.34,-4.86,-0.23,1.11
2010-02-02,4.79,4.72,4.91,4.68,106359,98275344.0,5.11,4.89,0.22,2.42
2010-02-03,4.66,4.73,4.73,4.47,58528,52469248.0,5.51,0.21,0.01,1.33
2010-02-04,4.74,4.81,4.84,4.65,69744,64390720.0,4.02,1.69,0.08,1.59
2010-02-05,4.7,4.67,4.74,4.57,51797,46871092.0,3.53,-2.91,-0.14,1.18
2010-02-08,4.68,4.88,4.97,4.68,89253,83411024.0,6.21,4.5,0.21,2.03
2010-02-09,4.97,4.85,5.0,4.83,57474,54295488.0,3.48,-0.61,-0.03,1.31
2010-02-10,4.86,4.93,5.03,4.86,62575,59540644.0,3.51,1.65,0.08,1.42
2010-02-11,4.92,4.87,4.97,4.84,29916,28203224.0,2.64,-1.22,-0.06,0.68
