日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.18,3.11,3.18,3.08,47872,47452162.0,3.14,-2.2,-0.07,2.72
2010-01-05,3.11,3.06,3.12,3.0,49823,47941699.0,3.86,-1.61,-0.05,2.83
2010-01-06,3.06,3.05,3.11,3.01,43348,41956441.0,3.27,-0.33,-0.01,2.46
2010-01-07,3.03,3.15,3.15,3.02,69182,67928172.0,4.26,3.28,0.1,3.93
2010-01-08,3.15,3.21,3.21,3.1,66565,66616094.0,3.49,1.9,0.06,3.78
2010-01-11,3.22,3.09,3.24,3.06,56351,55858028.0,5.61,-3.74,-0.12,3.2
2010-01-12,3.1,3.17,3.2,3.03,45989,45486795.0,5.5,2.59,0.08,2.61
2010-01-13,3.09,3.09,3.12,3.06,41039,40175190.0,1.89,-2.52,-0.08,2.33
2010-01-14,3.1,3.16,3.19,3.07,40179,39875212.0,3.88,2.27,0.07,2.28
2010-01-15,3.17,3.25,3.28,3.16,86972,89204306.0,3.8,2.85,0.09,4.94
2010-01-18,3.22,3.25,3.29,3.19,55950,57222105.0,3.08,0.0,0.0,3.18
2010-01-19,3.24,3.2,3.27,3.18,47509,48260996.0,2.77,-1.54,-0.05,2.7
2010-01-20,3.2,3.06,3.22,3.05,53809,53114256.0,5.31,-4.38,-0.14,3.06
2010-01-21,3.06,3.12,3.13,3.05,25681,25201527.0,2.61,1.96,0.06,1.46
2010-01-22,3.07,3.09,3.14,3.04,30360,29706351.0,3.21,-0.96,-0.03,1.72
2010-01-25,3.06,3.03,3.09,3.0,17122,16580398.0,2.91,-1.94,-0.06,0.97
2010-01-26,3.03,2.8,3.06,2.78,37735,34465044.0,9.24,-7.59,-0.23,2.14
2010-01-27,2.8,2.77,2.9,2.77,33271,29688119.0,4.64,-1.07,-0.03,1.89
2010-01-28,2.78,2.79,2.79,2.67,25560,22375062.0,4.33,0.72,0.02,1.45
2010-01-29,2.74,2.77,2.82,2.74,21599,19139486.0,2.87,-0.72,-0.02,1.23
2010-02-01,2.84,2.93,2.93,2.81,55918,50897185.0,4.33,5.78,0.16,3.18
2010-02-02,2.93,2.85,2.93,2.84,35097,32200156.0,3.07,-2.73,-0.08,1.99
2010-02-03,2.84,2.93,2.93,2.74,41335,37643554.0,6.67,2.81,0.08,2.35
2010-02-04,2.9,2.92,2.97,2.88,35573,33094699.0,3.07,-0.34,-0.01,2.02
2010-02-05,2.85,2.84,2.89,2.82,24543,22225562.0,2.4,-2.74,-0.08,1.39
2010-02-08,2.84,2.84,2.88,2.82,10705,9682363.0,2.11,0.0,0.0,0.61
2010-02-09,2.85,2.85,2.86,2.83,10794,9745842.0,1.06,0.35,0.01,0.61
2010-02-10,2.85,2.89,2.9,2.85,15255,13913194.0,1.75,1.4,0.04,0.87
2010-02-11,2.89,2.88,2.93,2.87,15513,14288471.0,2.08,-0.35,-0.01,0.88
2010-02-12,2.89,2.91,2.93,2.83,19961,18371899.0,3.47,1.04,0.03,1.13
2010-02-22,2.9,2.85,2.9,2.84,18655,16983101.0,2.06,-2.06,-0.06,1.06
2010-02-24,2.88,2.95,2.96,2.85,31230,28930319.0,3.86,3.51,0.1,1.77
2010-02-25,2.95,3.04,3.05,2.95,44561,42433518.0,3.39,3.05,0.09,2.53
2010-02-26,3.05,2.99,3.05,2.98,34308,32747697.0,2.3,-1.64,-0.05,1.95
2010-03-01,2.98,3.06,3.09,2.97,37944,36432720.0,4.01,2.34,0.07,2.16
2010-03-02,3.11,3.16,3.18,3.08,78031,77152843.0,3.27,3.27,0.1,4.43
2010-03-03,3.16,3.16,3.18,3.11,45690,45362425.0,2.22,0.0,0.0,2.6
2010-03-04,3.16,3.13,3.21,3.1,52586,52625295.0,3.48,-0.95,-0.03,2.99
2010-03-05,3.12,3.14,3.19,3.1,48622,48341244.0,2.88,0.32,0.01,2.76
2010-03-08,3.11,3.12,3.16,3.08,22598,17717073.0,2.55,-0.64,-0.02,1.03
2010-03-09,3.12,3.14,3.21,3.03,82553,64842615.0,5.77,0.64,0.02,3.75
2010-03-10,3.16,3.07,3.16,3.05,37833,29416832.0,3.5,-2.23,-0.07,1.72
2010-03-11,3.07,3.07,3.11,3.04,25101,19334512.0,2.28,0.0,0.0,1.14
2010-03-12,3.08,3.0,3.09,2.99,25919,19759333.0,3.26,-2.28,-0.07,1.18
2010-03-15,3.01,2.94,3.03,2.93,21732,16098565.0,3.33,-2.0,-0.06,0.99
2010-03-16,2.95,2.98,3.0,2.95,17057,12747973.0,1.7,1.36,0.04,0.78
2010-03-17,2.99,3.04,3.05,2.98,30985,23517197.0,2.35,2.01,0.06,1.41
2010-03-18,3.05,3.08,3.1,3.04,30551,23602072.0,1.97,1.32,0.04,1.39
2010-03-19,3.09,3.1,3.14,3.07,44835,34854235.0,2.27,0.65,0.02,2.04
2010-03-22,3.11,3.07,3.12,3.05,26210,20247969.0,2.26,-0.97,-0.03,1.19
2010-03-23,3.07,3.04,3.07,3.03,28211,21515068.0,1.3,-0.98,-0.03,1.28
2010-03-24,3.04,3.13,3.15,3.03,63552,49405571.0,3.95,2.96,0.09,2.89
2010-03-25,3.13,3.21,3.27,3.09,138562,110255505.0,5.75,2.56,0.08,6.3
2010-03-26,3.18,3.17,3.18,3.12,66456,52553060.0,1.87,-1.25,-0.04,3.02
2010-03-29,3.15,3.17,3.17,3.12,59917,47267796.0,1.58,0.0,0.0,2.72
2010-03-30,3.17,3.15,3.18,3.13,32157,25344764.0,1.58,-0.63,-0.02,1.46
2010-03-31,3.15,3.12,3.18,3.12,33835,26657593.0,1.9,-0.95,-0.03,1.54
2010-04-01,3.12,3.17,3.19,3.12,50047,39698058.0,2.24,1.6,0.05,2.27
2010-04-02,3.19,3.22,3.23,3.19,58091,46638452.0,1.26,1.58,0.05,2.64
2010-04-06,3.24,3.16,3.25,3.12,54877,43623080.0,4.04,-1.86,-0.06,2.49
2010-04-07,3.14,3.12,3.14,3.1,36713,28630200.0,1.27,-1.27,-0.04,1.67
2010-04-08,3.11,3.13,3.14,3.05,43868,34063854.0,2.88,0.32,0.01,1.99
2010-04-09,3.12,3.24,3.24,3.1,80988,64602229.0,4.47,3.51,0.11,3.68
2010-04-12,3.22,3.3,3.31,3.17,187537,151925091.0,4.32,1.85,0.06,8.52
2010-04-13,3.24,3.25,3.35,3.18,160814,130957826.0,5.15,-1.52,-0.05,7.31
2010-04-14,3.26,3.21,3.26,3.19,46443,37240162.0,2.15,-1.23,-0.04,2.11
2010-04-15,3.18,3.17,3.27,3.07,73027,57464940.0,6.23,-1.25,-0.04,3.32
2010-04-16,3.11,3.35,3.47,3.11,224222,186799540.0,11.36,5.68,0.18,10.19
2010-04-19,3.28,3.2,3.43,3.11,267415,221933230.0,9.55,-4.48,-0.15,12.15
2010-04-20,3.18,3.25,3.27,2.93,162837,125625341.0,10.63,1.56,0.05,7.4
2010-04-21,3.19,3.52,3.56,3.12,229981,193234490.0,13.54,8.31,0.27,10.45
2010-04-22,3.46,3.42,3.65,3.38,273134,234910087.0,7.67,-2.84,-0.1,12.41
