日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-05-27,8.81,9.67,9.67,8.81,42,85329.0,13.17,48.09,3.14,0.02
2015-05-28,10.69,10.69,10.69,10.69,48,108336.0,0.0,10.55,1.02,0.03
2015-05-29,11.82,11.82,11.82,11.82,30,74490.0,0.0,10.57,1.13,0.02
2015-06-01,13.06,13.06,13.06,13.06,6,16386.0,0.0,10.49,1.24,0.0
2015-06-02,14.43,14.43,14.43,14.43,20,60080.0,0.0,10.49,1.37,0.01
2015-06-03,15.93,15.93,15.93,15.93,15,49560.0,0.0,10.4,1.5,0.01
2015-06-04,17.58,17.58,17.58,17.58,62,225308.0,0.0,10.36,1.65,0.04
2015-06-05,19.39,19.39,19.39,19.39,30,119910.0,0.0,10.3,1.81,0.02
2015-06-08,21.39,21.39,21.39,21.39,34,149498.0,0.0,10.31,2.0,0.02
2015-06-09,23.59,23.59,23.59,23.59,90,435330.0,0.0,10.29,2.2,0.05
2015-06-10,26.01,26.01,26.01,26.01,42,223482.0,0.0,10.26,2.42,0.02
2015-06-11,28.67,28.67,28.67,28.67,33,193149.0,0.0,10.23,2.66,0.02
2015-06-12,31.59,31.59,31.59,31.59,110,708180.0,0.0,10.18,2.92,0.06
2015-06-15,34.82,34.82,34.82,34.82,340,2407880.0,0.0,10.22,3.23,0.2
2015-06-16,38.36,38.36,38.36,38.36,1033,8049251.0,0.0,10.17,3.54,0.6
2015-06-17,42.25,38.86,42.25,36.93,93682,755267520.0,13.87,1.3,0.5,54.4
2015-06-18,35.96,34.91,37.16,34.91,56307,409149536.0,5.79,-10.16,-3.95,32.7
2015-06-19,32.16,31.61,35.16,31.61,41520,276867408.0,10.17,-9.45,-3.3,24.11
2015-06-23,32.41,34.83,34.83,31.75,42471,295215952.0,9.74,10.19,3.22,24.66
2015-06-24,37.4,33.59,37.65,32.55,56402,401125904.0,14.64,-3.56,-1.24,32.75
2015-06-25,32.83,32.66,35.4,32.4,31338,215261243.0,8.93,-2.77,-0.93,18.2
2015-06-26,31.36,29.33,31.36,29.33,20284,125033734.0,6.22,-10.2,-3.33,11.78
2015-06-29,29.15,26.34,29.63,26.34,25877,142421560.0,11.22,-10.19,-2.99,15.03
2015-06-30,24.91,27.6,28.53,23.65,31646,166661336.0,18.53,4.78,1.26,18.38
2015-07-01,26.41,25.41,29.32,24.81,28217,159880334.0,16.34,-7.93,-2.19,16.39
2015-07-02,25.41,23.41,25.91,23.09,22324,112321944.0,11.1,-7.87,-2.0,12.96
2015-07-03,22.71,22.76,25.25,21.24,23436,111634662.0,17.13,-2.78,-0.65,13.61
2015-07-06,25.09,23.0,25.09,21.17,24404,118832953.0,17.22,1.05,0.24,14.17
2015-07-07,21.41,20.64,22.1,20.64,11534,50053452.0,6.35,-10.26,-2.36,6.7
2015-07-08,18.51,18.51,19.31,18.51,24678,94753295.0,3.88,-10.32,-2.13,14.33
2015-07-09,18.61,20.42,20.42,18.6,19843,81693523.0,9.83,10.32,1.91,11.52
2015-07-10,22.52,22.52,22.52,21.91,6043,27886282.0,2.99,10.28,2.1,3.51
2015-07-13,24.83,24.83,24.83,24.41,17367,88263951.0,1.87,10.26,2.31,10.09
