日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.57,7.84,8.03,7.48,392580,338743685.0,7.29,3.98,0.3,10.61
2010-01-05,7.81,8.01,8.2,7.8,294303,258525135.0,5.1,2.17,0.17,7.95
2010-01-06,8.01,8.49,8.79,7.94,487396,451234040.0,10.61,5.99,0.48,13.17
2010-01-07,8.47,8.24,8.84,8.22,390631,360789568.0,7.3,-2.94,-0.25,10.56
2010-01-08,8.35,9.14,9.14,8.25,859451,836597501.0,10.8,10.92,0.9,23.22
2010-01-11,9.24,9.53,9.8,8.91,843380,858058817.0,9.74,4.27,0.39,22.79
2010-01-12,9.36,9.61,9.82,9.17,458457,471678766.0,6.82,0.84,0.08,12.39
2010-01-13,9.24,9.21,9.52,8.99,397935,397095101.0,5.52,-4.16,-0.4,10.75
2010-01-14,9.24,9.43,9.46,9.06,289996,290802389.0,4.34,2.39,0.22,7.84
2010-01-15,9.43,9.3,9.43,9.15,194080,194635703.0,2.97,-1.38,-0.13,5.24
2010-01-18,9.24,9.7,9.74,9.08,379649,389069220.0,7.1,4.3,0.4,10.26
2010-01-19,9.7,9.44,9.71,9.43,211012,216884064.0,2.89,-2.68,-0.26,5.7
2010-01-20,9.44,9.17,9.87,9.15,397440,407634544.0,7.63,-2.86,-0.27,10.74
2010-01-21,9.16,9.01,9.26,8.79,207469,202067494.0,5.13,-1.74,-0.16,5.61
2010-01-22,8.86,8.37,8.94,8.19,278532,257392762.0,8.32,-7.1,-0.64,7.53
2010-01-25,8.34,8.29,8.57,8.24,141735,129913764.0,3.94,-0.96,-0.08,3.83
2010-01-26,8.41,8.21,8.62,7.89,231158,211198152.0,8.81,-0.97,-0.08,6.25
2010-01-27,8.21,8.2,8.34,7.89,134946,120354138.0,5.48,-0.12,-0.01,3.65
2010-01-28,8.35,8.85,8.92,8.26,307172,289606996.0,8.05,7.93,0.65,8.3
2010-01-29,8.75,8.94,9.2,8.6,291113,283162622.0,6.78,1.02,0.09,7.87
2010-02-01,9.09,9.27,9.46,8.84,313152,311684736.0,6.94,3.69,0.33,8.46
2010-02-02,9.33,9.22,9.44,9.05,236573,236353341.0,4.21,-0.54,-0.05,6.39
2010-02-03,9.15,10.22,10.22,9.14,822682,879718444.0,11.71,10.85,1.0,22.23
2010-02-04,10.21,11.32,11.32,10.04,1159832,1350488666.0,12.52,10.76,1.1,31.34
2010-02-05,11.37,11.5,12.36,10.84,1354970,1687184133.0,13.43,1.59,0.18,36.61
2010-02-08,11.04,11.31,11.69,10.44,528290,625879789.0,10.87,-1.65,-0.19,14.27
2010-02-09,11.0,10.78,11.68,10.66,403345,477545036.0,9.02,-4.69,-0.53,10.9
2010-02-10,10.78,10.86,11.0,10.42,304307,348522740.0,5.38,0.74,0.08,8.22
2010-02-11,10.78,10.42,10.79,10.24,300992,337767573.0,5.06,-4.05,-0.44,8.13
2010-02-12,10.5,10.93,11.04,10.35,341142,393553451.0,6.62,4.89,0.51,9.22
2010-02-22,10.87,12.1,12.1,10.72,777048,979460422.0,12.63,10.7,1.17,21.0
