日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-23,4.65,5.22,5.22,4.65,93,214423.0,18.15,66.24,2.08,0.09
2015-01-26,5.9,5.9,5.9,5.9,17,43316.0,0.0,13.03,0.68,0.02
2015-01-27,6.65,6.65,6.65,6.65,35,98105.0,0.0,12.71,0.75,0.03
2015-01-28,7.47,7.47,7.47,7.47,108,332964.0,0.0,12.33,0.82,0.11
2015-01-29,8.38,8.38,8.38,8.38,73,247543.0,0.0,12.18,0.91,0.07
2015-01-30,9.38,9.38,9.38,9.38,323,1202925.0,0.0,11.93,1.0,0.32
2015-02-02,10.47,10.47,10.47,10.47,726,2980378.0,0.0,11.62,1.09,0.71
2015-02-03,11.68,11.68,11.68,11.68,540,2437020.0,0.0,11.56,1.21,0.53
2015-02-04,13.01,13.01,13.01,13.01,700,3474800.0,0.0,11.39,1.33,0.69
2015-02-05,14.47,14.47,14.47,14.47,2026,11062287.0,0.0,11.22,1.46,1.99
2015-02-06,16.07,12.87,16.07,12.86,67185,355283936.0,22.18,-11.06,-1.6,65.87
2015-02-09,12.34,11.6,12.49,11.56,32589,150743312.0,7.23,-9.87,-1.27,31.95
2015-02-10,11.64,11.97,12.33,11.64,20494,94303512.0,5.95,3.19,0.37,20.09
2015-02-11,11.98,12.07,12.38,11.79,15671,72643788.0,4.93,0.84,0.1,15.36
2015-02-12,12.07,12.5,12.86,11.99,21164,101699533.0,7.21,3.56,0.43,20.75
2015-02-13,12.57,12.66,12.89,12.53,20868,101275829.0,2.88,1.28,0.16,20.46
2015-02-16,12.66,12.75,12.89,12.38,18045,87395633.0,4.03,0.71,0.09,17.69
2015-02-17,12.64,12.46,12.76,12.45,12491,60031224.0,2.43,-2.27,-0.29,12.25
2015-02-25,12.52,12.14,12.54,12.11,8794,41469982.0,3.45,-2.57,-0.32,8.62
2015-02-26,12.14,12.89,13.22,12.12,20483,100237048.0,9.06,6.18,0.75,20.08
2015-02-27,12.67,12.7,12.8,12.53,12380,59987930.0,2.09,-1.47,-0.19,12.14
2015-03-02,13.3,14.13,14.13,13.19,29760,156116950.0,7.4,11.26,1.43,29.18
2015-03-03,14.25,13.67,14.29,13.6,23106,122223432.0,4.88,-3.26,-0.46,22.65
2015-03-04,13.5,13.76,13.91,13.38,21059,108822494.0,3.88,0.66,0.09,20.65
2015-03-05,13.68,13.53,13.7,13.35,11751,60331460.0,2.54,-1.67,-0.23,11.52
2015-03-06,13.53,13.05,13.64,13.02,12490,62907513.0,4.58,-3.55,-0.48,12.24
2015-03-09,12.97,13.26,13.37,12.8,8542,42564788.0,4.37,1.61,0.21,8.37
2015-03-10,13.18,13.83,13.92,12.97,14572,75243914.0,7.16,4.3,0.57,14.29
2015-03-11,13.73,13.59,13.91,13.55,8640,44813310.0,2.6,-1.74,-0.24,8.47
2015-03-12,13.52,13.11,13.66,12.07,7466,37604348.0,11.7,-3.53,-0.48,7.32
2015-03-13,13.17,13.78,13.94,13.12,8887,46087902.0,6.25,5.11,0.67,8.71
2015-03-16,13.91,14.17,14.33,13.72,13837,73741908.0,4.43,2.83,0.39,13.57
2015-03-17,14.16,14.69,15.14,14.02,17808,97890192.0,7.9,3.67,0.52,17.46
2015-03-18,14.51,14.9,15.14,14.39,13437,74992082.0,5.11,1.43,0.21,13.17
2015-03-19,14.77,15.2,15.43,14.73,14083,79980060.0,4.7,2.01,0.3,13.81
2015-03-20,15.23,15.66,16.08,15.2,16607,97234330.0,5.79,3.03,0.46,16.28
