日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.07,5.94,6.07,5.9,16727,32368555.35,2.82,-1.49,-0.09,4.36
2010-01-05,5.9,5.73,5.94,5.68,28522,53269079.49,4.38,-3.54,-0.21,7.43
2010-01-06,5.74,5.73,5.83,5.73,19440,36554208.53,1.75,0.0,0.0,5.06
2010-01-07,5.7,5.63,5.78,5.6,19989,36855265.71,3.14,-1.75,-0.1,5.21
2010-01-08,5.61,5.71,5.73,5.53,13173,24304192.76,3.55,1.42,0.08,3.43
2010-01-11,5.74,5.62,5.81,5.58,17305,31859981.37,4.03,-1.58,-0.09,4.51
2010-01-12,5.55,6.01,6.17,5.55,45521,87248343.43,11.03,6.94,0.39,11.85
2010-01-13,5.8,5.77,5.9,5.74,24819,46819556.75,2.66,-3.99,-0.24,6.46
2010-01-14,5.76,5.92,5.97,5.73,21726,41567730.82,4.16,2.6,0.15,5.66
2010-01-15,5.94,5.98,6.1,5.9,25357,49426319.87,3.38,1.01,0.06,6.6
2010-01-18,5.97,5.96,5.98,5.83,19640,37568711.58,2.51,-0.33,-0.02,5.11
2010-01-19,5.94,5.97,6.0,5.89,18108,34929762.2,1.85,0.17,0.01,4.72
2010-01-20,5.98,5.64,6.01,5.64,18501,34995019.43,6.2,-5.53,-0.33,4.82
2010-01-21,5.64,5.69,5.75,5.58,10564,19535867.87,3.01,0.89,0.05,2.75
2010-01-22,5.67,5.45,5.68,5.35,16692,30001348.56,5.8,-4.22,-0.24,4.35
2010-01-25,5.39,5.33,5.48,5.31,8572,15129761.74,3.12,-2.2,-0.12,2.23
2010-01-26,5.34,5.04,5.36,4.98,14883,24892818.9,7.13,-5.44,-0.29,3.88
2010-01-27,5.04,5.07,5.17,4.99,9025,15071834.33,3.57,0.6,0.03,2.35
2010-01-28,5.08,5.07,5.11,5.01,6542,10910549.65,1.97,0.0,0.0,1.7
2010-01-29,5.08,5.04,5.12,5.0,7247,12071693.68,2.37,-0.59,-0.03,1.89
2010-02-01,5.03,4.86,5.07,4.74,11978,19115169.83,6.55,-3.57,-0.18,3.12
2010-02-02,4.91,4.74,4.96,4.74,10027,16033356.45,4.53,-2.47,-0.12,2.61
2010-02-03,4.75,4.69,4.83,4.43,16573,25171778.06,8.44,-1.05,-0.05,4.32
2010-02-04,4.66,4.86,5.04,4.53,21427,34097411.81,10.87,3.62,0.17,5.58
