日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,1.78,1.73,1.78,1.72,53305,66933520.48,3.41,-1.7,-0.03,11.33
2010-01-05,1.74,1.8,1.81,1.73,77077,98234352.51,4.62,4.05,0.07,16.39
2010-01-06,1.79,1.75,1.82,1.75,58472,74935543.1,3.89,-2.78,-0.05,12.43
2010-01-07,1.73,1.68,1.75,1.66,39859,49182713.25,5.14,-4.0,-0.07,8.47
2010-01-08,1.66,1.72,1.73,1.65,28066,34606089.59,4.76,2.38,0.04,5.97
2010-01-11,1.74,1.71,1.74,1.68,25016,30959233.06,3.49,-0.58,-0.01,5.32
2010-01-12,1.77,1.85,1.89,1.75,80367,104223284.67,8.19,8.19,0.14,17.08
2010-01-13,1.8,1.8,1.88,1.78,60094,78371812.41,5.41,-2.7,-0.05,12.78
2010-01-14,1.8,1.83,1.85,1.79,47991,62669012.98,3.33,1.67,0.03,10.2
2010-01-15,1.84,1.86,1.88,1.82,48251,63799009.65,3.28,1.64,0.03,10.26
2010-01-18,1.85,1.85,1.87,1.82,37667,49460762.57,2.69,-0.54,-0.01,8.01
2010-01-19,1.85,1.81,1.85,1.79,31173,40486372.53,3.24,-2.16,-0.04,6.63
2010-01-20,1.8,1.69,1.83,1.69,35658,45220014.38,7.73,-6.63,-0.12,7.58
2010-01-21,1.69,1.72,1.74,1.68,18727,23233110.78,3.55,1.78,0.03,3.98
2010-01-22,1.71,1.65,1.71,1.62,21797,26373089.07,5.23,-4.07,-0.07,4.63
2010-01-25,1.65,1.64,1.67,1.63,10508,12649125.41,2.42,-0.61,-0.01,2.23
2010-01-26,1.64,1.52,1.67,1.48,16220,18697087.33,11.59,-7.32,-0.12,3.45
2010-01-27,1.52,1.5,1.56,1.48,10948,12334976.56,5.26,-1.32,-0.02,2.33
2010-01-28,1.5,1.51,1.52,1.49,10067,11302727.11,2.0,0.67,0.01,2.14
2010-01-29,1.51,1.52,1.55,1.5,11462,13012188.17,3.31,0.66,0.01,2.44
2010-02-01,1.52,1.45,1.52,1.44,12825,14088448.65,5.26,-4.61,-0.07,2.73
2010-02-02,1.46,1.49,1.5,1.46,12973,14367983.62,2.76,2.76,0.04,2.76
2010-02-03,1.48,1.57,1.59,1.42,27306,31071626.74,11.41,5.37,0.08,5.8
2010-02-04,1.55,1.54,1.57,1.52,15846,18135702.0,3.18,-1.91,-0.03,3.37
2010-02-05,1.51,1.48,1.52,1.46,10385,11555600.34,3.9,-3.9,-0.06,2.21
2010-02-08,1.49,1.49,1.51,1.47,5867,6537088.32,2.7,0.68,0.01,1.25
2010-02-09,1.49,1.48,1.49,1.46,9895,10922896.92,2.01,-0.67,-0.01,2.1
2010-02-10,1.5,1.52,1.52,1.48,10014,11235219.12,2.7,2.7,0.04,2.13
2010-02-11,1.52,1.52,1.54,1.51,9489,10742246.63,1.97,0.0,0.0,2.02
2010-02-12,1.53,1.54,1.55,1.51,7771,8826722.65,2.63,1.32,0.02,1.65
2010-02-22,1.53,1.56,1.58,1.52,13430,15457263.62,3.9,1.3,0.02,2.86
2010-02-23,1.56,1.56,1.56,1.53,9287,10638909.44,1.92,0.0,0.0,1.97
2010-02-24,1.56,1.61,1.61,1.55,17987,21052265.44,3.85,3.21,0.05,3.82
2010-02-25,1.62,1.63,1.65,1.59,20282,24148781.92,3.73,1.24,0.02,4.31
2010-02-26,1.62,1.66,1.67,1.61,20920,25177779.53,3.68,1.84,0.03,4.45
2010-03-01,1.65,1.71,1.73,1.65,26996,33066182.41,4.82,3.01,0.05,5.74
2010-03-02,1.7,1.76,1.81,1.7,56862,72140200.0,6.43,2.92,0.05,12.09
2010-03-03,1.79,1.78,1.79,1.74,31166,39441963.76,2.84,1.14,0.02,6.63
2010-03-04,1.78,1.69,1.79,1.65,30514,37985179.82,7.87,-5.06,-0.09,6.49
2010-03-05,1.69,1.83,1.86,1.69,81166,104397830.27,10.06,8.28,0.14,17.25
2010-03-08,1.81,1.91,1.93,1.8,105918,141510062.85,7.1,4.37,0.08,22.52
2010-03-09,1.92,1.87,1.97,1.86,123360,167108737.47,5.76,-2.09,-0.04,26.22
2010-03-10,1.87,2.1,2.1,1.85,158726,225504009.46,13.37,12.3,0.23,33.74
2010-03-11,2.09,2.14,2.32,2.06,201532,304491184.04,12.38,1.9,0.04,42.84
2010-03-12,2.11,2.08,2.2,2.05,104925,154158841.16,7.01,-2.8,-0.06,22.31
2010-03-15,2.07,2.16,2.19,2.06,82489,122578931.76,6.25,3.85,0.08,17.54
2010-03-16,2.16,2.1,2.17,2.05,57511,84203414.09,5.56,-2.78,-0.06,12.23
2010-03-17,2.1,2.19,2.23,2.06,66096,98462461.27,8.1,4.29,0.09,14.05
2010-03-18,2.16,2.17,2.25,2.14,67149,101451976.98,5.02,-0.91,-0.02,14.27
2010-03-19,2.16,2.21,2.26,2.15,62813,96103352.33,5.07,1.84,0.04,13.35
2010-03-22,2.2,2.18,2.22,2.17,43240,65305261.63,2.26,-1.36,-0.03,9.19
2010-03-23,2.18,2.11,2.18,2.1,47196,69729367.56,3.67,-3.21,-0.07,10.03
2010-03-24,2.11,2.16,2.22,2.1,47414,71301996.5,5.69,2.37,0.05,10.08
2010-03-25,2.15,2.11,2.15,2.1,32663,48320983.44,2.31,-2.31,-0.05,6.94
2010-03-26,2.11,2.2,2.27,2.1,63930,96942463.26,8.06,4.27,0.09,13.59
2010-03-29,2.16,2.15,2.2,2.13,42653,63790486.59,3.18,-2.27,-0.05,9.07
2010-03-30,2.15,2.17,2.21,2.15,29649,44750868.54,2.79,0.93,0.02,6.3
2010-03-31,2.18,2.23,2.24,2.12,48810,73902799.11,5.53,2.76,0.06,10.38
2010-04-01,2.22,2.3,2.33,2.2,72961,113653804.35,5.83,3.14,0.07,15.51
2010-04-02,2.28,2.25,2.3,2.23,38719,60228102.17,3.04,-2.17,-0.05,8.23
2010-04-06,2.25,2.23,2.26,2.22,28191,43365973.98,1.78,-0.89,-0.02,5.99
2010-04-07,2.23,2.29,2.3,2.22,37218,57853628.55,3.59,2.69,0.06,7.91
2010-04-08,2.28,2.24,2.3,2.23,29821,46518681.65,3.06,-2.18,-0.05,6.34
2010-04-09,2.25,2.36,2.36,2.25,64219,102363971.79,4.91,5.36,0.12,13.65
2010-04-12,2.34,2.42,2.44,2.34,51955,84382649.16,4.24,2.54,0.06,11.04
2010-04-13,2.42,2.24,2.42,2.14,59690,93667846.04,11.57,-7.44,-0.18,12.69
2010-04-14,2.23,2.22,2.26,2.2,24382,37446176.1,2.68,-0.89,-0.02,5.18
2010-04-15,2.19,2.11,2.22,2.1,46590,69224424.1,5.41,-4.95,-0.11,9.9
2010-04-16,2.09,2.1,2.14,2.04,19921,29081730.06,4.74,-0.47,-0.01,4.23
2010-04-19,2.08,2.04,2.14,2.04,22874,33309590.85,4.76,-2.86,-0.06,2.16
2010-04-20,2.04,2.05,2.08,2.01,19256,27469706.0,3.43,0.49,0.01,1.81
2010-04-21,2.06,2.14,2.14,2.04,22416,32951766.6,4.88,4.39,0.09,2.11
2010-04-22,2.15,2.16,2.18,2.11,25535,38047859.84,3.27,0.93,0.02,2.41
2010-04-27,2.2,2.07,2.2,2.02,23996,35352078.52,8.33,-4.17,-0.09,2.26
2010-04-28,2.02,2.0,2.05,1.97,16410,23124035.02,3.86,-3.38,-0.07,1.55
2010-04-29,2.02,1.97,2.06,1.97,10688,15112039.22,4.5,-1.5,-0.03,1.01
2010-04-30,1.99,1.85,2.0,1.83,14919,19967368.75,8.63,-6.09,-0.12,1.41
2010-05-04,1.84,1.87,1.93,1.82,10706,14319160.99,5.95,1.08,0.02,1.01
2010-05-05,1.82,1.9,1.92,1.78,22109,18191750.52,7.49,1.6,0.03,1.3
2010-05-06,1.9,1.82,1.91,1.81,18758,15384302.22,5.26,-4.21,-0.08,1.1
2010-05-07,1.77,1.71,1.81,1.71,21159,16704218.66,5.49,-6.04,-0.11,1.25
2010-05-10,1.7,1.6,1.73,1.55,19679,14519775.09,10.53,-6.43,-0.11,1.16
2010-05-11,1.63,1.48,1.65,1.47,19913,14359692.95,11.25,-7.5,-0.12,1.17
2010-05-12,1.47,1.49,1.51,1.43,28161,19392629.84,5.41,0.68,0.01,1.66
2010-05-13,1.49,1.51,1.51,1.4,39954,27354172.12,7.38,1.34,0.02,2.35
2010-05-14,1.51,1.53,1.53,1.48,34011,23794849.0,3.31,1.32,0.02,2.0
2010-05-17,1.5,1.35,1.5,1.34,25277,16858398.58,10.46,-11.76,-0.18,1.49
2010-05-18,1.33,1.36,1.39,1.28,24711,15749177.74,8.15,0.74,0.01,1.46
2010-05-19,1.35,1.36,1.41,1.34,18756,12259389.87,5.15,0.0,0.0,1.1
2010-05-20,1.36,1.34,1.4,1.33,16543,10693493.76,5.15,-1.47,-0.02,0.97
2010-05-21,1.31,1.38,1.38,1.28,18156,11600730.21,7.46,2.99,0.04,1.07
2010-05-24,1.39,1.48,1.5,1.39,30224,20679313.93,7.97,7.25,0.1,1.78
2010-05-25,1.47,1.56,1.58,1.45,56894,40481962.14,8.78,5.41,0.08,3.35
2010-05-26,1.55,1.54,1.57,1.5,31733,22551076.76,4.49,-1.28,-0.02,1.87
2010-05-27,1.54,1.56,1.57,1.51,29285,20874053.91,3.9,1.3,0.02,1.72
2010-05-28,1.58,1.55,1.59,1.54,28297,20295061.84,3.21,-0.64,-0.01,1.67
2010-05-31,1.55,1.53,1.56,1.52,23399,16548013.53,2.58,-1.29,-0.02,1.38
2010-06-01,1.51,1.49,1.52,1.46,24724,17041254.2,3.92,-2.61,-0.04,1.46
2010-06-02,1.51,1.51,1.51,1.43,11143,7664605.29,5.37,1.34,0.02,0.66
2010-06-03,1.51,1.59,1.64,1.51,60118,43765702.67,8.61,5.3,0.08,3.54
2010-06-04,1.57,1.64,1.64,1.56,39182,28714735.53,5.03,3.14,0.05,2.31
2010-06-07,1.6,1.59,1.62,1.54,34953,25342554.38,4.88,-3.05,-0.05,2.06
2010-06-08,1.58,1.67,1.69,1.56,51308,38239851.36,8.18,5.03,0.08,3.02
2010-06-09,1.65,1.7,1.7,1.64,51095,38692073.59,3.59,1.8,0.03,3.01
2010-06-10,1.7,1.67,1.7,1.66,28294,21453427.48,2.35,-1.76,-0.03,1.67
2010-06-11,1.68,1.62,1.68,1.61,23040,17183265.12,4.19,-2.99,-0.05,1.36
2010-06-17,1.64,1.61,1.65,1.61,17110,12659834.27,2.47,-0.62,-0.01,1.01
2010-06-18,1.6,1.46,1.6,1.46,27385,19347890.48,8.7,-9.32,-0.15,1.61
2010-06-21,1.46,1.53,1.53,1.42,18008,12400880.88,7.53,4.79,0.07,1.06
2010-06-22,1.53,1.54,1.56,1.51,20776,14702027.28,3.27,0.65,0.01,1.22
2010-06-23,1.54,1.51,1.54,1.48,16050,11209871.68,3.9,-1.95,-0.03,0.95
2010-06-24,1.5,1.51,1.52,1.49,11998,8360462.5,1.99,0.0,0.0,0.71
2010-06-25,1.49,1.47,1.5,1.46,10360,7127025.57,2.65,-2.65,-0.04,0.61
2010-06-28,1.47,1.46,1.49,1.45,8705,5963207.2,2.72,-0.68,-0.01,0.51
2010-06-29,1.46,1.33,1.48,1.32,17067,11071491.26,10.96,-8.9,-0.13,1.01
2010-06-30,1.32,1.27,1.32,1.25,10995,6764963.31,5.26,-4.51,-0.06,0.65
2010-07-01,1.28,1.27,1.3,1.26,10101,6202001.41,3.15,0.0,0.0,0.59
2010-07-02,1.27,1.25,1.27,1.18,14263,8517810.67,7.09,-1.57,-0.02,0.84
2010-07-05,1.25,1.26,1.28,1.21,16959,10243747.61,5.6,0.8,0.01,1.0
2010-07-06,1.28,1.43,1.43,1.28,74392,49185205.64,11.9,13.49,0.17,4.38
2010-07-07,1.46,1.59,1.61,1.41,112309,78951584.17,13.99,11.19,0.16,6.61
2010-07-08,1.57,1.59,1.65,1.5,101596,72739121.91,9.43,0.0,0.0,5.98
2010-07-09,1.55,1.6,1.62,1.55,81649,59299544.6,4.4,0.63,0.01,4.81
2010-07-12,1.61,1.67,1.69,1.58,88287,65700978.65,6.88,4.38,0.07,5.2
2010-07-13,1.63,1.62,1.64,1.57,60375,44212361.63,4.19,-2.99,-0.05,3.56
2010-07-14,1.61,1.62,1.66,1.59,58077,42903238.56,4.32,0.0,0.0,3.42
2010-07-15,1.61,1.57,1.63,1.56,41117,29953324.34,4.32,-3.09,-0.05,2.42
2010-07-16,1.56,1.77,1.77,1.55,154797,118711169.69,14.01,12.74,0.2,9.12
2010-07-19,1.76,1.8,1.81,1.71,123985,97848779.77,5.65,1.69,0.03,7.3
2010-07-20,1.78,1.82,1.86,1.76,102921,83317786.48,5.56,1.11,0.02,6.06
2010-07-21,1.81,1.8,1.83,1.77,64302,51622318.4,3.3,-1.1,-0.02,3.79
2010-07-22,1.78,1.82,1.83,1.78,51410,41412685.65,2.78,1.11,0.02,3.03
2010-07-23,1.8,1.84,1.92,1.8,98005,81005169.92,6.59,1.1,0.02,5.77
2010-07-26,1.84,1.83,1.84,1.78,57702,46596921.0,3.26,-0.54,-0.01,3.4
2010-07-27,1.83,1.84,1.85,1.8,44703,36378907.16,2.73,0.55,0.01,2.63
2010-07-28,1.83,1.88,1.91,1.81,81175,67018772.47,5.43,2.17,0.04,4.78
2010-07-29,1.88,1.92,2.06,1.86,104990,90324918.36,10.64,2.13,0.04,6.18
2010-07-30,1.9,1.88,1.94,1.85,53043,44278689.8,4.69,-2.08,-0.04,3.12
2010-08-02,1.86,1.92,1.99,1.86,60041,50744241.77,6.91,2.13,0.04,3.54
2010-08-03,1.93,1.91,1.98,1.9,77066,66005478.15,4.17,-0.52,-0.01,4.54
2010-08-04,1.89,1.91,1.93,1.83,47629,39562843.01,5.24,0.0,0.0,2.81
2010-08-05,1.91,1.93,1.97,1.9,54932,46902832.81,3.66,1.05,0.02,3.24
2010-08-06,1.95,2.12,2.15,1.93,157398,142676949.04,11.4,9.84,0.19,9.27
2010-08-09,2.1,2.12,2.12,2.07,87230,79290494.45,2.36,0.0,0.0,5.14
2010-08-10,2.12,1.98,2.12,1.98,72109,64219004.23,6.6,-6.6,-0.14,4.25
2010-08-11,1.98,1.99,2.03,1.95,42035,36509779.4,4.04,0.51,0.01,2.48
2010-08-12,1.95,1.9,2.0,1.9,42127,36158620.65,5.03,-4.52,-0.09,2.48
2010-08-13,1.91,1.95,1.96,1.86,43551,36581557.07,5.26,2.63,0.05,2.56
2010-08-16,1.93,2.02,2.03,1.93,43210,37766567.01,5.13,3.59,0.07,2.54
2010-08-17,2.01,2.03,2.04,1.98,41685,36692611.97,2.97,0.5,0.01,2.45
2010-08-18,2.03,2.02,2.06,1.99,51308,45621527.42,3.45,-0.49,-0.01,3.02
2010-08-19,2.02,2.07,2.09,1.99,48564,43346030.66,4.95,2.48,0.05,2.86
2010-08-20,2.07,1.96,2.07,1.96,45365,39795585.92,5.31,-5.31,-0.11,2.67
2010-08-23,1.94,1.93,1.98,1.91,31253,26772237.68,3.57,-1.53,-0.03,1.84
2010-08-24,1.95,1.98,2.03,1.94,41761,36582335.44,4.66,2.59,0.05,2.46
2010-08-25,1.96,1.93,1.97,1.92,30483,26045468.81,2.53,-2.53,-0.05,1.8
2010-08-26,1.94,1.93,1.96,1.91,21281,18109549.44,2.59,0.0,0.0,1.25
