日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.68,9.58,9.68,9.51,7253,28525215.0,1.78,0.42,0.04,3.78
2010-01-05,9.65,9.47,9.65,9.34,7484,28943678.0,3.24,-1.15,-0.11,3.9
2010-01-06,9.42,9.13,9.48,9.13,12787,48593528.0,3.7,-3.59,-0.34,6.66
2010-01-07,9.15,9.21,9.4,9.14,14073,53565612.0,2.85,0.88,0.08,7.33
2010-01-08,9.0,8.88,9.17,8.76,10724,39365942.0,4.45,-3.58,-0.33,5.59
2010-01-11,8.85,8.8,8.99,8.68,9917,35975479.0,3.49,-0.9,-0.08,5.16
2010-01-12,8.79,8.99,8.99,8.79,7864,28894002.0,2.27,2.16,0.19,4.1
2010-01-13,8.81,9.06,9.07,8.8,7688,28394763.0,3.0,0.78,0.07,4.0
2010-01-14,9.15,9.43,9.59,9.09,18946,73121626.0,5.52,4.08,0.37,9.87
2010-01-15,9.49,9.38,9.6,9.26,10602,40815393.0,3.61,-0.53,-0.05,5.52
2010-01-18,9.46,9.34,9.46,9.3,6433,24704226.0,1.71,-0.43,-0.04,3.35
2010-01-19,9.34,9.13,9.38,9.1,7901,29813875.0,3.0,-2.25,-0.21,4.12
2010-01-20,9.05,8.9,9.25,8.75,10316,37923281.0,5.48,-2.52,-0.23,5.37
2010-01-21,8.87,8.92,8.99,8.85,4224,15486884.0,1.57,0.22,0.02,2.2
2010-01-22,8.75,8.44,8.82,8.35,9774,34340446.0,5.27,-5.38,-0.48,5.09
2010-01-25,8.3,8.13,8.3,7.97,7687,25761481.0,3.91,-3.67,-0.31,4.0
2010-01-26,8.13,7.83,8.3,7.63,8095,26795819.0,8.24,-3.69,-0.3,4.22
2010-01-27,7.85,7.81,7.98,7.75,4725,15312730.0,2.94,-0.26,-0.02,2.46
2010-01-28,7.68,7.68,7.85,7.58,6698,21240060.0,3.46,-1.66,-0.13,3.49
2010-01-29,7.7,7.87,7.97,7.69,8511,27676028.0,3.65,2.47,0.19,4.43
2010-02-01,7.06,7.13,7.5,7.06,39046,115389732.0,5.59,-9.4,-0.74,16.27
2010-02-02,7.1,6.96,7.25,6.93,15586,45625909.0,4.49,-2.38,-0.17,6.49
2010-02-03,6.96,6.86,7.05,6.5,15410,42874154.0,7.9,-1.44,-0.1,6.42
2010-02-04,6.75,6.86,6.98,6.7,9324,26552389.0,4.08,0.0,0.0,3.89
2010-02-05,6.75,6.85,7.02,6.6,8732,24847655.0,6.12,-0.15,-0.01,3.64
2010-02-08,6.86,7.01,7.13,6.86,8834,25712194.0,3.94,2.34,0.16,3.68
2010-02-09,7.01,7.0,7.02,6.9,4608,13286643.0,1.71,-0.14,-0.01,1.92
2010-02-10,7.1,7.26,7.31,7.0,17716,52540077.0,4.43,3.71,0.26,7.38
2010-02-11,7.27,7.42,7.5,7.2,15454,47063823.0,4.13,2.2,0.16,6.44
2010-02-12,7.43,7.52,7.56,7.33,9710,29830563.0,3.1,1.35,0.1,4.05
2010-02-22,7.5,7.73,7.81,7.38,17923,56997767.0,5.72,2.79,0.21,7.47
2010-02-23,8.52,8.52,8.52,8.52,11355,39843151.0,0.0,10.22,0.79,4.73
2010-02-24,9.0,9.01,9.35,8.78,41689,155510465.0,6.69,5.75,0.49,17.37
2010-02-25,8.9,9.04,9.3,8.9,25521,95524258.0,4.44,0.33,0.03,10.63
2010-02-26,8.99,9.23,9.47,8.98,26335,99990327.0,5.42,2.1,0.19,10.97
2010-03-01,9.26,9.33,9.47,9.03,25771,98261400.0,4.77,1.08,0.1,10.74
2010-03-02,9.34,9.59,9.75,9.33,26841,105279259.0,4.5,2.79,0.26,11.18
2010-03-03,9.5,9.45,10.04,9.38,42593,170505510.0,6.88,-1.46,-0.14,17.75
2010-03-04,9.41,9.0,9.43,9.0,27950,105768266.0,4.55,-4.76,-0.45,11.65
2010-03-05,9.07,9.38,9.38,9.04,19572,74273579.0,3.78,4.22,0.38,8.15
2010-03-08,9.45,9.58,9.74,9.38,17442,68805657.0,3.84,2.13,0.2,7.27
2010-03-09,9.6,10.08,10.25,9.5,34599,140867724.0,7.83,5.22,0.5,14.42
2010-03-11,9.85,10.03,10.15,9.62,25446,103077617.0,5.26,-0.5,-0.05,10.6
2010-03-12,10.11,10.03,10.41,9.9,26403,110406111.0,5.08,0.0,0.0,11.0
2010-03-15,10.04,10.38,10.5,9.95,22745,96159926.0,5.48,3.49,0.35,9.48
2010-03-16,10.37,9.96,10.58,9.88,21654,90597907.0,6.74,-4.05,-0.42,9.02
2010-03-17,10.0,10.13,10.14,9.8,16731,68655812.0,3.41,1.71,0.17,6.97
2010-03-18,10.17,10.05,10.33,9.9,17209,71357344.0,4.24,-0.79,-0.08,7.17
2010-03-19,10.1,10.35,10.45,10.01,22378,94635755.0,4.38,2.99,0.3,9.32
2010-03-22,10.36,10.37,10.6,10.28,16985,72779667.0,3.09,0.19,0.02,7.08
2010-03-23,10.33,10.5,10.57,10.15,18949,80544537.0,4.05,1.25,0.13,7.9
2010-03-24,10.5,10.75,10.96,10.45,22622,99786601.0,4.86,2.38,0.25,9.43
2010-03-25,10.77,11.15,11.37,10.65,23608,107218529.0,6.7,3.72,0.4,9.84
2010-03-26,10.9,11.75,11.85,10.75,33072,152206451.0,9.87,5.38,0.6,13.78
2010-03-29,11.82,11.63,11.9,11.16,29825,140663066.0,6.3,-1.02,-0.12,12.43
