日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-10-30,16.27,16.27,16.27,16.27,214,601554.0,0.0,60.61,6.14,0.03
2017-10-31,18.28,18.28,18.28,18.28,144,444320.0,0.0,12.35,2.01,0.02
2017-11-01,20.48,20.48,20.48,20.48,94,319694.0,0.0,12.04,2.2,0.01
2017-11-02,22.91,22.91,22.91,22.91,234,874421.0,0.0,11.87,2.43,0.03
2017-11-03,25.58,25.58,25.58,25.58,1214,4995610.0,0.0,11.65,2.67,0.17
2017-11-06,28.53,28.53,28.53,28.53,1869,8462593.0,0.0,11.53,2.95,0.27
2017-11-07,31.76,31.76,31.76,31.76,2348,11694484.0,0.0,11.32,3.23,0.34
2017-11-08,35.32,35.32,35.32,35.32,1881,10303570.0,0.0,11.21,3.56,0.27
2017-11-09,39.23,39.23,39.23,39.23,4791,28873338.0,0.0,11.07,3.91,0.68
2017-11-10,43.54,43.54,43.54,43.54,5080,33672006.0,0.0,10.99,4.31,0.73
2017-11-13,48.28,48.28,48.28,48.28,9076,66182484.0,0.0,10.89,4.74,1.3
2017-11-14,53.48,53.48,53.48,53.48,29057,233068603.0,0.0,10.77,5.2,4.15
2017-11-15,53.6,53.08,56.18,51.12,469978,3780211088.0,9.46,-0.75,-0.4,67.14
2017-11-16,51.19,51.32,55.15,50.55,264119,2086593312.0,8.67,-3.32,-1.76,37.73
2017-11-17,53.4,51.68,55.13,50.71,287788,2306303776.0,8.61,0.7,0.36,41.11
2017-11-20,47.63,46.13,48.26,46.13,237699,1671748304.0,4.12,-10.74,-5.55,33.96
2017-11-21,46.12,42.4,46.91,41.13,248737,1646286608.0,12.53,-8.09,-3.73,35.53
2017-11-22,41.47,40.72,42.58,39.42,176560,1110026720.0,7.45,-3.96,-1.68,25.22
2017-11-23,40.95,40.0,42.15,39.57,159432,1006023008.0,6.34,-1.77,-0.72,22.78
2017-11-24,39.05,37.02,39.4,36.46,152296,895832112.0,7.35,-7.45,-2.98,21.76
2017-11-27,36.81,37.15,38.33,35.85,119115,685005936.0,6.7,0.35,0.13,17.02
2017-11-28,36.95,38.01,38.1,36.94,100494,582963328.0,3.12,2.31,0.86,14.36
2017-11-29,37.93,36.7,37.93,34.1,157483,875006624.0,10.08,-3.45,-1.31,22.5
2017-11-30,36.2,37.13,38.33,35.87,131868,760389600.0,6.7,1.17,0.43,18.84
2017-12-01,37.17,36.25,37.32,35.75,84862,478304624.0,4.23,-2.37,-0.88,12.12
2017-12-04,35.75,32.24,35.75,32.24,130076,679716224.0,9.68,-11.06,-4.01,18.58
2017-12-05,31.8,32.08,32.98,31.21,87565,443187824.0,5.49,-0.5,-0.16,12.51
2017-12-06,32.15,33.81,34.12,31.91,108438,559182320.0,6.89,5.39,1.73,15.49
2017-12-07,33.34,33.46,35.33,32.73,119228,634436496.0,7.69,-1.04,-0.35,17.03
2017-12-08,33.14,34.07,35.05,33.14,106827,569422272.0,5.71,1.82,0.61,15.26
2017-12-11,33.77,34.05,34.46,33.76,71132,376775664.0,2.05,-0.06,-0.02,10.16
2017-12-12,34.3,34.75,36.16,34.06,133546,729336288.0,6.17,2.06,0.7,19.08
2017-12-13,34.09,35.22,35.24,33.2,91891,488998384.0,5.87,1.35,0.47,13.13
2017-12-14,34.98,36.18,36.54,34.95,117004,650528848.0,4.51,2.73,0.96,16.71
2017-12-15,35.83,34.4,36.1,34.28,88161,480672496.0,5.03,-4.92,-1.78,12.59
2017-12-18,34.84,35.04,35.6,34.34,60085,325507344.0,3.66,1.86,0.64,8.58
2017-12-19,34.9,34.23,35.55,33.84,73531,395023056.0,4.88,-2.31,-0.81,10.5
2017-12-20,33.93,32.69,34.2,32.49,75025,387176352.0,5.0,-4.5,-1.54,10.72
2017-12-21,32.62,33.35,33.74,31.4,80536,413727232.0,7.16,2.02,0.66,11.51
