日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-23,6.49,7.81,7.81,6.49,184,145362.0,24.54,45.17,2.43,0.03
2017-01-24,8.61,8.61,8.61,8.61,38,33288.0,0.0,10.24,0.8,0.01
2017-01-25,9.49,9.49,9.49,9.49,76,73264.0,0.0,10.22,0.88,0.01
2017-01-26,10.45,10.45,10.45,10.45,144,152640.0,0.0,10.12,0.96,0.02
2017-02-03,11.51,11.51,11.51,11.51,306,357204.0,0.0,10.14,1.06,0.05
2017-02-06,12.68,12.68,12.68,12.68,385,494442.0,0.0,10.17,1.17,0.06
2017-02-07,13.96,13.96,13.96,13.96,394,556540.0,0.0,10.09,1.28,0.07
2017-02-08,15.37,15.37,15.37,15.37,349,541461.0,0.0,10.1,1.41,0.06
2017-02-09,16.92,16.92,16.92,16.92,516,881289.0,0.0,10.08,1.55,0.09
2017-02-10,18.63,18.63,18.63,18.63,997,1873173.0,0.0,10.11,1.71,0.17
2017-02-13,20.51,20.51,20.51,20.51,1066,2202893.0,0.0,10.09,1.88,0.18
2017-02-14,22.58,22.58,22.58,22.58,706,1605124.0,0.0,10.09,2.07,0.12
2017-02-15,24.85,24.85,24.85,24.85,1095,2736375.0,0.0,10.05,2.27,0.18
2017-02-16,27.35,27.35,27.35,27.35,11346,31202490.0,0.0,10.06,2.5,1.89
2017-02-17,30.1,30.1,30.1,30.1,49111,148559323.0,0.0,10.05,2.75,8.19
2017-02-20,28.85,27.08,28.85,27.08,79352,220251191.0,5.88,-10.03,-3.02,13.23
2017-02-21,25.16,27.22,28.04,24.73,301790,798407824.0,12.22,0.52,0.14,50.3
2017-02-22,26.2,25.53,26.65,24.89,216744,560577504.0,6.47,-6.21,-1.69,36.12
2017-02-23,25.26,26.34,26.44,25.26,190135,495702752.0,4.62,3.17,0.81,31.69
2017-02-24,27.24,26.21,28.45,26.17,210231,572443424.0,8.66,-0.49,-0.13,35.04
2017-02-27,25.5,26.89,27.15,25.16,178618,467554016.0,7.59,2.59,0.68,29.77
2017-02-28,26.48,26.35,26.58,25.73,121152,319106800.0,3.16,-2.01,-0.54,20.19
2017-03-01,26.26,25.7,26.81,25.63,118139,310684736.0,4.48,-2.47,-0.65,19.69
2017-03-02,25.59,26.85,28.07,25.5,218492,587633504.0,10.0,4.47,1.15,36.42
