日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.79,2.8,2.82,2.77,88153,49209956.0,1.77,-0.71,-0.02,2.8
2010-01-05,2.78,2.78,2.8,2.72,75170,41485736.0,2.86,-0.71,-0.02,2.39
2010-01-06,2.78,2.79,2.83,2.76,81126,45511844.0,2.52,0.36,0.01,2.58
2010-01-07,2.79,2.81,2.88,2.76,150406,84888728.0,4.3,0.72,0.02,4.78
2010-01-08,2.81,2.92,2.93,2.77,208353,119559200.0,5.69,3.91,0.11,6.62
2010-01-11,2.93,2.93,2.95,2.87,140076,81482224.0,2.74,0.34,0.01,4.45
2010-01-12,2.93,2.98,2.98,2.87,164746,96507792.0,3.75,1.71,0.05,5.24
2010-01-13,2.9,3.15,3.2,2.88,582266,356781536.0,10.74,5.7,0.17,18.51
2010-01-14,3.14,3.11,3.15,3.06,258895,160496624.0,2.86,-1.27,-0.04,8.23
2010-01-15,3.1,3.05,3.16,3.01,197901,121810824.0,4.82,-1.93,-0.06,6.29
2010-01-18,3.06,3.07,3.08,3.01,129812,79232496.0,2.3,0.66,0.02,4.13
2010-01-19,3.06,3.14,3.14,3.02,180181,110928400.0,3.91,2.28,0.07,5.73
2010-01-20,3.15,3.01,3.16,2.95,190978,117400440.0,6.69,-4.14,-0.13,6.07
2010-01-21,2.98,2.96,3.04,2.94,96703,57631080.0,3.32,-1.66,-0.05,3.07
2010-01-22,2.93,2.95,3.0,2.86,105032,61830820.0,4.73,-0.34,-0.01,3.34
2010-01-25,2.93,2.87,2.98,2.86,65524,38156224.0,4.07,-2.71,-0.08,2.08
2010-01-26,2.87,2.72,2.89,2.67,93230,51441852.0,7.67,-5.23,-0.15,2.96
2010-01-27,2.72,2.71,2.77,2.69,57144,31216914.0,2.94,-0.37,-0.01,1.82
2010-01-28,2.71,2.74,2.77,2.68,37385,20420320.0,3.32,1.11,0.03,1.19
2010-01-29,2.75,2.76,2.8,2.72,53443,29468390.0,2.92,0.73,0.02,1.7
2010-02-01,2.74,2.7,2.77,2.65,48313,26086466.0,4.35,-2.17,-0.06,1.54
2010-02-02,2.73,2.76,2.79,2.72,65107,35726232.0,2.59,2.22,0.06,2.07
2010-02-03,2.75,2.86,2.87,2.74,98178,55184924.0,4.71,3.62,0.1,3.12
2010-02-04,2.86,2.85,2.89,2.82,71738,40875420.0,2.45,-0.35,-0.01,2.28
2010-02-05,2.78,2.89,2.95,2.77,98690,56720652.0,6.32,1.4,0.04,3.14
2010-02-08,2.87,3.01,3.02,2.86,139345,82787752.0,5.54,4.15,0.12,4.43
2010-02-09,2.98,2.98,3.04,2.95,74964,44720356.0,2.99,-1.0,-0.03,2.38
