日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-12-28,6.88,8.36,8.36,6.88,99,175501.0,26.19,47.96,2.71,0.04
2016-12-29,9.25,9.25,9.25,9.25,36,71298.0,0.0,10.65,0.89,0.01
2016-12-30,10.23,10.23,10.23,10.23,52,111808.0,0.0,10.59,0.98,0.02
2017-01-03,11.31,11.31,11.31,11.31,57,134862.0,0.0,10.56,1.08,0.02
2017-01-04,12.49,12.49,12.49,12.49,49,128223.0,0.0,10.43,1.18,0.02
2017-01-05,13.79,13.79,13.79,13.79,72,206021.0,0.0,10.41,1.3,0.03
2017-01-06,15.22,15.22,15.22,15.22,220,691929.0,0.0,10.37,1.43,0.08
2017-01-09,16.8,16.8,16.8,16.8,357,1235366.0,0.0,10.38,1.58,0.13
2017-01-10,18.53,18.53,18.53,18.53,474,1804720.0,0.0,10.3,1.73,0.18
2017-01-11,20.43,20.43,20.43,20.43,2022,8476046.0,0.0,10.25,1.9,0.75
2017-01-12,19.49,18.34,19.58,18.34,138486,536404736.0,6.07,-10.23,-2.09,51.29
2017-01-13,17.99,16.95,18.19,16.83,110075,393586304.0,7.42,-7.58,-1.39,40.77
2017-01-16,16.67,16.47,17.35,15.77,79215,273282208.0,9.32,-2.83,-0.48,29.34
2017-01-17,16.28,17.18,17.7,15.93,85009,294269648.0,10.75,4.31,0.71,31.48
2017-01-18,16.88,16.23,17.13,16.23,58071,199762053.0,5.24,-5.53,-0.95,21.51
2017-01-19,15.87,15.85,16.4,15.36,52257,172068967.0,6.41,-2.34,-0.38,19.35
2017-01-20,15.92,16.44,16.73,15.73,50564,171394156.0,6.31,3.72,0.59,18.73
2017-01-23,16.33,17.17,17.39,16.32,59801,209741529.0,6.51,4.44,0.73,22.15
2017-01-24,16.98,17.11,17.91,16.88,57244,204365587.0,6.0,-0.35,-0.06,21.2
2017-01-25,16.9,17.67,17.81,16.76,50501,181399595.0,6.14,3.27,0.56,18.7
2017-01-26,17.88,17.73,17.88,17.39,43092,156591013.0,2.77,0.34,0.06,15.96
2017-02-03,17.68,17.27,17.69,17.22,31799,114116827.0,2.65,-2.59,-0.46,11.78
2017-02-06,17.35,18.27,18.32,17.35,56655,208489371.0,5.62,5.79,1.0,20.98
2017-02-07,18.13,17.93,18.13,17.57,44532,163743988.0,3.07,-1.86,-0.34,16.49
2017-02-08,17.98,18.59,18.81,17.8,54668,205848202.0,5.63,3.68,0.66,20.25
2017-02-09,18.43,18.64,18.88,18.31,45138,172461671.0,3.07,0.27,0.05,16.72
2017-02-10,18.62,17.88,18.75,17.85,39934,149310619.0,4.83,-4.08,-0.76,14.79
2017-02-13,17.93,19.72,19.72,17.73,51236,197725575.0,11.13,10.29,1.84,18.98
2017-02-14,19.43,19.92,20.91,19.23,94065,386385616.0,8.52,1.01,0.2,34.84
2017-02-15,19.8,20.58,21.96,19.75,89300,382830304.0,11.09,3.31,0.66,33.07
2017-02-16,19.99,19.46,20.17,19.17,65855,265209023.0,4.86,-5.44,-1.12,24.39
2017-02-17,19.44,18.78,19.68,18.78,48445,191070765.0,4.62,-3.49,-0.68,17.94
2017-02-20,18.69,18.84,18.93,18.18,30866,117480230.0,3.99,0.32,0.06,11.43
2017-02-21,18.75,19.25,19.33,18.73,28877,113254884.0,3.18,2.18,0.41,10.7
2017-02-22,19.1,19.02,19.22,18.62,22579,87937612.0,3.12,-1.19,-0.23,8.36
2017-02-23,18.97,19.58,19.72,18.68,38210,152352690.0,5.47,2.94,0.56,14.15
2017-02-24,19.6,20.07,20.38,19.6,41278,169816676.0,3.98,2.5,0.49,15.29
2017-02-27,19.88,19.81,20.12,19.57,32617,132528277.0,2.74,-1.3,-0.26,12.08
2017-02-28,19.84,19.96,19.96,19.38,26537,107454164.0,2.93,0.76,0.15,9.83
2017-03-01,19.97,19.66,20.08,19.48,23615,95833901.0,3.01,-1.5,-0.3,8.75
2017-03-02,19.71,19.86,20.01,19.57,26343,107194436.0,2.24,1.02,0.2,9.76
2017-03-03,19.63,19.34,19.74,19.31,40244,161295781.0,2.17,-2.62,-0.52,14.91
2017-03-06,19.28,20.0,20.03,19.28,33969,138115074.0,3.88,3.41,0.66,12.58
2017-03-07,20.08,20.4,20.45,19.87,42361,175014719.0,2.9,2.0,0.4,15.69
2017-03-08,20.39,20.54,20.56,20.16,34631,144708971.0,1.96,0.69,0.14,12.83
2017-03-09,20.37,19.96,20.42,19.71,31763,130006270.0,3.46,-2.82,-0.58,11.76
2017-03-10,19.96,20.13,20.27,19.84,23013,94784528.0,2.15,0.85,0.17,8.52
2017-03-13,20.06,20.63,20.63,19.66,31822,132379220.0,4.82,2.48,0.5,11.79
2017-03-14,20.54,20.58,21.11,20.48,35752,152035528.0,3.05,-0.24,-0.05,13.24
2017-03-15,20.47,20.66,20.88,20.13,29685,124868556.0,3.64,0.39,0.08,10.99
2017-03-16,20.63,21.36,21.65,20.63,45695,198551703.0,4.94,3.39,0.7,16.92
2017-03-17,21.29,21.59,22.2,20.9,69601,306929264.0,6.09,1.08,0.23,25.78
2017-03-20,21.51,23.07,23.09,21.51,76484,349590960.0,7.32,6.86,1.48,28.33
2017-03-21,22.98,22.93,23.15,22.41,56346,261695815.0,3.21,-0.61,-0.14,20.87
2017-03-22,22.68,22.8,23.06,22.3,49868,231485086.0,3.31,-0.57,-0.13,18.47
2017-03-23,22.9,21.68,23.02,20.98,60850,273819744.0,8.95,-4.91,-1.12,22.54
2017-03-24,21.68,21.89,22.15,21.48,32358,145181794.0,3.09,0.97,0.21,11.98
2017-03-27,21.97,22.12,22.19,21.47,28132,125978866.0,3.29,1.05,0.23,10.42
2017-03-28,22.08,21.23,22.11,21.12,26559,118154321.0,4.48,-4.02,-0.89,9.84
2017-03-29,21.13,19.9,21.37,19.69,37702,157549687.0,7.91,-6.26,-1.33,13.96
2017-03-30,19.62,19.28,19.72,19.25,27718,110758247.0,2.36,-3.12,-0.62,10.27
2017-03-31,19.34,19.02,19.63,18.82,21230,83899245.0,4.2,-1.35,-0.26,7.86
2017-04-05,19.01,19.53,19.65,18.73,18571,73787440.0,4.84,2.68,0.51,6.88
2017-04-06,19.49,19.6,19.96,19.43,16117,65149880.0,2.71,0.36,0.07,5.97
2017-04-07,19.54,19.71,19.88,19.37,21145,85093722.0,2.6,0.56,0.11,7.83
2017-04-10,19.55,19.24,19.79,18.49,33016,131563765.0,6.6,-2.38,-0.47,12.23
2017-04-11,18.98,18.58,19.45,17.6,40484,153542395.0,9.62,-3.43,-0.66,14.99
2017-04-12,18.52,18.02,18.55,17.99,14324,53840640.0,3.01,-3.01,-0.56,5.31
2017-04-13,17.98,18.19,18.53,17.9,13239,49840045.0,3.5,0.94,0.17,4.9
2017-04-14,18.17,17.74,18.22,17.74,10186,37601582.0,2.64,-2.47,-0.45,3.77
2017-04-17,17.04,16.03,17.04,15.98,20710,69812516.0,5.98,-9.64,-1.71,7.67
2017-04-18,16.07,15.87,16.34,15.79,10667,35392434.0,3.43,-1.0,-0.16,3.95
2017-04-19,15.96,16.33,16.48,15.77,14972,49746609.0,4.47,2.9,0.46,5.55
2017-04-20,16.22,15.93,16.41,15.4,13419,44087530.0,6.18,-2.45,-0.4,4.97
2017-04-21,17.52,17.02,17.58,16.88,59785,214180728.0,4.39,6.84,1.09,22.14
2017-04-24,15.98,15.98,16.42,15.48,39185,129621777.0,5.52,-6.11,-1.04,14.51
2017-04-25,16.05,16.39,16.73,15.98,27782,94401645.0,4.69,2.57,0.41,10.29
2017-04-26,16.35,16.93,17.51,16.29,37691,132112581.0,7.44,3.29,0.54,13.96
2017-04-27,16.79,17.79,17.96,16.54,35800,127968553.0,8.39,5.08,0.86,13.26
2017-04-28,17.81,17.83,18.23,17.71,24108,89066783.0,2.92,0.22,0.04,8.93
2017-05-02,17.73,17.79,18.1,17.63,15800,58140506.0,2.64,-0.22,-0.04,5.85
2017-05-03,17.79,18.17,18.28,17.79,21067,78299623.0,2.75,2.14,0.38,7.8
2017-05-04,18.21,17.68,18.22,17.68,17954,66241550.0,2.97,-2.7,-0.49,6.65
2017-05-05,17.56,18.0,18.67,17.56,28698,107319489.0,6.28,1.81,0.32,10.63
