日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.78,3.81,3.85,3.67,186145,187899768.0,4.83,2.14,0.08,6.69
2010-01-05,3.77,3.82,3.92,3.71,151892,154448549.0,5.51,0.26,0.01,5.46
2010-01-06,3.76,3.67,3.83,3.66,143495,144501075.0,4.45,-3.93,-0.15,5.16
2010-01-07,3.8,3.92,4.22,3.8,344458,364281303.0,11.44,6.81,0.25,12.39
2010-01-08,3.72,4.05,4.12,3.71,279084,292492570.0,10.46,3.32,0.13,10.04
2010-01-11,4.03,4.03,4.24,3.96,214279,229659658.0,6.91,-0.49,-0.02,7.71
2010-01-12,4.03,4.07,4.2,4.01,157297,168001959.0,4.71,0.99,0.04,5.66
2010-01-13,3.96,3.95,4.13,3.91,154307,162119423.0,5.41,-2.95,-0.12,5.55
2010-01-14,3.95,4.16,4.22,3.91,204459,218724337.0,7.85,5.32,0.21,7.35
2010-01-15,4.16,4.16,4.2,4.05,120823,129437094.0,3.61,0.0,0.0,4.34
2010-01-18,4.21,4.3,4.41,4.16,201645,223371487.0,6.01,3.37,0.14,7.25
2010-01-19,4.3,4.47,4.5,4.23,175901,197412369.0,6.28,3.95,0.17,6.33
2010-01-20,4.49,4.32,4.49,4.13,207567,230340890.0,8.05,-3.36,-0.15,7.46
2010-01-21,4.27,4.3,4.41,4.21,129088,143184008.0,4.63,-0.46,-0.02,4.64
2010-01-22,4.28,4.17,4.43,4.0,161130,176356930.0,10.0,-3.02,-0.13,5.79
2010-01-25,4.21,4.12,4.26,4.02,116950,125997032.0,5.76,-1.2,-0.05,4.21
2010-01-26,4.16,3.72,4.16,3.66,112271,114917104.0,12.14,-9.71,-0.4,4.04
2010-01-27,3.72,3.73,3.87,3.65,101069,102128229.0,5.91,0.27,0.01,3.63
2010-01-28,3.78,3.86,3.89,3.73,94326,96612701.0,4.29,3.49,0.13,3.39
2010-01-29,3.81,3.98,4.01,3.78,140136,145916228.0,5.96,3.11,0.12,5.04
2010-02-01,3.96,3.86,3.96,3.71,97215,99174981.0,6.28,-3.02,-0.12,3.5
2010-02-02,3.88,3.87,3.99,3.84,121035,125768358.0,3.89,0.26,0.01,4.35
2010-02-03,3.88,3.87,3.91,3.6,107226,108784887.0,8.01,0.0,0.0,3.86
2010-02-04,3.83,3.9,3.98,3.74,81150,83999278.0,6.2,0.78,0.03,2.92
2010-02-05,3.77,3.72,3.85,3.66,72544,72971621.0,4.87,-4.62,-0.18,2.61
2010-02-08,3.74,3.76,3.86,3.73,38330,39003246.0,3.49,1.08,0.04,1.38
2010-02-09,3.76,3.77,3.85,3.73,34729,35229586.0,3.19,0.27,0.01,1.25
2010-02-10,3.82,3.8,3.86,3.76,36367,36900987.0,2.65,0.8,0.03,1.31
2010-02-11,3.83,4.01,4.1,3.81,158449,166826232.0,7.63,5.53,0.21,5.7
2010-02-12,4.04,4.13,4.21,4.01,100528,107568992.0,4.99,2.99,0.12,3.61
2010-02-22,4.16,4.05,4.16,4.0,54980,58629006.0,3.87,-1.94,-0.08,1.98
2010-02-23,4.06,4.1,4.11,3.89,72641,76482671.0,5.43,1.23,0.05,2.61
2010-02-24,4.05,4.29,4.31,4.0,137067,149284151.0,7.56,4.63,0.19,4.93
2010-02-25,4.29,4.32,4.41,4.21,148465,164557107.0,4.66,0.7,0.03,5.34
2010-02-26,4.28,4.41,4.54,4.25,135495,152454708.0,6.71,2.08,0.09,4.87
2010-03-01,4.43,4.53,4.6,4.38,156765,179124473.0,4.99,2.72,0.12,5.64
2010-03-02,4.57,4.74,4.85,4.51,281777,333314259.0,7.51,4.64,0.21,10.13
2010-03-03,4.71,4.77,4.99,4.64,220494,264491034.0,7.38,0.63,0.03,7.93
2010-03-04,4.82,4.63,4.93,4.5,183532,214534407.0,9.01,-2.94,-0.14,6.6
2010-03-05,4.63,4.75,4.82,4.46,181540,213097514.0,7.78,2.59,0.12,6.53
2010-03-08,4.76,4.88,5.04,4.6,219043,265114064.0,9.26,2.74,0.13,7.88
2010-03-09,4.88,4.81,4.99,4.73,128427,154428052.0,5.33,-1.43,-0.07,4.62
2010-03-10,4.76,4.78,4.85,4.65,165273,196747565.0,4.16,-0.62,-0.03,5.94
2010-03-11,4.81,4.81,5.1,4.77,186720,226676211.0,6.9,0.63,0.03,6.71
2010-03-12,4.77,4.65,4.93,4.6,123393,147071448.0,6.86,-3.33,-0.16,4.44
2010-03-15,4.67,4.55,4.67,4.49,75753,87215343.0,3.87,-2.15,-0.1,2.72
2010-03-16,4.57,4.76,4.82,4.56,134694,159143017.0,5.71,4.62,0.21,4.84
2010-03-17,4.71,4.92,4.96,4.67,196829,237779740.0,6.09,3.36,0.16,7.08
2010-03-18,4.95,5.08,5.15,4.89,248466,308462546.0,5.28,3.25,0.16,8.93
2010-03-19,5.08,5.13,5.18,5.0,167044,208851435.0,3.54,0.98,0.05,6.01
2010-03-22,5.09,5.45,5.47,5.06,241037,308479780.0,7.99,6.24,0.32,8.67
2010-03-23,5.43,5.4,5.66,5.17,271857,354043212.0,8.99,-0.92,-0.05,9.78
2010-03-24,5.32,5.37,5.43,5.18,214663,275517151.0,4.63,-0.56,-0.03,7.72
2010-03-25,5.37,5.27,5.37,5.18,108574,138633936.0,3.54,-1.86,-0.1,3.9
2010-03-26,5.24,5.37,5.48,5.17,182880,237325653.0,5.88,1.9,0.1,6.58
2010-03-29,5.38,5.41,5.53,5.26,179850,233734909.0,5.03,0.74,0.04,6.47
2010-03-30,5.38,5.35,5.54,5.31,202414,264255055.0,4.25,-1.11,-0.06,7.28
2010-03-31,5.33,5.41,5.49,5.3,180138,234465530.0,3.55,1.12,0.06,6.48
2010-04-01,5.45,5.54,5.7,5.45,278439,371245578.0,4.62,2.4,0.13,10.01
2010-04-02,5.55,5.33,5.59,5.32,245970,320774831.0,4.87,-3.79,-0.21,8.85
2010-04-06,5.3,5.28,5.33,5.19,131311,167461804.0,2.63,-0.94,-0.05,4.72
2010-04-07,5.24,5.28,5.31,5.21,68824,87978246.0,1.89,0.0,0.0,2.47
2010-04-08,5.26,5.32,5.36,5.18,88580,113654653.0,3.41,0.76,0.04,3.19
2010-04-09,5.29,5.39,5.43,5.29,101724,132363820.0,2.63,1.32,0.07,3.66
2010-04-12,5.39,5.45,5.53,5.38,129243,169942993.0,2.78,1.11,0.06,4.65
2010-04-13,5.45,5.08,5.49,4.94,159246,200969874.0,10.09,-6.79,-0.37,5.73
2010-04-14,5.1,5.0,5.12,4.88,105251,128934290.0,4.72,-1.57,-0.08,3.78
2010-04-15,4.98,5.02,5.03,4.9,84533,103477227.0,2.6,0.4,0.02,3.04
2010-04-16,4.96,4.97,5.01,4.91,48263,59141602.0,1.99,-1.0,-0.05,1.74
2010-04-19,4.91,4.41,4.91,4.38,111882,131189487.0,10.66,-11.27,-0.56,4.02
2010-04-20,4.35,4.43,4.46,4.16,70466,78470483.0,6.8,0.45,0.02,2.53
2010-04-21,4.46,4.71,4.8,4.4,105441,122341898.0,9.03,6.32,0.28,3.79
2010-04-22,4.71,4.66,4.78,4.57,82306,96400700.0,4.46,-1.06,-0.05,2.96
2010-04-23,4.63,4.72,4.87,4.63,73601,87646961.0,5.15,1.29,0.06,2.65
2010-04-26,4.73,4.9,4.94,4.72,77312,93628656.0,4.66,3.81,0.18,2.78
2010-04-27,4.93,4.87,5.01,4.63,101138,121283969.0,7.76,-0.61,-0.03,3.64
2010-04-28,4.82,4.55,4.82,4.52,98538,115705414.0,6.16,-6.57,-0.32,3.54
2010-04-29,4.6,4.21,4.7,4.17,89090,101030220.0,11.65,-7.47,-0.34,3.2
2010-04-30,4.26,4.06,4.29,3.82,77021,82403288.0,11.16,-3.56,-0.15,2.77
2010-05-04,3.95,4.07,4.17,3.88,37031,39535147.0,7.14,0.25,0.01,1.33
2010-05-05,4.02,4.19,4.21,3.99,45721,49049008.0,5.41,2.95,0.12,1.64
2010-05-06,4.19,4.06,4.35,4.05,72407,79246732.0,7.16,-3.1,-0.13,2.6
2010-05-07,3.88,3.94,4.1,3.83,48109,50469807.0,6.65,-2.96,-0.12,1.73
2010-05-10,3.95,3.83,4.05,3.62,47568,48598861.0,10.91,-2.79,-0.11,1.71
2010-05-11,3.97,3.6,4.02,3.59,51206,51822775.0,11.23,-6.01,-0.23,1.84
2010-05-12,3.6,3.49,3.71,3.38,47468,46047830.0,9.17,-3.06,-0.11,1.71
