日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.18,6.38,6.41,6.18,93305,146630112.0,3.7,2.57,0.16,4.01
2010-01-05,6.38,6.56,6.61,6.35,121580,198177584.0,4.08,2.82,0.18,5.22
2010-01-06,6.57,6.48,6.71,6.47,111876,184303888.0,3.66,-1.22,-0.08,4.8
2010-01-07,6.48,6.29,6.58,6.27,66623,106829712.0,4.78,-2.93,-0.19,2.86
2010-01-08,6.28,6.3,6.41,6.16,52003,80950016.0,3.97,0.16,0.01,2.23
2010-01-11,6.35,6.17,6.36,6.06,107878,164673344.0,4.76,-2.06,-0.13,4.63
2010-01-12,6.19,6.37,6.39,6.12,70054,109828040.0,4.38,3.24,0.2,3.01
2010-01-13,6.27,6.48,6.58,6.2,88825,142691728.0,5.97,1.73,0.11,3.81
2010-01-14,6.48,6.65,6.69,6.48,86314,142058960.0,3.24,2.62,0.17,3.71
2010-01-15,6.76,6.81,6.94,6.74,132472,227042560.0,3.01,2.41,0.16,5.69
2010-01-18,6.74,6.87,6.87,6.64,79537,135399520.0,3.38,0.88,0.06,3.42
2010-01-19,6.99,6.92,7.08,6.87,84400,148196384.0,3.06,0.73,0.05,3.62
2010-01-20,6.94,6.54,6.96,6.42,91440,154567328.0,7.8,-5.49,-0.38,3.93
2010-01-21,6.55,6.74,6.79,6.55,54736,92135376.0,3.67,3.06,0.2,2.35
2010-01-22,6.6,6.45,6.83,6.4,100357,166143696.0,6.38,-4.3,-0.29,4.31
2010-01-25,6.49,6.44,6.6,6.44,40745,66416656.0,2.48,-0.16,-0.01,1.75
2010-01-26,6.43,6.5,6.58,6.21,45557,73009432.0,5.75,0.93,0.06,1.96
2010-01-27,6.52,6.43,6.57,6.4,44437,72030728.0,2.62,-1.08,-0.07,1.91
2010-01-28,6.43,6.51,6.57,6.43,41575,67579832.0,2.18,1.24,0.08,1.79
2010-01-29,6.46,6.65,6.7,6.42,55736,91985120.0,4.3,2.15,0.14,2.39
2010-02-02,6.6,6.48,6.7,6.44,53615,88403624.0,3.91,-2.56,-0.17,2.3
2010-02-03,6.45,6.43,6.51,6.27,53713,85638808.0,3.7,-0.77,-0.05,2.31
2010-02-04,6.41,6.31,6.48,6.27,50786,80724784.0,3.27,-1.87,-0.12,2.18
2010-02-05,6.23,6.1,6.31,6.04,84070,127920072.0,4.28,-3.33,-0.21,3.61
2010-02-08,6.09,6.13,6.18,6.05,25711,39009048.0,2.13,0.49,0.03,1.1
2010-02-09,6.13,6.35,6.51,6.1,51758,81063248.0,6.69,3.59,0.22,2.22
2010-02-10,6.36,6.45,6.5,6.29,33930,54359896.0,3.31,1.57,0.1,1.46
2010-02-11,6.48,6.54,6.57,6.36,33614,54472644.0,3.26,1.4,0.09,1.44
2010-02-12,6.56,6.68,6.7,6.5,31097,51754832.0,3.06,2.14,0.14,1.34
2010-02-22,6.66,6.63,6.78,6.57,27041,45383356.0,3.14,-0.75,-0.05,1.16
2010-02-23,6.62,6.75,6.76,6.51,36497,60869468.0,3.77,1.81,0.12,1.57
2010-02-24,6.73,6.8,6.93,6.68,51719,88581032.0,3.7,0.74,0.05,2.22
2010-02-25,6.81,7.05,7.07,6.77,85063,149204048.0,4.41,3.68,0.25,3.65
2010-02-26,6.99,6.96,7.05,6.93,38759,68283808.0,1.7,-1.28,-0.09,1.66
2010-03-01,6.97,6.99,7.11,6.89,48519,85489064.0,3.16,0.43,0.03,2.08
2010-03-02,7.04,7.06,7.18,6.99,68556,123212400.0,2.72,1.0,0.07,2.94
2010-03-03,7.08,7.03,7.18,7.02,65096,116944128.0,2.27,-0.42,-0.03,2.8
2010-03-04,7.02,6.8,7.11,6.76,58000,101456224.0,4.98,-3.27,-0.23,2.49
2010-03-05,6.85,6.73,6.9,6.64,49483,83588376.0,3.82,-1.03,-0.07,2.13
2010-03-08,6.73,6.78,6.88,6.72,24008,41197432.0,2.38,0.74,0.05,1.03
2010-03-09,6.81,6.8,6.88,6.72,23648,40586460.0,2.36,0.29,0.02,1.02
2010-03-10,6.81,6.58,6.82,6.55,37984,63429796.0,3.97,-3.24,-0.22,1.63
2010-03-11,6.59,6.55,6.63,6.42,45091,73432776.0,3.19,-0.46,-0.03,1.94
2010-03-12,6.55,6.53,6.6,6.48,40106,65697428.0,1.83,-0.31,-0.02,1.72
2010-03-15,6.52,6.69,6.7,6.48,44491,73724640.0,3.37,2.45,0.16,1.91
2010-03-16,6.73,6.73,6.8,6.59,48463,81583448.0,3.14,0.6,0.04,2.08
2010-03-17,6.75,6.82,6.82,6.69,32894,55835872.0,1.93,1.34,0.09,1.41
2010-03-18,6.83,6.76,6.92,6.73,39152,67143824.0,2.79,-0.88,-0.06,1.68
2010-03-19,6.74,6.77,6.78,6.69,27587,46669804.0,1.33,0.15,0.01,1.18
2010-03-22,6.78,6.68,6.79,6.66,41581,69916056.0,1.92,-1.33,-0.09,1.79
