日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.75,6.65,6.81,6.62,33705,25940212.0,2.82,-1.34,-0.09,1.66
2010-01-05,6.65,6.8,6.84,6.63,46867,36344056.0,3.16,2.26,0.15,2.31
2010-01-06,6.8,6.69,6.85,6.68,32213,25075408.0,2.5,-1.62,-0.11,1.59
2010-01-07,6.66,6.44,6.68,6.42,41221,30944526.0,3.89,-3.74,-0.25,2.03
2010-01-08,6.43,6.57,6.59,6.39,25618,19072440.0,3.11,2.02,0.13,1.26
2010-01-11,6.59,6.66,6.69,6.51,27294,20717434.0,2.74,1.37,0.09,1.35
2010-01-12,6.66,6.83,6.88,6.6,50929,39789900.0,4.2,2.55,0.17,2.51
2010-01-13,6.71,6.8,6.94,6.66,44434,34829384.0,4.1,-0.44,-0.03,2.19
2010-01-14,6.8,6.93,6.96,6.79,62194,49237248.0,2.5,1.91,0.13,3.07
2010-01-15,6.94,7.0,7.01,6.85,49742,39456780.0,2.31,1.01,0.07,2.45
2010-01-18,6.96,7.06,7.11,6.95,63659,51228012.0,2.29,0.86,0.06,3.14
2010-01-19,7.05,7.06,7.14,6.92,59038,47600340.0,3.12,0.0,0.0,2.91
2010-01-20,7.07,7.04,7.3,6.94,128610,104848680.0,5.1,-0.28,-0.02,6.34
2010-01-21,6.91,7.19,7.2,6.9,75327,61074716.0,4.26,2.13,0.15,3.71
2010-01-22,7.15,7.25,7.45,7.03,120903,100406600.0,5.84,0.83,0.06,5.96
2010-01-25,7.24,7.65,7.96,7.05,226154,197101184.0,12.55,5.52,0.4,11.15
2010-01-26,7.53,7.1,7.78,6.97,183683,154612528.0,10.59,-7.19,-0.55,9.06
2010-01-27,7.0,7.23,7.35,6.74,148676,121185544.0,8.59,1.83,0.13,7.33
2010-01-28,7.2,7.62,7.62,7.0,201680,171070784.0,8.58,5.39,0.39,9.94
2010-01-29,7.6,7.52,7.86,7.46,211963,185140912.0,5.25,-1.31,-0.1,10.45
2010-02-01,7.44,7.93,8.03,7.18,167788,146350080.0,11.3,5.45,0.41,8.27
2010-02-02,7.89,7.83,8.25,7.75,187607,170959264.0,6.31,-1.26,-0.1,9.25
2010-02-03,7.71,8.08,8.16,7.57,164063,148154512.0,7.54,3.19,0.25,8.09
2010-02-04,8.05,8.28,8.42,7.94,170600,159740912.0,5.94,2.48,0.2,8.41
2010-02-05,8.21,8.06,8.69,7.85,188685,176867216.0,10.14,-2.66,-0.22,9.3
2010-02-08,8.21,8.32,8.42,7.99,154756,144791904.0,5.33,3.23,0.26,7.63
2010-02-09,8.32,8.21,8.52,7.9,164320,153856864.0,7.45,-1.32,-0.11,8.1
2010-02-10,8.19,8.35,8.42,8.16,160672,151733504.0,3.17,1.71,0.14,7.92
2010-02-11,8.35,8.52,8.78,8.21,200700,194158400.0,6.83,2.04,0.17,9.9
2010-02-12,8.69,8.96,9.39,8.52,222917,225343776.0,10.21,5.16,0.44,10.99
2010-02-22,8.97,9.0,9.24,8.62,191506,194343264.0,6.92,0.45,0.04,9.44
2010-02-23,9.0,8.79,9.15,8.69,158704,159727024.0,5.11,-2.33,-0.21,7.83
2010-02-24,8.81,8.74,8.9,8.49,158955,155811056.0,4.66,-0.57,-0.05,7.84
2010-02-25,8.69,8.92,8.95,8.6,148979,148726688.0,4.0,2.06,0.18,7.35
2010-02-26,8.81,8.61,8.88,8.57,132477,131195024.0,3.48,-3.48,-0.31,6.53
2010-03-01,8.51,8.56,8.7,8.51,110881,108463920.0,2.21,-0.58,-0.05,5.47
2010-03-02,8.65,8.96,9.16,8.64,196717,199387760.0,6.07,4.67,0.4,9.7
2010-03-03,8.89,8.83,8.94,8.66,108251,108173848.0,3.13,-1.45,-0.13,5.34
2010-03-04,8.75,8.14,8.79,8.04,122387,117218488.0,8.49,-7.81,-0.69,6.03
2010-03-05,8.1,8.23,8.25,8.09,60787,56566212.0,1.97,1.11,0.09,3.0
2010-03-08,8.23,8.2,8.35,8.12,41629,39051904.0,2.79,-0.36,-0.03,2.05
2010-03-09,8.25,8.25,8.36,8.15,43908,41295016.0,2.56,0.61,0.05,2.16
2010-03-10,8.22,7.92,8.34,7.83,65136,59649556.0,6.18,-4.0,-0.33,3.21
2010-03-11,7.95,7.88,7.95,7.67,46885,41829724.0,3.54,-0.51,-0.04,2.31
2010-03-12,7.85,7.84,7.98,7.81,36886,33191432.0,2.16,-0.51,-0.04,1.82
2010-03-15,7.82,8.07,8.07,7.82,46985,42745040.0,3.19,2.93,0.23,2.32
2010-03-16,8.07,8.12,8.12,7.95,37911,34752428.0,2.11,0.62,0.05,1.87
2010-03-17,8.12,8.22,8.23,8.06,37894,35214060.0,2.09,1.23,0.1,1.87
2010-03-18,8.21,8.12,8.24,8.07,42137,39090480.0,2.07,-1.22,-0.1,2.08
2010-03-19,8.12,8.06,8.18,7.98,43019,39460372.0,2.46,-0.74,-0.06,2.12
2010-03-22,8.07,8.05,8.09,7.91,36845,33543434.0,2.23,-0.12,-0.01,1.82
2010-03-23,8.04,8.14,8.15,7.94,47360,43582064.0,2.61,1.12,0.09,2.34
2010-03-24,8.14,8.15,8.21,8.08,34513,32016574.0,1.6,0.12,0.01,1.7
2010-03-25,8.16,7.8,8.2,7.8,51393,46388884.0,4.91,-4.29,-0.35,2.53
2010-03-26,7.78,7.87,7.96,7.74,25552,22905040.0,2.82,0.9,0.07,1.26
2010-03-29,7.86,7.99,8.07,7.86,30978,28201426.0,2.67,1.52,0.12,1.53
2010-03-30,7.98,8.0,8.08,7.96,24299,22168608.0,1.5,0.13,0.01,1.2
2010-03-31,8.0,7.91,8.06,7.86,37166,33736412.0,2.5,-1.13,-0.09,1.83
2010-04-01,7.95,8.1,8.16,7.88,48651,44666484.0,3.54,2.4,0.19,2.4
2010-04-02,8.1,8.94,8.94,8.05,222248,218706720.0,10.99,10.37,0.84,10.96
2010-04-06,9.22,9.85,9.86,9.22,379751,418323488.0,7.16,10.18,0.91,18.72
2010-04-08,9.53,9.16,9.6,9.01,330096,346342016.0,5.99,-7.01,-0.69,16.28
2010-04-09,8.96,9.02,9.13,8.94,157565,161665056.0,2.07,-1.53,-0.14,7.77
2010-04-12,9.01,9.07,9.19,8.95,154349,158828656.0,2.66,0.55,0.05,7.61
2010-04-13,8.98,8.79,9.09,8.56,169223,170029296.0,5.84,-3.09,-0.28,8.34
2010-04-14,8.73,8.9,8.9,8.59,77956,77729912.0,3.53,1.25,0.11,3.84
2010-04-15,8.85,8.62,8.95,8.55,73511,72977088.0,4.49,-3.15,-0.28,3.62
2010-04-16,8.58,8.81,8.88,8.45,61597,61196828.0,4.99,2.2,0.19,3.04
2010-04-19,8.76,8.35,8.76,8.35,78781,77067184.0,4.65,-5.22,-0.46,3.88
2010-04-20,8.25,8.5,8.54,8.16,65815,62560596.0,4.55,1.8,0.15,3.25
2010-04-21,8.45,8.79,8.87,8.39,133246,132293936.0,5.65,3.41,0.29,6.57
2010-04-22,8.8,8.91,9.07,8.73,121394,123525496.0,3.87,1.37,0.12,5.99
2010-04-23,8.85,8.66,9.06,8.6,85225,85250736.0,5.16,-2.81,-0.25,4.2
2010-04-27,8.68,9.32,9.39,8.68,221393,229467680.0,8.2,7.62,0.66,10.92
2010-04-28,9.05,9.4,9.53,8.87,163795,171689568.0,7.08,0.86,0.08,8.08
2010-04-29,9.16,8.43,9.22,8.43,215964,213591120.0,8.4,-10.32,-0.97,10.65
2010-06-09,7.62,8.15,8.21,7.62,174766,155369312.0,7.0,-3.32,-0.28,8.62
2010-06-10,7.8,7.94,8.07,7.74,97602,88430656.0,4.05,-2.58,-0.21,4.81
2010-06-11,7.96,7.78,8.03,7.75,58832,52637220.0,3.53,-2.02,-0.16,2.9
2010-06-17,7.83,7.84,8.06,7.83,54605,49430996.0,2.96,0.77,0.06,2.69
2010-06-18,7.75,7.03,7.84,7.03,76747,64068684.0,10.33,-10.33,-0.81,3.78
2010-06-21,6.98,7.13,7.18,6.81,48783,39251828.0,5.26,1.42,0.1,2.41
2010-06-22,7.12,7.11,7.24,7.07,38837,31710076.0,2.38,-0.28,-0.02,1.91
2010-06-23,7.05,6.95,7.19,6.81,48297,38701020.0,5.34,-2.25,-0.16,2.38
2010-06-24,6.93,7.16,7.22,6.93,46081,37414968.0,4.17,3.02,0.21,2.27
2010-06-25,7.12,7.02,7.19,6.94,30198,24386824.0,3.49,-1.96,-0.14,1.49
2010-06-28,7.05,6.85,7.13,6.85,26191,20905666.0,3.99,-2.42,-0.17,1.29
2010-06-29,6.85,6.25,6.93,6.18,46491,34297592.0,10.95,-8.76,-0.6,2.29
2010-07-01,6.16,5.88,6.24,5.86,41254,28552960.0,6.08,-5.92,-0.37,2.03
2010-07-02,5.88,5.82,5.88,5.55,51164,33863568.0,5.61,-1.02,-0.06,2.52
2010-07-05,5.67,5.75,5.81,5.58,26710,17653106.0,3.95,-1.2,-0.07,1.32
2010-07-06,5.75,5.88,5.94,5.69,38687,26195390.0,4.35,2.26,0.13,1.91
2010-07-07,5.98,5.95,5.98,5.8,30684,20903218.0,3.06,1.19,0.07,1.51
2010-07-08,5.95,5.86,5.97,5.79,28701,19499628.0,3.03,-1.51,-0.09,1.42
2010-07-09,5.85,6.17,6.26,5.78,61227,42526004.0,8.19,5.29,0.31,3.02
2010-07-12,6.13,6.16,6.31,6.1,45570,32488778.0,3.4,-0.16,-0.01,2.25
2010-07-13,6.16,6.21,6.33,6.09,53553,38434788.0,3.9,0.81,0.05,2.64
