日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-02-29,2.32,2.07,2.35,2.03,119834,257997188.0,28.07,81.58,0.93,89.43
2012-03-01,1.92,2.16,2.21,1.92,67200,137645871.0,14.01,4.35,0.09,50.15
2012-03-02,2.12,2.2,2.32,2.12,59259,128870064.0,9.26,1.85,0.04,44.22
2012-03-05,2.18,2.26,2.31,2.16,54540,119658751.0,6.82,2.73,0.06,40.7
2012-03-06,2.23,2.15,2.24,2.13,36986,78503975.0,4.87,-4.87,-0.11,27.6
2012-03-07,2.11,2.39,2.39,2.1,52461,117916871.0,13.49,11.16,0.24,39.15
2012-03-08,2.44,2.57,2.63,2.42,90558,217902972.0,8.79,7.53,0.18,67.58
2012-03-09,2.54,2.56,2.67,2.5,68204,168600320.0,6.61,-0.39,-0.01,50.9
2012-03-12,2.56,2.6,2.61,2.5,50804,125483004.0,4.3,1.56,0.04,37.91
2012-03-13,2.6,2.62,2.74,2.55,56736,145902182.0,7.31,0.77,0.02,42.34
2012-03-14,2.58,2.42,2.66,2.37,56527,139032045.0,11.07,-7.63,-0.2,42.18
2012-03-15,2.39,2.45,2.51,2.39,39608,94208677.0,4.96,1.24,0.03,29.56
2012-03-16,2.42,2.36,2.46,2.21,42631,96726488.0,10.2,-3.67,-0.09,31.81
2012-03-19,2.31,2.3,2.34,2.24,28369,63061010.0,4.24,-2.54,-0.06,21.17
2012-03-20,2.3,2.29,2.35,2.24,25543,57225867.0,4.78,-0.43,-0.01,19.06
2012-03-21,2.28,2.11,2.3,2.04,30997,64853025.0,11.35,-7.86,-0.18,23.13
2012-03-22,2.06,2.1,2.13,2.05,15287,31285431.0,3.79,-0.47,-0.01,11.41
2012-03-23,2.08,2.05,2.08,2.01,13814,27792392.0,3.33,-2.38,-0.05,10.31
2012-03-26,2.05,2.07,2.08,2.01,12751,25759319.0,3.41,0.98,0.02,9.52
2012-03-27,2.1,2.09,2.12,2.05,15684,32145111.0,3.38,0.97,0.02,11.7
2012-03-28,2.08,1.86,2.08,1.86,18765,36090743.0,10.53,-11.0,-0.23,14.0
2012-03-29,1.8,1.73,1.81,1.68,19332,33833575.0,6.99,-6.99,-0.13,14.43
2012-03-30,1.74,1.66,1.75,1.65,13949,23764668.0,5.78,-4.05,-0.07,10.41
2012-04-05,1.67,1.77,1.77,1.67,16837,29030808.0,6.02,6.63,0.11,12.56
2012-04-06,1.77,1.77,1.79,1.73,15225,26664891.0,3.39,0.0,0.0,11.36
2012-04-10,1.7,1.88,1.89,1.67,23760,41977259.0,12.43,6.21,0.11,17.73
2012-04-11,1.83,1.85,1.88,1.81,17345,31746127.0,3.72,-1.6,-0.03,12.94
2012-04-12,1.86,1.87,1.89,1.8,17495,32058062.0,4.86,1.08,0.02,13.06
2012-04-13,1.89,1.89,1.95,1.87,19411,36529821.0,4.28,1.07,0.02,14.49
2012-04-16,1.87,1.8,1.87,1.8,18042,32551751.0,3.7,-4.76,-0.09,13.46
