日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,18.77,19.13,19.57,18.77,134022,260548790.0,4.29,2.52,0.47,3.5
2010-01-05,19.16,19.8,19.89,19.16,135790,268887914.0,3.82,3.5,0.67,3.54
2010-01-06,19.85,19.82,20.54,19.63,146630,297946113.0,4.6,0.1,0.02,3.83
2010-01-07,19.72,19.22,19.97,19.11,86187,169768602.0,4.34,-3.03,-0.6,2.25
2010-01-08,19.2,20.37,20.53,19.15,87815,174955044.0,7.18,5.98,1.15,2.29
2010-01-11,20.5,20.61,21.1,20.02,144928,301732902.0,5.3,1.18,0.24,3.78
2010-01-12,20.52,20.39,20.82,20.03,87494,180046901.0,3.83,-1.07,-0.22,2.28
2010-01-13,19.75,19.41,20.22,19.18,133676,266122485.0,5.1,-4.81,-0.98,3.49
2010-01-14,19.4,20.79,20.86,19.4,145548,295129769.0,7.52,7.11,1.38,3.8
2010-01-15,20.83,21.43,21.82,20.83,137487,296760923.0,4.76,3.08,0.64,3.59
2010-01-18,21.52,22.51,22.67,21.32,151057,337337943.0,6.3,5.04,1.08,3.94
2010-01-19,22.49,22.39,23.02,22.12,113785,259629129.0,4.0,-0.53,-0.12,2.97
2010-01-20,22.47,22.33,23.43,21.82,141762,327422650.0,7.19,-0.27,-0.06,3.7
2010-01-21,22.34,22.79,23.25,22.33,100395,229778759.0,4.12,2.06,0.46,2.62
2010-01-22,22.37,21.52,22.46,20.49,106254,231486535.0,8.64,-5.57,-1.27,2.77
2010-01-25,21.22,20.65,21.97,20.52,58356,123983281.0,6.74,-4.04,-0.87,1.52
2010-01-26,20.52,19.57,21.05,19.43,105766,216823684.0,7.85,-5.23,-1.08,2.76
2010-01-27,19.65,19.74,20.3,19.53,62413,125087234.0,3.93,0.87,0.17,1.63
2010-01-28,19.5,20.07,20.57,19.42,140695,283229196.0,5.83,1.67,0.33,3.67
2010-01-29,19.84,19.91,20.63,19.66,108637,221209510.0,4.83,-0.8,-0.16,2.83
2010-02-01,19.72,18.89,19.72,18.72,88190,169776085.0,5.02,-5.12,-1.02,2.3
2010-02-02,19.07,19.24,19.7,19.07,85340,166514566.0,3.34,1.85,0.35,2.23
2010-02-03,19.48,19.8,19.86,18.38,77770,150880588.0,7.69,2.91,0.56,2.03
2010-02-04,19.67,20.57,20.86,19.38,76633,156913414.0,7.47,3.89,0.77,2.0
2010-02-05,19.82,21.01,21.67,19.52,107815,229195843.0,10.45,2.14,0.44,2.81
2010-02-08,20.92,20.61,21.27,20.5,35972,75294138.0,3.66,-1.9,-0.4,0.94
2010-02-09,20.62,20.25,20.92,19.98,34157,69898105.0,4.56,-1.75,-0.36,0.89
2010-02-10,20.51,20.82,20.88,20.32,37111,77552709.0,2.77,2.81,0.57,0.97
2010-02-11,20.82,20.77,21.07,20.55,30740,64456115.0,2.5,-0.24,-0.05,0.8
2010-02-12,20.87,20.64,20.92,20.5,24696,51579169.0,2.02,-0.63,-0.13,0.64
2010-02-22,20.71,20.84,21.01,20.34,32259,67716022.0,3.25,0.97,0.2,0.84
2010-02-23,20.84,21.06,21.09,20.23,32492,67677197.0,4.13,1.06,0.22,0.85
2010-02-24,20.98,21.81,21.85,20.64,55372,120488376.0,5.75,3.56,0.75,1.44
2010-02-25,21.84,21.89,22.28,21.53,47794,105214793.0,3.44,0.37,0.08,1.25
2010-02-26,21.82,21.79,22.07,21.42,49609,108725864.0,2.97,-0.46,-0.1,1.29
2010-03-01,21.66,22.02,22.32,21.57,45574,101364909.0,3.44,1.06,0.23,1.19
2010-03-02,22.02,22.98,23.07,21.92,85900,195986669.0,5.22,4.36,0.96,2.24
2010-03-03,23.0,23.17,24.0,22.64,105805,249342860.0,5.92,0.83,0.19,2.76
2010-03-04,23.24,22.28,23.67,22.17,103400,239810768.0,6.47,-3.84,-0.89,2.7
2010-03-05,22.28,21.88,22.63,21.61,45940,102077781.0,4.58,-1.8,-0.4,1.2
2010-03-08,21.74,21.82,22.52,21.67,62397,138847063.0,3.88,-0.27,-0.06,1.63
2010-03-09,22.0,21.79,22.0,21.52,35937,78793641.0,2.2,-0.14,-0.03,0.94
2010-03-10,21.72,21.52,21.93,21.32,29648,64476383.0,2.8,-1.24,-0.27,0.77
2010-03-11,21.37,21.44,21.79,21.12,34506,74597092.0,3.11,-0.37,-0.08,0.9
2010-03-12,21.39,21.38,21.68,21.32,37766,81900546.0,1.68,-0.28,-0.06,0.99
2010-03-15,21.38,20.69,21.49,20.5,52913,111103646.0,4.63,-3.23,-0.69,1.38
2010-03-16,20.69,20.78,20.82,20.35,35014,72863771.0,2.27,0.43,0.09,0.91
2010-03-17,20.94,21.59,21.71,20.7,40360,86389413.0,4.86,3.9,0.81,1.05
2010-03-18,21.48,21.65,22.08,21.42,47667,104503399.0,3.06,0.28,0.06,1.24
2010-03-19,21.72,21.42,21.8,21.2,29521,63852162.0,2.77,-1.06,-0.23,0.77
2010-03-22,21.42,21.33,21.42,20.72,43381,92120273.0,3.27,-0.42,-0.09,1.13
2010-03-23,21.04,21.25,21.42,21.04,41380,88682189.0,1.78,-0.38,-0.08,1.08
2010-03-24,21.42,22.13,22.54,21.32,77866,172862683.0,5.74,4.14,0.88,2.03
2010-03-25,22.2,22.21,22.39,21.92,53759,120034573.0,2.12,0.36,0.08,1.4
2010-03-26,22.2,22.73,22.79,21.95,60698,137700811.0,3.78,2.34,0.52,1.58
2010-03-29,22.68,22.46,22.79,22.19,64919,146400257.0,2.64,-1.19,-0.27,1.69
2010-03-30,20.27,20.62,21.47,20.27,346418,729285098.0,5.34,-8.19,-1.84,9.04
2010-03-31,20.27,20.79,20.86,19.61,245782,500196518.0,6.06,0.82,0.17,6.41
2010-04-01,20.42,20.86,21.02,20.42,165589,346901465.0,2.89,0.34,0.07,4.32
2010-04-02,20.84,20.35,20.85,20.12,134565,277879721.0,3.5,-2.44,-0.51,3.51
2010-04-06,20.27,20.37,20.61,20.2,57239,117762775.0,2.01,0.1,0.02,1.49
2010-04-08,20.37,19.83,20.4,19.32,180254,357301440.0,5.3,-2.65,-0.54,4.7
2010-04-09,19.69,19.81,19.92,19.48,112318,223087365.0,2.22,-0.1,-0.02,2.93
2010-04-12,19.72,19.48,19.91,19.3,109736,217399830.0,3.08,-1.67,-0.33,2.86
2010-04-13,19.48,18.53,19.48,17.81,178152,333738361.0,8.57,-4.88,-0.95,4.65
2010-04-14,18.37,19.07,19.22,18.13,94794,180573524.0,5.88,2.91,0.54,2.47
