日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-08-28,17.54,21.19,21.19,17.54,164,839516.0,25.17,46.14,6.69,0.14
2019-08-29,23.38,23.38,23.38,23.38,129,727044.0,0.0,10.34,2.19,0.11
2019-08-30,25.79,25.79,25.79,25.79,230,1426000.0,0.0,10.31,2.41,0.2
2019-09-02,28.44,28.44,28.44,28.44,528,3600960.0,0.0,10.28,2.65,0.46
2019-09-03,31.35,31.35,31.35,31.35,947,7100793.0,0.0,10.23,2.91,0.82
2019-09-04,34.56,34.56,34.56,34.56,907,7484233.0,0.0,10.24,3.21,0.79
2019-09-05,38.08,38.08,38.08,36.13,73951,660752624.0,5.64,10.19,3.52,64.3
2019-09-06,36.89,35.18,37.97,35.14,51415,448343648.0,7.43,-7.62,-2.9,44.71
2019-09-09,34.68,36.0,36.67,33.69,33289,280167312.0,8.47,2.33,0.82,28.95
2019-09-10,35.63,38.34,39.67,35.62,40634,367929728.0,11.25,6.5,2.34,35.33
2019-09-11,37.71,36.58,39.42,36.33,32305,289345488.0,8.06,-4.59,-1.76,28.09
2019-09-12,36.76,37.02,38.09,36.76,22412,199429622.0,3.64,1.2,0.44,19.49
2019-09-16,36.76,39.89,40.15,36.76,35635,330438608.0,9.16,7.75,2.87,30.99
2019-09-17,39.31,40.66,40.74,38.53,30584,287859600.0,5.54,1.93,0.77,26.6
2019-09-18,40.45,38.99,40.98,38.99,26179,248990994.0,4.89,-4.11,-1.67,22.76
2019-09-19,39.1,40.33,40.39,38.14,24718,231351417.0,5.77,3.44,1.34,21.49
2019-09-20,41.39,39.01,43.68,38.85,39225,383571264.0,11.98,-3.27,-1.32,34.11
2019-09-23,37.99,38.92,39.03,37.21,21820,197904828.0,4.67,-0.23,-0.09,18.97
2019-09-24,38.61,39.5,39.68,37.89,20673,190923802.0,4.6,1.49,0.58,17.98
2019-09-25,39.14,38.21,40.45,38.12,23331,218712966.0,5.9,-3.27,-1.29,20.29
2019-09-26,38.16,36.15,38.76,35.49,25394,223875008.0,8.56,-5.39,-2.06,22.08
2019-09-27,36.04,36.53,36.68,35.86,10706,92908469.0,2.27,1.05,0.38,9.31
2019-09-30,36.13,34.55,36.55,34.55,13164,110942114.0,5.47,-5.42,-1.98,11.45
2019-10-08,34.5,32.21,34.95,31.91,16901,134015351.0,8.8,-6.77,-2.34,14.7
2019-10-09,31.85,32.42,32.45,31.44,9513,72716479.0,3.14,0.65,0.21,8.27
2019-10-10,32.41,33.13,33.39,32.01,10244,80270132.0,4.26,2.19,0.71,8.91
2019-10-11,33.12,32.6,33.46,32.24,9410,73725492.0,3.68,-1.6,-0.53,8.18
2019-10-14,33.06,33.47,33.93,32.89,10749,86148526.0,3.19,2.67,0.87,9.35
2019-10-15,33.09,33.67,33.71,32.53,9780,77138886.0,3.53,0.6,0.2,8.5
2019-10-16,33.48,33.93,34.55,33.48,10053,81928048.0,3.18,0.77,0.26,8.74
2019-10-17,33.78,34.39,34.5,33.62,8694,71082447.0,2.59,1.36,0.46,7.56
2019-10-18,34.38,32.45,34.38,32.41,13067,104450529.0,5.73,-5.64,-1.94,11.36
2019-10-21,32.45,30.56,32.6,30.15,13030,97164450.0,7.55,-5.82,-1.89,11.33
2019-10-22,30.62,31.17,31.28,30.62,6000,44430458.0,2.16,2.0,0.61,5.22
