日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-07-17,6.51,6.61,6.71,6.25,182337,208726820.0,6.42,-7.81,-0.56,34.73
2012-07-18,6.44,6.06,6.44,5.87,108972,118230480.0,8.62,-8.32,-0.55,20.76
2012-07-19,5.93,6.08,6.28,5.93,83112,90854543.0,5.78,0.33,0.02,15.83
2012-07-20,6.01,5.89,6.07,5.85,42869,45602830.0,3.62,-3.13,-0.19,8.17
2012-07-23,5.81,5.85,5.87,5.71,27729,28901073.0,2.72,-0.68,-0.04,5.28
2012-07-24,5.77,5.93,6.01,5.76,27092,28801326.0,4.27,1.37,0.08,5.16
2012-07-25,5.9,5.95,6.13,5.84,32327,34732631.0,4.89,0.34,0.02,6.16
2012-07-26,5.89,5.85,6.03,5.79,32541,34453057.0,4.03,-1.68,-0.1,6.2
2012-07-27,5.87,5.91,5.94,5.81,18734,19758176.0,2.22,1.03,0.06,3.57
2012-07-30,5.91,5.85,5.95,5.81,18534,19547806.0,2.37,-1.02,-0.06,3.53
2012-07-31,5.79,5.72,6.01,5.68,35301,37010727.0,5.64,-2.22,-0.13,6.72
2012-08-01,5.73,5.91,5.93,5.73,20626,21663233.0,3.5,3.32,0.19,3.93
2012-08-02,5.87,5.96,6.0,5.86,31286,33318138.0,2.37,0.85,0.05,5.96
2012-08-03,5.97,6.03,6.08,5.91,37824,40737426.0,2.85,1.17,0.07,7.2
2012-08-06,5.99,6.08,6.11,5.96,30837,33295393.0,2.49,0.83,0.05,5.87
2012-08-07,6.08,6.19,6.26,6.04,37824,41561141.0,3.62,1.81,0.11,7.2
2012-08-08,6.11,6.17,6.27,6.09,22015,24211926.0,2.91,-0.32,-0.02,4.19
2012-08-09,6.16,6.22,6.23,6.04,19560,21446559.0,3.08,0.81,0.05,3.73
2012-08-10,6.22,6.19,6.29,6.15,20482,22693287.0,2.25,-0.48,-0.03,3.9
2012-08-13,6.19,6.05,6.23,6.01,12944,14042512.0,3.55,-2.26,-0.14,2.47
2012-08-14,5.99,5.94,6.04,5.83,17160,18204443.0,3.47,-1.82,-0.11,3.27
2012-08-15,5.91,5.98,6.01,5.84,14141,15056570.0,2.86,0.67,0.04,2.69
2012-08-16,5.98,5.93,6.03,5.89,7772,8293056.0,2.34,-0.84,-0.05,1.48
2012-08-17,5.91,6.0,6.03,5.86,8701,9287773.0,2.87,1.18,0.07,1.66
2012-08-20,5.95,6.05,6.06,5.91,5477,5884939.0,2.5,0.83,0.05,1.04
2012-08-21,6.05,6.09,6.19,6.04,15103,16536078.0,2.48,0.66,0.04,2.88
2012-08-22,6.05,5.99,6.11,5.98,6686,7216592.0,2.13,-1.64,-0.1,1.27
2012-08-23,5.97,6.11,6.21,5.97,15629,17109322.0,4.01,2.0,0.12,2.98
2012-08-24,6.05,5.91,6.09,5.91,14352,15337354.0,2.95,-3.27,-0.2,2.73
2012-08-27,5.89,5.85,5.93,5.81,7538,7947818.0,2.03,-1.02,-0.06,1.44
2012-08-28,5.79,5.98,6.0,5.79,8961,9530968.0,3.59,2.22,0.13,1.71
2012-08-29,5.93,5.86,5.96,5.84,3928,4159622.0,2.01,-2.01,-0.12,0.75
2012-08-30,5.67,5.83,5.89,5.65,7646,7935668.0,4.1,-0.51,-0.03,1.46
2012-08-31,5.81,5.9,5.91,5.76,5372,5643271.0,2.57,1.2,0.07,1.02
2012-09-03,5.89,5.99,6.03,5.85,7923,8473637.0,3.05,1.53,0.09,1.51
2012-09-04,6.04,5.95,6.04,5.91,6475,6905923.0,2.17,-0.67,-0.04,1.23
2012-09-05,5.91,5.99,6.05,5.9,8581,9204447.0,2.52,0.67,0.04,1.63
2012-09-06,5.99,6.15,6.16,5.99,14177,15443904.0,2.84,2.67,0.16,2.7
2012-09-07,6.17,6.26,6.41,6.14,26422,29441735.0,4.39,1.79,0.11,5.03
2012-09-10,6.23,6.22,6.29,6.13,14498,15990324.0,2.56,-0.64,-0.04,2.76
2012-09-11,6.16,6.15,6.21,6.07,11857,12936094.0,2.25,-1.13,-0.07,2.26
2012-09-12,6.15,6.19,6.19,6.11,13472,14790317.0,1.3,0.65,0.04,2.57
2012-09-13,6.16,5.96,6.17,5.93,17027,18373336.0,3.88,-3.72,-0.23,3.24
2012-09-14,5.98,5.87,6.03,5.83,12035,12752010.0,3.36,-1.51,-0.09,2.29
2012-09-17,5.85,5.77,5.94,5.75,6374,6692854.0,3.24,-1.7,-0.1,1.21
2012-09-18,5.76,5.78,5.83,5.73,8807,9140337.0,1.73,0.17,0.01,1.68
2012-09-19,5.8,5.93,5.95,5.76,13380,14053939.0,3.29,2.6,0.15,2.55
2012-09-20,5.88,5.71,5.88,5.69,7105,7379387.0,3.2,-3.71,-0.22,1.35
2012-09-21,5.69,5.1,5.75,5.02,32652,31735074.0,12.78,-10.68,-0.61,6.22
2012-09-24,4.97,5.07,5.15,4.96,11162,10438990.0,3.73,-0.59,-0.03,2.13
2012-09-25,5.12,5.02,5.15,4.99,5254,4914672.0,3.16,-0.99,-0.05,1.0
2012-09-26,5.07,4.89,5.07,4.83,4903,4502091.0,4.78,-2.59,-0.13,0.93
2012-09-27,4.85,5.03,5.07,4.85,12135,11204893.0,4.5,2.86,0.14,2.31
2012-09-28,4.98,5.12,5.14,4.93,9855,9213558.0,4.17,1.79,0.09,1.88
2012-10-08,5.11,5.05,5.12,4.99,3268,3042905.0,2.54,-1.37,-0.07,0.62
2012-10-09,5.07,5.24,5.26,5.04,9039,8600148.0,4.36,3.76,0.19,1.72
2012-10-10,5.22,5.29,5.32,5.15,8365,8046111.0,3.24,0.95,0.05,1.59
2012-10-11,5.23,5.25,5.29,5.17,6874,6599197.0,2.27,-0.76,-0.04,1.31
2012-10-12,5.25,5.14,5.31,5.11,6121,5794664.0,3.81,-2.1,-0.11,1.17
2012-10-15,5.17,4.99,5.17,4.93,3758,3477012.0,4.67,-2.92,-0.15,0.72
2012-10-16,4.94,4.98,5.14,4.94,11705,10851256.0,4.01,-0.2,-0.01,2.23
2012-10-17,5.01,4.99,5.03,4.97,4825,4452994.0,1.2,0.2,0.01,0.92
2012-10-18,5.0,5.08,5.11,4.99,8781,8195310.0,2.4,1.8,0.09,1.67
2012-10-19,5.08,5.05,5.15,5.03,7421,6936847.0,2.36,-0.59,-0.03,1.41
2012-10-22,5.03,5.08,5.09,5.01,3134,2917645.0,1.58,0.59,0.03,0.6
2012-10-23,5.08,5.16,5.21,5.05,12181,11498546.0,3.15,1.57,0.08,2.32
2012-10-24,5.16,5.3,5.4,5.13,17448,16913104.0,5.23,2.71,0.14,3.32
2012-10-25,5.27,5.15,5.27,5.14,7175,6850710.0,2.45,-2.83,-0.15,1.37
2012-10-26,5.1,5.03,5.11,4.98,7842,7326123.0,2.52,-2.33,-0.12,1.49
2012-10-29,5.11,5.12,5.16,5.01,6568,6187218.0,2.98,1.79,0.09,1.25
2012-10-30,5.15,5.17,5.28,5.14,11639,11119222.0,2.73,0.98,0.05,2.22
2012-10-31,5.12,5.21,5.23,5.12,3913,3723755.0,2.13,0.77,0.04,0.75
2012-11-01,5.19,5.29,5.35,5.19,11583,11238485.0,3.07,1.54,0.08,2.21
2012-11-02,5.29,5.31,5.43,5.29,9425,9203107.0,2.65,0.38,0.02,1.8
2012-11-05,5.26,5.09,5.33,4.99,20097,18932849.0,6.4,-4.14,-0.22,3.83
2012-11-06,5.07,5.06,5.08,4.99,9505,8830310.0,1.77,-0.59,-0.03,1.81
2012-11-07,5.07,5.03,5.11,5.02,5843,5445350.0,1.78,-0.59,-0.03,1.11
2012-11-08,4.96,4.8,4.99,4.78,11210,10199806.0,4.17,-4.57,-0.23,2.14
2012-11-09,4.79,4.81,4.89,4.77,6352,5691177.0,2.5,0.21,0.01,1.21
2012-11-12,4.81,4.85,4.85,4.77,10451,9364979.0,1.66,0.83,0.04,1.99
2012-11-13,4.83,4.57,4.83,4.55,14938,13004926.0,5.77,-5.77,-0.28,2.85
2012-11-14,4.57,4.57,4.61,4.52,8081,6934479.0,1.97,0.0,0.0,1.54
2012-11-15,4.55,4.51,4.59,4.51,6661,5710647.0,1.75,-1.31,-0.06,1.27
2012-11-16,4.47,4.37,4.5,4.33,7502,6228671.0,3.77,-3.1,-0.14,1.43
2012-11-19,4.37,4.45,4.45,4.31,4643,3860758.0,3.2,1.83,0.08,0.88
2012-11-20,4.45,4.43,4.47,4.41,3744,3146854.0,1.35,-0.45,-0.02,0.71
2012-11-21,4.43,4.53,4.55,4.4,5010,4234045.0,3.39,2.26,0.1,0.95
2012-11-22,4.5,4.5,4.55,4.46,6006,5108294.0,1.99,-0.66,-0.03,1.14
2012-11-23,4.48,4.61,4.69,4.46,9390,8117648.0,5.11,2.44,0.11,1.79
2012-11-26,4.59,4.51,4.63,4.51,5599,4809778.0,2.6,-2.17,-0.1,1.07
