日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-05-27,4.83,5.3,5.3,4.83,52,139327.0,13.24,49.3,1.75,0.02
2015-05-28,5.88,5.88,5.88,5.88,21,62391.0,0.0,10.94,0.58,0.01
2015-05-29,6.51,6.51,6.51,6.51,39,127452.0,0.0,10.71,0.63,0.02
2015-06-01,7.2,7.2,7.2,7.2,11,39545.0,0.0,10.6,0.69,0.0
2015-06-02,7.96,7.96,7.96,7.96,6,23730.0,0.0,10.56,0.76,0.0
2015-06-03,8.8,8.8,8.8,8.8,48,208848.0,0.0,10.55,0.84,0.02
2015-06-04,9.73,9.73,9.73,9.73,54,258444.0,0.0,10.57,0.93,0.02
2015-06-05,10.74,10.74,10.74,10.74,50,263250.0,0.0,10.38,1.01,0.02
2015-06-08,11.86,11.86,11.86,11.86,97,561824.0,0.0,10.43,1.12,0.04
2015-06-09,13.09,13.09,13.09,13.09,285,1815735.0,0.0,10.37,1.23,0.11
2015-06-10,14.44,14.44,14.44,14.44,139,974112.0,0.0,10.31,1.35,0.06
2015-06-11,15.92,15.92,15.92,15.92,61,470249.0,0.0,10.25,1.48,0.02
2015-06-12,17.56,17.56,17.56,17.56,125,1060000.0,0.0,10.3,1.64,0.05
2015-06-15,19.36,19.36,19.36,19.36,493,4598704.0,0.0,10.25,1.8,0.2
2015-06-16,21.34,21.34,21.34,21.34,2022,20745997.0,0.0,10.23,1.98,0.81
2015-06-17,23.51,23.51,23.51,23.51,3560,40183864.0,0.0,10.17,2.17,1.42
2015-06-18,25.02,25.91,25.91,23.75,156146,1881292528.0,9.19,10.21,2.4,62.46
2015-06-19,24.4,25.45,28.21,24.28,93393,1178435936.0,15.17,-1.78,-0.46,37.36
2015-06-23,25.31,26.42,27.99,22.91,84434,1052945808.0,19.96,3.81,0.97,33.77
2015-06-24,27.88,24.6,28.84,24.01,76038,956177648.0,18.28,-6.89,-1.82,30.42
2015-06-25,23.33,22.1,24.62,22.1,65124,722468848.0,10.24,-10.16,-2.5,26.05
2015-06-26,20.57,19.85,20.74,19.85,28498,275074048.0,4.03,-10.18,-2.25,11.4
2015-06-29,18.35,17.82,18.83,17.82,53502,462580480.0,5.09,-10.23,-2.03,21.4
2015-06-30,16.35,17.83,18.64,15.99,53923,446332048.0,14.87,0.06,0.01,21.57
2015-07-01,17.07,16.01,19.54,16.01,55035,479857568.0,19.8,-10.21,-1.82,22.01
2015-07-02,16.12,15.41,16.92,15.08,45247,352310416.0,11.49,-3.75,-0.6,18.1
2015-07-03,14.46,15.0,16.33,14.14,36907,267902222.0,14.21,-2.66,-0.41,14.76
2015-07-06,16.55,13.46,16.55,13.46,37338,270844816.0,20.6,-10.27,-1.54,14.94
2015-07-07,12.51,12.07,12.75,12.07,13144,77942632.0,5.05,-10.33,-1.39,5.26
