日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.21,11.96,12.21,11.96,9179,18298860.5,2.07,-0.83,-0.1,2.34
2010-01-05,11.92,12.0,12.04,11.74,6630,13115033.76,2.51,0.33,0.04,1.69
2010-01-06,11.93,12.39,12.6,11.93,15294,31262804.06,5.58,3.25,0.39,3.89
2010-01-07,12.38,11.84,12.44,11.75,10729,21479772.25,5.57,-4.44,-0.55,2.73
2010-01-08,11.84,12.43,12.43,11.73,13376,26976826.38,5.91,4.98,0.59,3.41
2010-01-11,12.49,12.8,12.99,12.06,19839,41810637.79,7.48,2.98,0.37,5.05
2010-01-12,12.69,12.76,13.06,12.64,14336,30501129.4,3.28,-0.31,-0.04,3.65
2010-01-13,12.54,12.54,12.74,12.45,11240,23442956.49,2.27,-1.72,-0.22,2.86
2010-01-14,12.62,12.9,13.11,12.49,11968,25649931.25,4.94,2.87,0.36,3.05
2010-01-15,12.93,12.88,13.03,12.79,9317,19855903.25,1.86,-0.16,-0.02,2.37
2010-01-18,12.96,12.96,12.99,12.82,8414,17973876.12,1.32,0.62,0.08,2.14
2010-01-19,12.99,12.66,12.99,12.61,8818,18596284.4,2.93,-2.31,-0.3,2.24
2010-01-20,12.5,11.81,12.68,11.74,13351,26962011.95,7.42,-6.71,-0.85,3.4
2010-01-21,12.01,12.2,12.24,11.65,9851,19422836.55,5.0,3.3,0.39,2.51
2010-01-22,12.06,12.59,12.59,11.74,13864,28058043.22,6.97,3.2,0.39,3.53
2010-01-25,12.6,12.68,12.93,12.28,33564,70774171.38,5.16,0.71,0.09,8.54
2010-01-26,12.73,11.38,12.73,11.37,17243,33858104.94,10.73,-10.25,-1.3,4.39
2010-01-27,11.41,10.81,11.58,10.51,9594,17505720.32,9.4,-5.01,-0.57,2.44
2010-01-28,10.69,11.11,11.16,10.69,5539,10120210.0,4.35,2.78,0.3,1.41
2010-01-29,11.11,11.19,11.39,10.94,5753,10772396.07,4.05,0.72,0.08,1.46
2010-02-01,11.18,11.07,11.19,10.93,5673,10430948.64,2.32,-1.07,-0.12,1.44
2010-02-02,11.09,11.07,11.34,11.07,4605,8559494.26,2.44,0.0,0.0,1.17
2010-02-03,11.05,11.74,11.94,11.05,17482,33499818.71,8.04,6.05,0.67,4.45
2010-02-04,11.52,12.17,12.36,11.52,15528,31280976.32,7.16,3.66,0.43,3.95
2010-02-05,12.0,12.03,12.67,11.69,19987,40212362.35,8.05,-1.15,-0.14,5.09
2010-02-08,12.08,11.59,12.08,11.43,7670,14819608.69,5.4,-3.66,-0.44,1.95
2010-02-09,11.84,11.88,12.04,11.59,8940,17598209.59,3.88,2.5,0.29,2.28
2010-02-10,11.99,11.79,11.99,11.71,4331,8487293.62,2.36,-0.76,-0.09,1.1
2010-02-11,11.81,11.64,11.99,11.61,3323,6468109.33,3.22,-1.27,-0.15,0.85
2010-02-12,11.79,11.68,11.79,11.5,3356,6489070.41,2.49,0.34,0.04,0.85
2010-02-22,11.63,11.84,11.99,11.44,8669,17083204.21,4.71,1.37,0.16,2.21
2010-02-23,11.84,12.17,12.29,11.71,11758,23514525.17,4.9,2.79,0.33,2.99
2010-02-24,12.17,12.24,12.28,12.06,10464,21141701.55,1.81,0.58,0.07,2.66
2010-02-26,12.42,12.46,12.66,12.31,14630,30320009.07,2.86,1.8,0.22,3.72
2010-03-01,12.33,12.43,12.49,12.24,9165,18827144.74,2.01,-0.24,-0.03,2.33
2010-03-02,12.4,12.62,12.65,11.99,24111,49213576.92,5.31,1.53,0.19,6.14
2010-03-03,12.48,12.94,12.96,12.43,41358,87332209.11,4.2,2.54,0.32,10.53
2010-03-04,12.92,12.43,13.18,12.24,28179,59907403.36,7.26,-3.94,-0.51,7.17
2010-03-05,12.37,12.27,12.52,12.0,16252,32959318.55,4.18,-1.29,-0.16,4.14
2010-03-08,12.12,12.24,12.43,12.12,9915,20187919.78,2.53,-0.24,-0.03,2.52
2010-03-09,12.24,12.37,12.37,12.07,9248,18755898.91,2.45,1.06,0.13,2.35
2010-03-10,12.49,11.91,12.54,11.89,10711,21592303.11,5.25,-3.72,-0.46,2.73
2010-03-11,11.93,11.71,12.07,11.62,8391,16388307.23,3.78,-1.68,-0.2,2.14
2010-03-12,11.73,11.64,11.95,11.64,6435,12608307.14,2.65,-0.6,-0.07,1.64
2010-03-15,11.61,11.46,11.79,11.41,4709,8981841.98,3.26,-1.55,-0.18,1.2
2010-03-16,11.46,11.65,11.66,11.46,3617,6942133.32,1.75,1.66,0.19,0.92
2010-03-17,11.87,11.92,11.95,11.67,6627,13019498.46,2.4,2.32,0.27,1.69
2010-03-18,11.84,11.91,11.95,11.81,5752,11352089.71,1.17,-0.08,-0.01,1.46
2010-03-19,11.94,11.94,11.98,11.73,10578,20749332.6,2.1,0.25,0.03,2.69
2010-03-22,12.19,12.27,12.54,12.17,25081,51252586.39,3.1,2.76,0.33,6.38
2010-03-23,12.31,13.05,13.33,12.28,59583,126948943.91,8.56,6.36,0.78,15.17
2010-03-24,12.9,12.61,12.99,12.58,33543,70574284.24,3.14,-3.37,-0.44,8.54
2010-03-25,12.46,12.16,12.56,12.12,23599,48041989.92,3.49,-3.57,-0.45,6.01
2010-03-26,12.2,12.4,12.54,12.14,18850,38623316.02,3.29,1.97,0.24,4.8
2010-03-29,12.24,12.48,12.8,12.24,22151,45778973.13,4.52,0.65,0.08,5.64
2010-03-30,12.2,12.14,12.21,11.93,30778,61604955.34,2.24,-2.72,-0.34,7.84
2010-03-31,12.06,12.24,12.29,11.99,17669,35613401.29,2.47,0.82,0.1,4.5
2010-04-01,12.25,12.56,12.66,12.21,27408,56689811.59,3.68,2.61,0.32,6.98
2010-04-02,12.63,12.5,12.64,12.44,14227,29549055.37,1.59,-0.48,-0.06,3.62
2010-04-06,12.55,12.79,12.91,12.55,18248,38560759.71,2.88,2.32,0.29,4.65
2010-04-07,12.79,13.63,13.92,12.64,55804,123178405.39,10.01,6.57,0.84,14.21
2010-04-08,13.59,13.94,14.66,13.49,56593,130595293.31,8.58,2.27,0.31,14.41
2010-04-09,13.87,14.03,14.28,13.65,34498,79774591.48,4.52,0.65,0.09,8.78
2010-04-12,14.03,14.18,14.56,13.93,35674,83951822.73,4.49,1.07,0.15,9.08
2010-04-13,14.21,13.18,14.21,12.78,53668,119221932.6,10.08,-7.05,-1.0,13.66
2010-04-14,13.18,13.74,13.92,13.0,28108,63199590.69,6.98,4.25,0.56,7.16
2010-04-15,13.79,13.31,13.81,13.06,22059,48724920.95,5.46,-3.13,-0.43,5.62
2010-04-16,13.24,14.31,14.56,13.24,43107,99700978.02,9.92,7.51,1.0,10.97
2010-04-19,14.09,14.54,15.68,13.96,60446,147326229.59,12.02,1.61,0.23,15.39
2010-04-20,14.64,15.47,15.62,14.28,63388,158960459.06,9.22,6.4,0.93,16.14
2010-04-21,15.46,15.57,15.93,14.97,54130,136969627.21,6.21,0.65,0.1,13.78
2010-04-22,15.37,15.23,15.68,15.16,42885,108728994.34,3.34,-2.18,-0.34,10.92
2010-04-23,15.18,14.76,15.28,14.76,34082,84200270.37,3.41,-3.09,-0.47,8.68
2010-04-27,14.78,14.18,14.84,13.81,30574,71233027.29,6.98,-3.93,-0.58,7.78
2010-04-28,13.94,14.09,14.3,13.88,21374,49710409.06,2.96,-0.63,-0.09,5.44
2010-04-29,14.09,12.9,14.29,12.89,35591,79990803.58,9.94,-8.45,-1.19,9.06
2010-04-30,12.81,12.24,12.81,11.94,23799,48525917.29,6.74,-5.12,-0.66,6.06
2010-05-04,11.91,12.44,12.62,11.76,12449,25636435.52,7.03,1.63,0.2,3.17
2010-05-05,12.28,13.24,13.46,12.28,24288,52409969.86,9.49,6.43,0.8,6.18
2010-05-06,13.18,12.84,13.62,12.81,25604,56247211.25,6.12,-3.02,-0.4,6.52
2010-05-07,12.37,12.68,12.84,12.06,17953,37330193.27,6.07,-1.25,-0.16,4.57
2010-05-10,12.98,12.31,12.98,11.94,15097,30831789.88,8.2,-2.92,-0.37,3.84
2010-05-11,12.51,11.62,12.67,11.56,22584,45264913.07,9.02,-5.61,-0.69,5.75
2010-05-12,11.19,10.86,11.68,10.53,14345,26570138.45,9.9,-6.54,-0.76,3.65
2010-05-13,10.96,11.29,11.34,10.76,12881,23700004.82,5.34,3.96,0.43,3.28
2010-05-14,11.18,12.06,12.37,11.18,23351,45722447.66,10.54,6.82,0.77,5.94
2010-05-17,11.81,11.5,12.4,11.49,21355,42380390.94,7.55,-4.64,-0.56,5.44
2010-05-18,11.55,12.49,12.49,11.49,32163,64528110.06,8.7,8.61,0.99,8.19
2010-05-19,12.36,12.71,12.99,12.23,37242,78521009.87,6.08,1.76,0.22,9.48
2010-05-20,12.72,12.9,12.9,12.49,31199,65772225.91,3.23,1.49,0.19,7.94
2010-05-21,12.64,13.37,13.92,12.64,71634,159441813.21,9.92,3.64,0.47,18.24
2010-05-24,13.29,14.44,14.56,13.12,61524,143197595.91,10.77,8.0,1.07,15.66
2010-05-25,14.12,13.8,14.23,13.64,46465,106336226.72,4.09,-4.43,-0.64,11.83
2010-05-26,13.74,13.76,14.13,13.73,27824,63963191.3,2.9,-0.29,-0.04,7.08
2010-05-27,13.66,13.91,13.97,13.48,31046,70634271.06,3.56,1.09,0.15,7.9
2010-05-28,14.01,13.59,14.04,13.5,34100,76982905.43,3.88,-2.3,-0.32,8.68
2010-05-31,13.47,13.64,14.13,13.47,41142,94336405.83,4.86,0.37,0.05,10.47
2010-06-01,13.39,12.54,13.42,12.26,35295,74867786.12,8.5,-8.06,-1.1,8.99
2010-06-02,12.49,12.84,12.87,12.07,19374,40329370.09,6.38,2.39,0.3,4.93
2010-06-03,12.84,12.73,13.14,12.71,19964,42775706.43,3.35,-0.86,-0.11,5.08
2010-06-04,12.67,12.77,12.79,12.51,17245,36134595.32,2.2,0.31,0.04,4.39
2010-06-07,12.38,12.59,12.64,12.31,12308,25482269.21,2.58,-1.41,-0.18,3.13
2010-06-08,12.59,12.99,13.13,12.59,20190,43249183.02,4.29,3.18,0.4,5.14
2010-06-09,13.06,13.62,13.62,13.0,31502,69879733.28,4.77,4.85,0.63,8.02
2010-06-10,13.63,13.63,13.74,13.43,24150,54279197.92,2.28,0.07,0.01,6.15
2010-06-11,13.66,13.5,13.81,13.39,13856,30967826.36,3.08,-0.95,-0.13,3.53
2010-06-18,13.19,12.53,13.59,12.43,18382,39294758.41,8.59,-7.19,-0.97,4.68
2010-06-21,12.39,12.83,12.88,12.39,9902,20675049.08,3.91,2.39,0.3,2.52
2010-06-22,12.78,13.46,13.53,12.69,14868,32670617.17,6.55,4.91,0.63,3.79
2010-06-23,13.43,13.64,13.73,13.28,18034,40326333.31,3.34,1.34,0.18,4.59
2010-06-24,13.44,13.49,13.65,13.35,9254,20577642.03,2.2,-1.1,-0.15,2.36
2010-06-25,13.44,13.13,13.46,12.82,12728,27760475.24,4.74,-2.67,-0.36,3.24
2010-06-28,12.88,13.17,13.56,12.88,10635,23451316.54,5.18,0.3,0.04,2.71
2010-06-29,13.25,12.45,13.25,12.41,15371,32172098.0,6.38,-5.47,-0.72,3.91
2010-06-30,12.43,12.69,12.8,12.07,10824,22283535.38,5.86,1.93,0.24,2.76
2010-07-01,12.69,12.19,12.81,12.19,8117,16763116.02,4.89,-3.94,-0.5,2.07
2010-07-02,12.16,11.79,12.36,11.12,11173,21765180.74,10.17,-3.28,-0.4,2.84
2010-07-05,11.44,11.5,11.72,11.37,6013,11483761.84,2.97,-2.46,-0.29,1.53
2010-07-06,11.63,11.97,12.02,11.53,7629,15048061.32,4.26,4.09,0.47,1.94
2010-07-07,12.34,12.46,12.5,12.12,12852,26344558.34,3.17,4.09,0.49,3.27
2010-07-08,12.44,12.24,12.54,12.06,9358,18972647.93,3.85,-1.77,-0.22,2.38
2010-07-09,12.33,12.63,12.68,12.22,12598,26123210.92,3.76,3.19,0.39,3.21
2010-07-12,12.66,12.65,12.94,12.56,12745,26828038.58,3.01,0.16,0.02,3.24
2010-07-13,12.56,12.24,12.56,12.16,7330,14904195.98,3.16,-3.24,-0.41,1.87
2010-07-14,12.19,12.53,12.66,12.19,8129,16799103.71,3.84,2.37,0.29,2.07
2010-07-15,12.53,12.74,12.88,12.25,16310,34308854.95,5.03,1.68,0.21,4.15
2010-07-16,12.44,12.81,12.88,12.44,7184,15032385.39,3.45,0.55,0.07,1.83
2010-07-19,12.85,12.94,13.0,12.69,17616,37542073.72,2.42,1.01,0.13,4.48
2010-07-20,12.94,13.21,13.22,12.86,18847,40614944.39,2.78,2.09,0.27,4.8
2010-07-21,13.08,12.98,13.19,12.9,15875,34251362.28,2.2,-1.74,-0.23,4.04
2010-07-22,12.94,13.2,13.24,12.81,16393,35397897.67,3.31,1.69,0.22,4.17
2010-07-23,13.21,12.88,13.3,12.81,16402,35106252.98,3.71,-2.42,-0.32,4.18
2010-07-26,12.93,13.06,13.12,12.75,14846,31740293.0,2.87,1.4,0.18,3.78
2010-07-27,13.13,13.81,13.87,12.99,42258,94896832.97,6.74,5.74,0.75,10.76
2010-07-28,13.59,13.98,14.09,13.56,31199,71600377.56,3.84,1.23,0.17,7.94
2010-07-29,14.05,13.99,14.13,13.76,20363,46761739.46,2.65,0.07,0.01,5.18
2010-07-30,13.94,13.95,14.03,13.81,14010,32168849.78,1.57,-0.29,-0.04,3.57
2010-08-02,13.96,14.08,14.27,13.96,17659,41014172.23,2.22,0.93,0.13,4.5
2010-08-03,14.08,13.76,14.17,13.76,17077,39243353.72,2.91,-2.27,-0.32,4.35
2010-08-04,13.69,13.81,13.9,13.56,11392,25728845.99,2.47,0.36,0.05,2.9
2010-08-05,13.76,14.09,14.09,13.75,13770,31630091.11,2.46,2.03,0.28,3.51
2010-08-06,14.11,14.38,14.43,14.1,17586,41465643.15,2.34,2.06,0.29,4.48
2010-08-09,14.36,14.41,14.47,14.16,16842,39920411.98,2.16,0.21,0.03,4.29
2010-08-10,14.25,13.66,14.41,13.66,20809,48001334.33,5.2,-5.2,-0.75,5.3
2010-08-11,13.57,13.94,14.06,13.55,11193,25698915.92,3.73,2.05,0.28,2.85
2010-08-12,13.9,14.28,14.38,13.53,26625,61409837.65,6.1,2.44,0.34,6.78
2010-08-13,14.31,14.56,14.66,13.88,22182,52431574.94,5.46,1.96,0.28,5.65
2010-08-16,14.55,15.06,15.28,14.48,34320,84788480.92,5.49,3.43,0.5,8.74
2010-08-17,15.06,14.78,15.11,14.69,27235,66475068.67,2.79,-1.86,-0.28,6.93
2010-08-18,14.72,14.63,15.0,14.35,19930,48002420.64,4.4,-1.01,-0.15,5.07
2010-08-19,14.56,14.61,14.88,14.44,14319,34629684.14,3.01,-0.14,-0.02,3.65
2010-08-20,14.55,13.93,14.55,13.91,20158,47121173.54,4.38,-4.65,-0.68,5.13
2010-08-23,13.93,14.08,14.12,13.76,12637,29116111.54,2.58,1.08,0.15,3.22
2010-08-24,14.03,14.3,14.49,13.94,13498,31801893.77,3.91,1.56,0.22,3.44
2010-08-25,14.28,13.89,14.36,13.89,12063,28097280.81,3.29,-2.87,-0.41,3.07
2010-08-26,13.89,13.82,14.06,13.71,8363,19126953.57,2.52,-0.5,-0.07,2.13
2010-08-27,13.98,14.36,14.38,13.94,15341,36107768.01,3.18,3.91,0.54,3.91
2010-08-30,14.33,14.64,14.73,14.33,17584,42266714.16,2.79,1.95,0.28,4.48
2010-08-31,14.66,14.72,15.11,14.66,27133,66551155.24,3.07,0.55,0.08,6.91
2010-09-01,14.93,14.81,15.03,14.44,22545,54803578.16,4.01,0.61,0.09,5.74
2010-09-02,14.81,15.41,15.5,14.69,34970,87150896.44,5.47,4.05,0.6,8.9
2010-09-03,15.41,15.19,15.41,14.99,19051,47663883.68,2.73,-1.43,-0.22,4.85
2010-09-06,15.2,15.13,15.31,14.84,14908,36977368.21,3.09,-0.39,-0.06,3.8
2010-09-07,15.17,15.34,15.34,15.0,18086,45376925.21,2.25,1.39,0.21,4.6
2010-09-08,15.34,15.19,15.35,15.08,8913,22334158.09,1.76,-0.98,-0.15,2.27
2010-09-09,15.21,15.04,15.81,15.03,29235,74175671.13,5.13,-0.99,-0.15,7.44
2010-09-10,15.11,15.31,15.53,15.0,13062,32781223.46,3.52,1.8,0.27,3.33
2010-09-13,15.31,15.61,15.94,15.24,16391,42273263.43,4.57,1.96,0.3,4.17
2010-09-14,15.5,15.37,15.72,15.26,12345,31244804.86,2.95,-1.54,-0.24,3.14
2010-09-15,15.28,14.84,15.36,14.78,11287,27991121.4,3.77,-3.45,-0.53,2.87
2010-09-16,14.78,14.56,15.06,14.49,9891,23846627.7,3.84,-1.89,-0.28,2.52
2010-09-17,14.63,14.69,14.85,14.57,7832,18992680.86,1.92,0.89,0.13,1.99
2010-09-21,14.75,14.32,14.81,14.28,7895,18803546.79,3.61,-2.52,-0.37,2.01
2010-09-27,14.56,14.63,14.63,14.38,5757,13806226.83,1.75,2.16,0.31,1.47
2010-09-28,14.81,14.53,14.81,14.43,7687,18465254.89,2.6,-0.68,-0.1,1.96
2010-09-29,14.47,14.43,14.59,14.38,5348,12774157.02,1.45,-0.69,-0.1,1.36
2010-09-30,14.41,14.61,14.64,14.31,3451,8265767.26,2.29,1.25,0.18,0.88
2010-10-08,14.64,15.23,15.25,14.63,9867,24429712.38,4.24,4.24,0.62,2.51
2010-10-11,15.23,15.26,15.43,14.9,11104,27724307.21,3.48,0.2,0.03,2.83
2010-10-12,15.26,15.14,15.35,15.06,6660,16648133.76,1.9,-0.79,-0.12,1.7
2010-10-13,15.13,15.35,15.56,15.06,15255,38621180.93,3.3,1.39,0.21,3.88
2010-10-14,15.33,14.41,15.56,14.37,19229,46851659.56,7.75,-6.12,-0.94,4.9
2010-10-15,14.44,14.1,14.69,13.94,18705,44031287.3,5.2,-2.15,-0.31,4.76
2010-10-18,13.94,13.68,13.94,13.26,14582,32551729.6,4.82,-2.98,-0.42,3.71
2010-10-19,13.67,14.0,14.2,13.62,9571,22063299.97,4.24,2.34,0.32,2.44
2010-10-20,13.75,14.12,14.31,13.75,7157,16628381.85,4.0,0.86,0.12,1.82
2010-10-21,14.25,13.91,14.25,13.81,14564,33546203.05,3.12,-1.49,-0.21,3.71
2010-10-22,13.85,13.97,14.02,13.84,11017,25379984.93,1.29,0.43,0.06,2.8
2010-10-25,14.01,14.33,14.5,14.01,21289,50326896.24,3.51,2.58,0.36,5.42
2010-10-26,14.33,14.33,14.56,14.1,22816,53895955.22,3.21,0.0,0.0,5.81
2010-10-27,14.28,14.31,14.5,14.2,16789,39718640.19,2.09,-0.14,-0.02,4.27
