日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-10-10,5.91,7.15,7.15,5.91,89,155821.0,25.41,46.52,2.27,0.04
2016-10-11,7.89,7.89,7.89,7.89,16,30752.0,0.0,10.35,0.74,0.01
2016-10-12,8.71,8.71,8.71,8.71,51,107814.0,0.0,10.39,0.82,0.02
2016-10-13,9.6,9.6,9.6,9.6,98,227850.0,0.0,10.22,0.89,0.04
2016-10-14,10.6,10.6,10.6,10.6,182,465837.0,0.0,10.42,1.0,0.07
2016-10-17,11.68,11.68,11.68,11.68,117,329238.0,0.0,10.19,1.08,0.05
2016-10-18,12.88,12.88,12.88,12.88,301,930419.0,0.0,10.27,1.2,0.12
2016-10-19,14.2,14.2,14.2,14.2,334,1137645.0,0.0,10.25,1.32,0.14
2016-10-20,15.65,15.65,15.65,15.65,295,1105070.0,0.0,10.21,1.45,0.12
2016-10-21,17.24,17.24,17.24,17.24,1017,4192458.0,0.0,10.16,1.59,0.41
2016-10-24,18.99,18.99,18.99,18.99,1827,8280386.0,0.0,10.15,1.75,0.74
2016-10-25,20.92,20.92,20.92,20.92,1688,8418562.0,0.0,10.16,1.93,0.69
2016-10-26,23.04,23.04,23.04,23.04,2524,13844250.0,0.0,10.13,2.12,1.03
2016-10-27,25.37,25.37,25.37,25.37,32039,193325740.0,0.0,10.11,2.33,13.02
2016-10-28,27.94,27.94,27.94,27.94,4098,27200683.0,0.0,10.13,2.57,1.67
2016-10-31,28.59,30.76,30.76,28.13,173098,1211643776.0,9.41,10.09,2.82,70.37
2016-11-01,30.71,30.42,32.88,29.53,149315,1102829328.0,10.89,-1.11,-0.34,60.7
2016-11-02,29.44,30.63,31.67,29.06,110687,796179520.0,8.58,0.69,0.21,44.99
2016-11-03,30.0,29.18,30.84,28.55,89677,634709840.0,7.48,-4.73,-1.45,36.45
2016-11-04,28.63,28.72,29.05,28.12,54483,369749488.0,3.19,-1.58,-0.46,22.15
2016-11-07,28.82,29.0,29.26,28.42,44113,302647952.0,2.92,0.97,0.28,17.93
2016-11-08,29.06,28.94,29.23,28.47,37736,258305358.0,2.62,-0.21,-0.06,15.34
2016-11-09,28.9,29.38,29.9,28.47,61280,423814960.0,4.94,1.52,0.44,24.91
2016-11-10,29.61,30.87,31.56,29.27,90509,655091424.0,7.79,5.07,1.49,36.79
2016-11-11,30.5,31.13,31.82,30.35,79197,583635696.0,4.76,0.84,0.26,32.19
2016-11-14,30.88,29.45,31.31,29.43,53158,380189856.0,6.04,-5.4,-1.68,21.61
2016-11-15,29.38,28.75,29.57,28.57,34844,239379013.0,3.4,-2.38,-0.7,14.16
2016-11-16,28.66,27.59,28.81,27.4,37819,253069037.0,4.9,-4.03,-1.16,15.37
2016-11-17,27.41,27.84,28.03,27.36,22132,145970958.0,2.43,0.91,0.25,9.0
2016-11-18,28.02,28.16,28.67,27.7,27130,182432248.0,3.48,1.15,0.32,11.03
2016-11-21,28.13,28.63,28.64,27.39,34648,230643692.0,4.44,1.67,0.47,14.08
2016-11-22,28.65,29.81,29.91,28.65,55581,387969792.0,4.4,4.12,1.18,22.59
2016-11-23,29.44,29.51,29.9,29.17,40955,287199632.0,2.45,-1.01,-0.3,16.65
2016-11-24,29.16,29.06,29.64,28.46,36890,254659842.0,4.0,-1.52,-0.45,15.0
2016-11-25,28.68,29.04,29.48,27.57,30687,208348450.0,6.57,-0.07,-0.02,12.47
2016-11-28,29.01,28.4,29.01,28.21,17321,117001103.0,2.75,-2.2,-0.64,7.04
2016-11-29,28.26,27.06,28.45,26.93,23209,153330674.0,5.35,-4.72,-1.34,9.43
2016-11-30,27.04,27.13,27.16,26.47,17296,110619899.0,2.55,0.26,0.07,7.03
2016-12-01,27.02,28.09,28.21,25.74,23805,154669779.0,9.1,3.54,0.96,9.68
2016-12-02,28.34,27.48,28.44,26.89,31401,204775022.0,5.52,-2.17,-0.61,12.76
2016-12-05,26.89,27.41,27.44,26.53,21394,137661966.0,3.31,-0.25,-0.07,8.7
2016-12-06,27.43,27.24,27.99,27.1,16549,107418620.0,3.25,-0.62,-0.17,6.73
2016-12-07,27.21,27.36,27.78,26.93,33829,220482987.0,3.12,0.44,0.12,13.75
2016-12-08,27.45,28.32,28.33,27.23,64639,428099184.0,4.02,3.51,0.96,26.28
2016-12-09,28.18,28.4,28.66,27.47,53726,358507840.0,4.2,0.28,0.08,21.84
2016-12-12,28.69,27.3,28.82,26.8,32211,211943435.0,7.11,-3.87,-1.1,13.09
2016-12-13,27.36,26.65,27.63,25.87,25447,161815875.0,6.45,-2.38,-0.65,10.34
2016-12-14,26.82,25.0,26.82,23.96,36800,224067902.0,10.73,-6.19,-1.65,14.96
