日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.35,8.45,8.57,8.35,163218,208718828.0,2.64,1.32,0.11,1.46
2010-01-05,8.47,8.37,8.5,8.15,152766,191825198.0,4.14,-0.95,-0.08,1.37
2010-01-06,8.35,8.34,8.5,8.27,107541,136793057.0,2.75,-0.36,-0.03,0.97
2010-01-07,8.32,8.2,8.38,8.15,95949,120492733.0,2.76,-1.68,-0.14,0.86
2010-01-08,8.13,8.34,8.36,8.08,77812,97410375.0,3.41,1.71,0.14,0.7
2010-01-11,8.38,8.31,8.47,8.21,96129,121120869.0,3.12,-0.36,-0.03,0.86
2010-01-12,8.32,8.48,8.49,8.22,145451,184355903.0,3.25,2.05,0.17,1.31
2010-01-13,8.32,8.29,8.45,8.24,121961,154045402.0,2.48,-2.24,-0.19,1.09
2010-01-14,8.32,8.4,8.43,8.25,118579,149947794.0,2.17,1.33,0.11,1.06
2010-01-15,8.39,8.51,8.53,8.37,144382,184916018.0,1.9,1.31,0.11,1.3
2010-01-18,8.48,8.82,8.84,8.47,245413,322492518.0,4.35,3.64,0.31,2.2
2010-01-19,8.88,8.86,8.98,8.73,207447,275326530.0,2.83,0.45,0.04,1.86
2010-01-20,8.86,8.92,9.14,8.73,309798,415583002.0,4.63,0.68,0.06,2.78
2010-01-21,9.0,9.12,9.22,8.85,341341,465664310.0,4.15,2.24,0.2,3.06
2010-01-22,9.12,8.83,9.27,8.66,255409,345005025.0,6.69,-3.18,-0.29,2.29
2010-01-25,8.85,8.48,9.0,8.43,116299,152705647.0,6.46,-3.96,-0.35,1.04
2010-01-26,8.42,7.93,8.59,7.86,131679,163543940.0,8.61,-6.49,-0.55,1.18
2010-01-27,7.95,8.0,8.29,7.95,112249,138793047.0,4.29,0.88,0.07,1.01
2010-01-28,8.05,7.92,8.15,7.85,115811,140403618.0,3.75,-1.0,-0.08,1.04
2010-01-29,7.85,7.79,7.95,7.66,139821,167410045.0,3.66,-1.64,-0.13,1.25
2010-02-01,7.78,7.68,7.79,7.35,141812,164540696.0,5.65,-1.41,-0.11,1.27
2010-02-02,7.7,7.48,7.76,7.45,76963,90059121.0,4.04,-2.6,-0.2,0.69
2010-02-03,7.45,7.85,7.89,7.43,111612,130564519.0,6.15,4.95,0.37,1.0
2010-02-04,7.72,7.78,7.95,7.71,82009,98065879.0,3.06,-0.89,-0.07,0.74
2010-02-05,7.55,7.56,7.71,7.47,74714,86924111.0,3.08,-2.83,-0.22,0.67
2010-02-08,7.56,7.55,7.68,7.46,37397,43589865.0,2.91,-0.13,-0.01,0.34
2010-02-09,7.55,7.67,7.7,7.5,39709,46562512.0,2.65,1.59,0.12,0.36
2010-02-10,7.74,7.75,7.8,7.64,38751,45842183.0,2.09,1.04,0.08,0.35
2010-02-11,7.71,7.87,7.96,7.7,69878,83575416.0,3.35,1.55,0.12,0.63
2010-02-12,7.89,7.88,7.93,7.83,39294,47202090.0,1.27,0.13,0.01,0.35
2010-02-22,7.85,7.78,7.85,7.75,39488,47146356.0,1.27,-1.27,-0.1,0.35
2010-02-23,7.76,7.65,7.76,7.47,53837,62743936.0,3.73,-1.67,-0.13,0.48
2010-02-24,7.61,7.82,7.85,7.58,83807,98832870.0,3.53,2.22,0.17,0.75
2010-02-25,7.85,7.96,8.03,7.8,127403,153942510.0,2.94,1.79,0.14,1.14
2010-02-26,7.95,7.97,8.05,7.89,87466,106328922.0,2.01,0.13,0.01,0.78
2010-03-01,7.94,8.07,8.12,7.93,86740,106255294.0,2.38,1.25,0.1,0.78
2010-03-02,8.09,7.97,8.19,7.86,103183,125922632.0,4.09,-1.24,-0.1,0.93
2010-03-03,8.0,8.16,8.22,7.99,154279,190852261.0,2.89,2.38,0.19,1.38
2010-03-04,8.29,7.72,8.3,7.7,167776,203428451.0,7.35,-5.39,-0.44,1.51
2010-03-05,7.73,7.79,7.89,7.7,69679,83114122.0,2.46,0.91,0.07,0.63
2010-03-08,7.79,7.89,7.96,7.79,72843,87693171.0,2.18,1.28,0.1,0.65
2010-03-09,7.89,7.93,7.99,7.71,120501,144871379.0,3.55,0.51,0.04,1.08
2010-03-10,7.91,7.75,7.94,7.69,86631,103310422.0,3.15,-2.27,-0.18,0.78
2010-03-11,7.75,7.68,7.82,7.65,58331,68925110.0,2.19,-0.9,-0.07,0.52
2010-03-12,7.69,7.54,7.74,7.53,63159,73732410.0,2.73,-1.82,-0.14,0.57
2010-03-15,7.59,7.48,7.59,7.43,53435,61450128.0,2.12,-0.8,-0.06,0.48
2010-03-16,7.48,7.55,7.55,7.42,49676,57292035.0,1.74,0.94,0.07,0.45
2010-03-17,7.6,7.7,7.72,7.55,92949,109062428.0,2.25,1.99,0.15,0.83
2010-03-18,7.71,7.72,7.82,7.67,68943,81794027.0,1.95,0.26,0.02,0.62
2010-03-19,7.71,7.89,7.96,7.69,128529,154521786.0,3.5,2.2,0.17,1.15
2010-03-22,7.89,7.84,7.92,7.75,65917,78692945.0,2.15,-0.63,-0.05,0.59
2010-03-23,7.85,7.72,7.89,7.69,76184,90684699.0,2.55,-1.53,-0.12,0.68
2010-03-24,7.77,7.85,8.01,7.77,131982,159224403.0,3.11,1.68,0.13,1.18
2010-03-25,7.86,7.61,7.86,7.55,88686,104289580.0,3.95,-3.06,-0.24,0.8
2010-03-26,7.68,7.75,7.83,7.55,78707,93129852.0,3.68,1.84,0.14,0.71
2010-03-29,7.85,7.89,7.91,7.79,137683,165109397.0,1.55,1.81,0.14,1.24
2010-03-30,7.91,7.85,7.92,7.78,101804,121958099.0,1.77,-0.51,-0.04,0.91
2010-03-31,7.92,8.01,8.13,7.91,298892,364615072.0,2.8,2.04,0.16,2.68
2010-04-01,8.24,8.59,8.85,8.24,671635,871519500.0,7.62,7.24,0.58,6.03
2010-04-02,8.47,8.52,8.69,8.39,275892,354835802.0,3.49,-0.81,-0.07,2.48
2010-04-06,8.51,8.41,8.52,8.28,236899,300482853.0,2.82,-1.29,-0.11,2.13
2010-04-07,8.41,8.29,8.42,8.17,161977,203295151.0,2.97,-1.43,-0.12,1.45
2010-04-08,8.24,8.32,8.49,8.2,184720,234209917.0,3.5,0.36,0.03,1.66
2010-04-09,8.31,8.35,8.4,8.2,147638,185707658.0,2.4,0.36,0.03,1.33
2010-04-12,8.38,8.25,8.44,8.24,213951,269666322.0,2.4,-1.2,-0.1,1.92
2010-04-13,8.28,8.05,8.29,7.9,226797,279417881.0,4.73,-2.42,-0.2,2.04
2010-04-14,8.06,8.09,8.15,8.02,131957,162362672.0,1.61,0.5,0.04,1.18
2010-04-15,8.15,7.94,8.15,7.91,133879,163108632.0,2.97,-1.85,-0.15,1.2
2010-04-16,7.95,7.98,8.11,7.84,92298,112255367.0,3.4,0.5,0.04,0.83
2010-04-19,7.9,7.49,7.97,7.49,172347,204147022.0,6.02,-6.14,-0.49,1.55
2010-04-20,7.49,7.25,7.59,7.05,195320,219392603.0,7.21,-3.2,-0.24,1.75
2010-04-21,7.22,7.38,7.41,7.18,178205,201471632.0,3.17,1.79,0.13,1.6
2010-04-22,7.35,7.52,7.58,7.1,208519,234866142.0,6.5,1.9,0.14,1.87
2010-04-23,7.45,7.41,7.59,7.39,110138,126804470.0,2.66,-1.46,-0.11,0.99
2010-04-26,7.42,7.24,7.46,7.16,132635,148564098.0,4.05,-2.29,-0.17,1.19
2010-04-27,7.18,6.95,7.2,6.86,146491,158919926.0,4.7,-4.01,-0.29,1.31
2010-04-28,6.91,6.89,6.99,6.8,66511,71314097.0,2.73,-0.86,-0.06,0.6
