日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-10-31,10.93,10.93,10.93,10.93,61,236375.0,0.0,44.77,3.38,0.05
2016-11-01,12.04,12.04,12.04,12.04,55,234891.0,0.0,10.16,1.11,0.04
2016-11-02,13.25,13.25,13.25,13.25,22,103158.0,0.0,10.05,1.21,0.02
2016-11-03,14.59,14.59,14.59,14.59,32,165056.0,0.0,10.11,1.34,0.03
2016-11-04,16.07,16.07,16.07,16.07,55,312694.0,0.0,10.14,1.48,0.04
2016-11-07,17.69,17.69,17.69,17.69,45,280845.0,0.0,10.08,1.62,0.04
2016-11-08,19.47,19.47,19.47,19.47,90,617850.0,0.0,10.06,1.78,0.07
2016-11-09,21.43,21.43,21.43,21.43,71,536192.0,0.0,10.07,1.96,0.06
2016-11-10,23.59,23.59,23.59,23.59,166,1378962.0,0.0,10.08,2.16,0.13
2016-11-11,25.97,25.97,25.97,25.97,203,1855014.0,0.0,10.09,2.38,0.16
2016-11-14,28.58,28.58,28.58,28.58,204,2050608.0,0.0,10.05,2.61,0.16
2016-11-15,31.45,31.45,31.45,31.45,415,4588655.0,0.0,10.04,2.87,0.33
2016-11-16,34.61,34.61,34.61,34.61,452,5497676.0,0.0,10.05,3.16,0.35
2016-11-17,38.08,38.08,38.08,37.29,35254,470788432.0,2.28,10.03,3.47,27.67
2016-11-18,39.17,39.69,41.2,39.17,74224,1045630112.0,5.33,4.23,1.61,58.26
2016-11-21,39.29,40.49,40.57,38.29,45303,634614560.0,5.74,2.02,0.8,35.56
2016-11-22,40.43,41.7,42.94,40.29,45879,672403168.0,6.54,2.99,1.21,36.01
2016-11-23,40.71,41.25,41.87,40.57,27559,398518944.0,3.12,-1.08,-0.45,21.63
2016-11-24,40.99,42.56,42.59,40.87,27977,411865152.0,4.17,3.18,1.31,21.96
2016-11-25,42.18,45.75,46.83,42.14,40921,640075456.0,11.02,7.5,3.19,32.12
2016-11-28,45.22,44.97,47.83,44.06,30384,487125488.0,8.24,-1.7,-0.78,23.85
