日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.03,10.28,10.54,9.96,160321,188277312.0,5.85,3.63,0.36,3.04
2010-01-05,10.36,9.97,10.41,9.89,121616,141081424.0,5.06,-3.02,-0.31,2.31
2010-01-06,10.03,10.01,10.21,9.95,111263,128263208.0,2.61,0.4,0.04,2.11
2010-01-07,9.99,9.91,10.1,9.61,99450,112490560.0,4.9,-1.0,-0.1,1.89
2010-01-08,9.78,10.02,10.11,9.48,107739,120760104.0,6.36,1.11,0.11,2.04
2010-01-11,10.01,10.24,10.41,9.86,156711,182617600.0,5.49,2.2,0.22,2.97
2010-01-12,10.35,10.41,10.46,10.04,128109,150611616.0,4.1,1.66,0.17,2.43
2010-01-13,10.11,10.3,10.75,10.11,238598,284716864.0,6.15,-1.06,-0.11,4.52
2010-01-14,10.32,10.86,11.01,10.32,175425,212770240.0,6.7,5.44,0.56,3.33
2010-01-15,10.73,10.88,11.04,10.6,126659,154845600.0,4.05,0.18,0.02,2.4
2010-01-18,10.94,11.33,11.59,10.71,183512,232682720.0,8.09,4.14,0.45,3.48
2010-01-19,11.44,11.31,11.5,11.16,84374,107551432.0,3.0,-0.18,-0.02,1.6
2010-01-20,11.28,10.45,11.46,10.37,128909,158484736.0,9.64,-7.6,-0.86,2.44
2010-01-21,10.38,10.49,10.68,10.15,89186,105280576.0,5.07,0.38,0.04,1.69
2010-01-22,10.25,9.95,10.25,9.57,113305,128701968.0,6.48,-5.15,-0.54,2.15
2010-01-25,9.81,9.62,10.05,9.6,42050,47108972.0,4.52,-3.32,-0.33,0.8
2010-01-26,9.76,9.47,9.86,9.42,77951,85824520.0,4.57,-1.56,-0.15,1.48
2010-01-27,9.46,9.44,9.76,9.36,35425,38967956.0,4.22,-0.32,-0.03,0.67
2010-01-28,9.55,9.54,9.71,9.38,42756,46909256.0,3.5,1.06,0.1,0.81
2010-01-29,9.56,9.81,10.06,9.46,88010,99600072.0,6.29,2.83,0.27,1.67
2010-02-01,9.88,9.6,10.11,9.54,84516,94907376.0,5.81,-2.14,-0.21,1.6
2010-02-02,9.63,9.36,9.78,9.14,109677,119318688.0,6.67,-2.5,-0.24,2.08
2010-02-03,9.31,9.34,9.54,8.73,59254,62817776.0,8.65,-0.21,-0.02,1.12
2010-02-04,9.3,9.43,9.56,9.08,57690,62379568.0,5.14,0.96,0.09,1.09
2010-02-05,9.13,9.44,9.67,9.06,73151,79825824.0,6.47,0.11,0.01,1.39
2010-02-08,9.44,9.32,9.5,9.26,21339,23051812.0,2.54,-1.27,-0.12,0.4
2010-02-09,9.32,9.4,9.45,9.24,17048,18432374.0,2.25,0.86,0.08,0.32
2010-02-10,9.44,9.49,9.66,9.36,40857,44764124.0,3.19,0.96,0.09,0.77
2010-02-11,9.54,9.36,9.54,9.33,30933,33635388.0,2.21,-1.37,-0.13,0.59
