日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-10,13.35,16.17,16.17,13.35,64,139510.0,25.61,46.87,5.16,0.03
2017-03-13,17.86,17.86,17.86,17.86,25,60425.0,0.0,10.45,1.69,0.01
2017-03-14,19.72,19.72,19.72,19.72,50,132259.0,0.0,10.41,1.86,0.02
2017-03-15,21.77,21.77,21.77,21.77,33,95560.0,0.0,10.4,2.05,0.02
2017-03-16,24.02,24.02,24.02,24.02,63,202734.0,0.0,10.34,2.25,0.03
2017-03-17,26.5,26.5,26.5,26.5,285,1007130.0,0.0,10.32,2.48,0.13
2017-03-20,29.22,29.22,29.22,29.22,201,780747.0,0.0,10.26,2.72,0.09
2017-03-21,32.22,32.22,32.22,32.22,288,1231363.0,0.0,10.27,3.0,0.13
2017-03-22,35.51,35.51,35.51,35.51,363,1710093.0,0.0,10.21,3.29,0.17
2017-03-23,39.13,39.13,39.13,39.13,258,1336956.0,0.0,10.19,3.62,0.12
2017-03-24,43.12,43.12,43.12,43.12,2179,12420357.0,0.0,10.2,3.99,1.0
2017-03-27,47.5,47.5,47.5,47.5,1098,6882391.0,0.0,10.16,4.38,0.5
2017-03-28,52.32,52.32,52.32,52.32,768,5294620.0,0.0,10.15,4.82,0.35
2017-03-29,57.62,52.86,57.62,52.58,142331,1039530704.0,9.63,1.03,0.54,65.44
2017-03-30,48.35,48.3,51.8,47.65,91494,590745760.0,7.85,-8.63,-4.56,42.07
2017-03-31,47.27,43.48,48.08,43.42,65870,398182592.0,9.65,-9.98,-4.82,30.28
2017-04-05,43.42,46.14,47.15,43.42,55895,336304160.0,8.58,6.12,2.66,25.7
2017-04-06,45.22,47.96,50.03,44.58,56644,356136096.0,11.81,3.94,1.82,26.04
2017-04-07,48.34,48.04,49.46,46.81,52214,333128352.0,5.53,0.17,0.08,24.01
2017-04-10,46.58,43.17,47.72,43.16,50713,302676048.0,9.49,-10.14,-4.87,23.32
2017-04-11,41.65,43.69,44.14,41.65,30147,171442269.0,5.77,1.2,0.52,13.86
2017-04-12,43.11,40.25,43.12,40.21,35020,191255373.0,6.66,-7.87,-3.44,16.1
2017-04-13,39.65,39.95,41.46,39.65,20788,111532314.0,4.5,-0.75,-0.3,9.56
2017-04-14,40.27,40.15,41.18,39.78,21301,114155785.0,3.5,0.5,0.2,9.79
2017-04-17,37.6,36.06,38.32,36.06,27692,134355328.0,5.63,-10.19,-4.09,12.73
2017-04-18,35.44,34.98,36.55,34.95,16916,80189610.0,4.44,-3.0,-1.08,7.78
2017-04-19,35.04,36.73,36.78,34.28,24960,118722926.0,7.15,5.0,1.75,11.48
2017-04-20,36.5,35.72,36.65,34.66,22591,106751361.0,5.42,-2.75,-1.01,10.39
2017-04-21,35.45,35.7,36.09,35.43,10839,51400077.0,1.85,-0.06,-0.02,4.98
2017-04-24,35.58,35.95,36.96,34.65,18310,87425640.0,6.47,0.7,0.25,8.42
2017-04-25,36.23,36.25,37.29,36.12,18780,91495561.0,3.25,0.83,0.3,8.63
2017-04-26,36.12,36.72,37.11,35.96,17021,82832511.0,3.17,1.3,0.47,7.83
2017-04-27,36.54,39.28,39.5,35.73,35913,179893544.0,10.27,6.97,2.56,16.51
2017-04-28,38.88,38.48,39.25,38.26,21817,111683279.0,2.52,-2.04,-0.8,10.03
2017-05-02,38.25,36.05,38.48,35.85,27200,133064112.0,6.83,-6.31,-2.43,12.51
2017-05-03,35.43,36.55,36.58,35.43,18132,86753521.0,3.19,1.39,0.5,8.34
2017-05-04,36.2,35.3,36.2,35.16,14264,67378819.0,2.85,-3.42,-1.25,6.56
2017-05-05,35.22,34.32,35.42,34.27,14412,66602721.0,3.26,-2.78,-0.98,6.63
2017-05-08,34.21,31.83,34.56,31.72,16518,72582877.0,8.28,-7.26,-2.49,7.59
2017-05-09,31.61,32.22,32.5,31.55,10374,44190567.0,2.98,1.23,0.39,4.77
2017-05-10,32.35,30.18,32.56,30.05,17128,71374993.0,7.79,-6.33,-2.04,7.88
2017-05-11,30.12,31.3,32.04,29.78,18839,77932295.0,7.49,3.71,1.12,8.66
2017-05-12,30.97,32.55,32.87,30.57,20067,85465716.0,7.35,3.99,1.25,9.23
2017-05-15,32.27,31.83,32.56,31.69,12862,54876909.0,2.67,-2.21,-0.72,5.91
2017-05-16,32.12,35.08,35.08,31.97,31652,142844677.0,9.77,10.21,3.25,14.55
2017-05-17,35.19,36.85,37.72,35.19,42883,208048224.0,7.21,5.05,1.77,19.72
2017-05-18,36.19,35.78,36.19,35.12,27019,127580664.0,2.9,-2.9,-1.07,12.42
2017-05-19,35.27,34.68,35.78,34.59,17068,79506886.0,3.33,-3.07,-1.1,7.85
2017-05-22,34.7,32.02,34.73,31.81,20818,91552947.0,8.42,-7.67,-2.66,9.57
2017-05-23,31.5,30.09,31.57,29.88,17299,70637362.0,5.28,-6.03,-1.93,7.95
2017-05-24,29.65,30.94,31.11,29.31,12302,49885296.0,5.98,2.82,0.85,5.66
2017-05-25,30.73,31.15,31.72,30.22,13554,55978291.0,4.85,0.68,0.21,6.23
2017-05-26,31.04,31.99,32.55,30.66,16086,67697443.0,6.07,2.7,0.84,7.4
2017-05-31,33.12,31.65,33.73,31.59,20435,89243755.0,6.69,-1.06,-0.34,9.4
2017-06-01,30.96,29.33,31.0,29.27,15747,63255033.0,5.47,-7.33,-2.32,7.24
2017-06-02,29.18,30.13,30.56,28.56,11123,44081276.0,6.82,2.73,0.8,5.11
