日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.5,7.66,7.91,7.5,232710,180557196.0,5.52,3.1,0.23,5.45
2010-01-05,7.64,7.66,7.71,7.49,122066,92865350.0,2.87,0.0,0.0,2.86
2010-01-06,7.65,7.53,7.7,7.52,98657,75189155.0,2.35,-1.7,-0.13,2.31
2010-01-07,7.53,7.23,7.57,7.17,163407,120098026.0,5.31,-3.98,-0.3,3.83
2010-01-08,7.18,7.29,7.32,7.12,72240,52470685.0,2.77,0.83,0.06,1.69
2010-01-11,7.42,7.57,7.63,7.26,194230,146064993.0,5.08,3.84,0.28,4.55
2010-01-12,7.57,8.03,8.13,7.52,346330,274003380.0,8.06,6.08,0.46,8.11
2010-01-13,7.85,8.28,8.54,7.8,377516,312037758.0,9.22,3.11,0.25,8.84
2010-01-14,8.3,8.34,8.45,8.17,246083,205089437.0,3.38,0.72,0.06,5.76
2010-01-15,8.34,8.46,8.49,8.22,176367,147588776.0,3.24,1.44,0.12,4.13
2010-01-18,8.5,8.38,8.53,8.27,159100,133780138.0,3.07,-0.95,-0.08,3.73
2010-01-19,8.4,8.22,8.42,8.08,173108,142794488.0,4.06,-1.91,-0.16,4.05
2010-01-20,8.17,7.98,8.42,7.87,186779,152494319.0,6.69,-2.92,-0.24,4.37
2010-01-21,7.99,8.1,8.19,7.9,108340,87372302.0,3.63,1.5,0.12,2.54
2010-01-22,7.99,8.06,8.3,7.67,131294,105697687.0,7.78,-0.49,-0.04,3.07
2010-01-25,7.97,8.11,8.25,7.84,97916,79603769.0,5.09,0.62,0.05,2.29
2010-01-26,8.11,7.71,8.19,7.67,102260,80861465.0,6.41,-4.93,-0.4,2.39
2010-01-27,7.67,7.9,8.1,7.55,103665,81715290.0,7.13,2.46,0.19,2.43
2010-01-28,7.92,7.9,7.99,7.77,61081,48275708.0,2.78,0.0,0.0,1.43
2010-01-29,7.84,7.89,8.11,7.72,119834,95822287.0,4.94,-0.13,-0.01,2.81
2010-02-01,7.88,7.62,8.02,7.58,95030,73895824.0,5.58,-3.42,-0.27,2.23
2010-02-02,7.67,7.45,7.82,7.39,77677,59235639.0,5.64,-2.23,-0.17,1.82
2010-02-03,7.46,7.45,7.52,7.0,105886,77541684.0,6.98,0.0,0.0,2.48
2010-02-04,7.37,7.64,7.73,7.36,101693,77300281.0,4.97,2.55,0.19,2.38
2010-02-05,7.48,7.33,7.57,7.24,66070,49132820.0,4.32,-4.06,-0.31,1.55
2010-02-08,7.38,7.4,7.59,7.32,41103,30733960.0,3.68,0.95,0.07,0.96
2010-02-09,7.35,7.31,7.44,7.2,42391,31058278.0,3.24,-1.22,-0.09,0.99
2010-02-10,7.35,7.36,7.4,7.32,32167,23779590.0,1.09,0.68,0.05,0.75
2010-02-11,7.4,7.49,7.51,7.39,40929,30589660.0,1.63,1.77,0.13,0.96
2010-02-12,7.52,7.5,7.57,7.47,40529,30596588.0,1.34,0.13,0.01,0.95
2010-02-22,7.54,7.54,7.62,7.47,48292,36564296.0,2.0,0.53,0.04,1.13
