日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.61,9.54,9.66,9.53,37512,58307328.0,1.35,-0.63,-0.06,1.58
2010-01-05,9.54,9.33,9.55,9.13,70266,105784960.0,4.4,-2.2,-0.21,2.96
2010-01-06,9.29,9.39,9.43,9.2,46477,70556464.0,2.47,0.64,0.06,1.96
2010-01-07,9.39,9.28,9.39,9.23,39911,60174388.0,1.7,-1.17,-0.11,1.68
2010-01-08,9.21,9.29,9.29,9.1,28718,43040040.0,2.05,0.11,0.01,1.21
2010-01-11,9.4,9.0,9.4,8.96,48870,72341248.0,4.74,-3.12,-0.29,2.06
2010-01-12,9.0,9.21,9.21,8.88,40802,60213028.0,3.67,2.33,0.21,1.72
2010-01-13,8.99,9.29,9.41,8.98,53443,79903320.0,4.67,0.87,0.08,2.25
2010-01-14,9.28,9.63,9.68,9.27,63329,97370424.0,4.41,3.66,0.34,2.67
2010-01-15,9.73,9.65,9.81,9.57,62167,97636464.0,2.49,0.21,0.02,2.62
2010-01-18,9.66,9.77,9.81,9.66,46300,73090728.0,1.55,1.24,0.12,1.95
2010-01-19,9.83,10.11,10.14,9.82,100604,163139104.0,3.28,3.48,0.34,4.24
2010-01-20,10.16,9.61,10.16,9.49,76408,121221056.0,6.63,-4.95,-0.5,3.22
2010-01-21,9.61,9.76,9.86,9.59,37599,59254900.0,2.81,1.56,0.15,1.58
2010-01-22,9.63,9.3,9.63,9.18,42841,65208068.0,4.61,-4.71,-0.46,1.8
2010-01-25,9.21,9.14,9.33,9.1,19681,29404410.0,2.47,-1.72,-0.16,0.83
2010-01-26,9.15,8.93,9.23,8.87,22155,32458814.0,3.94,-2.3,-0.21,0.93
2010-01-27,8.98,8.95,9.07,8.89,16027,23500098.0,2.02,0.22,0.02,0.67
2010-01-28,8.96,8.99,9.14,8.93,15580,22881980.0,2.35,0.45,0.04,0.66
2010-01-29,8.93,9.05,9.17,8.88,21448,31732282.0,3.23,0.67,0.06,0.9
2010-02-01,9.09,8.79,9.09,8.57,26853,38420832.0,5.75,-2.87,-0.26,1.13
2010-02-02,8.86,8.56,8.94,8.53,22585,32270258.0,4.66,-2.62,-0.23,0.95
2010-02-03,8.61,8.67,8.75,8.28,25601,35795916.0,5.49,1.29,0.11,1.08
2010-02-04,8.63,8.68,8.81,8.56,32889,46736116.0,2.88,0.12,0.01,1.38
2010-02-05,8.43,8.43,8.55,8.35,29387,40585244.0,2.3,-2.88,-0.25,1.24
2010-02-08,8.48,8.42,8.5,8.39,13062,18042056.0,1.3,-0.12,-0.01,0.55
2010-02-09,8.41,8.39,8.54,8.36,14286,19716350.0,2.14,-0.36,-0.03,0.6
2010-02-10,8.47,8.72,8.73,8.47,22062,30913944.0,3.1,3.93,0.33,0.93
2010-02-11,8.73,8.72,8.79,8.59,13701,19501938.0,2.29,0.0,0.0,0.58
2010-02-12,8.75,8.81,8.83,8.71,15330,21972154.0,1.38,1.03,0.09,0.65
2010-02-22,8.78,8.63,8.78,8.62,22766,32310038.0,1.82,-2.04,-0.18,0.96
2010-02-23,8.63,8.47,8.63,8.29,25094,34509232.0,3.94,-1.85,-0.16,1.06
2010-02-24,8.43,8.67,8.67,8.34,24220,33809916.0,3.9,2.36,0.2,1.02
2010-02-25,8.69,9.06,9.08,8.64,49042,71343112.0,5.07,4.5,0.39,2.06
2010-02-26,9.05,8.87,9.05,8.83,34667,50565604.0,2.43,-2.1,-0.19,1.46
2010-03-01,8.93,9.03,9.08,8.88,25670,37637068.0,2.25,1.8,0.16,1.08
2010-03-02,9.06,8.99,9.09,8.91,29045,42434012.0,1.99,-0.44,-0.04,1.22
2010-03-03,9.01,9.07,9.07,8.91,31846,46765164.0,1.78,0.89,0.08,1.34
2010-03-04,9.07,8.91,9.25,8.8,43191,63634356.0,4.96,-1.76,-0.16,1.82
