日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.69,9.61,9.75,9.6,15910,22357494.0,1.55,-0.52,-0.05,1.73
2010-01-05,9.7,9.74,9.89,9.61,23830,33721280.0,2.91,1.35,0.13,2.59
2010-01-06,9.74,9.59,9.74,9.51,20842,29171198.0,2.36,-1.54,-0.15,2.27
2010-01-07,9.54,9.23,9.65,9.19,25428,34439156.0,4.8,-3.75,-0.36,2.76
2010-01-08,9.2,9.33,9.36,8.95,15671,20834450.0,4.44,1.08,0.1,1.7
2010-01-11,9.25,9.4,9.45,9.22,14996,20429714.0,2.47,0.75,0.07,1.63
2010-01-12,9.39,9.58,9.59,9.27,12648,17449129.0,3.4,1.91,0.18,1.37
2010-01-13,9.43,9.49,9.71,9.32,19866,27734112.0,4.07,-0.94,-0.09,2.16
2010-01-14,9.56,9.63,9.66,9.41,27822,38751801.0,2.63,1.48,0.14,3.02
2010-01-15,9.69,9.85,9.86,9.57,42957,60979346.0,3.01,2.28,0.22,4.67
2010-01-18,9.79,10.02,10.04,9.79,35212,50958219.0,2.54,1.73,0.17,3.83
2010-01-19,10.04,9.88,10.04,9.81,20671,29742094.0,2.3,-1.4,-0.14,2.25
2010-01-20,9.97,9.4,9.97,9.39,23078,32330759.0,5.87,-4.86,-0.48,2.51
2010-01-21,9.4,9.42,9.54,9.09,17039,23163542.0,4.79,0.21,0.02,1.85
2010-01-22,9.31,9.18,9.37,9.04,9180,12292360.0,3.5,-2.55,-0.24,1.0
2010-01-25,9.09,9.26,9.39,8.97,6789,9152741.0,4.58,0.87,0.08,0.74
2010-01-26,9.26,8.64,9.26,8.61,9594,12406332.0,7.02,-6.7,-0.62,1.04
2010-01-27,8.8,8.44,8.81,8.41,7946,9956733.0,4.63,-2.31,-0.2,0.86
2010-01-28,8.39,8.59,8.61,8.36,7257,9038027.0,2.96,1.78,0.15,0.79
2010-01-29,8.57,8.66,8.78,8.5,8986,11387251.0,3.26,0.81,0.07,0.98
2010-02-01,8.96,8.84,9.31,8.76,32381,42667815.0,6.35,2.08,0.18,3.52
2010-02-02,8.82,8.61,8.98,8.57,12963,16532737.0,4.64,-2.6,-0.23,1.41
2010-02-03,8.62,8.66,8.77,8.19,11949,14851179.0,6.74,0.58,0.05,1.3
2010-02-04,8.61,8.89,9.01,8.39,15588,20015752.0,7.16,2.66,0.23,1.69
2010-02-05,8.64,9.02,9.29,8.6,36338,47871629.0,7.76,1.46,0.13,3.95
2010-02-08,9.24,9.51,9.84,9.24,60724,84675828.0,6.65,5.43,0.49,6.6
2010-02-09,9.47,9.36,9.49,9.04,19660,26722068.0,4.73,-1.58,-0.15,2.14
2010-02-10,9.45,9.26,9.45,9.09,16000,21518351.0,3.85,-1.07,-0.1,1.74
2010-02-11,9.25,9.86,10.18,9.18,62568,89838590.0,10.8,6.48,0.6,6.8
2010-02-12,9.82,9.87,9.94,9.57,26870,38249381.0,3.75,0.1,0.01,2.92
2010-02-22,9.61,9.37,9.61,9.31,30969,42522883.0,3.04,-5.07,-0.5,3.37
2010-02-23,9.37,9.28,9.37,8.98,22579,30174866.0,4.16,-0.96,-0.09,2.45
2010-02-24,9.34,9.6,9.75,9.25,25686,35691691.0,5.39,3.45,0.32,2.79
2010-02-25,9.54,9.85,9.89,9.5,37048,52294775.0,4.06,2.6,0.25,4.03
2010-02-26,9.71,9.66,9.71,9.47,50589,70546495.0,2.44,-1.93,-0.19,5.5
2010-03-01,9.72,10.17,10.29,9.61,77386,111529154.0,7.04,5.28,0.51,8.41
2010-03-02,10.11,9.94,10.11,9.83,42582,61626162.0,2.75,-2.26,-0.23,4.63
2010-03-03,9.9,10.06,10.11,9.86,30016,43576608.0,2.52,1.21,0.12,3.26
2010-03-04,10.09,9.49,10.1,9.43,31935,45229694.0,6.66,-5.67,-0.57,3.47
2010-03-05,9.47,9.86,9.94,9.32,27450,38163207.0,6.53,3.9,0.37,2.98
2010-03-08,9.81,9.73,9.81,9.59,20306,28700993.0,2.23,-1.32,-0.13,2.21
2010-03-09,9.75,9.64,9.76,9.58,15642,22004440.0,1.85,-0.92,-0.09,1.7
2010-03-10,9.69,9.37,9.72,9.32,20349,28098842.0,4.15,-2.8,-0.27,2.21
2010-03-11,9.36,9.29,9.43,9.16,12921,17510146.0,2.88,-0.85,-0.08,1.4
2010-03-12,9.25,9.1,9.35,9.07,9870,13260642.0,3.01,-2.05,-0.19,1.07
2010-03-15,9.08,9.09,9.14,8.96,8673,11447292.0,1.98,-0.11,-0.01,0.94
2010-03-16,9.09,9.14,9.18,9.02,6562,8721687.0,1.76,0.55,0.05,0.71
2010-03-17,9.16,9.44,9.45,9.14,15302,20761162.0,3.39,3.28,0.3,1.66
2010-03-18,9.36,9.44,9.53,9.36,11268,15504455.0,1.8,0.0,0.0,1.22
2010-03-19,9.39,9.62,9.65,9.39,13822,19293649.0,2.75,1.91,0.18,1.5
2010-03-22,9.59,9.95,10.02,9.59,43246,62251442.0,4.47,3.43,0.33,4.7
2010-03-23,9.98,9.76,9.98,9.74,13931,19879798.0,2.41,-1.91,-0.19,1.51
2010-03-24,9.76,9.78,9.91,9.65,20305,28881664.0,2.66,0.2,0.02,2.21
2010-03-25,9.8,9.55,9.81,9.52,12306,17270737.0,2.97,-2.35,-0.23,1.34
2010-03-26,10.54,10.11,10.54,9.98,93652,139651746.0,5.86,5.86,0.56,10.18
2010-03-29,9.86,9.81,9.88,9.69,49507,70530170.0,1.88,-2.97,-0.3,5.38
2010-03-30,9.69,9.82,9.85,9.69,22582,32197943.0,1.63,0.1,0.01,2.45
2010-03-31,9.82,10.09,10.12,9.81,43006,62698333.0,3.16,2.75,0.27,4.67
2010-04-01,10.04,10.1,10.28,9.98,34093,50256481.0,2.97,0.1,0.01,3.71
2010-04-02,10.06,10.02,10.17,9.93,22604,32978495.0,2.38,-0.79,-0.08,2.46
2010-04-06,10.07,10.09,10.22,10.02,18363,26972259.0,2.0,0.7,0.07,2.0
2010-04-07,10.19,10.24,10.28,9.96,29639,43692748.0,3.17,1.49,0.15,3.22
2010-04-08,10.25,10.13,10.28,10.11,18562,27392077.0,1.66,-1.07,-0.11,2.02
2010-04-09,10.11,10.42,10.53,10.11,43556,65542792.0,4.15,2.86,0.29,4.73
2010-04-12,10.46,10.54,10.74,10.36,28269,43363940.0,3.65,1.15,0.12,3.07
2010-04-13,10.61,10.1,10.61,9.84,36562,54250560.0,7.31,-4.17,-0.44,3.97
2010-04-14,10.04,10.29,10.36,9.96,18919,28110658.0,3.96,1.88,0.19,2.06
2010-04-15,10.25,9.92,10.33,9.8,25100,36445597.0,5.15,-3.6,-0.37,2.73
2010-04-16,9.82,9.89,9.98,9.76,9117,13098588.0,2.22,-0.3,-0.03,0.99
2010-04-19,9.75,9.17,9.89,9.04,20051,27877429.0,8.59,-7.28,-0.72,2.18
2010-04-20,9.25,9.31,9.39,9.02,15461,20838974.0,4.03,1.53,0.14,1.68
2010-04-21,9.26,9.97,9.99,9.2,27064,38330108.0,8.49,7.09,0.66,2.94
2010-04-22,9.9,9.87,10.18,9.76,21009,30387985.0,4.21,-1.0,-0.1,2.28
2010-04-23,9.87,10.06,10.16,9.84,18970,27613672.0,3.24,1.93,0.19,2.06
2010-04-26,10.06,10.19,10.22,9.89,17712,25911408.0,3.28,1.29,0.13,1.93
2010-04-27,10.11,9.84,10.17,9.62,15530,22228111.0,5.4,-3.43,-0.35,1.69
2010-04-28,9.68,10.09,10.14,9.68,24739,36058644.0,4.67,2.54,0.25,2.69
2010-04-29,10.11,9.79,10.34,9.69,30841,45654169.0,6.44,-2.97,-0.3,3.35
2010-04-30,9.43,9.01,9.43,8.77,27831,36692592.0,6.74,-7.97,-0.78,3.03
2010-05-04,8.89,8.89,9.13,8.79,18386,24166328.0,3.77,-1.33,-0.12,2.0
2010-05-05,8.81,9.22,9.29,8.81,11475,15206608.0,5.4,3.71,0.33,1.25
2010-05-06,9.18,9.03,9.31,8.94,16326,21516830.0,4.01,-2.06,-0.19,1.77
2010-05-07,8.95,8.93,9.14,8.66,5922,7769365.0,5.32,-1.11,-0.1,0.64
2010-05-10,8.93,8.89,9.08,8.61,8131,10499768.0,5.26,-0.45,-0.04,0.88
2010-05-11,9.04,8.71,9.2,8.59,8922,11597536.0,6.86,-2.02,-0.18,0.97
