日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.72,8.96,9.18,8.72,103212,192948068.0,5.32,3.58,0.31,2.49
2010-01-05,8.95,8.89,9.07,8.67,62012,113694000.0,4.46,-0.78,-0.07,1.49
2010-01-06,8.86,9.26,9.54,8.74,126524,241810855.0,9.0,4.16,0.37,3.05
2010-01-07,9.1,9.14,9.36,8.97,91887,174255679.0,4.21,-1.3,-0.12,2.21
2010-01-08,9.11,9.24,9.3,8.91,58920,111703532.0,4.27,1.09,0.1,1.42
2010-01-11,9.25,8.86,9.32,8.67,80805,148858490.0,7.03,-4.11,-0.38,1.95
2010-01-12,8.81,9.17,9.29,8.74,74142,139705690.0,6.21,3.5,0.31,1.79
2010-01-13,8.96,8.67,8.96,8.52,86259,156784703.0,4.8,-5.45,-0.5,2.08
2010-01-14,8.59,8.93,9.0,8.59,51874,95054810.0,4.73,3.0,0.26,1.25
2010-01-15,9.15,9.54,9.84,9.14,147564,290266545.0,7.84,6.83,0.61,3.56
2010-01-18,9.66,10.53,10.53,9.57,293509,619965887.0,10.06,10.38,0.99,7.07
2010-01-19,10.61,10.62,10.84,10.17,175841,384302439.0,6.36,0.85,0.09,4.24
2010-01-20,10.61,10.32,10.85,10.11,165326,360214819.0,6.97,-2.82,-0.3,3.98
2010-01-21,10.47,10.56,10.97,10.3,186366,410117067.0,6.49,2.33,0.24,4.49
2010-01-22,10.37,9.68,10.37,9.47,199982,402374966.0,8.52,-8.33,-0.88,4.82
2010-01-25,9.42,9.82,9.89,9.01,181570,356772827.0,9.09,1.45,0.14,4.38
2010-01-26,9.66,9.38,9.81,8.87,247604,481072756.0,9.57,-4.48,-0.44,5.97
2010-01-27,9.43,8.8,9.56,8.43,362479,668386651.0,12.05,-6.18,-0.58,8.73
2010-01-28,8.77,8.87,9.36,8.48,468800,868825905.0,10.0,0.8,0.07,11.3
2010-01-29,8.57,8.22,8.84,8.17,381698,670805142.0,7.55,-7.33,-0.65,9.2
2010-02-02,7.37,7.37,7.69,7.37,537791,836471617.0,3.89,-10.34,-0.85,12.96
2010-02-03,7.07,7.04,7.12,6.69,410503,596761247.0,5.83,-4.48,-0.33,9.89
2010-02-04,6.92,7.07,7.26,6.85,349313,520291280.0,5.82,0.43,0.03,8.42
2010-02-05,6.9,6.77,6.96,6.63,215042,306547951.0,4.67,-4.24,-0.3,5.18
2010-02-08,6.81,6.96,6.99,6.77,160423,230686505.0,3.25,2.81,0.19,3.87
2010-02-09,6.89,6.88,6.95,6.79,107395,154301274.0,2.3,-1.15,-0.08,2.59
2010-02-10,6.96,7.17,7.25,6.89,232669,345479506.0,5.23,4.22,0.29,5.61
2010-02-11,7.17,7.1,7.17,7.02,130818,194197734.0,2.09,-0.98,-0.07,3.15
2010-02-12,7.17,7.27,7.37,7.11,175243,265673914.0,3.66,2.39,0.17,4.22
2010-02-22,7.17,6.99,7.17,6.94,151626,223328093.0,3.16,-3.85,-0.28,3.65
2010-02-23,6.95,7.17,7.24,6.92,191698,283719102.0,4.58,2.58,0.18,4.62
2010-02-24,7.1,7.39,7.55,7.01,242518,368696589.0,7.53,3.07,0.22,5.84
2010-02-25,7.36,7.55,7.56,7.32,253061,395116133.0,3.25,2.17,0.16,6.1
2010-02-26,7.57,7.43,7.64,7.4,202609,317922132.0,3.18,-1.59,-0.12,4.88
2010-03-01,7.44,7.37,7.45,7.28,179899,276732027.0,2.29,-0.81,-0.06,4.33
2010-03-02,7.38,7.71,7.72,7.32,266903,419169039.0,5.43,4.61,0.34,6.43
2010-03-03,7.67,7.62,7.67,7.53,170683,270720937.0,1.82,-1.17,-0.09,4.11
2010-03-04,7.47,7.2,7.6,7.17,220946,343524925.0,5.64,-5.51,-0.42,5.32
2010-03-05,7.17,7.11,7.27,6.97,131231,194958177.0,4.17,-1.25,-0.09,3.16
2010-03-08,7.04,7.17,7.24,6.98,107292,160005440.0,3.66,0.84,0.06,2.59
2010-03-09,7.16,7.34,7.46,6.99,179382,273758833.0,6.56,2.37,0.17,4.32
2010-03-10,7.31,7.14,7.34,7.09,104163,157232147.0,3.41,-2.72,-0.2,2.51
2010-03-11,7.12,7.16,7.25,7.05,66272,99087657.0,2.8,0.28,0.02,1.6
2010-03-12,7.1,6.91,7.14,6.89,102783,150498099.0,3.49,-3.49,-0.25,2.48
2010-03-15,6.89,6.84,6.89,6.77,55659,79770337.0,1.74,-1.01,-0.07,1.34
2010-03-16,6.86,6.92,7.01,6.84,69560,100975790.0,2.49,1.17,0.08,1.68
2010-03-17,6.91,7.3,7.47,6.89,251462,383459596.0,8.38,5.49,0.38,6.06
2010-03-18,7.27,7.34,7.44,7.26,174615,269021334.0,2.47,0.55,0.04,4.21
2010-03-19,7.34,7.38,7.48,7.32,121084,187134786.0,2.18,0.54,0.04,2.92
2010-03-22,7.39,7.26,7.42,7.2,101729,154586094.0,2.98,-1.63,-0.12,2.45
2010-03-23,7.26,7.13,7.27,7.1,84550,126635020.0,2.34,-1.79,-0.13,2.04
2010-03-24,7.13,7.25,7.31,7.12,106683,161298698.0,2.66,1.68,0.12,2.57
2010-03-25,7.24,7.02,7.24,6.99,102694,151929697.0,3.45,-3.17,-0.23,2.47
2010-03-26,7.0,7.13,7.19,7.0,67305,100209458.0,2.71,1.57,0.11,1.62
2010-03-29,7.12,7.29,7.33,7.07,141272,213524433.0,3.65,2.24,0.16,3.4
2010-03-30,7.3,7.29,7.32,7.19,93709,142189580.0,1.78,0.0,0.0,2.26
2010-03-31,7.29,7.28,7.39,7.2,111260,169879520.0,2.61,-0.14,-0.01,2.68
2010-04-01,7.34,7.62,7.75,7.34,270079,424071026.0,5.63,4.67,0.34,6.51
2010-04-02,7.58,7.64,7.79,7.56,198259,317942899.0,3.02,0.26,0.02,4.78
2010-04-06,7.65,7.39,7.72,7.32,209444,325641494.0,5.24,-3.27,-0.25,5.05
2010-04-07,7.37,7.28,7.37,7.2,144150,219006206.0,2.3,-1.49,-0.11,3.47
2010-04-08,7.31,7.24,7.33,7.21,116801,177462954.0,1.65,-0.55,-0.04,2.81
2010-04-09,7.25,7.28,7.29,7.19,88969,134837345.0,1.38,0.55,0.04,2.14
2010-04-12,7.27,7.02,7.27,6.98,159923,236680673.0,3.98,-3.57,-0.26,3.85
2010-04-13,6.97,7.09,7.12,6.92,117299,172708647.0,2.85,1.0,0.07,2.83
2010-04-14,7.09,7.06,7.1,6.99,58769,86607349.0,1.55,-0.42,-0.03,1.42
2010-04-15,6.87,6.54,6.87,6.47,237406,329302251.0,5.67,-7.37,-0.52,5.72
2010-04-16,6.51,6.5,6.52,6.35,114698,155202852.0,2.6,-0.61,-0.04,2.76
2010-04-19,6.32,5.87,6.33,5.83,152683,196840585.0,7.69,-9.69,-0.63,3.68
2010-04-20,5.79,5.63,5.86,5.42,126274,150224537.0,7.5,-4.09,-0.24,3.04
2010-04-21,5.63,5.77,5.81,5.53,102255,123095341.0,4.97,2.49,0.14,2.46
2010-04-22,5.74,5.53,5.74,5.48,83021,98315368.0,4.51,-4.16,-0.24,2.0
2010-04-23,5.47,5.55,5.61,5.43,66089,77571220.0,3.25,0.36,0.02,1.59
2010-04-26,5.57,5.65,5.72,5.5,109246,130642991.0,3.96,1.8,0.1,2.63
2010-04-27,5.63,5.77,5.8,5.5,144569,174643721.0,5.31,2.12,0.12,3.48
2010-04-28,5.67,5.67,5.79,5.59,69790,83814112.0,3.47,-1.73,-0.1,1.68
2010-04-29,5.55,5.1,5.55,5.09,203856,230369324.0,8.11,-10.05,-0.57,4.91
2010-04-30,4.94,4.78,5.01,4.72,123132,127497149.0,5.69,-6.27,-0.32,2.97
2010-05-04,4.61,4.64,4.72,4.52,91839,91163199.0,4.18,-2.93,-0.14,2.21
2010-05-05,4.57,4.8,4.89,4.53,118082,120078034.0,7.76,3.45,0.16,2.85
2010-05-06,4.73,4.45,4.73,4.42,91858,90447318.0,6.46,-7.29,-0.35,2.21
2010-05-07,4.34,4.4,4.56,4.3,70183,67137605.0,5.84,-1.12,-0.05,1.69
2010-05-10,4.37,4.56,4.63,4.37,99053,96265897.0,5.91,3.64,0.16,2.39
2010-05-11,4.64,4.37,4.66,4.35,92052,89424577.0,6.8,-4.17,-0.19,2.22
2010-05-12,4.32,4.84,4.84,4.27,340501,349807002.0,13.04,10.76,0.47,8.2
2010-05-13,4.75,4.84,4.85,4.57,231941,234575644.0,5.79,0.0,0.0,5.59
2010-05-14,4.73,4.76,4.88,4.63,187622,190368377.0,5.17,-1.65,-0.08,4.52
2010-05-17,4.63,4.25,4.69,4.25,138393,133801348.0,9.24,-10.71,-0.51,3.33
2010-05-18,4.27,4.53,4.67,4.02,214256,200939509.0,15.29,6.59,0.28,5.16
2010-05-19,4.38,4.39,4.51,4.27,140811,132720396.0,5.3,-3.09,-0.14,3.39
2010-05-20,4.32,4.2,4.43,4.18,93631,86534774.0,5.69,-4.33,-0.19,2.26
2010-05-21,4.02,4.4,4.44,3.98,145028,134395971.0,10.95,4.76,0.2,3.49
2010-05-24,4.49,4.67,4.74,4.44,195385,194171392.0,6.82,6.14,0.27,4.71
2010-05-25,4.56,4.53,4.6,4.45,112712,109434687.0,3.21,-3.0,-0.14,2.72
2010-05-26,4.52,4.56,4.6,4.42,76126,73858398.0,3.97,0.66,0.03,1.83
2010-05-27,4.5,4.57,4.6,4.38,85455,82897010.0,4.82,0.22,0.01,2.06
2010-05-28,4.6,4.44,4.63,4.39,92076,88886853.0,5.25,-2.84,-0.13,2.22
2010-05-31,4.36,4.31,4.53,4.31,75965,72159050.0,4.95,-2.93,-0.13,1.83
2010-06-01,4.24,4.15,4.3,4.09,64767,58633285.0,4.87,-3.71,-0.16,1.56
2010-06-02,4.17,4.32,4.34,4.14,73118,67225316.0,4.82,4.1,0.17,1.76
2010-06-03,4.32,4.2,4.36,4.2,70976,65433669.0,3.7,-2.78,-0.12,1.71
2010-06-04,4.16,4.66,4.66,4.12,156374,151840893.0,12.86,10.95,0.46,3.77
2010-06-07,4.62,4.68,4.82,4.56,261561,261754994.0,5.58,0.43,0.02,6.3
2010-06-08,4.62,4.73,4.75,4.58,154689,154538861.0,3.63,1.07,0.05,3.73
2010-06-09,4.74,4.9,5.01,4.63,240991,247662663.0,8.03,3.59,0.17,5.81
2010-06-10,4.78,4.73,4.84,4.7,151403,154230273.0,2.86,-3.47,-0.17,3.65
2010-06-11,4.73,4.73,4.78,4.64,104339,105405668.0,2.96,0.0,0.0,2.51
2010-06-17,4.72,4.74,4.81,4.68,86473,87892584.0,2.75,0.21,0.01,2.08
2010-06-18,4.72,4.59,4.88,4.57,124506,126560995.0,6.54,-3.16,-0.15,3.0
2010-06-21,4.66,4.89,4.93,4.54,170570,175072078.0,8.5,6.54,0.3,4.11
2010-06-22,4.84,4.85,4.9,4.8,109764,113565120.0,2.04,-0.82,-0.04,2.64
2010-06-23,4.81,4.78,4.88,4.72,96645,98893170.0,3.3,-1.44,-0.07,2.33
2010-06-24,4.78,4.82,4.96,4.77,103700,107656116.0,3.97,0.84,0.04,2.5
2010-06-25,4.75,4.74,4.83,4.67,80704,81644931.0,3.32,-1.66,-0.08,1.94
2010-06-29,4.8,4.33,4.94,4.32,163978,163980208.0,13.08,-8.65,-0.41,3.95
2010-06-30,4.19,4.05,4.27,3.99,98852,87167270.0,6.47,-6.47,-0.28,2.38
2010-07-01,4.05,4.07,4.24,4.05,69298,61841513.0,4.69,0.49,0.02,1.67
2010-07-02,4.02,4.24,4.31,3.87,91487,81509655.0,10.81,4.18,0.17,2.2
2010-07-05,4.11,4.24,4.29,4.03,76086,68338715.0,6.13,0.0,0.0,1.83
2010-07-06,4.22,4.26,4.3,4.16,72056,65842966.0,3.3,0.47,0.02,1.74
2010-07-07,4.26,4.27,4.3,4.22,60629,55592233.0,1.88,0.23,0.01,1.46
2010-07-08,4.29,4.22,4.34,4.21,68326,63074711.0,3.04,-1.17,-0.05,1.65
2010-07-09,4.22,4.35,4.39,4.18,93566,86889236.0,4.98,3.08,0.13,2.25
2010-07-12,4.36,4.65,4.81,4.32,194896,193780267.0,11.26,6.9,0.3,4.7
2010-07-13,4.51,4.4,4.52,4.35,99750,94922440.0,3.66,-5.38,-0.25,2.4
2010-07-14,4.4,4.42,4.51,4.38,85203,81297920.0,2.95,0.45,0.02,2.05
2010-07-15,4.38,4.35,4.53,4.33,68590,65641647.0,4.52,-1.58,-0.07,1.65
2010-07-16,4.3,4.45,4.49,4.27,82187,77918797.0,5.06,2.3,0.1,1.98
2010-07-19,4.39,4.55,4.58,4.37,98293,95402087.0,4.72,2.25,0.1,2.37
2010-07-20,4.56,4.74,4.87,4.55,148511,149352346.0,7.03,4.18,0.19,3.58
2010-07-21,4.72,4.75,4.87,4.72,152135,155453540.0,3.16,0.21,0.01,3.67
