日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.97,9.25,9.36,8.96,44427,68967552.0,4.48,3.58,0.32,3.85
2010-01-05,9.24,8.74,9.43,8.68,73184,109821536.0,8.11,-5.51,-0.51,6.34
2010-01-06,8.75,8.44,8.78,8.39,41628,59919532.0,4.46,-3.43,-0.3,3.6
2010-01-07,8.42,8.45,8.59,8.39,31053,44541664.0,2.37,0.12,0.01,2.69
2010-01-08,8.45,8.47,8.53,8.29,23915,34081748.0,2.84,0.24,0.02,2.07
2010-01-11,8.47,8.6,8.62,8.37,24073,34560836.0,2.95,1.53,0.13,2.08
2010-01-12,8.63,8.69,8.79,8.45,27100,39654804.0,3.95,1.05,0.09,2.35
2010-01-13,8.57,8.5,8.57,8.3,27344,39167400.0,3.11,-2.19,-0.19,2.37
2010-01-14,8.5,8.54,8.6,8.39,22462,32375328.0,2.47,0.47,0.04,1.94
2010-01-15,8.57,8.85,8.96,8.57,41006,61246156.0,4.57,3.63,0.31,3.55
2010-01-18,8.81,9.18,9.21,8.75,39047,59900840.0,5.2,3.73,0.33,3.38
2010-01-19,9.35,9.08,9.35,8.96,30125,46414544.0,4.25,-1.09,-0.1,2.61
2010-01-20,9.07,8.75,9.17,8.74,22941,34591588.0,4.74,-3.63,-0.33,1.99
2010-01-21,8.79,8.81,8.87,8.68,13578,20104800.0,2.17,0.69,0.06,1.18
2010-01-22,9.05,8.88,9.29,8.86,54964,83937256.0,4.88,0.79,0.07,4.76
2010-01-25,8.84,8.25,8.85,8.19,32736,46303528.0,7.43,-7.09,-0.63,2.83
2010-01-26,8.17,7.78,8.22,7.57,24180,32011174.0,7.88,-5.7,-0.47,2.09
2010-01-27,7.74,7.58,7.83,7.45,19205,24845832.0,4.88,-2.57,-0.2,1.66
2010-01-28,7.58,7.57,7.65,7.48,7768,10001787.0,2.24,-0.13,-0.01,0.67
2010-01-29,7.59,7.61,7.66,7.49,13291,17194876.0,2.25,0.53,0.04,1.15
2010-02-01,7.62,7.66,7.75,7.36,23242,29905776.0,5.12,0.66,0.05,2.01
2010-02-02,7.69,7.77,8.06,7.63,40403,54065020.0,5.61,1.44,0.11,3.5
2010-02-03,7.72,7.9,7.99,7.25,28501,37157504.0,9.52,1.67,0.13,2.47
2010-02-04,7.77,7.89,8.08,7.6,25487,34114064.0,6.08,-0.13,-0.01,2.21
2010-02-05,7.65,8.09,8.39,7.42,59573,81952248.0,12.29,2.53,0.2,5.16
2010-02-08,8.02,7.86,8.17,7.78,17621,23601722.0,4.82,-2.84,-0.23,1.53
2010-02-09,7.84,7.79,7.89,7.54,19596,25664944.0,4.45,-0.89,-0.07,1.7
2010-02-10,7.77,7.75,7.81,7.66,9155,11983048.0,1.93,-0.51,-0.04,0.79
2010-02-11,7.74,7.68,7.8,7.65,7978,10454941.0,1.94,-0.9,-0.07,0.69
2010-02-12,7.72,7.69,7.78,7.6,6644,8721440.0,2.34,0.13,0.01,0.58
2010-02-22,7.72,7.84,7.87,7.6,14955,19765514.0,3.51,1.95,0.15,1.29
2010-02-23,7.85,7.65,7.86,7.61,16529,21535078.0,3.19,-2.42,-0.19,1.43
2010-02-24,7.61,7.83,7.85,7.55,17786,23244580.0,3.92,2.35,0.18,1.54
