日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.3,4.13,4.32,4.12,81286,53443697.0,4.68,-3.28,-0.14,1.13
2010-01-05,4.15,4.06,4.17,3.97,82398,52781385.0,4.84,-1.69,-0.07,1.14
2010-01-06,4.06,4.08,4.12,3.97,73351,47004476.0,3.69,0.49,0.02,1.02
2010-01-07,4.05,4.22,4.24,4.03,139326,90942235.0,5.15,3.43,0.14,1.93
2010-01-08,4.19,4.28,4.28,4.13,148406,98350858.0,3.55,1.42,0.06,2.06
2010-01-11,4.27,4.14,4.27,4.09,89677,58375890.0,4.21,-3.27,-0.14,1.25
2010-01-12,4.13,4.22,4.25,4.09,91982,60212066.0,3.86,1.93,0.08,1.28
2010-01-13,4.09,4.02,4.13,4.01,96833,62206137.0,2.84,-4.74,-0.2,1.34
2010-01-14,4.02,4.24,4.34,3.99,143865,94264572.0,8.71,5.47,0.22,2.0
2010-01-15,4.22,4.59,4.67,4.2,293531,201793474.0,11.08,8.25,0.35,4.08
2010-01-18,4.55,4.6,4.72,4.42,316824,222600332.0,6.54,0.22,0.01,4.4
2010-01-19,4.59,4.51,4.59,4.46,101851,70776729.0,2.83,-1.96,-0.09,1.41
2010-01-20,4.51,4.56,4.71,4.39,237812,166430361.0,7.1,1.11,0.05,3.3
2010-01-21,4.43,4.6,4.65,4.43,153988,108275037.0,4.82,0.88,0.04,2.14
2010-01-22,4.5,4.31,4.5,4.13,115972,78471498.0,8.04,-6.3,-0.29,1.61
2010-01-25,4.22,4.13,4.33,4.11,54290,35697392.0,5.1,-4.18,-0.18,0.75
2010-01-26,4.17,3.84,4.17,3.82,72526,45478782.0,8.47,-7.02,-0.29,1.01
2010-01-27,3.87,3.85,3.96,3.8,36280,22471191.0,4.17,0.26,0.01,0.5
2010-01-28,3.85,3.91,3.93,3.85,27765,17246696.0,2.08,1.56,0.06,0.39
2010-01-29,3.86,3.89,3.97,3.81,46267,28791796.0,4.09,-0.51,-0.02,0.64
2010-02-01,3.87,3.94,4.02,3.7,77165,47320271.0,8.23,1.29,0.05,1.07
2010-02-02,3.94,3.94,3.99,3.89,50063,31456282.0,2.54,0.0,0.0,0.7
