日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-25,8.94,8.17,9.08,8.15,36818,205076903.0,9.38,-17.56,-1.74,24.88
2011-01-26,8.22,8.38,8.5,8.11,15869,87589910.0,4.77,2.57,0.21,10.72
2011-01-27,8.22,8.25,8.34,8.07,10868,59125801.0,3.22,-1.55,-0.13,7.34
2011-01-28,8.22,8.37,8.45,8.17,8567,47554242.0,3.39,1.45,0.12,5.79
2011-01-31,8.38,8.5,8.58,8.37,6492,36492496.0,2.51,1.55,0.13,4.39
2011-02-01,8.51,8.49,8.62,8.41,4334,24260566.0,2.47,-0.12,-0.01,2.93
2011-02-09,8.33,8.4,8.49,8.33,3815,21287420.0,1.88,-1.06,-0.09,2.58
2011-02-10,8.4,8.66,8.67,8.22,6253,35426152.0,5.36,3.1,0.26,4.22
2011-02-11,8.66,8.66,8.75,8.58,5831,33346003.0,1.96,0.0,0.0,3.94
2011-02-14,8.67,8.73,8.77,8.62,5951,34196242.0,1.73,0.81,0.07,4.02
2011-02-15,8.74,8.66,8.78,8.66,4841,27923402.0,1.37,-0.8,-0.07,3.27
2011-02-16,8.66,8.81,8.82,8.62,4954,28534953.0,2.31,1.73,0.15,3.35
2011-02-17,8.89,8.81,8.89,8.74,3739,21750950.0,1.7,0.0,0.0,2.53
2011-02-18,8.79,8.75,8.86,8.7,3583,20692881.0,1.82,-0.68,-0.06,2.42
2011-02-21,8.71,8.87,8.88,8.71,3290,19167782.0,1.94,1.37,0.12,2.22
2011-02-22,8.63,8.33,8.74,8.33,11087,62587670.0,4.62,-6.09,-0.54,7.49
2011-02-23,8.33,8.41,8.43,8.33,4597,25562138.0,1.2,0.96,0.08,3.11
2011-02-24,8.41,8.41,8.43,8.34,3998,22198897.0,1.07,0.0,0.0,2.7
2011-02-25,8.38,8.51,8.51,8.38,5569,31195247.0,1.55,1.19,0.1,3.76
2011-02-28,8.5,8.49,8.55,8.44,3042,17056063.0,1.29,-0.24,-0.02,2.06
2011-03-01,8.5,8.47,8.51,8.45,2576,14442915.0,0.71,-0.24,-0.02,1.74
2011-03-02,8.41,8.47,8.55,8.38,2551,14320105.0,2.01,0.0,0.0,1.72
2011-03-03,8.48,8.34,8.49,8.34,2416,13459672.0,1.77,-1.53,-0.13,1.63
2011-03-04,8.35,8.42,8.43,8.35,1165,6468454.0,0.96,0.96,0.08,0.79
2011-03-07,8.44,8.43,8.46,8.41,1773,9893523.0,0.59,0.12,0.01,1.2
2011-03-08,8.43,8.46,8.46,8.42,1886,10545156.0,0.47,0.36,0.03,1.27
2011-03-09,8.45,8.44,8.49,8.41,1482,8276787.0,0.95,-0.24,-0.02,1.0
2011-03-10,8.44,8.46,8.48,8.42,2594,14512531.0,0.71,0.24,0.02,1.75
2011-03-11,8.46,8.46,8.49,8.44,3217,18014291.0,0.59,0.0,0.0,2.17
2011-03-14,8.46,8.58,8.58,8.46,3658,20637054.0,1.42,1.42,0.12,2.47
2011-03-15,8.57,8.51,8.58,8.4,3932,22039543.0,2.1,-0.82,-0.07,2.66
2011-03-16,8.51,8.53,8.54,8.44,2254,12666773.0,1.18,0.24,0.02,1.52
2011-03-17,8.46,8.45,8.49,8.41,2139,11961774.0,0.94,-0.94,-0.08,1.45
2011-03-18,8.5,8.63,9.09,8.45,4361,25068086.0,7.57,2.13,0.18,2.95
2011-03-21,8.57,8.61,8.66,8.54,2132,12096046.0,1.39,-0.23,-0.02,1.44
2011-03-22,8.59,8.5,8.62,8.47,1443,8124059.0,1.74,-1.28,-0.11,0.97
2011-03-23,8.54,8.49,8.54,8.46,2409,13515355.0,0.94,-0.12,-0.01,1.63
2011-03-24,8.53,8.46,8.53,8.45,1631,9139321.0,0.94,-0.35,-0.03,1.1
2011-03-25,8.46,8.46,8.49,8.45,1285,7193281.0,0.47,0.0,0.0,0.87
2011-03-28,8.47,8.4,8.49,8.39,3037,16931155.0,1.18,-0.71,-0.06,2.05
2011-03-29,8.39,8.11,8.43,8.07,4692,25550723.0,4.29,-3.45,-0.29,3.17
2011-03-30,8.08,8.12,8.26,8.08,2053,11060941.0,2.22,0.12,0.01,1.39
2011-03-31,8.14,8.16,8.25,8.14,1196,6494594.0,1.35,0.49,0.04,0.81
2011-04-01,8.15,8.29,8.29,8.13,1688,9225648.0,1.96,1.59,0.13,1.14
2011-04-06,8.22,8.18,8.29,8.12,1677,9079201.0,2.05,-1.33,-0.11,1.13
2011-04-07,8.14,8.13,8.17,8.03,2410,12936912.0,1.71,-0.61,-0.05,1.63
2011-04-08,8.14,8.16,8.17,8.1,985,5326214.0,0.86,0.37,0.03,0.67
2011-04-11,8.19,8.09,8.19,8.08,1634,8784946.0,1.35,-0.86,-0.07,1.1
2011-04-12,8.08,8.06,8.11,8.05,1215,6506098.0,0.74,-0.37,-0.03,0.82
2011-04-13,8.06,8.12,8.14,8.06,833,4476762.0,0.99,0.74,0.06,0.56
2011-04-14,8.12,8.08,8.13,8.07,667,3585021.0,0.74,-0.49,-0.04,0.45
2011-04-15,8.1,8.07,8.11,8.04,834,4462590.0,0.87,-0.12,-0.01,0.56
2011-04-18,8.09,8.05,8.12,8.04,867,4634002.0,0.99,-0.25,-0.02,0.59
2011-04-19,8.03,7.96,8.03,7.94,1799,9527863.0,1.12,-1.12,-0.09,1.22
2011-04-20,7.93,7.96,7.98,7.93,701,3704238.0,0.63,0.0,0.0,0.47
2011-04-21,7.96,7.99,8.04,7.94,838,4444894.0,1.26,0.38,0.03,0.57
2011-04-22,8.03,7.97,8.03,7.97,931,4934438.0,0.75,-0.25,-0.02,0.63
2011-04-25,7.97,7.54,7.97,7.53,5307,27007110.0,5.52,-5.4,-0.43,2.87
2011-04-26,7.5,6.93,7.52,6.92,9266,43963882.0,7.96,-8.09,-0.61,5.01
2011-04-28,6.92,6.56,6.96,6.55,5516,24613691.0,5.92,-5.34,-0.37,2.98
2011-04-29,6.6,6.56,6.62,6.55,3161,13969466.0,1.07,0.0,0.0,1.71
2011-05-03,6.62,6.54,6.69,6.46,4048,17790281.0,3.51,-0.3,-0.02,2.19
2011-05-04,6.52,6.41,6.56,6.4,3018,13187264.0,2.45,-1.99,-0.13,1.63
2011-05-05,6.38,6.46,6.5,6.36,3889,16840543.0,2.18,0.78,0.05,2.1
2011-05-06,6.38,6.48,6.51,6.38,3201,13891846.0,2.01,0.31,0.02,1.73
2011-05-09,6.48,6.52,6.58,6.45,2823,12383655.0,2.01,0.62,0.04,1.53
2011-05-10,6.52,6.53,6.55,6.48,1510,6619301.0,1.07,0.15,0.01,0.82
2011-05-11,6.55,6.56,6.58,6.47,2219,9756032.0,1.68,0.46,0.03,1.2
2011-05-12,6.55,6.43,6.56,6.43,1875,8224556.0,1.98,-1.98,-0.13,1.01
2011-05-13,6.5,6.39,6.5,6.31,2377,10201072.0,2.95,-0.62,-0.04,1.28
2011-05-16,6.38,6.4,6.47,6.33,1717,7397949.0,2.19,0.16,0.01,0.93
2011-05-17,6.4,6.4,6.43,6.34,1272,5475806.0,1.41,0.0,0.0,0.69
2011-05-18,6.43,6.44,6.46,6.38,1162,5020917.0,1.25,0.63,0.04,0.63
2011-05-19,6.46,6.46,6.51,6.4,1496,6500429.0,1.71,0.31,0.02,0.81
2011-05-20,6.43,6.42,6.46,6.36,1438,6203368.0,1.55,-0.62,-0.04,0.78
2011-05-23,6.42,6.19,6.44,6.16,2577,10869766.0,4.36,-3.58,-0.23,1.39
2011-05-24,6.08,6.28,6.33,6.03,3544,9195126.0,4.85,1.45,0.09,1.2
2011-05-25,6.25,5.95,6.28,5.92,4792,12117563.0,5.73,-5.25,-0.33,1.62
2011-05-26,5.95,5.83,6.02,5.83,4265,10606573.0,3.19,-2.02,-0.12,1.44
2011-05-27,5.73,5.69,5.83,5.64,3698,8905575.0,3.26,-2.4,-0.14,1.25
2011-05-30,5.58,5.64,5.74,5.55,3731,8949416.0,3.34,-0.88,-0.05,1.26
2011-05-31,5.7,5.74,5.75,5.64,1872,4492443.0,1.95,1.77,0.1,0.63
2011-06-01,5.77,5.78,5.81,5.73,1760,4281072.0,1.39,0.7,0.04,0.59
2011-06-02,5.65,5.67,5.69,5.61,1494,3558495.0,1.38,-1.9,-0.11,0.5
2011-06-03,5.69,5.78,5.79,5.65,1492,3611049.0,2.47,1.94,0.11,0.5
2011-06-07,5.79,5.85,5.9,5.78,2235,5507706.0,2.08,1.21,0.07,0.76
2011-06-08,5.9,5.8,5.9,5.76,1911,4680551.0,2.39,-0.85,-0.05,0.65
2011-06-09,5.82,5.74,5.82,5.69,1628,3929737.0,2.24,-1.03,-0.06,0.55
2011-06-10,5.74,5.74,5.74,5.66,1252,3005617.0,1.39,0.0,0.0,0.42
