日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-03-30,14.52,17.66,17.66,14.52,353,656604.0,26.36,48.28,5.75,0.05
2018-04-02,19.54,19.54,19.54,19.54,198,409455.0,0.0,10.65,1.88,0.03
2018-04-03,21.61,21.61,21.61,21.61,185,421060.0,0.0,10.59,2.07,0.03
2018-04-04,23.89,23.89,23.89,23.89,528,1323063.0,0.0,10.55,2.28,0.08
2018-04-09,26.39,26.39,26.39,26.39,1061,2922544.0,0.0,10.46,2.5,0.16
2018-04-10,29.14,29.14,29.14,29.14,1199,3631558.0,0.0,10.42,2.75,0.18
2018-04-11,32.17,32.17,32.17,32.17,1610,5363087.0,0.0,10.4,3.03,0.24
2018-04-12,35.5,35.5,35.5,35.5,2742,10049503.0,0.0,10.35,3.33,0.41
2018-04-13,39.17,39.17,39.17,39.17,3615,14576688.0,0.0,10.34,3.67,0.54
2018-04-16,43.2,42.22,43.2,39.17,431535,1850061920.0,10.29,7.79,3.05,64.55
2018-04-17,40.73,42.55,45.55,40.25,374662,1656390000.0,12.55,0.78,0.33,56.04
2018-04-18,42.85,46.92,46.92,39.81,312644,1413977200.0,16.71,10.27,4.37,46.77
2018-04-19,48.85,46.35,51.73,45.51,476227,2447371584.0,13.26,-1.21,-0.57,71.24
2018-04-20,43.55,41.6,44.45,41.6,314932,1383163136.0,6.15,-10.25,-4.75,47.11
2018-04-23,41.28,44.83,45.73,40.6,309708,1383454080.0,12.33,7.76,3.23,46.33
2018-04-24,43.42,46.24,47.35,42.23,328396,1513996480.0,11.42,3.15,1.41,49.12
2018-04-25,45.61,45.05,49.78,45.05,334391,1614268768.0,10.23,-2.57,-1.19,50.02
2018-04-26,44.05,44.37,44.94,41.05,252322,1110856064.0,8.63,-1.51,-0.68,37.74
2018-04-27,43.85,44.35,46.74,43.25,254894,1177510528.0,7.87,-0.05,-0.02,38.13
2018-05-02,41.85,40.01,42.28,39.97,201828,853960160.0,5.21,-9.79,-4.34,30.19
2018-05-03,40.29,41.09,41.85,40.01,161290,680196736.0,4.6,2.7,1.08,24.13
2018-05-04,40.85,39.79,41.71,39.45,167039,695400144.0,5.5,-3.16,-1.3,24.99
2018-05-07,40.14,40.62,41.12,39.43,153665,638243984.0,4.25,2.09,0.83,22.99
2018-05-08,40.43,41.12,41.6,39.89,157533,661679392.0,4.21,1.23,0.5,23.56
