日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-08-16,4.73,4.69,4.88,4.26,722304,793836252.0,27.31,106.61,2.42,90.29
2011-08-17,4.48,4.61,4.77,4.41,435455,478111750.0,7.68,-1.71,-0.08,54.43
2011-08-18,4.49,4.17,4.53,4.1,339691,355130918.0,9.33,-9.54,-0.44,42.46
2011-08-19,3.98,3.83,4.03,3.75,203239,195856585.0,6.71,-8.15,-0.34,25.4
2011-08-22,3.82,3.82,3.97,3.72,151471,144041277.0,6.53,-0.26,-0.01,18.93
2011-08-23,3.85,4.08,4.12,3.76,207904,202323552.0,9.42,6.81,0.26,25.99
2011-08-24,4.03,3.92,4.08,3.9,153200,150447252.0,4.41,-3.92,-0.16,19.15
2011-08-25,3.98,4.41,4.41,3.94,282999,291130720.0,11.99,12.5,0.49,35.37
2011-08-26,4.41,4.43,4.5,4.28,331961,353869072.0,4.99,0.45,0.02,41.5
2011-08-29,4.4,4.69,4.93,4.36,387894,433516016.0,12.87,5.87,0.26,48.49
2011-08-30,4.67,4.73,4.96,4.61,313250,357711600.0,7.46,0.85,0.04,39.16
2011-08-31,4.79,4.69,4.85,4.59,192284,216067487.0,5.5,-0.85,-0.04,24.04
2011-09-01,4.68,4.52,4.72,4.42,225306,245269121.0,6.4,-3.62,-0.17,28.16
2011-09-02,4.45,4.21,4.53,4.1,252614,264697777.0,9.51,-6.86,-0.31,31.58
2011-09-05,4.09,4.15,4.2,3.99,146479,147026803.0,4.99,-1.43,-0.06,18.31
2011-09-06,4.08,4.02,4.11,3.88,109487,107656807.0,5.54,-3.13,-0.13,13.69
2011-09-07,4.05,4.19,4.23,4.0,185889,188129443.0,5.72,4.23,0.17,23.24
2011-09-08,4.16,4.03,4.19,4.02,134145,134933267.0,4.06,-3.82,-0.16,16.77
2011-09-09,3.98,3.96,4.2,3.91,141624,140768892.0,7.2,-1.74,-0.07,17.7
2011-09-13,3.82,3.71,3.87,3.68,94624,88276430.0,4.8,-6.31,-0.25,11.83
2011-09-14,3.74,3.81,3.85,3.61,84071,78163930.0,6.47,2.7,0.1,10.51
2011-09-15,3.79,3.76,3.94,3.75,122070,116225715.0,4.99,-1.31,-0.05,15.26
2011-09-19,3.68,3.49,3.68,3.48,91133,81056723.0,5.32,-7.18,-0.27,11.39
2011-09-20,3.45,3.56,3.62,3.44,62216,55401611.0,5.16,2.01,0.07,7.78
2011-09-21,3.56,3.7,3.75,3.49,93674,85624767.0,7.3,3.93,0.14,11.71
2011-09-22,3.64,3.45,3.67,3.44,111114,98991912.0,6.22,-6.76,-0.25,13.89
2011-09-23,3.39,3.36,3.4,3.25,72832,61910020.0,4.35,-2.61,-0.09,9.1
2011-09-26,3.32,3.26,3.4,3.24,45988,38985240.0,4.76,-2.98,-0.1,5.75
2011-09-27,3.32,3.32,3.34,3.24,49638,41870388.0,3.07,1.84,0.06,6.2
2011-09-28,3.33,3.13,3.35,3.12,63784,52973872.0,6.93,-5.72,-0.19,7.97
2011-09-29,3.08,2.93,3.13,2.9,61639,48453791.0,7.35,-6.39,-0.2,7.7
2011-09-30,2.95,2.84,2.97,2.79,52504,39707451.0,6.14,-3.07,-0.09,6.56
2011-10-10,2.88,2.87,2.9,2.82,34547,26166841.0,2.82,1.06,0.03,4.32
2011-10-11,2.97,2.93,3.04,2.84,61233,47536706.0,6.97,2.09,0.06,7.65
2011-10-12,2.92,3.08,3.11,2.9,81886,64834946.0,7.17,5.12,0.15,10.24
2011-10-13,3.08,3.08,3.14,3.01,87247,69658149.0,4.22,0.0,0.0,10.91
2011-10-14,3.06,3.27,3.35,3.0,166753,137392541.0,11.36,6.17,0.19,20.84
2011-10-17,3.22,3.23,3.26,3.18,90069,74644702.0,2.45,-1.22,-0.04,11.26
2011-10-18,3.19,2.95,3.2,2.94,84206,67254334.0,8.05,-8.67,-0.28,10.53
2011-10-19,2.96,2.99,3.01,2.91,51019,39642199.0,3.39,1.36,0.04,6.38
2011-10-20,2.95,2.81,2.95,2.79,44363,33494338.0,5.35,-6.02,-0.18,5.55
2011-10-21,2.81,2.77,2.86,2.73,37669,28024408.0,4.63,-1.42,-0.04,4.71
2011-10-24,2.73,2.83,2.86,2.65,49666,36663747.0,7.58,2.17,0.06,6.21
2011-10-25,2.82,2.92,2.98,2.76,70050,53346768.0,7.77,3.18,0.09,8.76
2011-10-26,2.88,2.9,3.01,2.87,66793,51485525.0,4.79,-0.68,-0.02,8.35
2011-10-27,2.89,2.9,3.0,2.87,51407,39605934.0,4.48,0.0,0.0,6.43
2011-10-28,2.94,3.08,3.18,2.91,109373,86373215.0,9.31,6.21,0.18,13.67
2011-10-31,3.05,3.02,3.08,2.99,56930,45044567.0,2.92,-1.95,-0.06,7.12
2011-11-01,2.96,2.98,3.04,2.94,59660,46640236.0,3.31,-1.32,-0.04,7.46
2011-11-02,2.93,3.06,3.07,2.87,78359,60867198.0,6.71,2.68,0.08,9.79
2011-11-03,3.08,3.06,3.16,3.05,110584,88869803.0,3.59,0.0,0.0,13.82
2011-11-04,3.08,3.22,3.27,3.07,146613,120131492.0,6.54,5.23,0.16,18.33
2011-11-07,3.33,3.27,3.51,3.26,185799,158717157.0,7.76,1.55,0.05,23.22
2011-11-08,3.21,3.14,3.25,3.13,98412,80550149.0,3.67,-3.98,-0.13,12.3
2011-11-09,3.15,3.17,3.17,3.04,72105,58227702.0,4.14,0.96,0.03,9.01
2011-11-10,3.07,3.05,3.12,3.05,57986,46453007.0,2.21,-3.79,-0.12,7.25
2011-11-11,3.05,2.95,3.07,2.93,56189,44035828.0,4.59,-3.28,-0.1,7.02
2011-11-14,2.98,3.06,3.1,2.97,59871,47497300.0,4.41,3.73,0.11,7.48
2011-11-15,3.05,3.11,3.12,3.04,50490,40550518.0,2.61,1.63,0.05,6.31
2011-11-16,3.06,2.9,3.11,2.87,125004,97545958.0,7.72,-6.75,-0.21,12.5
2011-11-17,2.9,2.88,2.92,2.8,70779,53607087.0,4.14,-0.69,-0.02,7.08
2011-11-18,2.84,2.74,2.84,2.72,90060,66464486.0,4.17,-4.86,-0.14,9.01
2011-11-21,2.74,2.77,2.77,2.7,36942,27045181.0,2.55,1.09,0.03,3.69
2011-11-22,2.72,2.79,2.8,2.71,40160,29593882.0,3.25,0.72,0.02,4.02
2011-11-23,2.79,2.74,2.8,2.73,30347,22350299.0,2.51,-1.79,-0.05,3.03
2011-11-24,2.71,2.78,2.79,2.66,47785,34870039.0,4.74,1.46,0.04,4.78
2011-11-25,2.75,2.71,2.78,2.7,30605,22449529.0,2.88,-2.52,-0.07,3.06
2011-11-28,2.75,2.71,2.75,2.67,28002,20296648.0,2.95,0.0,0.0,2.8
2011-11-29,2.74,2.77,2.78,2.7,52487,38570326.0,2.95,2.21,0.06,5.25
2011-11-30,2.75,2.57,2.77,2.48,68574,48484207.0,10.47,-7.22,-0.2,6.86
2011-12-01,2.65,2.61,2.69,2.59,60575,43184424.0,3.89,1.56,0.04,6.06
2011-12-02,2.59,2.44,2.59,2.39,56070,38114006.0,7.66,-6.51,-0.17,5.61
2011-12-05,2.43,2.33,2.45,2.3,30090,19881060.0,6.15,-4.51,-0.11,3.01
2011-12-06,2.33,2.34,2.36,2.3,23599,15377930.0,2.58,0.43,0.01,2.36
2011-12-07,2.33,2.34,2.37,2.31,21734,14185356.0,2.56,0.0,0.0,2.17
2011-12-08,2.34,2.31,2.35,2.24,36816,23760007.0,4.7,-1.28,-0.03,3.68
2011-12-09,2.28,2.24,2.32,2.22,29458,18742989.0,4.33,-3.03,-0.07,2.95
2011-12-12,2.27,2.23,2.31,2.23,30226,19292742.0,3.57,-0.45,-0.01,3.02
2011-12-13,2.2,2.13,2.21,2.11,41582,25465652.0,4.48,-4.48,-0.1,4.16
2011-12-14,2.14,2.08,2.15,2.07,25893,15739416.0,3.76,-2.35,-0.05,2.59
2011-12-15,2.04,2.02,2.08,2.01,33331,19811668.0,3.37,-2.88,-0.06,3.33
2011-12-16,2.0,2.07,2.08,1.93,41245,24225719.0,7.43,2.48,0.05,4.12
2012-03-08,2.37,2.37,2.37,2.37,968,637734.0,0.0,14.49,0.3,0.1
2012-03-09,2.7,2.7,2.7,2.7,3535,2562955.0,0.0,13.92,0.33,0.35
2012-03-12,3.07,3.07,3.07,3.07,31142,24851611.0,0.0,13.7,0.37,3.11
2012-03-13,3.47,3.47,3.47,3.47,135510,118977982.0,0.0,13.03,0.4,13.55
2012-03-14,3.72,3.91,3.91,3.66,626770,597684032.0,7.2,12.68,0.44,62.68
2012-03-15,3.43,3.83,3.95,3.43,384445,360930032.0,13.3,-2.05,-0.08,38.44
2012-03-16,3.73,4.19,4.31,3.69,500322,493741088.0,16.19,9.4,0.36,50.03
2012-03-19,4.09,4.01,4.1,3.93,282319,277850928.0,4.06,-4.3,-0.18,28.23
2012-03-20,3.95,3.88,4.14,3.83,274958,268205853.0,7.73,-3.24,-0.13,27.5
2012-03-21,3.84,3.71,3.91,3.53,270459,250671457.0,9.79,-4.38,-0.17,27.05
2012-03-22,3.7,3.68,3.79,3.65,166293,154266892.0,3.77,-0.81,-0.03,16.63
2012-03-23,3.63,3.63,3.64,3.48,159202,142744203.0,4.35,-1.36,-0.05,15.92
2012-03-26,3.6,3.6,3.69,3.5,116590,105715406.0,5.23,-0.83,-0.03,11.66
2012-03-27,3.63,3.49,3.65,3.46,118124,105581451.0,5.28,-3.06,-0.11,11.81
2012-03-28,3.43,3.29,3.44,3.23,137721,117626027.0,6.02,-5.73,-0.2,13.77
2012-03-29,3.27,3.24,3.35,3.16,124844,104673534.0,5.78,-1.52,-0.05,12.48
2012-03-30,3.27,2.88,3.3,2.82,226061,176496061.0,14.81,-11.11,-0.36,22.61
2012-04-05,2.84,2.99,3.02,2.78,152531,117516814.0,8.33,3.82,0.11,15.25
2012-04-06,3.0,3.13,3.31,2.94,246045,200914949.0,12.37,4.68,0.14,24.6
2012-04-09,3.08,3.12,3.17,2.99,134935,107993678.0,5.75,-0.32,-0.01,13.49
2012-04-10,3.08,3.11,3.12,2.89,127468,100399970.0,7.37,-0.32,-0.01,12.75
2012-04-12,3.18,3.24,3.31,3.13,211347,175583234.0,5.79,4.18,0.13,21.13
2012-04-13,3.18,3.19,3.22,3.1,128465,105100667.0,3.7,-1.54,-0.05,12.85
2012-04-16,3.17,3.19,3.31,3.13,119812,99671064.0,5.64,0.0,0.0,11.98
2012-04-17,3.16,3.09,3.16,2.99,115248,92394309.0,5.33,-3.13,-0.1,11.52
2012-04-18,3.07,3.25,3.39,3.02,213277,177422724.0,11.97,5.18,0.16,21.33
2012-04-19,3.23,3.66,3.66,3.13,302073,260488413.0,16.31,12.62,0.41,30.21
2012-04-20,3.58,3.6,3.73,3.51,273452,247629595.0,6.01,-1.64,-0.06,27.35
2012-04-23,3.58,3.42,3.59,3.34,171309,150347414.0,6.94,-5.0,-0.18,17.13
2012-04-24,3.35,3.27,3.45,3.08,162757,136090270.0,10.82,-4.39,-0.15,16.28
2012-04-25,3.23,3.38,3.54,3.2,184974,159455556.0,10.4,3.36,0.11,18.5
2012-04-26,3.33,3.28,3.37,3.23,104926,88585201.0,4.14,-2.96,-0.1,10.49
2012-04-27,3.28,3.16,3.28,3.15,75796,62467438.0,3.96,-3.66,-0.12,7.58
2012-05-02,3.23,3.21,3.24,3.14,66142,54582701.0,3.16,1.58,0.05,6.61
2012-05-03,3.2,3.3,3.31,3.15,94572,78817329.0,4.98,2.8,0.09,9.46
2012-05-04,3.3,3.3,3.34,3.24,78397,66090129.0,3.03,0.0,0.0,7.84
2012-05-07,3.26,3.29,3.32,3.24,67156,56434518.0,2.42,-0.3,-0.01,6.72
2012-05-08,3.29,3.45,3.69,3.28,251701,223254031.0,12.46,4.86,0.16,25.17
2012-05-09,3.37,3.27,3.39,3.26,110371,93568084.0,3.77,-5.22,-0.18,11.04
2012-05-10,3.2,3.28,3.3,3.19,63040,52719422.0,3.36,0.31,0.01,6.3
2012-05-11,3.26,3.24,3.29,3.18,64634,53616606.0,3.35,-1.22,-0.04,6.46
2012-05-14,3.28,3.24,3.36,3.17,78616,65878564.0,5.86,0.0,0.0,7.86
2012-05-15,3.23,3.16,3.23,3.1,44569,35952647.0,4.01,-2.47,-0.08,4.46
2012-05-16,3.18,3.13,3.24,3.12,38735,31427188.0,3.8,-0.95,-0.03,3.87
2012-05-17,3.11,3.18,3.19,3.04,56664,45297715.0,4.79,1.6,0.05,5.67
2012-05-18,3.1,3.09,3.21,3.08,46252,37052816.0,4.09,-2.83,-0.09,4.63
2012-05-21,3.08,3.07,3.14,3.04,38051,30153030.0,3.24,-0.65,-0.02,3.81
2012-05-22,3.1,3.11,3.15,3.0,66965,52895604.0,4.89,1.3,0.04,6.7
2012-05-23,3.08,3.03,3.1,2.96,60084,46997104.0,4.5,-2.57,-0.08,6.01
2012-05-24,3.02,2.92,3.03,2.89,61305,47024031.0,4.62,-3.63,-0.11,6.13
2012-05-25,2.93,2.78,2.94,2.68,59266,43893595.0,8.9,-4.79,-0.14,5.93
2012-05-28,2.74,2.92,2.94,2.69,69970,52043979.0,8.99,5.04,0.14,7.0
2012-05-29,2.88,3.01,3.12,2.88,106840,83419879.0,8.22,3.08,0.09,10.68
2012-05-30,2.97,3.0,3.02,2.93,61711,47394936.0,2.99,-0.33,-0.01,6.17
2012-05-31,3.09,3.07,3.31,3.04,146502,117907080.0,9.0,2.33,0.07,14.65
2012-06-01,3.08,2.99,3.08,2.98,63505,49304013.0,3.26,-2.61,-0.08,6.35
2012-06-04,2.88,2.76,2.89,2.76,60931,45160842.0,4.35,-7.69,-0.23,6.09
2012-06-05,2.74,2.76,2.81,2.73,30847,22455132.0,2.9,0.0,0.0,3.08
2012-06-06,2.79,2.74,2.79,2.71,23637,17118918.0,2.9,-0.72,-0.02,2.36
2012-06-07,2.79,2.71,2.8,2.69,30288,21865333.0,4.01,-1.09,-0.03,3.03
2012-06-08,2.75,2.7,2.76,2.69,26925,19361509.0,2.58,-0.37,-0.01,2.69
2012-06-11,2.7,2.77,2.79,2.7,26426,19099798.0,3.33,2.59,0.07,2.64
2012-06-12,2.74,2.73,2.77,2.71,19433,13997070.0,2.17,-1.44,-0.04,1.94
2012-06-13,2.74,2.78,2.79,2.72,29210,21240764.0,2.56,1.83,0.05,2.92
