日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.42,5.69,5.76,5.34,93426,155851613.14,7.89,6.95,0.37,23.08
2010-01-05,5.59,5.54,5.63,5.45,46732,77132535.73,3.16,-2.64,-0.15,11.55
2010-01-06,5.54,5.45,5.63,5.45,26552,43831390.46,3.25,-1.62,-0.09,6.56
2010-01-07,5.42,5.18,5.45,5.12,29100,45914275.56,6.06,-4.95,-0.27,7.19
2010-01-08,5.17,5.22,5.22,5.1,15005,23205825.09,2.32,0.77,0.04,3.71
2010-01-11,5.26,5.37,5.42,5.19,19211,30685427.83,4.41,2.87,0.15,4.75
2010-01-12,5.37,5.45,5.49,5.36,22692,36860127.45,2.42,1.49,0.08,5.61
2010-01-13,5.38,5.31,5.46,5.29,17149,27395841.63,3.12,-2.57,-0.14,4.24
2010-01-14,5.29,5.52,5.52,5.26,25944,42135380.08,4.9,3.95,0.21,6.41
2010-01-15,5.5,5.64,5.66,5.46,37893,63142672.13,3.62,2.17,0.12,9.36
2010-01-18,5.66,5.82,5.9,5.6,78991,136512241.83,5.32,3.19,0.18,19.52
2010-01-19,5.79,5.61,5.84,5.58,41819,70438414.26,4.47,-3.61,-0.21,10.33
2010-01-20,5.62,5.35,5.62,5.33,31659,51494902.0,5.17,-4.63,-0.26,7.82
2010-01-21,5.34,5.39,5.43,5.3,16523,26509961.84,2.43,0.75,0.04,4.08
2010-01-22,5.39,5.51,5.54,5.24,27064,43756472.52,5.57,2.23,0.12,6.69
2010-01-25,5.49,5.37,5.51,5.36,11307,18251467.45,2.72,-2.54,-0.14,2.79
2010-01-26,5.39,5.02,5.41,4.92,17609,26892487.5,9.12,-6.52,-0.35,4.35
2010-01-27,5.02,5.12,5.18,5.02,12774,19540419.18,3.19,1.99,0.1,3.16
2010-01-28,5.15,5.15,5.15,4.95,8871,13443691.2,3.91,0.59,0.03,2.19
2010-01-29,5.12,5.13,5.22,5.09,9181,14145879.0,2.52,-0.39,-0.02,2.27
