日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-01-07,5.96,5.79,6.0,5.75,46851,225244931.0,4.19,-2.85,-0.17,32.54
2011-01-10,5.7,5.62,5.75,5.6,16227,75590780.0,2.59,-2.94,-0.17,11.27
2011-01-11,5.62,5.54,5.62,5.54,8295,38160914.0,1.42,-1.42,-0.08,5.76
2011-01-12,5.53,5.58,5.6,5.53,4147,19075263.0,1.26,0.72,0.04,2.88
2011-01-13,5.6,5.51,5.6,5.51,5457,25016632.0,1.61,-1.25,-0.07,3.79
2011-01-14,5.48,5.41,5.51,5.4,6198,27957025.0,2.0,-1.81,-0.1,4.3
2011-01-17,5.4,5.31,5.4,5.27,4859,21419999.0,2.4,-1.85,-0.1,3.37
2011-01-18,5.23,5.27,5.31,5.23,1969,8632485.0,1.51,-0.75,-0.04,1.37
2011-01-19,5.3,5.36,5.37,5.26,2872,12724326.0,2.09,1.71,0.09,1.99
2011-01-20,5.36,5.17,5.36,5.17,4145,18108411.0,3.54,-3.54,-0.19,2.88
2011-01-21,5.17,5.2,5.22,5.17,1897,8193101.0,0.97,0.58,0.03,1.32
2011-01-24,5.2,5.19,5.23,5.17,1606,6932072.0,1.15,-0.19,-0.01,1.11
2011-01-25,5.17,5.09,5.18,5.03,3210,13602057.0,2.89,-1.93,-0.1,2.23
2011-01-26,5.11,5.15,5.17,5.08,1528,6539819.0,1.77,1.18,0.06,1.06
2011-01-27,5.1,5.17,5.2,5.06,1934,8295276.0,2.72,0.39,0.02,1.34
2011-01-28,5.17,5.16,5.18,5.14,1410,6051996.0,0.77,-0.19,-0.01,0.98
2011-01-31,5.11,5.21,5.21,5.11,2043,8804902.0,1.94,0.97,0.05,1.42
2011-02-01,5.21,5.19,5.21,5.16,1561,6723003.0,0.96,-0.38,-0.02,1.08
2011-02-09,5.14,5.21,5.22,5.13,1973,8498797.0,1.73,0.39,0.02,1.37
2011-02-10,5.18,5.3,5.3,5.18,2262,9891729.0,2.3,1.73,0.09,1.57
2011-02-11,5.29,5.28,5.31,5.25,3388,14884715.0,1.13,-0.38,-0.02,2.35
2011-02-14,5.28,5.29,5.29,5.23,5655,24808544.0,1.14,0.19,0.01,3.93
2011-02-15,5.29,5.27,5.31,5.26,3395,14928010.0,0.95,-0.38,-0.02,2.36
2011-02-16,5.24,5.32,5.32,5.24,3467,15228058.0,1.52,0.95,0.05,2.41
2011-02-17,5.32,5.32,5.33,5.27,3311,14583373.0,1.13,0.0,0.0,2.3
2011-02-18,5.34,5.33,5.39,5.32,3827,16975567.0,1.32,0.19,0.01,2.66
2011-02-21,5.27,5.4,5.4,5.27,3408,15135888.0,2.44,1.31,0.07,2.37
2011-02-22,5.39,5.32,5.55,5.31,4733,21177448.0,4.44,-1.48,-0.08,3.29
2011-02-23,5.3,5.34,5.37,5.3,1674,7419053.0,1.32,0.38,0.02,1.16
2011-02-24,5.32,5.32,5.35,5.3,1565,6910673.0,0.94,-0.37,-0.02,1.09
2011-02-25,5.32,5.3,5.32,5.26,1638,7186720.0,1.13,-0.38,-0.02,1.14
2011-02-28,5.27,5.31,5.32,5.27,1638,7209007.0,0.94,0.19,0.01,1.14
2011-03-01,5.48,5.4,5.48,5.37,4791,21521658.0,2.07,1.69,0.09,3.33
2011-03-02,5.35,5.34,5.36,5.33,2516,11155760.0,0.56,-1.11,-0.06,1.75
2011-03-03,5.32,5.32,5.36,5.29,2087,9199927.0,1.31,-0.37,-0.02,1.45
2011-03-04,5.33,5.33,5.34,5.28,1565,6892794.0,1.13,0.19,0.01,1.09
2011-03-07,5.31,5.36,5.36,5.31,2215,9811892.0,0.94,0.56,0.03,1.54
2011-03-08,5.36,5.38,5.38,5.33,1601,7103062.0,0.93,0.37,0.02,1.11
2011-03-09,5.35,5.36,5.37,5.32,1870,8285247.0,0.93,-0.37,-0.02,1.3
2011-03-10,5.35,5.34,5.39,5.32,2379,10567748.0,1.31,-0.37,-0.02,1.65
2011-03-11,5.33,5.34,5.37,5.3,1922,8532463.0,1.31,0.0,0.0,1.33
2011-03-14,5.3,5.36,5.36,5.3,1734,7685162.0,1.12,0.37,0.02,1.2
2011-03-15,5.36,5.35,5.36,5.21,3354,14735865.0,2.8,-0.19,-0.01,2.33
2011-03-16,5.3,5.34,5.35,5.3,1129,4995098.0,0.93,-0.19,-0.01,0.78
2011-03-17,5.35,5.3,5.35,5.28,1147,5057412.0,1.31,-0.75,-0.04,0.8
2011-03-18,5.3,5.3,5.34,5.3,1210,5335645.0,0.75,0.0,0.0,0.84
2011-03-21,5.3,5.33,5.34,5.28,2131,9378379.0,1.13,0.57,0.03,1.48
2011-03-22,5.31,5.33,5.34,5.28,1001,4417838.0,1.13,0.0,0.0,0.7
2011-03-23,5.35,5.36,5.37,5.32,2047,9094874.0,0.94,0.56,0.03,1.42
2011-03-24,5.37,5.4,5.4,5.34,4169,18605627.0,1.12,0.75,0.04,2.9
2011-03-29,5.99,5.82,5.99,5.64,34539,165287422.0,6.48,7.78,0.42,23.99
2011-03-30,5.77,5.74,5.85,5.7,11093,52791249.0,2.58,-1.37,-0.08,7.7
2011-03-31,5.73,5.81,5.89,5.72,11968,57496910.0,2.96,1.22,0.07,8.31
2011-04-01,5.83,6.11,6.21,5.83,28166,140302540.0,6.54,5.16,0.3,19.56
2011-04-06,6.03,5.83,6.08,5.81,18689,90849921.0,4.42,-4.58,-0.28,12.98
2011-04-07,5.75,5.7,5.75,5.67,23045,108462815.0,1.37,-2.23,-0.13,12.8
