日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.56,8.42,8.6,8.41,98280,83291694.0,2.23,-1.06,-0.09,1.18
2010-01-06,8.9,8.79,9.04,8.76,417914,372164969.0,3.33,4.39,0.37,5.04
2010-01-07,8.81,8.58,8.95,8.5,228290,200057086.0,5.12,-2.39,-0.21,2.75
2010-01-08,8.62,8.53,8.65,8.32,149229,126264286.0,3.85,-0.58,-0.05,1.8
2010-01-11,8.65,8.45,8.7,8.39,128802,109068928.0,3.63,-0.94,-0.08,1.55
2010-01-12,8.48,8.57,8.58,8.35,142641,120783774.0,2.72,1.42,0.12,1.72
2010-01-13,8.41,8.39,8.65,8.35,149533,126651808.0,3.5,-2.1,-0.18,1.8
2010-01-14,8.42,8.48,8.52,8.29,146981,123583085.0,2.74,1.07,0.09,1.77
2010-01-15,8.48,8.43,8.49,8.33,121315,102044964.0,1.89,-0.59,-0.05,1.46
2010-01-18,8.4,8.43,8.45,8.32,150348,125856401.0,1.54,0.0,0.0,1.81
2010-01-19,8.42,8.52,8.62,8.42,200965,171378180.0,2.37,1.07,0.09,2.42
2010-01-20,8.55,8.17,8.59,8.13,180044,149661546.0,5.4,-4.11,-0.35,2.17
2010-01-21,8.1,8.24,8.27,8.02,127475,103561937.0,3.06,0.86,0.07,1.54
2010-01-22,8.09,8.04,8.14,7.9,130721,105068672.0,2.91,-2.43,-0.2,1.58
2010-01-25,7.98,7.81,8.03,7.78,76437,60581497.0,3.11,-2.86,-0.23,0.92
2010-01-26,7.81,7.38,7.88,7.32,100643,75520129.0,7.17,-5.51,-0.43,1.21
2010-01-27,7.37,7.33,7.5,7.2,78805,58183596.0,4.07,-0.68,-0.05,0.95
2010-01-28,7.33,7.31,7.38,7.21,59423,43423133.0,2.32,-0.27,-0.02,0.72
2010-01-29,7.31,7.25,7.39,7.22,71446,52147130.0,2.33,-0.82,-0.06,0.86
2010-02-01,7.24,7.0,7.24,6.93,71367,50115991.0,4.28,-3.45,-0.25,0.86
2010-02-02,7.07,7.05,7.25,7.0,78162,55949017.0,3.57,0.71,0.05,0.94
2010-02-03,7.15,7.5,7.55,7.0,146627,107255425.0,7.8,6.38,0.45,1.77
2010-02-04,7.4,7.37,7.45,7.27,129749,95352805.0,2.4,-1.73,-0.13,1.56
2010-02-05,7.15,7.11,7.23,7.05,95542,67960105.0,2.44,-3.53,-0.26,1.15
2010-02-08,7.11,7.18,7.29,7.05,46062,33007562.0,3.38,0.98,0.07,0.56
2010-02-09,7.18,7.24,7.34,7.12,46261,33538954.0,3.06,0.84,0.06,0.56
2010-02-10,7.38,7.32,7.43,7.26,44145,32312458.0,2.35,1.1,0.08,0.53
2010-02-11,7.33,7.28,7.35,7.26,40597,29617230.0,1.23,-0.55,-0.04,0.49
2010-02-12,7.34,7.39,7.44,7.28,56651,41699789.0,2.2,1.51,0.11,0.68
2010-02-22,7.45,7.33,7.5,7.31,57575,42649089.0,2.57,-0.81,-0.06,0.69
2010-02-23,7.32,7.22,7.32,7.09,60194,43186412.0,3.14,-1.5,-0.11,0.73
2010-02-24,7.12,7.38,7.4,7.11,69717,50881495.0,4.02,2.22,0.16,0.84
2010-02-25,7.38,7.52,7.55,7.35,119166,88911780.0,2.71,1.9,0.14,1.44
2010-02-26,7.49,7.47,7.6,7.44,92569,69533420.0,2.13,-0.66,-0.05,1.12
2010-03-01,7.45,7.57,7.64,7.45,84596,63973691.0,2.54,1.34,0.1,1.02
2010-03-02,7.55,7.57,7.7,7.5,87613,66358018.0,2.64,0.0,0.0,1.06
2010-03-03,7.58,7.94,8.18,7.44,244975,190837121.0,9.78,4.89,0.37,2.95
2010-03-04,7.9,7.48,7.9,7.45,182698,140775823.0,5.67,-5.79,-0.46,2.2
2010-03-05,7.49,7.57,7.76,7.46,96362,72985025.0,4.01,1.2,0.09,1.16
2010-03-08,7.57,7.6,7.68,7.55,63376,48328978.0,1.72,0.4,0.03,0.76
2010-03-09,7.58,7.82,8.01,7.42,228253,178234044.0,7.76,2.89,0.22,2.75
2010-03-10,7.68,7.65,7.75,7.56,118043,90413344.0,2.43,-2.17,-0.17,1.42
2010-03-11,7.65,7.58,7.71,7.47,59709,45341759.0,3.14,-0.92,-0.07,0.72
2010-03-12,7.48,7.46,7.63,7.45,67783,50923638.0,2.37,-1.58,-0.12,0.82
2010-03-15,7.46,7.24,7.48,7.21,70514,51472527.0,3.62,-2.95,-0.22,0.85
2010-03-16,7.24,7.29,7.31,7.16,40394,29257149.0,2.07,0.69,0.05,0.49
2010-03-17,7.31,7.45,7.48,7.28,63894,47257884.0,2.74,2.19,0.16,0.77
2010-03-18,7.46,7.59,7.73,7.42,120500,91294462.0,4.16,1.88,0.14,1.45
2010-03-19,7.56,7.65,7.72,7.45,101223,76970304.0,3.56,0.79,0.06,1.22
2010-03-22,7.6,7.64,7.7,7.57,62606,47803492.0,1.7,-0.13,-0.01,0.75
2010-03-23,7.66,7.65,7.8,7.62,117338,90528147.0,2.36,0.13,0.01,1.41
2010-03-24,7.68,7.58,7.75,7.55,73119,55708171.0,2.61,-0.92,-0.07,0.88
2010-03-25,7.56,7.36,7.57,7.3,87804,64920878.0,3.56,-2.9,-0.22,1.06
2010-03-26,7.36,7.48,7.52,7.32,54737,40679577.0,2.72,1.63,0.12,0.66
2010-03-29,7.54,7.68,7.75,7.45,156295,119795221.0,4.01,2.67,0.2,1.88
2010-03-30,7.7,7.62,7.71,7.55,104019,79196873.0,2.08,-0.78,-0.06,1.25
2010-03-31,7.61,7.52,7.61,7.46,99689,75033109.0,1.97,-1.31,-0.1,1.2
2010-04-01,7.52,7.59,7.65,7.48,100415,76302841.0,2.26,0.93,0.07,1.21
2010-04-02,7.61,7.75,7.83,7.61,210217,162421700.0,2.9,2.11,0.16,2.53
2010-04-06,7.8,7.81,7.99,7.75,177397,139184391.0,3.1,0.77,0.06,2.14
2010-04-07,7.81,7.9,8.0,7.8,228390,180774364.0,2.56,1.15,0.09,2.75
