日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-11-24,2.45,2.99,2.99,2.45,62,80678.0,27.0,49.5,0.99,0.02
2016-11-25,3.32,3.32,3.32,3.32,45,66375.0,0.0,11.04,0.33,0.01
2016-11-28,3.67,3.67,3.67,3.67,38,61674.0,0.0,10.54,0.35,0.01
2016-11-29,4.07,4.07,4.07,4.07,74,132090.0,0.0,10.9,0.4,0.02
2016-11-30,4.5,4.5,4.5,4.5,186,365304.0,0.0,10.57,0.43,0.06
2016-12-01,4.97,4.97,4.97,4.97,201,434160.0,0.0,10.44,0.47,0.06
2016-12-02,5.49,5.49,5.49,5.49,227,539352.0,0.0,10.46,0.52,0.07
2016-12-05,6.07,6.07,6.07,6.07,256,669184.0,0.0,10.56,0.58,0.08
2016-12-06,6.7,6.7,6.7,6.7,454,1305250.0,0.0,10.38,0.63,0.14
2016-12-07,7.39,7.39,7.39,7.39,1021,3230435.0,0.0,10.3,0.69,0.31
2016-12-08,8.16,8.16,8.16,8.16,1363,4740833.0,0.0,10.42,0.77,0.41
2016-12-09,9.0,9.0,9.0,9.0,909,3477212.0,0.0,10.29,0.84,0.27
2016-12-12,9.92,9.92,9.92,9.92,4106,17284913.0,0.0,10.22,0.92,1.23
2016-12-13,9.63,10.94,10.94,9.17,162693,691806176.0,17.84,10.28,1.02,48.78
2016-12-14,12.06,11.67,12.06,11.42,175131,879056208.0,5.85,6.67,0.73,52.51
2016-12-15,12.37,12.86,12.86,11.59,159881,843505456.0,10.88,10.2,1.19,47.94
2016-12-16,13.75,14.17,14.17,13.64,147240,871665600.0,4.12,10.19,1.31,44.15
2016-12-19,14.38,12.73,14.41,12.73,215779,1193213824.0,11.86,-10.16,-1.44,64.7
2016-12-20,12.1,11.71,12.72,11.5,169051,857182976.0,9.58,-8.01,-1.02,50.69
2016-12-21,11.54,11.55,11.83,11.14,124164,599637888.0,5.89,-1.37,-0.16,37.23
2016-12-22,11.38,11.51,11.95,11.14,130531,639791456.0,7.01,-0.35,-0.04,39.14
2016-12-23,11.36,10.34,11.78,10.34,131457,607111024.0,12.51,-10.17,-1.17,39.42
2016-12-26,10.09,10.4,10.49,9.91,73201,317319936.0,5.61,0.58,0.06,21.95
2016-12-27,10.35,10.52,10.68,10.09,93287,409624080.0,5.67,1.15,0.12,27.97
2016-12-28,10.34,10.18,10.48,10.05,66499,289384560.0,4.09,-3.23,-0.34,19.94
2016-12-29,10.08,10.24,10.32,10.05,52926,229108583.0,2.65,0.59,0.06,15.87
2016-12-30,10.24,11.12,11.29,10.11,172796,797604480.0,11.52,8.59,0.88,51.81
2017-01-03,10.88,11.03,11.1,10.62,126186,579028096.0,4.32,-0.81,-0.09,37.84
2017-01-04,10.86,10.88,11.31,10.75,118956,555611472.0,5.08,-1.36,-0.15,35.67
2017-01-05,10.62,10.19,10.62,10.14,96451,424299008.0,4.41,-6.34,-0.69,28.92
2017-01-06,9.95,9.46,10.04,9.45,78258,321742640.0,5.79,-7.16,-0.73,23.47
2017-01-09,9.22,9.73,9.87,9.22,58127,238102713.0,6.87,2.85,0.27,17.43
