日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-04-25,2.36,2.47,2.47,2.36,115416,223880976.0,5.26,18.18,0.38,65.58
2012-04-26,2.52,2.57,2.71,2.44,119335,244031013.0,10.93,4.05,0.1,67.8
2012-04-27,2.51,2.6,2.65,2.51,57605,118927206.0,5.45,1.17,0.03,32.73
2012-05-02,2.63,2.6,2.66,2.57,47674,99629080.0,3.46,0.0,0.0,27.09
2012-05-03,2.58,2.62,2.71,2.58,40693,85929076.0,5.0,0.77,0.02,23.12
2012-05-04,2.64,2.67,2.69,2.61,34451,73042101.0,3.05,1.91,0.05,19.57
2012-05-07,2.65,2.68,2.75,2.64,38187,81519594.0,4.12,0.37,0.01,21.7
2012-05-08,2.66,2.64,2.69,2.62,35621,75557261.0,2.61,-1.49,-0.04,20.24
2012-05-09,2.61,2.66,2.71,2.6,30270,64377651.0,4.17,0.76,0.02,17.2
2012-05-10,2.66,2.7,2.73,2.65,30549,65434836.0,3.01,1.5,0.04,17.36
2012-05-11,2.69,2.62,2.7,2.6,26257,55491150.0,3.7,-2.96,-0.08,14.92
2012-05-14,2.62,2.56,2.63,2.56,20960,43615570.0,2.67,-2.29,-0.06,11.91
2012-05-15,2.53,2.56,2.56,2.52,13651,27781578.0,1.56,0.0,0.0,7.76
2012-05-16,2.56,2.54,2.59,2.54,14673,30108725.0,1.95,-0.78,-0.02,8.34
2012-05-17,2.54,2.57,2.58,2.52,12994,26631286.0,2.36,1.18,0.03,7.38
2012-05-18,2.54,2.58,2.67,2.52,23077,48053505.0,5.84,0.39,0.01,13.11
2012-05-21,2.59,2.6,2.62,2.56,14088,29259183.0,2.33,0.78,0.02,8.0
2012-05-22,2.62,2.63,2.65,2.6,11004,23073365.0,1.92,1.15,0.03,6.25
2012-05-23,2.65,2.67,2.72,2.63,26653,56950921.0,3.42,1.52,0.04,15.14
2012-05-24,2.67,2.62,2.68,2.6,18819,39521120.0,3.0,-1.87,-0.05,10.69
2012-05-25,2.62,2.51,2.66,2.49,14066,28923766.0,6.49,-4.2,-0.11,7.99
2012-05-28,2.5,2.51,2.52,2.45,14607,29230055.0,2.79,0.0,0.0,8.3
2012-05-29,2.53,2.53,2.55,2.51,14816,30105887.0,1.59,0.8,0.02,8.42
2012-05-30,2.53,2.54,2.56,2.53,8806,17923012.0,1.19,0.4,0.01,5.0
2012-05-31,2.53,2.58,2.6,2.51,14278,29357501.0,3.54,1.57,0.04,8.11
2012-06-01,2.59,2.55,2.59,2.53,9038,18536585.0,2.33,-1.16,-0.03,5.14
2012-06-04,2.48,2.44,2.51,2.44,15924,31587941.0,2.75,-4.31,-0.11,9.05
2012-06-05,2.45,2.46,2.48,2.44,7109,14051306.0,1.64,0.82,0.02,4.04
2012-06-06,2.46,2.45,2.49,2.42,8408,16601449.0,2.85,-0.41,-0.01,4.78
2012-06-07,2.48,2.44,2.49,2.42,7131,14047994.0,2.86,-0.41,-0.01,4.05
2012-06-08,2.46,2.47,2.47,2.41,8735,17173434.0,2.46,1.23,0.03,4.96
2012-06-11,2.47,2.51,2.53,2.45,9737,19441068.0,3.24,1.62,0.04,5.53
2012-06-12,2.47,2.5,2.53,2.47,9732,19538866.0,2.39,-0.4,-0.01,5.53
2012-06-13,2.52,2.55,2.57,2.5,12202,24743954.0,2.8,2.0,0.05,6.93
2012-06-14,2.54,2.55,2.62,2.53,16622,34265484.0,3.53,0.0,0.0,9.44
2012-06-15,2.56,2.53,2.56,2.48,11290,22840379.0,3.14,-0.78,-0.02,6.41
2012-06-18,2.55,2.8,2.8,2.54,49718,107601493.0,10.28,10.67,0.27,28.25
2012-06-19,2.82,2.82,2.86,2.79,52888,118691762.0,2.5,0.71,0.02,30.05
2012-06-20,2.82,2.85,2.96,2.8,36291,82725669.0,5.67,1.06,0.03,20.62
2012-06-21,2.79,2.71,2.8,2.68,39407,85538657.0,4.21,-4.91,-0.14,22.39
2012-06-25,2.7,2.67,2.75,2.67,29346,63579548.0,2.95,-1.48,-0.04,16.67
2012-06-26,2.65,2.74,2.75,2.61,31182,66752746.0,5.24,2.62,0.07,17.72
2012-06-27,2.72,2.76,2.87,2.7,45857,101852286.0,6.2,0.73,0.02,26.05
2012-06-28,2.75,2.66,2.77,2.66,24397,52805979.0,3.99,-3.62,-0.1,13.86
2012-06-29,2.64,2.78,2.78,2.64,25490,55626912.0,5.26,4.51,0.12,14.48
2012-07-02,2.79,2.79,2.85,2.76,25744,57291847.0,3.24,0.36,0.01,14.63
2012-07-03,2.78,2.8,2.86,2.77,26763,60003671.0,3.23,0.36,0.01,15.21
2012-07-04,2.81,2.86,2.91,2.79,33230,75489468.0,4.29,2.14,0.06,18.88
2012-07-05,2.84,2.77,2.86,2.75,24050,53329136.0,3.85,-3.15,-0.09,13.66
2012-07-06,2.79,2.78,2.79,2.67,24844,54064155.0,4.33,0.36,0.01,14.12
2012-07-09,2.74,2.57,2.74,2.57,18460,39557145.0,6.12,-7.55,-0.21,10.49
2012-07-10,2.56,2.5,2.6,2.48,17089,34503829.0,4.67,-2.72,-0.07,9.71
2012-07-11,2.5,2.53,2.54,2.45,11031,22191906.0,3.6,1.2,0.03,6.27
2012-07-12,2.51,2.56,2.58,2.48,15968,32400656.0,3.95,1.19,0.03,9.07
2012-07-13,2.55,2.42,2.57,2.41,20914,41649475.0,6.25,-5.47,-0.14,11.88
2012-07-16,2.39,2.22,2.41,2.2,19945,36674417.0,8.68,-8.26,-0.2,11.33
2012-07-17,2.21,2.25,2.25,2.2,6599,11907998.0,2.25,1.35,0.03,3.75
