日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-10-26,3.25,3.28,3.4,3.25,112870,463667571.0,5.14,12.33,0.36,70.54
2010-10-27,3.18,3.24,3.36,3.16,44296,178700839.0,6.1,-1.22,-0.04,27.68
2010-10-28,3.22,3.54,3.59,3.22,66052,280127232.0,11.42,9.26,0.3,41.28
2010-10-29,3.5,3.59,3.69,3.47,48804,215780320.0,6.21,1.41,0.05,30.5
2010-11-01,3.63,3.71,3.82,3.53,39765,181709277.0,8.08,3.34,0.12,24.85
2010-11-02,3.66,3.49,3.7,3.49,39660,174588049.0,5.66,-5.93,-0.22,24.79
2010-11-03,3.45,3.34,3.48,3.32,22016,92068473.0,4.58,-4.3,-0.15,13.76
2010-11-04,3.37,3.5,3.51,3.35,17908,75607682.0,4.79,4.79,0.16,11.19
2010-11-05,3.5,3.52,3.56,3.44,16274,70209877.0,3.43,0.57,0.02,10.17
2010-11-08,3.52,3.75,3.81,3.5,30358,137002303.0,8.81,6.53,0.23,18.97
2010-11-09,3.73,3.91,3.95,3.66,33341,156334627.0,7.73,4.27,0.16,20.84
2010-11-10,3.93,3.97,4.09,3.93,22977,111974027.0,4.09,1.53,0.06,14.36
2010-11-11,3.92,4.08,4.24,3.92,26933,135232459.0,8.06,2.77,0.11,16.83
2010-11-12,4.06,3.95,4.25,3.85,28935,143319446.0,9.8,-3.19,-0.13,18.08
2010-11-15,3.98,4.2,4.23,3.98,23562,118498218.0,6.33,6.33,0.25,14.73
2010-11-16,4.14,4.54,4.62,4.14,28505,151289901.0,11.43,8.1,0.34,17.82
2010-11-17,4.47,4.21,4.62,4.07,17172,91912276.0,12.11,-7.27,-0.33,10.73
2010-11-19,4.29,4.43,4.5,4.27,15863,84344939.0,5.46,5.23,0.22,9.91
2010-11-22,4.4,4.34,4.68,4.25,21117,114727840.0,9.71,-2.03,-0.09,13.2
2010-11-23,4.27,4.51,4.56,4.27,11067,59169234.0,6.68,3.92,0.17,6.92
2010-11-24,4.51,4.5,4.55,4.41,8808,47875729.0,3.1,-0.22,-0.01,5.51
2010-11-25,4.5,4.34,4.66,4.27,16717,89899088.0,8.67,-3.56,-0.16,10.45
2010-11-26,4.27,4.32,4.39,4.27,8760,46022862.0,2.76,-0.46,-0.02,5.48
2010-11-29,4.35,4.33,4.38,4.3,12568,66483197.0,1.85,0.23,0.01,7.86
2010-11-30,4.35,4.01,4.35,3.92,25086,124757639.0,9.93,-7.39,-0.32,15.68
2010-12-01,4.01,4.02,4.07,3.92,9720,47334238.0,3.74,0.25,0.01,6.08
2010-12-02,4.05,4.04,4.17,4.03,11828,59170373.0,3.48,0.5,0.02,7.39
2010-12-03,4.03,4.02,4.03,3.92,7302,35426545.0,2.72,-0.5,-0.02,4.56
2010-12-06,4.02,3.9,4.02,3.88,6154,29581494.0,3.48,-2.99,-0.12,3.85
2010-12-07,3.9,4.09,4.1,3.9,7936,38887877.0,5.13,4.87,0.19,4.96
2010-12-08,4.07,4.02,4.12,4.0,6050,29969244.0,2.93,-1.71,-0.07,3.78
2010-12-09,4.01,3.94,4.07,3.93,5489,26754177.0,3.48,-1.99,-0.08,3.43
2010-12-10,3.94,4.01,4.03,3.88,4906,23792241.0,3.81,1.78,0.07,3.07
2010-12-13,4.08,4.22,4.26,4.03,9195,46814885.0,5.74,5.24,0.21,5.75
2010-12-14,4.22,4.2,4.26,4.15,6096,31166314.0,2.61,-0.47,-0.02,3.81
2010-12-15,4.18,4.12,4.21,4.09,5609,28369132.0,2.86,-1.9,-0.08,3.51
2010-12-16,4.1,4.12,4.15,4.1,4909,24738192.0,1.21,0.0,0.0,3.07
2010-12-20,4.19,4.07,4.25,3.9,9565,48126637.0,8.5,-1.21,-0.05,5.98
2010-12-21,4.07,3.98,4.1,3.97,15156,74106966.0,3.19,-2.21,-0.09,9.47
2010-12-22,3.99,3.99,4.04,3.96,9827,47995543.0,2.01,0.25,0.01,6.14
2010-12-23,4.01,3.86,4.01,3.85,8658,41526445.0,4.01,-3.26,-0.13,5.41
2010-12-24,3.87,3.71,3.87,3.68,12563,57685868.0,4.92,-3.89,-0.15,7.85
2010-12-27,3.71,3.54,3.79,3.54,7325,32941285.0,6.74,-4.58,-0.17,4.58
2010-12-28,3.5,3.61,3.65,3.5,5410,23893985.0,4.24,1.98,0.07,3.38
2010-12-29,3.65,3.68,3.69,3.6,4251,19054875.0,2.49,1.94,0.07,2.66
2010-12-30,3.68,3.65,3.69,3.59,3925,17602027.0,2.72,-0.82,-0.03,2.45
2010-12-31,3.65,3.74,3.74,3.62,3607,16387945.0,3.29,2.47,0.09,2.25
2011-01-04,3.75,3.84,3.89,3.73,8397,39365457.0,4.28,2.67,0.1,5.25
2011-01-05,3.88,3.84,3.88,3.8,5256,24707969.0,2.08,0.0,0.0,3.28
2011-01-06,3.84,3.74,3.84,3.74,5373,24846097.0,2.6,-2.6,-0.1,3.36
2011-01-07,3.73,3.66,3.76,3.66,5166,23539799.0,2.67,-2.14,-0.08,3.23
2011-01-10,3.68,3.56,3.68,3.56,4506,20025078.0,3.28,-2.73,-0.1,2.82
2011-01-11,3.47,3.52,3.54,3.47,5488,23732020.0,1.97,-1.12,-0.04,3.43
2011-01-12,3.52,3.62,3.62,3.52,5680,25026402.0,2.84,2.84,0.1,3.55
2011-01-13,3.63,3.61,3.66,3.6,2699,12004251.0,1.66,-0.28,-0.01,1.69
2011-01-14,3.61,3.49,3.62,3.45,5304,22964540.0,4.71,-3.32,-0.12,3.32
2011-01-17,3.46,3.38,3.53,3.38,4108,17415056.0,4.3,-3.15,-0.11,2.57
2011-01-18,3.39,3.4,3.41,3.33,2767,11554370.0,2.37,0.59,0.02,1.73
2011-01-19,3.39,3.48,3.48,3.37,3680,15569041.0,3.24,2.35,0.08,2.3
2011-01-20,3.48,3.36,3.49,3.35,5077,21385690.0,4.02,-3.45,-0.12,3.17
2011-01-21,3.33,3.41,3.44,3.33,2253,9433755.0,3.27,1.49,0.05,1.41
2011-01-24,3.41,3.25,3.42,3.24,3242,13377742.0,5.28,-4.69,-0.16,2.03
2011-01-25,3.24,3.21,3.25,3.14,3395,13411648.0,3.38,-1.23,-0.04,2.12
2011-01-26,3.19,3.17,3.21,3.05,22851,88566559.0,4.98,-1.25,-0.04,11.43
2011-01-27,3.13,3.28,3.3,3.1,13947,55199682.0,6.31,3.47,0.11,6.97
2011-01-28,3.28,3.28,3.31,3.22,7351,29636440.0,2.74,0.0,0.0,3.68
2011-01-31,3.26,3.35,3.38,3.24,7056,28881423.0,4.27,2.13,0.07,3.53
2011-02-01,3.35,3.29,3.36,3.28,5425,22144977.0,2.39,-1.79,-0.06,2.71
2011-02-09,3.24,3.26,3.34,3.24,4325,17647217.0,3.04,-0.91,-0.03,2.16
2011-02-10,3.26,3.39,3.4,3.24,6755,27942763.0,4.91,3.99,0.13,3.38
2011-02-11,3.4,3.75,3.75,3.39,21720,97069502.0,10.62,10.62,0.36,10.86
2011-02-14,3.82,3.92,4.05,3.76,29112,137563706.0,7.73,4.53,0.17,14.56
2011-02-15,3.88,3.96,4.01,3.86,14446,69781537.0,3.83,1.02,0.04,7.22
2011-02-16,3.96,4.06,4.09,3.91,13584,66435618.0,4.55,2.53,0.1,6.79
2011-02-17,4.1,3.98,4.11,3.92,13115,64216412.0,4.68,-1.97,-0.08,6.56
2011-02-18,3.98,3.88,3.98,3.85,11127,53001258.0,3.27,-2.51,-0.1,5.56
2011-02-21,3.97,4.08,4.13,3.9,13532,66523929.0,5.93,5.15,0.2,6.77
2011-02-22,4.1,3.88,4.1,3.75,18280,86866669.0,8.58,-4.9,-0.2,9.14
2011-02-23,3.9,3.94,4.07,3.88,12524,60633734.0,4.9,1.55,0.06,6.26
2011-02-24,3.94,3.87,4.01,3.86,10487,49994325.0,3.81,-1.78,-0.07,5.24
2011-02-25,3.87,3.91,3.91,3.77,5561,26302672.0,3.62,1.03,0.04,2.78
2011-03-01,4.0,3.84,4.0,3.82,7262,34713791.0,4.6,-1.79,-0.07,3.63
2011-03-02,3.79,3.75,3.82,3.7,9557,43939327.0,3.13,-2.34,-0.09,4.78
2011-03-03,3.78,3.99,4.15,3.78,32542,160864866.0,9.87,6.4,0.24,16.27
2011-03-04,4.05,3.99,4.1,3.92,18392,89978796.0,4.51,0.0,0.0,9.2
2011-03-07,3.98,4.01,4.02,3.92,12822,62326871.0,2.51,0.5,0.02,6.41
2011-03-08,4.0,3.97,4.01,3.92,8182,39729659.0,2.24,-1.0,-0.04,4.09
2011-03-09,3.97,4.02,4.14,3.94,13895,68956680.0,5.04,1.26,0.05,6.95
2011-03-10,4.01,4.2,4.27,4.01,21988,112060737.0,6.47,4.48,0.18,10.99
2011-03-11,4.16,4.13,4.22,4.1,8806,44674627.0,2.86,-1.67,-0.07,4.4
2011-03-14,4.1,4.13,4.2,4.01,6745,33757115.0,4.6,0.0,0.0,3.37
2011-03-15,4.13,4.18,4.26,4.04,10554,53277209.0,5.33,1.21,0.05,5.28
2011-03-16,4.18,4.18,4.23,4.12,5851,29854370.0,2.63,0.0,0.0,2.93
2011-03-17,4.17,4.04,4.17,4.02,11415,56952050.0,3.59,-3.35,-0.14,5.71
2011-03-18,4.09,4.05,4.14,4.04,4511,22426173.0,2.48,0.25,0.01,2.26
2011-03-21,4.02,4.05,4.08,3.93,4826,23746545.0,3.7,0.0,0.0,2.41
2011-03-22,4.06,4.15,4.23,4.06,8950,45325125.0,4.2,2.47,0.1,4.48
2011-03-23,4.12,4.06,4.18,4.05,7834,38972353.0,3.13,-2.17,-0.09,3.92
2011-03-24,4.08,4.07,4.15,4.04,3696,18469053.0,2.71,0.25,0.01,1.85
2011-03-25,4.06,4.1,4.13,4.06,5063,25287875.0,1.72,0.74,0.03,2.53
2011-03-28,4.15,4.02,4.18,4.02,5043,25045934.0,3.9,-1.95,-0.08,2.52
2011-03-29,4.02,3.77,4.08,3.77,11065,52241892.0,7.71,-6.22,-0.25,5.53
2011-03-30,3.78,3.75,3.78,3.62,7585,34248552.0,4.24,-0.53,-0.02,3.79
2011-03-31,3.74,3.75,3.75,3.61,4223,19239263.0,3.73,0.0,0.0,2.11
2011-04-01,3.7,3.77,3.8,3.7,3241,14897253.0,2.67,0.53,0.02,1.62
2011-04-06,3.75,3.65,3.81,3.59,5168,23386056.0,5.84,-3.18,-0.12,2.58
2011-04-07,3.65,3.64,3.68,3.59,5429,24145867.0,2.47,-0.27,-0.01,2.71
2011-04-08,3.63,3.66,3.69,3.6,3725,16674393.0,2.47,0.55,0.02,1.86
2011-04-11,3.66,3.62,3.69,3.62,3805,17042471.0,1.91,-1.09,-0.04,1.9
2011-04-12,3.6,3.58,3.63,3.58,3047,13477600.0,1.38,-1.1,-0.04,1.52
2011-04-13,3.53,3.6,3.62,3.53,4387,19254375.0,2.51,0.56,0.02,2.19
2011-04-14,3.59,3.46,3.61,3.45,7949,34133498.0,4.44,-3.89,-0.14,3.97
