日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-02-25,8.4,8.25,9.26,7.83,160375,413297287.44,22.34,28.91,1.85,80.19
2011-02-28,7.93,8.43,8.72,7.9,100301,257849805.72,9.94,2.18,0.18,50.15
2011-03-01,8.23,8.31,8.6,8.15,70710,183324398.52,5.34,-1.42,-0.12,35.35
2011-03-02,8.17,8.48,8.56,8.03,52236,133156825.41,6.38,2.05,0.17,26.12
2011-03-03,8.43,8.35,8.52,8.22,34857,90216153.49,3.54,-1.53,-0.13,17.43
2011-03-04,8.33,8.76,9.06,8.17,44937,117419679.42,10.66,4.91,0.41,22.47
2011-03-07,8.69,8.7,8.85,8.6,39884,107528584.38,2.85,-0.68,-0.06,19.94
2011-03-08,8.63,8.74,8.89,8.63,34449,93465225.14,2.99,0.46,0.04,17.22
2011-03-09,8.76,9.02,9.22,8.62,57674,159704587.24,6.86,3.2,0.28,28.84
2011-03-10,8.95,8.86,9.13,8.75,39953,110556512.83,4.21,-1.77,-0.16,19.98
2011-03-11,8.86,8.68,8.98,8.67,31642,86164701.71,3.5,-2.03,-0.18,15.82
2011-03-14,8.61,8.79,8.84,8.61,20411,55226124.27,2.65,1.27,0.11,10.21
2011-03-15,8.79,8.5,8.79,8.38,24705,65149291.88,4.66,-3.3,-0.29,12.35
2011-03-16,8.53,8.6,8.67,8.46,13721,36468425.1,2.47,1.18,0.1,6.86
2011-03-17,8.56,8.34,8.56,8.29,17197,44827367.14,3.14,-3.02,-0.26,8.6
2011-03-18,8.4,8.46,8.55,8.36,11199,29333234.55,2.28,1.44,0.12,5.6
2011-03-21,8.43,8.77,8.9,8.4,26290,70629328.85,5.91,3.66,0.31,13.14
2011-03-22,8.73,9.68,9.68,8.61,76789,221772529.87,12.2,10.38,0.91,38.39
2011-03-23,9.61,9.4,9.61,9.26,51180,148442486.67,3.62,-2.89,-0.28,25.59
2011-03-24,9.31,9.31,9.6,9.23,35999,104487403.75,3.94,-0.96,-0.09,18.0
2011-03-25,9.27,9.38,9.43,9.16,29646,85023140.23,2.9,0.75,0.07,14.82
2011-03-28,9.34,9.02,9.34,9.0,30464,85679377.71,3.62,-3.84,-0.36,15.23
2011-03-30,8.72,8.38,8.78,8.33,29910,78884729.63,4.99,-7.1,-0.64,14.96
2011-03-31,8.4,8.35,8.58,8.34,16181,42288588.73,2.86,-0.36,-0.03,8.09
2011-04-01,8.34,8.42,8.49,8.3,10121,26324773.05,2.28,0.84,0.07,5.06
2011-04-06,8.43,8.36,8.46,8.18,12825,32976705.96,3.33,-0.71,-0.06,6.41
2011-04-07,8.37,8.65,8.66,8.28,14833,39113804.2,4.55,3.47,0.29,7.42
2011-04-08,8.73,8.75,9.19,8.7,18275,49912550.51,5.66,1.16,0.1,9.14
2011-04-11,8.72,8.57,8.85,8.56,12368,33131333.0,3.31,-2.06,-0.18,6.18
2011-04-12,8.5,8.47,8.65,8.43,10048,26551981.97,2.57,-1.17,-0.1,5.02
2011-04-13,8.46,8.66,8.68,8.43,8752,23318191.61,2.95,2.24,0.19,4.38
2011-04-14,8.67,8.6,8.75,8.53,7945,21243086.46,2.54,-0.69,-0.06,3.97
2011-04-15,8.61,8.51,8.65,8.44,7600,20036534.53,2.44,-1.05,-0.09,3.8
2011-04-18,8.48,8.4,8.56,8.35,9369,24367553.69,2.47,-1.29,-0.11,4.68
2011-04-19,8.4,8.27,8.4,8.24,8753,22497470.87,1.9,-1.55,-0.13,4.38
2011-04-20,8.27,8.35,8.38,8.21,5995,15457276.93,2.06,0.97,0.08,3.0
2011-04-21,8.4,8.45,8.48,8.37,7402,19311421.35,1.32,1.2,0.1,3.7
2011-04-22,8.46,8.29,8.46,8.28,6434,16635935.4,2.13,-1.89,-0.16,3.22
2011-04-25,8.3,8.04,8.33,8.01,8962,22587646.45,3.86,-3.02,-0.25,4.48
2011-04-26,8.11,8.09,8.12,7.86,4794,11856987.16,3.23,0.62,0.05,2.4
2011-04-27,8.1,7.94,8.14,7.9,4644,11566562.69,2.97,-1.85,-0.15,2.32
2011-04-28,7.94,7.7,8.06,7.66,5569,13590565.97,5.04,-3.02,-0.24,2.78
2011-04-29,7.7,7.72,7.77,7.66,3176,7624169.72,1.43,0.26,0.02,1.59
2011-05-03,7.8,7.81,7.83,7.68,2741,6600267.15,1.94,1.17,0.09,1.37
2011-05-04,7.74,7.6,7.8,7.6,4091,9767252.75,2.56,-2.69,-0.21,2.05
2011-05-06,7.46,7.64,7.73,7.45,2600,6128632.87,3.68,0.53,0.04,1.3
2011-05-09,7.61,7.74,7.79,7.61,2697,6463818.84,2.36,1.31,0.1,1.35
2011-05-10,7.73,7.72,7.76,7.67,2430,5811123.27,1.16,-0.26,-0.02,1.22
2011-05-11,7.73,7.69,7.77,7.64,2696,6435409.88,1.68,-0.39,-0.03,1.35
2011-05-12,7.66,7.55,7.66,7.54,3200,7527349.47,1.56,-1.82,-0.14,1.6
2011-05-13,7.58,7.55,7.62,7.4,3283,7661273.48,2.91,0.0,0.0,1.64
2011-05-16,7.55,7.66,7.72,7.5,3982,9429517.76,2.91,1.46,0.11,1.99
2011-05-17,7.68,7.66,7.71,7.56,3025,7179098.05,1.96,0.0,0.0,1.51
2011-05-18,7.58,7.6,7.66,7.56,2869,6780711.63,1.31,-0.78,-0.06,1.43
2011-05-19,7.56,7.49,7.64,7.47,2259,5303458.55,2.24,-1.45,-0.11,1.13
2011-05-20,7.49,7.19,7.49,7.16,6395,14505913.98,4.41,-4.01,-0.3,3.2
2011-05-23,7.19,6.85,7.2,6.84,5423,11766697.78,5.01,-4.73,-0.34,2.71
2011-05-24,6.79,6.88,6.93,6.7,3714,7874585.51,3.36,0.44,0.03,1.86
2011-05-25,6.9,6.46,6.9,6.43,14209,29348567.5,6.83,-6.1,-0.42,5.68
2011-05-26,6.46,6.23,6.53,6.23,10268,20395782.44,4.64,-3.56,-0.23,4.11
2011-05-27,6.23,6.06,6.28,6.03,10437,19953815.23,4.01,-2.73,-0.17,4.17
2011-05-30,6.04,6.1,6.2,6.04,8023,15368524.44,2.64,0.66,0.04,3.21
2011-05-31,6.09,6.25,6.26,6.0,9581,18424901.79,4.26,2.46,0.15,3.83
2011-06-01,6.24,6.32,6.37,6.22,9109,17960075.34,2.4,1.12,0.07,3.64
2011-06-02,6.22,6.24,6.31,6.11,6512,12659237.99,3.16,-1.27,-0.08,2.6
2011-06-03,6.29,6.37,6.4,6.22,5752,11380979.0,2.88,2.08,0.13,2.3
2011-06-07,6.36,6.35,6.41,6.26,4801,9492767.99,2.35,-0.31,-0.02,1.92
2011-06-08,6.35,6.32,6.36,6.06,5786,11344855.82,4.72,-0.47,-0.03,2.31
2011-06-09,6.32,6.21,6.32,6.14,5309,10373780.83,2.85,-1.74,-0.11,2.12
2011-06-10,6.15,6.25,6.27,6.13,4363,8463326.59,2.25,0.64,0.04,1.75
2011-06-13,6.17,6.25,6.26,6.15,2671,5186803.19,1.76,0.0,0.0,1.07
2011-06-14,6.33,6.47,6.52,6.28,16050,32423351.87,3.84,3.52,0.22,6.42
2011-06-15,6.44,6.44,6.58,6.37,10040,20285029.74,3.25,-0.46,-0.03,4.02
2011-06-16,6.33,6.27,6.39,6.24,5923,11688410.75,2.33,-2.64,-0.17,2.37
2011-06-17,6.27,6.26,6.35,6.26,4231,8343791.08,1.44,-0.16,-0.01,1.69
2011-06-20,6.3,6.39,6.47,6.28,10908,21843602.93,3.04,2.08,0.13,4.36
2011-06-21,6.45,6.31,6.45,6.2,11005,14276097.01,3.91,-1.25,-0.08,2.93
2011-06-22,6.28,6.32,6.37,6.27,8325,10868358.33,1.58,0.16,0.01,2.22
2011-06-23,6.29,6.8,6.92,6.19,29298,39951492.69,11.55,7.59,0.48,7.81
2011-06-24,6.77,6.97,7.12,6.65,50735,72501940.42,6.91,2.5,0.17,13.53
2011-06-27,6.94,7.4,7.65,6.94,46736,70246735.3,10.19,6.17,0.43,12.46
2011-06-28,7.35,7.26,7.36,7.15,25743,38371305.61,2.84,-1.89,-0.14,6.86
2011-06-29,7.2,7.17,7.39,7.17,19758,29522930.81,3.03,-1.24,-0.09,5.27
2011-06-30,7.2,7.22,7.29,7.15,14517,21564935.63,1.95,0.7,0.05,3.87
2011-07-01,7.27,7.34,7.59,7.16,25503,38763020.94,5.96,1.66,0.12,6.8
2011-07-04,7.37,7.7,7.8,7.37,32396,50485515.39,5.86,4.9,0.36,8.64
2011-07-05,7.7,7.66,7.78,7.6,18442,29038295.84,2.34,-0.52,-0.04,4.92
2011-07-06,7.66,7.64,7.66,7.51,12931,20134579.05,1.96,-0.26,-0.02,3.45
2011-07-07,7.6,7.64,7.81,7.57,22313,35209566.54,3.14,0.0,0.0,5.95
2011-07-08,7.64,7.49,7.68,7.44,14906,23015673.76,3.14,-1.96,-0.15,3.97
2011-07-11,7.48,7.52,7.61,7.47,8519,13208643.63,1.87,0.4,0.03,2.27
2011-07-12,7.5,7.22,7.5,7.19,14705,22119144.5,4.12,-3.99,-0.3,3.92
2011-07-13,7.22,7.39,7.43,7.22,9062,13669245.01,2.91,2.35,0.17,2.42
2011-07-14,7.44,7.62,7.71,7.41,18327,28530160.14,4.06,3.11,0.23,4.89
2011-07-15,7.6,7.7,7.73,7.55,26934,42309572.85,2.36,1.05,0.08,7.18
2011-07-18,7.65,7.62,7.74,7.57,13391,20953950.26,2.21,-1.04,-0.08,3.57
2011-07-19,7.58,7.4,7.58,7.3,13233,20114788.01,3.67,-2.89,-0.22,3.53
2011-07-20,7.4,7.37,7.49,7.3,6882,10432641.01,2.57,-0.41,-0.03,1.84
2011-07-21,7.37,7.24,7.37,7.24,6765,10148638.63,1.76,-1.76,-0.13,1.8
2011-07-22,7.26,7.35,7.39,7.26,7146,10773556.25,1.8,1.52,0.11,1.91
2011-07-25,7.31,6.92,7.36,6.91,13136,19154150.61,6.12,-5.85,-0.43,3.5
2011-07-26,6.9,7.14,7.16,6.89,9668,13931963.23,3.9,3.18,0.22,2.58
