日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-02-17,3.91,4.78,4.78,3.91,472,490271.0,27.27,49.84,1.59,0.16
2015-02-25,5.3,5.3,5.3,5.3,126,144144.0,0.0,10.88,0.52,0.04
2015-02-26,5.87,5.87,5.87,5.87,171,215118.0,0.0,10.75,0.57,0.06
2015-02-27,6.5,6.5,6.5,6.5,174,240816.0,0.0,10.73,0.63,0.06
2015-03-02,7.19,7.19,7.19,7.19,658,1001476.0,0.0,10.62,0.69,0.22
2015-03-03,7.95,7.95,7.95,7.95,4014,6719402.0,0.0,10.57,0.76,1.32
2015-03-04,8.79,8.79,8.79,8.79,13562,24968286.0,0.0,10.57,0.84,4.47
2015-03-05,9.71,9.71,9.71,9.71,13888,28123179.0,0.0,10.47,0.92,4.58
2015-03-06,10.72,10.72,10.72,10.72,6884,15336460.0,0.0,10.4,1.01,2.27
2015-03-09,10.33,9.82,10.61,9.61,175958,361363008.0,9.33,-8.4,-0.9,58.0
2015-03-10,9.33,9.29,9.52,8.94,115428,222252098.0,5.91,-5.4,-0.53,38.04
2015-03-11,9.22,9.56,9.79,9.11,108638,215515508.0,7.32,2.91,0.27,35.81
2015-03-12,9.47,9.18,10.07,8.93,104794,207868689.0,11.92,-3.97,-0.38,34.54
2015-03-13,8.98,9.14,9.27,8.94,59340,112648105.0,3.59,-0.44,-0.04,19.56
2015-03-16,9.24,9.71,9.72,9.18,78515,155618207.0,5.91,6.24,0.57,25.88
2015-03-17,9.86,10.38,10.72,9.61,113654,238969323.0,11.43,6.9,0.67,37.46
2015-03-18,10.36,10.22,11.12,10.08,124702,272012096.0,10.02,-1.54,-0.16,41.1
2015-03-19,10.11,11.08,11.28,10.04,151735,340052112.0,12.13,8.41,0.86,50.01
2015-03-20,10.81,12.23,12.23,10.79,119681,286022672.0,13.0,10.38,1.15,39.45
2015-03-23,13.12,12.38,13.33,12.25,146999,385781984.0,8.83,1.23,0.15,48.45
2015-03-24,11.98,11.83,12.12,11.38,106004,258933022.0,5.98,-4.44,-0.55,34.94
2015-03-25,11.67,12.59,12.59,11.32,104332,256127535.0,10.74,6.42,0.76,34.39
2015-03-26,12.23,13.89,13.89,12.09,121157,329632384.0,14.3,10.33,1.3,39.93
2015-03-27,14.27,13.33,14.27,12.98,82386,226335431.0,9.29,-4.03,-0.56,27.15
2015-03-30,13.18,13.21,13.69,12.98,47658,131000661.0,5.33,-0.9,-0.12,15.71
2015-03-31,13.1,12.73,13.1,12.6,34811,92324058.0,3.79,-3.63,-0.48,11.47
2015-04-01,12.62,12.86,13.02,12.52,29068,76803083.0,3.93,1.02,0.13,9.58
2015-04-02,12.91,12.96,13.0,12.66,32859,87043003.0,2.64,0.78,0.1,10.83
2015-04-03,12.93,13.3,13.4,12.83,37295,102000272.0,4.4,2.62,0.34,12.29
2015-04-07,13.34,13.82,14.13,13.34,51397,146219069.0,5.94,3.91,0.52,16.94
2015-04-08,13.81,14.23,14.57,12.83,41031,117038486.0,12.59,2.97,0.41,13.52
2015-04-09,14.02,14.01,14.89,13.27,35866,104096572.0,11.38,-1.55,-0.22,11.82
2015-04-10,13.92,14.04,14.51,13.63,20337,59194062.0,6.28,0.21,0.03,6.7
2015-04-13,13.83,15.34,15.49,13.73,40812,124059278.0,12.54,9.26,1.3,13.45
2015-04-14,15.01,14.55,15.34,14.51,34304,104624337.0,5.41,-5.15,-0.79,11.31
2015-04-15,14.67,14.81,15.21,13.58,45923,135368243.0,11.2,1.79,0.26,15.14
2015-04-16,14.31,15.3,15.75,13.73,38052,117702760.0,13.64,3.31,0.49,12.54
2015-04-17,15.58,16.09,16.68,15.14,33578,108799780.0,10.07,5.16,0.79,11.07
2015-04-20,15.85,15.68,16.38,15.46,25211,82350311.0,5.72,-2.55,-0.41,8.31
2015-04-21,15.52,16.99,17.08,15.38,26906,90479291.0,10.84,8.35,1.31,8.87
2015-04-22,16.64,17.01,17.48,16.64,22952,80043033.0,4.94,0.12,0.02,7.56
2015-04-23,17.08,17.0,17.33,16.62,22150,76677984.0,4.17,-0.06,-0.01,7.3
2015-04-24,16.89,16.83,17.06,16.22,20659,70752447.0,4.94,-1.0,-0.17,6.81
2015-04-27,16.83,16.78,17.06,16.38,22135,75487483.0,4.04,-0.3,-0.05,7.3
2015-04-28,16.58,15.06,16.78,15.06,41421,130668443.0,10.25,-10.25,-1.72,13.65
2015-04-29,14.52,16.03,16.44,14.08,65482,208463910.0,15.67,6.44,0.97,21.58
2015-04-30,15.93,14.98,15.93,14.98,37975,119019832.0,5.93,-6.55,-1.05,12.52
2015-05-04,13.45,14.58,15.58,13.44,111486,316013040.0,14.29,-2.67,-0.4,36.75
2015-05-05,13.68,13.94,14.38,13.58,60094,173354423.0,5.49,-4.39,-0.64,19.81
2015-05-06,13.88,13.67,14.17,13.63,34782,100002562.0,3.87,-1.94,-0.27,11.46
2015-05-07,13.72,14.06,14.26,13.72,30954,89319744.0,3.95,2.85,0.39,10.2
2015-05-08,14.26,14.76,14.86,14.01,24286,72652231.0,6.05,4.98,0.7,8.0
2015-05-11,15.01,15.58,16.28,14.88,47042,152605332.0,9.49,5.56,0.82,15.5
2015-05-12,15.6,17.18,17.18,15.31,45883,155110838.0,12.0,10.27,1.6,15.12
2015-05-13,16.92,18.94,18.94,16.64,44417,162064611.0,13.39,10.24,1.76,14.64
2015-05-14,20.88,20.88,20.88,20.88,9553,40687163.0,0.0,10.24,1.94,3.15
2015-05-15,22.68,21.57,22.7,18.84,71104,298254288.0,18.49,3.3,0.69,23.44
2015-05-18,20.08,21.57,22.53,19.74,83190,358994240.0,12.93,0.0,0.0,27.42
2015-05-19,21.08,19.93,21.76,19.37,156862,633116000.0,11.08,-7.6,-1.64,51.7
2015-05-20,19.23,19.43,20.21,19.09,88039,351904448.0,5.62,-2.51,-0.5,29.02
2015-05-21,19.09,19.27,19.4,18.93,62878,246313338.0,2.42,-0.82,-0.16,20.72
2015-05-22,19.41,20.68,20.72,18.95,108426,435158608.0,9.19,7.32,1.41,35.74
2015-05-25,20.01,21.54,22.31,19.58,121182,518418544.0,13.2,4.16,0.86,39.94
2015-05-26,20.83,23.35,23.7,20.59,113198,515139184.0,14.44,8.4,1.81,37.31
2015-05-27,23.08,25.03,25.58,22.37,115134,566271888.0,13.75,7.19,1.68,37.95
2015-06-30,22.49,22.49,22.49,22.49,2854,13059904.0,0.0,-10.15,-2.54,0.94
2015-07-01,20.2,20.2,20.2,20.2,1936,7972448.0,0.0,-10.18,-2.29,0.64
2015-07-02,18.14,18.14,18.14,18.14,498,1845588.0,0.0,-10.2,-2.06,0.16
2015-07-03,16.29,16.29,16.29,16.29,712,2374520.0,0.0,-10.2,-1.85,0.23
2015-07-06,14.62,14.62,17.76,14.62,70031,217988194.0,19.28,-10.25,-1.67,23.08
2015-07-07,13.12,13.12,13.12,13.12,2054,5549908.0,0.0,-10.26,-1.5,0.68
2015-07-08,11.77,11.77,11.77,11.77,349,848768.0,0.0,-10.29,-1.35,0.12
2015-07-09,10.56,12.99,12.99,10.56,118144,284711888.0,20.65,10.37,1.22,38.94
2015-07-10,12.59,14.33,14.33,12.59,93557,267495278.0,13.39,10.32,1.34,30.84
2015-07-13,14.33,15.8,15.8,13.62,108309,333074320.0,15.21,10.26,1.47,35.7
2015-07-14,15.14,15.26,16.4,14.3,104967,330326064.0,13.29,-3.42,-0.54,34.6
2015-07-15,14.26,13.69,14.86,13.69,32859,94989728.0,7.67,-10.29,-1.57,10.83
2015-07-16,13.69,12.29,14.05,12.28,56289,149144389.0,12.93,-10.23,-1.4,18.55
2015-07-17,12.39,12.99,13.35,12.39,40737,107441189.0,7.81,5.7,0.7,13.43
2015-07-20,12.86,13.18,13.51,12.62,41402,111751638.0,6.85,1.46,0.19,13.65
2015-07-21,12.96,13.73,13.85,12.68,42938,118872435.0,8.88,4.17,0.55,14.15
2015-07-22,13.81,13.61,13.98,13.02,52189,144998597.0,6.99,-0.87,-0.12,17.2
2015-07-23,13.51,14.59,14.81,13.26,57171,166865169.0,11.39,7.2,0.98,18.84
2015-07-24,14.65,13.97,15.03,13.84,58575,174765665.0,8.16,-4.25,-0.62,19.31
2015-07-27,13.29,12.54,14.01,12.54,39694,108319624.0,10.52,-10.24,-1.43,13.08
2015-07-28,11.42,11.31,12.54,11.25,35137,84766288.0,10.29,-9.81,-1.23,11.58
2015-07-29,11.76,12.47,12.47,11.27,38429,93485373.0,10.61,10.26,1.16,12.67
2015-07-30,12.41,12.32,13.41,12.11,50673,134148764.0,10.43,-1.2,-0.15,16.7
2015-07-31,12.32,12.68,13.31,12.02,43159,113036006.0,10.47,2.92,0.36,14.23
2015-08-03,12.62,12.21,12.97,11.47,35553,90596956.0,11.83,-3.71,-0.47,11.72
2015-08-04,12.21,12.98,13.05,12.11,36078,94147056.0,7.7,6.31,0.77,11.89
2015-08-05,12.98,13.51,14.08,12.92,57172,159542767.0,8.94,4.08,0.53,18.84
2015-08-06,13.13,12.92,13.37,12.9,37130,100237364.0,3.48,-4.37,-0.59,12.24
2015-08-07,13.11,13.55,13.81,12.97,38011,105896275.0,6.5,4.88,0.63,12.53
2015-08-10,13.6,14.21,14.34,13.36,49393,140999471.0,7.23,4.87,0.66,16.28
2015-08-11,14.42,14.35,14.86,14.15,47460,141200460.0,5.0,0.99,0.14,15.64
2015-08-12,14.16,13.56,14.33,13.51,32801,94251277.0,5.71,-5.51,-0.79,10.81
2015-08-13,13.78,14.19,14.26,13.57,29436,84502177.0,5.09,4.65,0.63,9.7
2015-08-14,14.16,15.65,15.65,14.16,80686,253341559.0,10.5,10.29,1.46,26.59
2015-08-17,15.89,15.39,17.01,15.38,96302,316793376.0,10.42,-1.66,-0.26,31.74
2015-08-18,15.06,13.81,15.14,13.81,57451,170584046.0,8.64,-10.27,-1.58,18.94
2015-08-19,12.74,15.23,15.23,12.61,61641,176023491.0,18.97,10.28,1.42,20.32
2015-08-20,15.16,16.79,16.79,14.49,121461,405645664.0,15.1,10.24,1.56,40.03
2015-08-21,16.76,16.6,17.01,16.02,87870,299806272.0,5.9,-1.13,-0.19,28.96
2015-08-24,15.4,16.86,17.33,15.11,71058,237125280.0,13.37,1.57,0.26,23.42
2015-08-25,16.04,15.14,17.61,15.14,70892,241816505.0,14.65,-10.2,-1.72,23.37
2015-08-26,15.35,13.59,16.11,13.59,131538,380138704.0,16.64,-10.24,-1.55,43.35
2015-08-27,13.11,12.19,13.76,12.19,83118,215288681.0,11.55,-10.3,-1.4,27.4
2015-08-28,11.86,12.84,13.03,11.26,76778,192136158.0,14.52,5.33,0.65,25.31
2015-08-31,12.42,11.52,12.42,11.52,43593,106853706.0,7.01,-10.28,-1.32,14.37
2015-09-01,11.11,10.36,11.11,10.33,52025,112687617.0,6.77,-10.07,-1.16,17.15
2015-09-02,9.64,10.61,10.94,9.62,37290,80443578.0,12.74,2.41,0.25,12.29
2015-09-07,10.56,10.66,11.24,10.45,29441,66349388.0,7.45,0.47,0.05,9.7
2015-09-08,10.27,11.24,11.28,10.26,26651,59367444.0,9.57,5.44,0.58,8.78
2015-09-09,11.11,12.4,12.4,11.11,76741,192042285.0,11.48,10.32,1.16,25.29
2015-09-10,12.36,12.33,12.72,12.06,29624,75769476.0,5.32,-0.56,-0.07,9.76
2015-09-11,12.21,13.5,13.6,12.01,59826,160762431.0,12.9,9.49,1.17,19.72
2015-09-14,13.24,12.11,13.33,12.11,24082,63365265.0,9.04,-10.3,-1.39,7.94
2015-09-15,11.11,10.86,12.22,10.86,46206,110489019.0,11.23,-10.32,-1.25,15.23
2015-09-16,10.86,11.88,11.98,10.61,44884,102790222.0,12.62,9.39,1.02,14.79
2015-09-17,11.66,10.66,11.84,10.65,35028,81882001.0,10.02,-10.27,-1.22,11.55
2015-09-18,10.41,10.93,11.61,10.41,47919,109293927.0,11.26,2.53,0.27,15.79
2015-09-21,10.86,11.5,11.87,10.45,29008,67311167.0,12.99,5.22,0.57,9.56
2015-09-22,11.5,12.49,12.6,11.36,43738,109155230.0,10.78,8.61,0.99,14.42
2015-09-23,11.96,12.09,12.46,11.58,32247,79843036.0,7.05,-3.2,-0.4,10.63
2015-09-24,12.09,12.46,13.0,11.96,39202,100567703.0,8.6,3.06,0.37,12.92
2015-09-25,12.16,11.75,12.41,11.5,23074,56815622.0,7.3,-5.7,-0.71,7.61
2015-09-28,12.06,12.1,12.13,11.63,11948,29521690.0,4.26,2.98,0.35,3.94
2015-09-29,11.86,11.71,12.0,11.66,7231,17628166.0,2.81,-3.22,-0.39,2.38
2015-09-30,11.83,12.83,12.92,11.83,98812,258659315.0,9.31,9.56,1.12,32.57
2015-10-08,12.76,12.85,13.21,12.61,115735,308474512.0,4.68,0.16,0.02,38.15
2015-10-09,12.86,12.94,13.04,12.67,96679,255553916.0,2.88,0.7,0.09,31.87
2015-10-12,12.82,13.32,13.61,12.82,85654,232756816.0,6.11,2.94,0.38,28.23
2015-10-13,13.25,13.16,13.25,12.91,54288,146663413.0,2.55,-1.2,-0.16,17.89
2015-10-14,13.11,12.79,13.26,12.69,43073,115066866.0,4.33,-2.81,-0.37,14.2
2015-10-15,12.66,13.18,13.22,12.66,44508,119619205.0,4.38,3.05,0.39,14.67
2015-10-16,13.36,13.6,13.82,12.93,67965,186527305.0,6.75,3.19,0.42,22.4
2015-10-19,13.61,13.16,13.65,13.06,53826,148167356.0,4.34,-3.24,-0.44,17.74
2015-10-20,13.26,13.46,13.61,12.99,43278,118475992.0,4.71,2.28,0.3,14.26
2015-10-21,13.44,12.07,13.89,12.07,57397,155612376.0,13.52,-10.33,-1.39,18.92
2015-10-22,11.91,12.34,12.46,11.84,47764,120011353.0,5.14,2.24,0.27,15.74
2015-10-23,12.36,12.54,12.71,12.19,32892,84023357.0,4.21,1.62,0.2,10.84
2015-10-26,12.72,12.63,12.81,12.41,30435,79233001.0,3.19,0.72,0.09,10.03
2015-10-27,12.52,12.56,12.7,11.91,32065,81630887.0,6.25,-0.55,-0.07,10.57
2015-10-28,12.54,12.98,13.51,12.47,52911,142889728.0,8.28,3.34,0.42,17.44
2015-10-29,13.16,13.46,13.46,13.01,49909,136171313.0,3.47,3.7,0.48,16.45
2015-10-30,13.46,13.16,13.69,13.15,47166,130320138.0,4.01,-2.23,-0.3,15.55
2015-11-02,12.66,13.29,13.71,12.37,43293,118975415.0,10.18,0.99,0.13,14.27
2015-11-03,13.3,14.02,14.29,13.09,58110,163259688.0,9.03,5.49,0.73,19.15
2015-11-04,14.01,14.57,14.67,13.86,68310,199924644.0,5.78,3.92,0.55,22.51
2015-11-05,14.5,14.11,14.85,13.97,61800,182130411.0,6.04,-3.16,-0.46,20.37
2015-11-06,14.09,14.4,14.46,14.09,52396,154273987.0,2.62,2.06,0.29,17.27
2015-11-09,14.41,15.33,15.61,14.41,76260,235657034.0,8.33,6.46,0.93,25.14
2015-11-10,15.01,15.02,15.25,14.64,49163,151054516.0,3.98,-2.02,-0.31,16.2
2015-11-11,14.91,15.91,16.14,14.89,65168,208642384.0,8.32,5.93,0.89,21.48
