日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-07-02,5.84,6.89,6.89,5.84,621,1822925.0,21.17,38.91,1.93,0.48
2014-07-03,7.52,7.52,7.52,7.52,198,640690.0,0.0,9.14,0.63,0.15
2014-07-04,8.21,8.21,8.21,8.21,273,975419.0,0.0,9.18,0.69,0.21
2014-07-07,8.97,8.97,8.97,8.97,923,3622735.0,0.0,9.26,0.76,0.71
2014-07-08,9.81,9.81,9.81,9.81,1812,7825684.0,0.0,9.36,0.84,1.4
2014-07-09,10.74,10.74,10.74,10.74,1555,7384825.0,0.0,9.48,0.93,1.2
2014-07-10,11.75,11.75,11.75,11.75,2036,10636375.0,0.0,9.4,1.01,1.57
2014-07-11,12.87,12.87,12.87,12.87,867,4981964.0,0.0,9.53,1.12,0.67
2014-07-14,14.1,14.1,14.1,14.1,1685,10656468.0,0.0,9.56,1.23,1.3
2014-07-15,15.45,13.4,15.45,13.33,92953,603844432.0,15.04,-4.96,-0.7,71.56
2014-07-16,12.66,12.12,12.84,12.12,53864,297956816.0,5.37,-9.55,-1.28,41.47
2014-07-17,11.96,11.8,12.25,11.61,33507,177840259.0,5.28,-2.64,-0.32,25.79
2014-07-18,11.8,11.26,11.89,11.22,28398,144922579.0,5.68,-4.58,-0.54,21.86
2014-07-21,11.12,11.2,11.37,10.99,18187,90043731.0,3.37,-0.53,-0.06,14.0
2014-07-22,11.18,11.27,11.35,11.03,19558,97205212.0,2.86,0.63,0.07,15.06
2014-07-23,11.24,10.82,11.27,10.78,28238,136756569.0,4.35,-3.99,-0.45,21.74
2014-07-24,10.78,11.01,11.31,10.61,35997,176061522.0,6.47,1.76,0.19,27.71
2014-07-25,10.84,10.46,10.84,10.2,32185,149575166.0,5.81,-5.0,-0.55,24.78
2014-07-28,10.47,10.63,10.73,10.42,20095,93907419.0,2.96,1.63,0.17,15.47
2014-07-29,10.65,10.73,10.86,10.6,19328,91842853.0,2.45,0.94,0.1,14.88
2014-07-30,10.74,11.33,11.47,10.68,39579,194436683.0,7.36,5.59,0.6,30.47
2014-07-31,11.24,11.0,11.24,10.97,22631,110891801.0,2.38,-2.91,-0.33,17.42
2014-08-01,10.99,10.86,11.27,10.86,19138,93824629.0,3.73,-1.27,-0.14,14.73
2014-08-04,10.84,10.82,10.95,10.67,16450,78609112.0,2.58,-0.37,-0.04,12.66
2014-08-05,10.8,10.87,10.95,10.68,13593,65151519.0,2.5,0.46,0.05,10.46
2014-08-06,10.88,10.76,10.96,10.74,12420,59373101.0,2.02,-1.01,-0.11,9.56
2014-08-07,10.71,10.63,10.78,10.63,10672,50528961.0,1.39,-1.21,-0.13,8.22
2014-08-08,10.63,10.66,10.73,10.63,8845,41766229.0,0.94,0.28,0.03,6.81
2014-08-11,10.69,10.75,10.77,10.64,8731,41377950.0,1.22,0.84,0.09,6.72
2014-08-12,10.77,10.74,10.79,10.69,9562,45434275.0,0.93,-0.09,-0.01,7.36
2014-08-13,10.71,10.4,10.71,10.37,15301,70891949.0,3.17,-3.17,-0.34,11.78
2014-08-14,10.4,10.46,10.57,10.38,8729,40475916.0,1.83,0.58,0.06,6.72
2014-08-15,10.52,10.5,10.53,10.45,5952,27617160.0,0.76,0.38,0.04,4.58
2014-08-18,10.56,10.69,10.7,10.52,9418,44202875.0,1.71,1.81,0.19,7.25
2014-08-19,10.75,10.62,10.75,10.57,11525,54265836.0,1.68,-0.65,-0.07,8.87
2014-08-20,10.69,10.85,10.98,10.58,20568,98487981.0,3.77,2.17,0.23,15.83
2014-08-21,10.76,10.65,10.84,10.59,11405,53953716.0,2.3,-1.84,-0.2,8.78
2014-08-22,10.67,10.83,10.93,10.63,13020,62030499.0,2.82,1.69,0.18,10.02
2014-08-25,10.84,11.08,11.2,10.76,24818,120801808.0,4.06,2.31,0.25,19.11
2014-08-26,11.06,10.71,11.14,10.68,16845,81372466.0,4.15,-3.34,-0.37,12.97
2014-08-27,10.66,10.66,10.83,10.57,11428,54097117.0,2.43,-0.47,-0.05,8.8
2014-08-28,10.61,11.17,11.26,10.61,34377,168493132.0,6.1,4.78,0.51,26.46
2014-08-29,11.01,11.18,11.31,10.98,21700,107304204.0,2.95,0.09,0.01,16.7
2014-09-01,11.33,11.25,11.33,11.06,16280,80762853.0,2.42,0.63,0.07,12.53
2014-09-02,11.27,11.74,11.8,11.19,26259,134298964.0,5.42,4.36,0.49,20.21
2014-09-03,11.78,11.54,11.79,11.42,20077,103166112.0,3.15,-1.7,-0.2,15.46
2014-09-04,11.54,11.56,11.65,11.41,15775,80816739.0,2.08,0.17,0.02,12.14
2014-09-05,11.59,11.31,11.66,11.28,16984,86217030.0,3.29,-2.16,-0.25,13.07
2014-09-09,11.32,11.21,11.33,11.16,10341,51458329.0,1.5,-0.88,-0.1,7.96
2014-09-10,11.19,11.42,11.48,11.19,12475,63157037.0,2.59,1.87,0.21,9.6
2014-09-11,11.46,11.3,11.58,11.23,15229,77205299.0,3.06,-1.05,-0.12,11.72
2014-09-12,11.27,11.3,11.35,11.16,8415,41999039.0,1.68,0.0,0.0,6.48
2014-09-15,11.3,11.31,11.37,11.23,7258,36336678.0,1.24,0.09,0.01,5.59
2014-09-16,11.33,10.88,11.33,10.88,11931,58801616.0,3.98,-3.8,-0.43,9.18
2014-09-17,10.92,10.91,11.0,10.75,7124,34235770.0,2.3,0.28,0.03,5.48
