日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-07,34.03,41.27,41.27,34.03,151,1170512.0,25.87,47.45,13.28,0.06
2017-03-08,45.62,45.62,45.62,45.62,27,229860.0,0.0,10.54,4.35,0.01
2017-03-09,50.41,50.41,50.41,50.41,41,390542.0,0.0,10.5,4.79,0.02
2017-03-10,55.67,55.67,55.67,55.67,165,1723075.0,0.0,10.43,5.26,0.06
2017-03-13,61.46,61.46,61.46,61.46,187,2142833.0,0.0,10.4,5.79,0.07
2017-03-14,67.82,67.82,67.82,67.82,129,1625540.0,0.0,10.35,6.36,0.05
2017-03-15,74.83,74.83,74.83,74.83,198,2745468.0,0.0,10.34,7.01,0.07
2017-03-16,82.53,82.53,82.53,82.53,810,12362251.0,0.0,10.29,7.7,0.3
2017-03-17,91.01,91.01,91.01,91.01,1654,27747456.0,0.0,10.28,8.48,0.61
2017-03-20,100.33,100.33,100.33,96.68,111032,2035781328.0,4.01,10.24,9.32,41.12
2017-03-21,102.79,99.31,103.91,97.8,134234,2488588720.0,6.09,-1.02,-1.02,49.72
2017-03-22,102.66,109.46,109.46,100.71,119605,2296255152.0,8.81,10.22,10.15,44.3
2017-03-23,105.57,101.64,106.68,98.91,106778,2034755824.0,7.1,-7.14,-7.82,39.55
2017-03-24,101.13,100.01,103.66,98.33,60280,1116654464.0,5.24,-1.6,-1.63,22.33
2017-03-27,100.57,101.14,102.09,98.45,43574,806889312.0,3.64,1.13,1.13,16.14
2017-03-28,100.01,92.65,100.02,92.57,64123,1131339536.0,7.37,-8.39,-8.49,23.75
2017-03-29,93.23,90.57,94.83,90.02,47294,802961552.0,5.19,-2.25,-2.08,17.52
2017-03-30,89.18,88.39,91.34,87.34,38166,629314304.0,4.42,-2.41,-2.18,14.14
2017-03-31,88.63,83.35,89.69,82.57,48657,766973360.0,8.06,-5.7,-5.04,18.02
2017-04-05,81.73,82.93,84.08,79.46,35120,533289600.0,5.54,-0.5,-0.42,13.01
2017-04-06,83.63,85.57,87.24,81.68,35801,565426368.0,6.7,3.18,2.64,13.26
2017-04-07,85.29,82.18,87.79,82.12,32858,514109616.0,6.63,-3.96,-3.39,12.17
2017-04-10,80.01,81.36,82.12,76.14,44984,657705424.0,7.28,-1.0,-0.82,16.66
2017-04-11,80.02,80.81,82.14,78.63,21010,312652432.0,4.31,-0.68,-0.55,7.78
2017-04-12,80.12,77.88,80.13,77.8,17402,254058923.0,2.88,-3.63,-2.93,6.45
2017-04-13,76.93,77.68,79.73,76.93,14749,214662242.0,3.6,-0.26,-0.2,5.46
2017-04-14,77.24,75.57,77.24,75.2,16594,234279070.0,2.63,-2.72,-2.11,6.15
2017-04-17,72.01,72.41,74.23,72.01,18899,256185718.0,2.94,-4.18,-3.16,7.0
