日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,10.25,10.3,10.39,10.09,37326,41529076.0,2.94,0.88,0.09,1.49
2010-01-05,10.3,10.31,10.39,10.14,28371,31612946.0,2.43,0.1,0.01,1.13
2010-01-06,10.32,10.19,10.38,10.16,27305,30457060.0,2.13,-1.16,-0.12,1.09
2010-01-07,10.11,9.73,10.15,9.66,39507,42633008.0,4.81,-4.51,-0.46,1.57
2010-01-08,9.75,9.81,9.85,9.69,18360,19574368.0,1.64,0.82,0.08,0.73
2010-01-11,9.88,9.52,10.06,9.51,32239,33825980.0,5.61,-2.96,-0.29,1.28
2010-01-12,9.59,9.82,9.82,9.56,31411,33166554.0,2.73,3.15,0.3,1.25
2010-01-13,9.66,9.63,9.89,9.58,24450,25973100.0,3.16,-1.93,-0.19,0.97
2010-01-14,9.61,10.2,10.28,9.61,41158,44781164.0,6.96,5.92,0.57,1.64
2010-01-15,10.2,10.4,10.4,10.06,86161,96422144.0,3.33,1.96,0.2,3.43
2010-01-18,10.49,10.61,10.64,10.38,83013,94827960.0,2.5,2.02,0.21,3.31
2010-01-19,10.61,10.62,10.78,10.41,55315,63510728.0,3.49,0.09,0.01,2.2
2010-01-20,10.58,9.94,10.66,9.87,60295,67266520.0,7.44,-6.4,-0.68,2.4
2010-01-21,9.85,10.03,10.08,9.81,34658,37542644.0,2.72,0.91,0.09,1.38
2010-01-22,9.99,10.24,10.31,9.69,54940,59732668.0,6.18,2.09,0.21,2.19
2010-01-25,10.24,9.91,10.25,9.86,18714,20549666.0,3.81,-3.22,-0.33,0.75
2010-01-26,9.92,9.59,10.05,9.51,30615,32199514.0,5.45,-3.23,-0.32,1.22
2010-01-27,9.51,9.5,9.76,9.39,12629,13208157.0,3.86,-0.94,-0.09,0.5
2010-01-28,9.67,9.91,9.91,9.47,21141,22263398.0,4.63,4.32,0.41,0.84
2010-01-29,9.81,9.81,10.11,9.76,39812,43227292.0,3.53,-1.01,-0.1,1.59
2010-02-01,9.83,9.61,9.9,9.46,27613,29097940.0,4.49,-2.04,-0.2,1.1
2010-02-02,9.78,9.26,9.8,9.11,40873,42307516.0,7.18,-3.64,-0.35,1.63
2010-02-03,9.21,9.19,9.28,8.72,27285,27013060.0,6.05,-0.76,-0.07,1.09
2010-02-04,9.16,9.21,9.35,9.06,23502,23833208.0,3.16,0.22,0.02,0.94
2010-02-05,8.98,8.94,9.18,8.91,17251,17035622.0,2.93,-2.93,-0.27,0.69
2010-02-08,8.94,8.89,9.07,8.82,12560,12346549.0,2.8,-0.56,-0.05,0.5
2010-02-09,8.89,8.87,8.95,8.83,7277,7119534.0,1.35,-0.22,-0.02,0.29
2010-02-10,9.02,9.13,9.16,8.96,12999,12928170.0,2.25,2.93,0.26,0.52
2010-02-11,9.13,9.07,9.26,9.06,8396,8412869.0,2.19,-0.66,-0.06,0.33
2010-02-12,9.15,9.25,9.26,9.04,16480,16570812.0,2.43,1.98,0.18,0.66
2010-02-22,9.26,9.21,9.28,9.11,11518,11628266.0,1.84,-0.43,-0.04,0.46
2010-02-23,9.13,9.11,9.21,8.88,20463,20260744.0,3.58,-1.09,-0.1,0.81
2010-02-24,9.04,9.29,9.31,8.97,19882,20031424.0,3.73,1.98,0.18,0.79
2010-02-25,9.22,9.51,9.56,9.22,33554,34621204.0,3.66,2.37,0.22,1.34
2010-02-26,9.53,9.46,9.57,9.43,17348,18021762.0,1.47,-0.53,-0.05,0.69
2010-03-01,9.49,9.55,9.64,9.37,29223,30383740.0,2.85,0.95,0.09,1.16
2010-03-02,9.49,9.47,9.59,9.39,24370,25175980.0,2.09,-0.84,-0.08,0.97
2010-03-03,9.47,10.11,10.27,9.39,57515,61592880.0,9.29,6.76,0.64,2.29
2010-03-04,10.01,9.57,10.14,9.53,40229,43480956.0,6.03,-5.34,-0.54,1.6
2010-03-05,9.47,9.62,9.73,9.47,19148,20150412.0,2.72,0.52,0.05,0.76
2010-03-08,9.7,9.55,9.7,9.45,28466,29640482.0,2.6,-0.73,-0.07,1.13
2010-03-09,9.55,9.67,9.73,9.45,30713,32319850.0,2.93,1.26,0.12,1.22
