日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.47,5.39,5.51,5.38,20499,26114450.0,2.37,-1.64,-0.09,1.39
2010-01-05,5.36,5.28,5.43,5.25,32070,39900164.0,3.34,-2.04,-0.11,2.18
2010-01-06,5.29,5.34,5.36,5.27,18503,23085240.0,1.7,1.14,0.06,1.26
2010-01-07,5.33,5.36,5.49,5.25,53374,67592584.0,4.49,0.37,0.02,3.63
2010-01-08,5.34,5.3,5.4,5.13,22363,27630624.0,5.04,-1.12,-0.06,1.52
2010-01-11,5.24,5.34,5.45,5.19,26213,32774672.0,4.91,0.75,0.04,1.78
2010-01-12,5.3,5.63,5.67,5.3,56474,73034992.0,6.93,5.43,0.29,3.84
2010-01-13,5.5,5.97,6.01,5.47,84955,114830696.0,9.59,6.04,0.34,5.78
2010-01-14,6.05,6.08,6.1,5.89,62976,87752088.0,3.52,1.84,0.11,4.28
2010-01-15,6.12,6.12,6.2,5.98,33944,47671536.0,3.62,0.66,0.04,2.31
2010-01-18,6.14,6.58,6.61,6.12,59227,87656960.0,8.01,7.52,0.46,4.03
2010-01-19,6.58,6.53,6.63,6.44,23984,35811700.0,2.89,-0.76,-0.05,1.63
2010-01-20,6.63,6.52,6.8,6.47,51093,76804440.0,5.05,-0.15,-0.01,3.48
2010-01-21,6.43,6.86,6.87,6.38,38286,58224912.0,7.52,5.21,0.34,2.6
2010-01-22,6.87,6.52,6.9,6.33,52371,79549808.0,8.31,-4.96,-0.34,3.56
2010-01-25,6.41,6.52,6.67,6.41,21292,31756826.0,3.99,0.0,0.0,1.45
2010-01-26,6.43,6.07,6.52,5.93,35372,49980672.0,9.05,-6.9,-0.45,2.41
2010-01-27,6.06,5.89,6.24,5.84,32175,45179540.0,6.59,-2.97,-0.18,2.19
2010-01-28,5.83,6.12,6.17,5.83,10315,14426974.0,5.77,3.9,0.23,0.7
2010-01-29,6.08,6.16,6.32,5.95,14469,20658290.0,6.05,0.65,0.04,0.98
2010-02-01,6.09,6.3,6.48,5.99,17815,25581852.0,7.95,2.27,0.14,1.21
2010-02-02,6.32,6.27,6.47,6.2,15879,22938302.0,4.29,-0.48,-0.03,1.08
2010-02-03,6.15,6.28,6.37,5.84,40044,56737164.0,8.45,0.16,0.01,2.72
2010-02-04,6.24,6.32,6.46,6.08,39363,57207404.0,6.05,0.64,0.04,2.68
2010-02-08,6.09,6.3,6.35,6.04,16489,23562996.0,4.91,-0.32,-0.02,1.12
2010-02-09,6.26,6.17,6.38,6.12,12528,17974790.0,4.13,-2.06,-0.13,0.85
2010-02-10,6.25,6.28,6.31,6.08,9368,13352313.0,3.73,1.78,0.11,0.64
2010-02-11,6.25,6.11,6.27,6.08,12055,17132834.0,3.03,-2.71,-0.17,0.82
2010-02-12,6.18,6.28,6.28,6.1,16049,22701224.0,2.95,2.78,0.17,1.09
2010-02-22,6.25,6.38,6.45,6.25,20458,29865072.0,3.18,1.59,0.1,1.39
2010-02-23,6.38,6.49,6.52,6.28,24834,36488700.0,3.76,1.72,0.11,1.69
2010-02-24,6.48,6.69,6.74,6.44,33583,50686804.0,4.62,3.08,0.2,2.28
2010-02-25,6.69,6.85,6.86,6.63,37897,58419644.0,3.44,2.39,0.16,2.58
