日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-03-15,5.83,7.1,7.1,5.83,151,219801.0,26.57,48.54,2.32,0.06
2016-03-16,7.85,7.85,7.85,7.85,54,87582.0,0.0,10.56,0.75,0.02
2016-03-17,8.68,8.68,8.68,8.68,37,66457.0,0.0,10.57,0.83,0.02
2016-03-18,9.6,9.6,9.6,9.6,64,125858.0,0.0,10.6,0.92,0.03
2016-03-21,10.61,10.61,10.61,10.61,178,384554.0,0.0,10.52,1.01,0.08
2016-03-22,11.72,11.72,11.72,11.72,232,551696.0,0.0,10.46,1.11,0.1
2016-03-23,12.94,12.94,12.94,12.94,257,671030.0,0.0,10.41,1.22,0.11
2016-03-24,14.28,14.28,14.28,14.28,624,1794692.0,0.0,10.36,1.34,0.27
2016-03-25,15.76,15.76,15.76,15.76,1616,5116984.0,0.0,10.36,1.48,0.69
2016-03-28,17.39,17.39,17.39,17.39,3466,12072147.0,0.0,10.34,1.63,1.48
2016-03-29,19.01,19.17,19.17,17.96,155335,576247088.0,6.96,10.24,1.78,66.52
2016-03-30,18.45,19.64,19.99,18.3,128889,486847344.0,8.82,2.45,0.47,55.2
2016-03-31,19.22,19.05,19.78,18.9,100232,385694240.0,4.48,-3.0,-0.59,42.93
2016-04-01,18.81,18.98,19.36,18.38,72572,273621936.0,5.14,-0.37,-0.07,31.08
2016-04-05,18.96,20.24,20.5,18.57,95954,377431024.0,10.17,6.64,1.26,41.09
2016-04-06,19.94,19.94,20.32,19.62,64154,255351498.0,3.46,-1.48,-0.3,27.47
2016-04-07,19.75,19.91,20.75,19.45,90022,365710672.0,6.52,-0.15,-0.03,38.55
2016-04-08,19.53,20.65,20.81,18.97,107309,425299056.0,9.24,3.72,0.74,45.96
2016-04-11,20.36,22.77,22.77,20.35,110724,466066256.0,11.72,10.27,2.12,47.42
2016-04-12,22.3,21.9,24.4,21.83,121598,556793760.0,11.29,-3.82,-0.87,52.08
2016-04-13,21.53,21.71,22.81,21.34,80078,351678272.0,6.71,-0.87,-0.19,34.29
2016-04-14,21.81,23.93,23.93,21.81,64657,299698352.0,9.77,10.23,2.22,27.69
2016-04-15,24.65,25.81,26.37,24.45,139789,710137664.0,8.02,7.86,1.88,59.87
2016-04-18,24.99,24.14,25.16,23.38,92147,444131696.0,6.9,-6.47,-1.67,39.46
2016-04-19,23.82,24.33,25.16,23.82,73274,357512832.0,5.55,0.79,0.19,31.38
2016-04-20,24.02,25.94,26.81,23.32,119646,587590480.0,14.34,6.62,1.61,51.24
2016-04-21,24.91,23.94,25.86,23.63,91974,452050816.0,8.6,-7.71,-2.0,39.39
2016-04-22,22.77,22.51,23.59,22.09,59638,269968016.0,6.27,-5.97,-1.43,25.54
2016-04-25,22.35,22.51,23.17,21.17,51736,228741170.0,8.88,0.0,0.0,22.16
2016-04-26,22.17,22.58,22.91,22.04,40309,180774726.0,3.86,0.31,0.07,17.26
2016-04-27,22.6,22.83,23.63,22.42,61790,283646416.0,5.36,1.11,0.25,26.46
2016-04-28,22.55,21.98,22.58,21.3,50188,218839283.0,5.61,-3.72,-0.85,21.49
2016-04-29,21.61,21.11,22.0,20.55,36519,156489204.0,6.6,-3.96,-0.87,15.64
2016-05-03,21.32,22.52,22.69,21.28,53357,235937301.0,6.68,6.68,1.41,22.85
2016-05-04,22.39,23.9,24.75,22.38,83644,389487984.0,10.52,6.13,1.38,35.82
2016-05-05,23.59,23.89,24.35,23.24,62407,295483248.0,4.64,-0.04,-0.01,26.73
2016-05-06,23.83,24.25,25.68,23.47,98915,479031232.0,9.25,1.51,0.36,42.36
2016-05-09,23.6,23.01,24.4,21.78,71883,334314928.0,10.8,-5.11,-1.24,30.78
2016-05-10,22.71,21.54,23.33,21.16,50576,222635453.0,9.43,-6.39,-1.47,21.66
2016-05-11,21.77,20.32,22.22,20.3,42289,179236448.0,8.91,-5.66,-1.22,18.11
2016-05-12,19.68,19.83,20.03,18.85,35155,137084002.0,5.81,-2.41,-0.49,15.06
2016-05-13,19.99,20.05,20.46,19.78,28893,115939289.0,3.43,1.11,0.22,12.37
2016-05-16,19.68,20.34,20.34,19.53,27156,108377821.0,4.04,1.45,0.29,11.63
2016-05-17,20.32,20.46,21.04,20.12,32924,135557070.0,4.52,0.59,0.12,14.1
2016-05-18,20.3,18.89,20.3,18.52,33597,128809717.0,8.7,-7.67,-1.57,14.39
2016-05-19,18.76,19.02,19.88,18.76,31023,120121217.0,5.93,0.69,0.13,13.29
2016-05-20,18.6,19.57,19.63,18.4,30044,115198176.0,6.47,2.89,0.55,12.87
2016-05-23,19.78,20.48,21.36,19.7,40358,165226408.0,8.48,4.65,0.91,17.28
2016-05-24,20.28,20.16,20.71,19.88,24593,99429459.0,4.05,-1.56,-0.32,10.53
2016-05-25,20.2,20.58,20.81,20.04,34730,141442148.0,3.82,2.08,0.42,14.87
2016-05-26,20.49,21.17,21.27,19.73,45084,184728281.0,7.48,2.87,0.59,19.31
2016-05-27,21.19,21.63,22.86,21.19,66166,292187888.0,7.89,2.17,0.46,28.34
2016-05-30,21.56,23.84,23.84,21.22,77130,352193024.0,12.11,10.22,2.21,33.03
2016-05-31,24.5,25.7,26.27,23.42,134587,667725264.0,11.95,7.8,1.86,57.64
2016-06-01,25.16,25.79,26.24,24.99,109179,554853616.0,4.86,0.35,0.09,46.76
2016-06-02,25.4,26.09,26.19,25.12,76467,389815200.0,4.15,1.16,0.3,32.75
2016-06-03,25.73,25.03,26.25,24.95,81707,414528320.0,4.98,-4.06,-1.06,34.99
2016-06-06,25.04,27.58,27.58,25.04,100910,533145424.0,10.15,10.19,2.55,43.22
2016-06-07,27.73,29.26,30.29,26.86,113414,639850528.0,12.44,6.09,1.68,48.57
2016-06-08,28.41,27.78,29.66,27.22,80958,453500256.0,8.34,-5.06,-1.48,34.67
2016-06-13,27.0,24.95,27.46,24.95,62634,323021600.0,9.04,-10.19,-2.83,26.82
2016-06-14,24.27,25.14,25.65,23.58,48815,240509800.0,8.3,0.76,0.19,20.91
2016-06-15,24.46,26.45,27.38,24.19,57291,299150000.0,12.69,5.21,1.31,24.54
2016-06-16,26.19,26.25,27.44,26.17,48709,259037374.0,4.8,-0.76,-0.2,20.86
2016-06-17,26.51,28.93,28.93,26.43,84021,465926112.0,9.52,10.21,2.68,35.98
2016-06-20,28.96,29.05,30.46,27.74,89179,518637600.0,9.4,0.41,0.12,38.19
2016-06-21,29.36,28.6,30.16,28.45,75940,439419056.0,5.89,-1.55,-0.45,32.52
2016-06-22,28.37,28.8,29.71,27.48,58878,335851280.0,7.8,0.7,0.2,25.22
2016-06-23,28.57,30.33,31.01,28.36,90406,537803008.0,9.2,5.31,1.53,38.72
2016-06-24,29.99,29.12,30.28,27.63,79435,457485584.0,8.74,-3.99,-1.21,34.02
2016-06-27,29.01,30.24,30.8,28.91,62885,374267776.0,6.49,3.85,1.12,26.93
2016-06-28,29.87,31.55,33.22,29.86,79681,495857728.0,11.11,4.33,1.31,34.12
2016-06-29,31.39,33.98,34.37,30.81,87520,558944880.0,11.28,7.7,2.43,37.48
2016-06-30,31.32,30.53,32.58,30.53,77588,483327360.0,6.03,-10.15,-3.45,33.23
2016-07-01,30.8,31.43,32.14,30.6,54714,341103344.0,5.04,2.95,0.9,23.43
2016-07-04,31.12,32.78,33.04,30.85,53585,342599664.0,6.97,4.3,1.35,22.95
2016-07-05,32.78,33.88,34.84,32.73,66293,442860160.0,6.44,3.36,1.1,28.39
2016-07-06,33.88,32.56,33.88,31.63,58350,376744432.0,6.64,-3.9,-1.32,24.99
2016-07-07,32.28,32.54,32.95,31.53,43042,274352080.0,4.36,-0.06,-0.02,18.43
2016-07-08,32.55,32.24,33.67,32.24,44406,289555456.0,4.39,-0.92,-0.3,19.02
2016-07-11,31.99,29.18,32.24,29.02,56956,340433344.0,9.99,-9.49,-3.06,24.39
2016-07-12,29.61,30.03,30.06,28.36,44000,257653347.0,5.83,2.91,0.85,18.84
2016-07-13,30.09,30.53,31.33,29.32,43424,262205242.0,6.69,1.67,0.5,18.6
2016-07-14,30.24,32.53,32.84,30.23,58493,365357456.0,8.55,6.55,2.0,25.05
2016-07-15,32.4,33.0,34.32,32.12,71794,473376560.0,6.76,1.44,0.47,30.75
2016-07-18,32.96,32.34,33.65,31.47,47699,308281600.0,6.61,-2.0,-0.66,20.43
2016-07-19,32.04,34.55,34.8,31.94,75726,502598192.0,8.84,6.83,2.21,32.43
2016-07-20,34.5,34.77,34.86,33.66,67578,457782400.0,3.47,0.64,0.22,28.94
2016-07-21,34.37,32.91,35.05,32.8,60623,404924496.0,6.47,-5.35,-1.86,25.96
2016-07-22,32.9,31.96,33.4,30.91,49289,313838768.0,7.57,-2.89,-0.95,21.11
2016-07-25,31.42,31.4,32.45,30.47,32853,204234854.0,6.2,-1.75,-0.56,14.07
2016-07-26,31.02,31.47,32.09,31.02,27574,172473083.0,3.41,0.22,0.07,11.81
2016-07-27,31.47,28.28,31.73,28.28,52387,305045120.0,10.96,-10.14,-3.19,22.44
2016-07-28,28.76,31.16,31.16,28.53,58632,346211328.0,9.3,10.18,2.88,25.11
2016-07-29,29.27,29.78,31.15,29.22,58386,346325728.0,6.19,-4.43,-1.38,25.0
2016-08-01,29.68,28.41,29.68,26.76,39403,220247186.0,9.81,-4.6,-1.37,16.88
2016-08-02,28.55,28.71,29.22,28.24,32193,183019353.0,3.45,1.06,0.3,13.79
2016-08-03,28.41,30.78,31.19,28.25,58242,344174400.0,10.24,7.21,2.07,24.94
2016-08-04,30.31,30.6,32.09,30.05,50287,309446416.0,6.63,-0.58,-0.18,21.54
2016-08-05,30.45,31.21,31.68,30.19,46089,284203840.0,4.87,1.99,0.61,19.74
2016-08-08,30.92,31.75,31.93,29.65,42947,262150694.0,7.31,1.73,0.54,18.39
2016-08-09,31.75,33.76,34.91,31.75,70715,467910784.0,9.95,6.33,2.01,30.28
2016-08-10,33.23,36.91,37.19,33.23,105148,745380544.0,11.73,9.33,3.15,45.03
2016-08-11,36.17,34.62,37.94,34.19,92148,657478576.0,10.16,-6.2,-2.29,39.46
2016-08-12,34.92,36.14,36.94,33.88,80061,563026352.0,8.84,4.39,1.52,34.29
2016-08-15,35.99,36.83,38.0,35.01,85329,613612576.0,8.27,1.91,0.69,36.54
2016-08-16,36.4,35.73,36.91,35.63,66857,478109680.0,3.48,-2.99,-1.1,28.63
