日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-06-08,14.89,18.2,18.2,14.89,16726,33034126.0,27.27,49.92,6.06,0.15
2018-06-11,20.18,20.18,20.18,20.18,19323,42143158.0,0.0,10.88,1.98,0.17
2018-06-12,22.36,22.36,22.36,22.36,144924,347672464.0,0.0,10.8,2.18,1.3
2018-06-13,22.92,24.09,24.73,21.93,6332171,15809621760.0,12.52,7.74,1.73,56.64
2018-06-14,22.88,21.66,23.23,21.52,3477821,8310515712.0,7.1,-10.09,-2.43,31.11
2018-06-15,20.97,20.95,21.5,20.39,2138700,4811430400.0,5.12,-3.28,-0.71,19.13
2018-06-19,20.2,18.69,20.21,18.69,2099677,4356754176.0,7.26,-10.79,-2.26,18.78
2018-06-20,18.17,18.23,18.63,17.38,1982719,3891767824.0,6.69,-2.46,-0.46,17.74
2018-06-21,17.97,16.54,18.15,16.42,1978495,3736018336.0,9.49,-9.27,-1.69,17.7
2018-06-22,16.07,17.09,17.55,15.9,1755750,3268487584.0,9.98,3.33,0.55,15.71
2018-06-25,16.99,16.58,17.13,16.5,1154430,2124064368.0,3.69,-2.98,-0.51,10.33
2018-06-26,16.11,16.9,17.03,15.92,1137258,2080931360.0,6.69,1.93,0.32,10.17
2018-06-27,16.87,16.64,17.23,16.55,970391,1792739744.0,4.02,-1.54,-0.26,8.68
2018-06-28,16.59,16.26,17.01,16.13,863991,1575076752.0,5.29,-2.28,-0.38,7.73
2018-06-29,16.32,16.81,16.98,15.97,1278004,2332307632.0,6.21,3.38,0.55,11.43
2018-07-02,16.57,15.96,16.72,15.47,1218066,2178274832.0,7.44,-5.06,-0.85,10.9
2018-07-03,15.91,16.27,16.34,15.47,897425,1580629712.0,5.45,1.94,0.31,8.03
2018-07-04,16.07,15.54,16.24,15.49,807241,1406844064.0,4.61,-4.49,-0.73,7.22
2018-07-05,15.37,15.33,15.87,15.08,911993,1556919120.0,5.08,-1.35,-0.21,8.16
2018-07-06,15.28,15.6,16.05,15.17,1056906,1823931936.0,5.74,1.76,0.27,9.45
2018-07-09,15.6,15.84,15.87,15.46,800840,1388137552.0,2.63,1.54,0.24,7.16
2018-07-10,15.88,15.72,15.91,15.57,656169,1137038432.0,2.15,-0.76,-0.12,5.87
2018-07-11,15.32,15.02,15.47,14.91,792350,1326556528.0,3.56,-4.45,-0.7,7.09
2018-07-12,15.02,16.33,16.65,15.02,1794765,3159557648.0,10.85,8.72,1.31,16.05
2018-07-13,16.07,15.99,16.16,15.85,994409,1752297232.0,1.9,-2.08,-0.34,8.9
2018-07-16,15.99,16.21,16.56,15.93,910022,1629162608.0,3.94,1.38,0.22,8.14
2018-07-17,16.21,16.06,16.22,15.81,611768,1077433088.0,2.53,-0.93,-0.15,5.47
2018-07-18,16.06,15.58,16.13,15.55,621401,1086314080.0,3.61,-2.99,-0.48,5.56
2018-07-19,15.55,15.3,15.75,15.24,526953,897483168.0,3.27,-1.8,-0.28,4.71
2018-07-20,15.28,15.67,15.85,15.1,712705,1224951712.0,4.9,2.42,0.37,6.38
2018-07-23,15.48,15.62,15.67,15.41,483686,830800480.0,1.66,-0.32,-0.05,4.33
2018-07-24,15.6,16.43,16.47,15.57,1250545,2216366256.0,5.76,5.19,0.81,11.19
2018-07-25,16.37,16.08,16.38,15.96,859807,1530209680.0,2.56,-2.13,-0.35,7.69
2018-07-26,16.03,16.13,16.42,16.0,665397,1185426896.0,2.61,0.31,0.05,5.95
2018-07-27,16.05,15.66,16.05,15.65,545162,950530432.0,2.48,-2.91,-0.47,4.88
2018-07-30,15.57,15.51,15.75,15.42,367711,631237648.0,2.11,-0.96,-0.15,3.29
2018-07-31,15.56,15.54,15.64,15.42,291622,500048032.0,1.42,0.19,0.03,2.61
2018-08-01,15.62,15.35,15.78,15.33,452007,776123680.0,2.9,-1.22,-0.19,4.04
2018-08-02,15.27,14.61,15.3,14.39,689106,1133184224.0,5.93,-4.82,-0.74,6.16
2018-08-03,14.64,14.18,14.71,14.17,518180,828764288.0,3.7,-2.94,-0.43,4.64
2018-08-06,14.14,13.51,14.22,13.48,491494,757691968.0,5.22,-4.72,-0.67,4.4
2018-08-07,13.57,13.92,13.94,13.41,452787,696241552.0,3.92,3.03,0.41,4.05
2018-08-08,13.78,13.38,13.84,13.37,466053,709284544.0,3.38,-3.88,-0.54,4.17
2018-08-09,13.36,13.79,13.95,13.17,618225,950425488.0,5.83,3.06,0.41,5.53
2018-08-10,13.69,13.84,13.9,13.68,361171,557064560.0,1.6,0.36,0.05,3.23
2018-08-13,13.56,14.09,14.2,13.45,529925,822665056.0,5.42,1.81,0.25,4.74
2018-08-14,14.1,13.88,14.13,13.81,446345,693689984.0,2.27,-1.49,-0.21,3.99
2018-08-15,13.76,13.43,13.86,13.41,408086,620369296.0,3.24,-3.24,-0.45,3.65
2018-08-16,13.22,13.26,13.52,13.08,345948,516841872.0,3.28,-1.27,-0.17,3.09
2018-08-17,13.46,13.0,13.51,12.99,321107,477788528.0,3.92,-1.96,-0.26,2.87
2018-08-20,13.02,13.29,13.3,12.9,355908,524770432.0,3.08,2.23,0.29,3.18
2018-08-21,13.27,13.39,13.51,13.18,350600,525981568.0,2.48,0.75,0.1,3.14
2018-08-22,13.36,13.11,13.36,13.07,277602,412042704.0,2.17,-2.09,-0.28,2.48
2018-08-23,13.14,13.5,13.57,13.14,483486,726749792.0,3.28,2.97,0.39,4.32
2018-08-24,13.41,13.36,13.49,13.29,254493,382018752.0,1.48,-1.04,-0.14,2.28
2018-08-27,13.37,13.68,13.79,13.37,540955,825814176.0,3.14,2.4,0.32,4.84
2018-08-28,13.68,13.69,13.85,13.59,315558,483808960.0,1.9,0.07,0.01,2.82
2018-08-29,13.72,13.48,13.74,13.44,297976,451580496.0,2.19,-1.53,-0.21,2.67
2018-08-30,13.5,13.17,13.53,13.15,292615,436880576.0,2.82,-2.3,-0.31,2.62
2018-08-31,13.12,13.16,13.34,13.04,203201,301160928.0,2.28,-0.08,-0.01,1.82
2018-09-03,13.08,13.07,13.14,12.88,225558,329832752.0,1.98,-0.68,-0.09,2.02
2018-09-04,13.06,13.3,13.36,13.03,240883,357937504.0,2.52,1.76,0.23,2.15
2018-09-05,13.23,13.0,13.26,12.98,236974,349522512.0,2.11,-2.26,-0.3,2.12
2018-09-06,12.98,13.4,13.77,12.94,625924,945223168.0,6.38,3.08,0.4,5.6
2018-09-07,13.37,13.26,13.56,13.09,362796,543003696.0,3.51,-1.04,-0.14,3.25
2018-09-10,13.17,13.0,13.21,13.0,226162,332303936.0,1.58,-1.96,-0.26,2.02
2018-09-11,13.0,13.06,13.25,12.95,204420,300589872.0,2.31,0.46,0.06,1.83
2018-09-12,13.05,13.09,13.25,13.03,181132,267306826.0,1.68,0.23,0.03,1.62
2018-09-13,13.24,13.16,13.31,12.91,265941,391537504.0,3.06,0.53,0.07,2.38
2018-09-14,13.16,12.97,13.18,12.95,233028,341644000.0,1.75,-1.44,-0.19,2.08
2018-09-17,12.93,12.54,12.93,12.53,261016,373286512.0,3.08,-3.32,-0.43,2.33
2018-09-18,12.43,12.68,12.71,12.42,247626,352231152.0,2.31,1.12,0.14,2.22
2018-09-19,12.61,12.79,12.91,12.58,323145,463842864.0,2.6,0.87,0.11,2.89
2018-09-20,12.74,12.64,12.79,12.63,213853,306273792.0,1.25,-1.17,-0.15,1.91
2018-09-21,12.67,12.82,12.85,12.59,333518,479670896.0,2.06,1.42,0.18,2.98
2018-09-25,12.72,12.8,12.9,12.66,231669,332988752.0,1.87,-0.16,-0.02,2.07
2018-09-26,12.97,12.92,13.16,12.8,372768,543684912.0,2.81,0.94,0.12,3.33
2018-09-27,12.86,12.57,12.89,12.56,341098,488678416.0,2.55,-2.71,-0.35,3.05
2018-09-28,12.58,12.61,12.66,12.56,180090,256481682.0,0.8,0.32,0.04,1.61
2018-10-08,12.37,12.09,12.37,12.08,285599,394775392.0,2.3,-4.12,-0.52,2.55
2018-10-09,12.13,12.1,12.23,12.03,172033,236509972.0,1.65,0.08,0.01,1.54
2018-10-10,12.16,12.08,12.18,12.03,135234,185669575.0,1.24,-0.17,-0.02,1.21
2018-10-11,11.38,10.71,11.54,10.71,560642,709169248.0,6.87,-11.34,-1.37,5.02
2018-10-12,10.44,10.33,10.54,9.82,455083,537993952.0,6.72,-3.55,-0.38,4.07
2018-10-15,10.37,10.26,10.67,10.23,261871,316494000.0,4.26,-0.68,-0.07,2.34
2018-10-16,10.27,9.94,10.39,9.87,235142,275682960.0,5.07,-3.12,-0.32,2.1
2018-10-17,10.14,10.13,10.23,9.89,234823,275033712.0,3.42,1.91,0.19,2.1
2018-10-18,10.0,9.75,10.01,9.71,227586,261844967.0,2.96,-3.75,-0.38,2.04
2018-10-19,9.54,9.98,9.99,9.48,329659,376551392.0,5.23,2.36,0.23,2.95
2018-10-22,10.07,11.02,11.13,9.99,712296,875304288.0,11.42,10.42,1.04,6.37
2018-10-23,10.92,10.56,10.97,10.5,432081,532761072.0,4.26,-4.17,-0.46,3.87
2018-10-24,10.55,10.56,10.73,10.5,229790,281169328.0,2.18,0.0,0.0,2.06
2018-10-25,10.12,10.37,10.46,9.98,254227,300391680.0,4.55,-1.8,-0.19,2.27
2018-10-26,10.47,10.46,10.69,10.37,240787,292714176.0,3.09,0.87,0.09,2.15
2018-10-29,10.5,10.44,10.72,10.28,215717,261059505.0,4.21,-0.19,-0.02,1.93
2018-10-30,10.37,10.47,10.59,10.12,248175,298502528.0,4.5,0.29,0.03,2.22
2018-10-31,10.62,10.62,10.73,10.46,307840,377349456.0,2.58,1.43,0.15,2.75
2018-11-01,10.85,10.72,11.02,10.7,412949,514567136.0,3.01,0.94,0.1,3.69
2018-11-02,11.02,10.98,11.11,10.74,496010,622333728.0,3.45,2.43,0.26,4.44
2018-11-05,10.99,10.97,11.12,10.83,355468,448469664.0,2.64,-0.09,-0.01,3.18
2018-11-06,10.87,11.16,11.22,10.68,390119,489123648.0,4.92,1.73,0.19,3.49
2018-11-07,11.09,10.9,11.21,10.83,313975,397624832.0,3.41,-2.33,-0.26,2.81
2018-11-08,11.04,10.76,11.04,10.76,183836,230244508.0,2.57,-1.28,-0.14,1.64
2018-11-09,10.72,10.71,10.85,10.69,139612,173000900.0,1.49,-0.46,-0.05,1.25
2018-11-12,10.7,10.96,10.97,10.68,221764,277314192.0,2.71,2.33,0.25,1.98
