日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-05-25,3.31,4.19,4.19,3.31,197,295956.0,34.11,62.4,1.61,0.09
2016-05-26,4.72,4.72,4.72,4.72,66,110869.0,0.0,12.65,0.53,0.03
2016-05-27,5.29,5.29,5.29,5.29,56,103096.0,0.0,12.08,0.57,0.03
2016-05-30,5.93,5.93,5.93,5.93,96,195129.0,0.0,12.1,0.64,0.04
2016-05-31,6.63,6.63,6.63,6.63,221,491675.0,0.0,11.8,0.7,0.1
2016-06-01,7.41,7.41,7.41,7.41,84,205933.0,0.0,11.76,0.78,0.04
2016-06-02,8.25,8.25,8.25,8.25,118,318128.0,0.0,11.34,0.84,0.05
2016-06-03,9.19,9.19,9.19,9.19,506,1500855.0,0.0,11.39,0.94,0.23
2016-06-06,10.21,10.21,10.21,10.21,546,1780455.0,0.0,11.1,1.02,0.25
2016-06-07,11.34,11.34,11.34,11.34,1005,3608595.0,0.0,11.07,1.13,0.47
2016-06-08,12.59,12.59,12.59,12.59,803,3171704.0,0.0,11.02,1.25,0.37
2016-06-13,13.95,13.95,13.95,13.95,1175,5102286.0,0.0,10.8,1.36,0.54
2016-06-14,15.45,15.45,15.45,15.45,2709,12940415.0,0.0,10.75,1.5,1.25
2016-06-15,17.11,17.11,17.11,17.11,5331,28015666.0,0.0,10.74,1.66,2.47
2016-06-16,18.93,18.93,18.93,18.93,2067,11946609.0,0.0,10.64,1.82,0.96
2016-06-17,20.93,20.93,20.93,20.93,2524,16052786.0,0.0,10.57,2.0,1.17
2016-06-20,23.13,23.13,23.13,23.13,44529,311481968.0,0.0,10.51,2.2,20.62
2016-06-21,25.55,25.55,25.55,25.3,64007,492445120.0,1.08,10.46,2.42,29.63
2016-06-22,27.47,28.21,28.21,26.9,145427,1214633200.0,5.13,10.41,2.66,67.33
2016-06-23,29.02,28.08,29.79,27.85,119939,1034427776.0,6.88,-0.46,-0.13,55.53
2016-06-24,27.3,27.71,28.29,25.64,80186,656332160.0,9.44,-1.32,-0.37,37.12
2016-06-27,27.47,28.07,28.33,26.88,70156,587728928.0,5.23,1.3,0.36,32.48
2016-06-28,27.99,30.98,30.98,27.57,112341,995330000.0,12.15,10.37,2.91,52.01
2016-06-29,31.21,32.12,32.79,29.96,117944,1104892848.0,9.13,3.68,1.14,54.6
2016-06-30,30.41,28.92,31.1,28.91,82382,738538992.0,6.82,-9.96,-3.2,38.14
2016-07-01,29.03,29.41,30.19,29.03,46273,411307024.0,4.01,1.69,0.49,21.42
2016-07-04,29.48,29.65,29.84,28.72,44835,393795520.0,3.81,0.82,0.24,20.76
2016-07-05,29.89,31.12,31.68,29.55,79940,736720896.0,7.18,4.96,1.47,37.01
