日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.08,6.79,7.1,6.78,241923,580249472.0,4.55,-3.41,-0.24,0.83
2010-01-05,6.8,6.64,6.86,6.44,556500,1293476992.0,6.19,-2.21,-0.15,1.9
2010-01-06,6.62,6.49,6.62,6.43,412143,944453696.0,2.86,-2.26,-0.15,1.41
2010-01-07,6.49,6.4,6.55,6.31,355337,804166336.0,3.7,-1.39,-0.09,1.22
2010-01-08,6.35,6.39,6.44,6.3,288543,650667392.0,2.19,-0.16,-0.01,0.99
2010-01-11,6.71,6.39,6.78,6.27,442846,1009985536.0,7.98,0.0,0.0,1.51
2010-01-12,6.37,6.33,6.4,6.1,591796,1310068992.0,4.69,-0.94,-0.06,2.02
2010-01-13,6.12,5.79,6.13,5.73,935039,1990492672.0,6.32,-8.53,-0.54,3.2
2010-01-14,5.81,5.8,5.86,5.66,521195,1089329408.0,3.45,0.17,0.01,1.78
2010-01-15,5.81,5.96,6.04,5.68,539508,1146375296.0,6.21,2.76,0.16,1.85
2010-01-18,5.96,5.98,6.08,5.88,349127,749941248.0,3.36,0.34,0.02,1.19
2010-01-19,6.02,6.25,6.29,6.01,650715,1438886656.0,4.68,4.52,0.27,2.23
2010-01-20,6.25,5.94,6.39,5.92,490836,1079325952.0,7.52,-4.96,-0.31,1.68
2010-01-21,6.02,6.41,6.46,5.94,632301,1405279488.0,8.75,7.91,0.47,2.16
2010-01-22,6.33,6.56,6.69,6.13,882539,2002921984.0,8.74,2.34,0.15,3.02
2010-01-25,6.39,6.24,6.57,6.2,356059,803320192.0,5.64,-4.88,-0.32,1.22
2010-01-26,6.24,6.19,6.38,6.02,345326,760432384.0,5.77,-0.8,-0.05,1.18
2010-01-27,6.31,6.14,6.39,6.06,401035,892337344.0,5.33,-0.81,-0.05,1.37
2010-01-28,6.1,6.08,6.19,5.85,262132,567566976.0,5.54,-0.98,-0.06,0.9
2010-01-29,6.02,6.06,6.3,5.92,240688,528437728.0,6.25,-0.33,-0.02,0.82
2010-02-01,6.06,5.89,6.09,5.81,283180,602675200.0,4.62,-2.81,-0.17,0.97
2010-02-02,5.9,5.94,6.15,5.9,286734,620475776.0,4.24,0.85,0.05,0.98
2010-02-03,6.0,6.38,6.38,5.89,549006,1214267904.0,8.25,7.41,0.44,1.88
2010-02-04,6.29,6.24,6.33,6.17,303346,675283328.0,2.51,-2.19,-0.14,1.04
2010-02-05,6.03,6.17,6.28,5.96,276174,601515200.0,5.13,-1.12,-0.07,0.94
2010-02-08,6.13,6.01,6.2,5.97,206423,447137536.0,3.73,-2.59,-0.16,0.71
2010-02-09,6.02,6.17,6.22,6.0,248170,543120256.0,3.66,2.66,0.16,0.85
2010-02-10,6.24,6.27,6.31,6.18,253840,564177472.0,2.11,1.62,0.1,0.87
2010-02-11,6.24,6.21,6.3,6.2,139102,308844864.0,1.59,-0.96,-0.06,0.48
2010-02-12,6.23,6.33,6.39,6.23,188386,422488288.0,2.58,1.93,0.12,0.64
2010-02-22,6.28,6.2,6.33,6.2,165778,367933696.0,2.05,-2.05,-0.13,0.57
2010-02-23,6.18,6.01,6.19,5.95,237781,513377920.0,3.87,-3.06,-0.19,0.81
2010-02-24,5.96,6.06,6.09,5.89,231486,497531456.0,3.33,0.83,0.05,0.79
2010-02-25,6.05,6.22,6.32,6.03,347879,770836544.0,4.79,2.64,0.16,1.19
2010-02-26,6.17,6.33,6.39,6.16,450217,1008966464.0,3.7,1.77,0.11,1.54
2010-03-02,6.49,6.57,6.88,6.49,684647,1599219840.0,6.16,3.79,0.24,2.34
2010-03-03,6.57,6.64,6.66,6.46,284111,655444672.0,3.04,1.07,0.07,0.97
2010-03-04,6.65,6.57,6.76,6.53,376321,877389760.0,3.46,-1.05,-0.07,1.29
2010-03-05,6.57,6.63,6.71,6.55,291842,681193920.0,2.44,0.91,0.06,1.0
2010-03-08,6.65,6.84,6.91,6.55,441054,1045698944.0,5.43,3.17,0.21,1.51
2010-03-09,6.85,6.83,6.99,6.71,394360,943966336.0,4.09,-0.15,-0.01,1.35
2010-03-10,6.79,6.67,6.92,6.66,211059,499356448.0,3.81,-2.34,-0.16,0.72
2010-03-11,6.73,6.77,6.88,6.67,241218,571453952.0,3.15,1.5,0.1,0.82
2010-03-12,6.73,6.5,6.73,6.49,283073,655910208.0,3.55,-3.99,-0.27,0.97
2010-03-15,6.49,6.31,6.49,6.24,189090,424857088.0,3.85,-2.92,-0.19,0.65
2010-03-16,6.31,6.37,6.4,6.26,196849,441221888.0,2.22,0.95,0.06,0.67
2010-03-17,6.39,6.6,6.6,6.33,192860,441162464.0,4.24,3.61,0.23,0.66
2010-03-18,6.62,6.55,6.71,6.52,218152,507527264.0,2.88,-0.76,-0.05,0.75
2010-03-19,6.55,6.54,6.6,6.42,176615,404284736.0,2.75,-0.15,-0.01,0.6
2010-03-22,6.5,6.58,6.68,6.5,195257,453198688.0,2.75,0.61,0.04,0.67
2010-03-23,6.6,6.47,6.62,6.43,159349,365560032.0,2.89,-1.67,-0.11,0.54
2010-03-24,6.48,6.46,6.6,6.44,210983,484336288.0,2.47,-0.15,-0.01,0.72
2010-03-25,6.44,6.28,6.45,6.27,166074,372184256.0,2.79,-2.79,-0.18,0.57
2010-03-26,6.28,6.46,6.56,6.23,223461,509149248.0,5.25,2.87,0.18,0.76
2010-03-29,6.52,6.73,6.84,6.45,444163,1044826240.0,6.04,4.18,0.27,1.52
2010-03-30,6.76,6.77,6.81,6.65,253043,595446912.0,2.38,0.59,0.04,0.87
2010-03-31,6.77,6.6,6.77,6.56,305550,710514240.0,3.1,-2.51,-0.17,1.04
2010-04-01,6.63,6.67,6.75,6.56,305159,712145600.0,2.88,1.06,0.07,1.04
2010-04-02,6.7,6.69,6.71,6.61,195900,457640288.0,1.5,0.3,0.02,0.67
2010-04-06,6.73,6.66,6.84,6.62,236509,556583872.0,3.29,-0.45,-0.03,0.81
2010-04-07,6.66,6.48,6.69,6.41,318422,730335808.0,4.2,-2.7,-0.18,1.09
2010-04-08,6.47,6.37,6.47,6.28,448387,1009933568.0,2.93,-1.7,-0.11,1.53
2010-04-09,6.37,6.41,6.44,6.35,220410,498836800.0,1.41,0.63,0.04,0.75
2010-04-12,6.43,6.2,6.44,6.15,494771,1098010880.0,4.52,-3.28,-0.21,1.69
2010-04-13,6.23,6.31,6.39,6.19,449187,1003910784.0,3.23,1.77,0.11,1.54
2010-04-14,6.31,6.25,6.33,6.18,331852,734720512.0,2.38,-0.95,-0.06,1.13
2010-04-15,6.27,6.31,6.31,6.16,357018,790372992.0,2.4,0.96,0.06,1.22
2010-04-16,6.27,6.17,6.27,6.16,286468,632291264.0,1.74,-2.22,-0.14,0.98
2010-04-19,6.01,5.47,6.02,5.44,826874,1708546688.0,9.4,-11.35,-0.7,2.83
2010-04-20,5.49,5.36,5.56,5.26,435134,858886272.0,5.48,-2.01,-0.11,1.49
2010-04-21,5.38,5.49,5.5,5.3,373588,742144448.0,3.73,2.43,0.13,1.28
2010-04-22,5.45,5.3,5.45,5.2,452210,884329088.0,4.55,-3.46,-0.19,1.55
2010-04-23,5.32,5.5,5.65,5.22,556046,1106582144.0,8.11,3.77,0.2,1.9
2010-04-26,5.45,5.42,5.57,5.34,322315,647506048.0,4.18,-1.45,-0.08,1.1
2010-04-27,5.37,5.39,5.52,5.28,348904,692500032.0,4.43,-0.55,-0.03,1.19
2010-04-28,5.35,5.5,5.51,5.3,334939,668218624.0,3.9,2.04,0.11,1.15
2010-04-29,5.56,5.51,5.67,5.49,368242,749244096.0,3.27,0.18,0.01,1.26
2010-04-30,5.54,5.65,5.66,5.5,324345,662829184.0,2.9,2.54,0.14,1.11
2010-05-04,5.48,5.45,5.55,5.36,286747,574413568.0,3.36,-3.54,-0.2,0.98
2010-05-05,5.48,5.41,5.52,5.21,650422,1283692544.0,5.69,-0.73,-0.04,2.22
2010-05-06,5.33,4.87,5.33,4.83,685797,1296218496.0,9.24,-9.98,-0.54,2.35
2010-05-07,4.73,4.82,4.92,4.7,412580,752185920.0,4.52,-1.03,-0.05,1.41
2010-05-10,4.85,4.88,4.97,4.79,386417,710974016.0,3.73,1.24,0.06,1.32
2010-05-11,5.03,4.53,5.04,4.53,561717,1017121600.0,10.45,-7.17,-0.35,1.92
2010-05-12,4.47,4.76,4.83,4.42,521041,931251264.0,9.05,5.08,0.23,1.78
2010-05-13,4.73,4.97,5.05,4.72,567527,1049525952.0,6.93,4.41,0.21,1.94
2010-05-14,4.97,4.85,4.97,4.79,265628,487732512.0,3.62,-2.41,-0.12,0.91
2010-05-17,4.72,4.52,4.73,4.48,326608,574713344.0,5.15,-6.8,-0.33,1.12
2010-05-18,4.54,4.71,4.76,4.47,361901,641553728.0,6.42,4.2,0.19,1.24
2010-05-19,4.63,4.64,4.78,4.51,256356,456208288.0,5.73,-1.49,-0.07,0.88
2010-05-20,4.57,4.56,4.74,4.53,218289,387168256.0,4.53,-1.72,-0.08,0.75
2010-05-21,4.4,4.66,4.67,4.37,220795,386738336.0,6.58,2.19,0.1,0.76
2010-05-24,4.69,4.86,4.94,4.69,317916,582619392.0,5.36,4.29,0.2,1.09
2010-05-25,4.79,4.65,4.81,4.63,245946,441872576.0,3.7,-4.32,-0.21,0.84
2010-05-26,4.68,4.69,4.78,4.65,171611,308368928.0,2.8,0.86,0.04,0.59
2010-05-27,4.67,4.75,4.77,4.53,278167,496702080.0,5.12,1.28,0.06,0.95
2010-05-28,4.81,4.75,4.86,4.73,253974,461689408.0,2.74,0.0,0.0,0.87
2010-05-31,4.69,4.54,4.79,4.54,270458,480683776.0,5.26,-4.42,-0.21,0.92
2010-06-01,4.52,4.47,4.61,4.43,218091,379058912.0,3.96,-1.54,-0.07,0.75
2010-06-02,4.45,4.44,4.51,4.33,251256,430720704.0,4.03,-0.67,-0.03,0.86
2010-06-03,4.47,4.44,4.62,4.44,287562,501143168.0,4.05,0.0,0.0,0.98
2010-06-04,4.44,4.47,4.54,4.42,134735,232824768.0,2.7,0.68,0.03,0.46
2010-06-07,4.4,4.33,4.47,4.29,241493,410550912.0,4.03,-3.13,-0.14,0.83
2010-06-08,4.33,4.25,4.37,4.18,170330,286156160.0,4.39,-1.85,-0.08,0.58
2010-06-09,4.28,4.6,4.65,4.21,495744,857978624.0,10.35,8.24,0.35,1.7
2010-06-10,4.46,4.4,4.53,4.39,284641,489563040.0,3.04,-4.35,-0.2,0.97
2010-06-11,4.44,4.41,4.53,4.36,209983,362292832.0,3.86,0.23,0.01,0.72
2010-06-18,4.43,4.48,4.63,4.41,448493,785248768.0,4.99,1.59,0.07,1.53
